@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'table' {'0','1'}

@DATA
1222.0,165.0,693.0,0.0,693.0,0.0,120.0,30.0,'0'
551.0,336.0,127.0,693.0,693.0,693.0,102.0,30.0,'0'
678.0,336.0,187.0,127.0,318.0,693.0,136.0,30.0,'0'
865.0,336.0,167.0,187.0,318.0,693.0,137.0,39.0,'0'
1032.0,336.0,104.0,167.0,318.0,693.0,80.0,30.0,'0'
1136.0,336.0,187.0,104.0,318.0,693.0,162.0,31.0,'0'
1323.0,336.0,83.0,187.0,318.0,693.0,59.0,30.0,'0'
1406.0,336.0,191.0,83.0,318.0,693.0,163.0,38.0,'0'
1597.0,336.0,205.0,191.0,318.0,693.0,180.0,31.0,'0'
1802.0,336.0,63.0,205.0,318.0,693.0,37.0,30.0,'0'
1865.0,336.0,144.0,63.0,318.0,693.0,120.0,31.0,'0'
2009.0,336.0,1144.0,144.0,318.0,693.0,15.0,6.0,'0'
866.0,378.0,41.0,1144.0,318.0,318.0,17.0,29.0,'0'
907.0,378.0,84.0,41.0,628.0,318.0,59.0,30.0,'0'
991.0,378.0,62.0,84.0,628.0,318.0,36.0,31.0,'0'
1053.0,378.0,167.0,62.0,628.0,318.0,141.0,38.0,'0'
1220.0,378.0,40.0,167.0,628.0,318.0,14.0,5.0,'0'
1260.0,378.0,250.0,40.0,628.0,318.0,227.0,32.0,'0'
1510.0,378.0,82.0,250.0,628.0,318.0,122.0,37.0,'0'
1489.0,457.0,189.0,82.0,628.0,628.0,164.0,31.0,'1'
1678.0,457.0,147.0,189.0,115.0,628.0,117.0,33.0,'1'
1825.0,457.0,444.0,147.0,115.0,628.0,117.0,37.0,'1'
1384.0,502.0,272.0,444.0,115.0,115.0,159.0,31.0,'1'
1656.0,502.0,249.0,272.0,709.0,115.0,101.0,31.0,'1'
1905.0,502.0,1229.0,249.0,709.0,115.0,96.0,31.0,'1'
678.0,565.0,168.0,1229.0,709.0,709.0,143.0,30.0,'1'
846.0,565.0,140.0,168.0,76.0,709.0,202.0,30.0,'1'
721.0,627.0,208.0,140.0,76.0,76.0,182.0,38.0,'1'
929.0,627.0,84.0,208.0,64.0,76.0,58.0,30.0,'1'
1013.0,627.0,396.0,84.0,64.0,76.0,202.0,28.0,'1'
1409.0,627.0,250.0,396.0,64.0,76.0,120.0,34.0,'1'
1659.0,627.0,271.0,250.0,64.0,76.0,120.0,36.0,'1'
1930.0,627.0,1213.0,271.0,64.0,76.0,120.0,36.0,'1'
719.0,690.0,126.0,1213.0,64.0,64.0,102.0,35.0,'1'
845.0,690.0,561.0,126.0,62.0,64.0,185.0,37.0,'1'
1406.0,690.0,274.0,561.0,62.0,64.0,123.0,35.0,'1'
1680.0,690.0,250.0,274.0,62.0,64.0,100.0,35.0,'1'
1930.0,690.0,1212.0,250.0,62.0,64.0,120.0,36.0,'1'
720.0,751.0,103.0,1212.0,62.0,62.0,81.0,30.0,'1'
823.0,751.0,585.0,103.0,62.0,62.0,159.0,30.0,'1'
1408.0,751.0,250.0,585.0,62.0,62.0,120.0,34.0,'1'
1658.0,751.0,269.0,250.0,62.0,62.0,120.0,35.0,'1'
1927.0,751.0,1209.0,269.0,62.0,62.0,121.0,36.0,'1'
720.0,813.0,104.0,1209.0,62.0,62.0,80.0,30.0,'1'
824.0,813.0,604.0,104.0,77.0,62.0,226.0,37.0,'1'
1428.0,813.0,249.0,604.0,77.0,62.0,100.0,35.0,'1'
1677.0,813.0,251.0,249.0,77.0,62.0,101.0,36.0,'1'
1928.0,813.0,1251.0,251.0,77.0,62.0,120.0,35.0,'1'
679.0,877.0,145.0,1251.0,77.0,77.0,119.0,31.0,'1'
824.0,877.0,83.0,145.0,74.0,77.0,60.0,31.0,'1'
907.0,877.0,198.0,83.0,74.0,77.0,120.0,30.0,'1'
719.0,939.0,126.0,198.0,74.0,74.0,104.0,35.0,'1'
845.0,939.0,563.0,126.0,63.0,74.0,185.0,37.0,'1'
1408.0,939.0,269.0,563.0,63.0,74.0,121.0,34.0,'1'
1677.0,939.0,251.0,269.0,63.0,74.0,101.0,35.0,'1'
