@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'table' {'1'}

@DATA
749.0,338.0,534.0,0.0,933.0,0.0,80.0,34.0,'1'
1283.0,338.0,399.0,534.0,933.0,0.0,84.0,35.0,'1'
1681.0,366.0,377.0,399.0,933.0,933.0,60.0,35.0,'1'
2058.0,366.0,1311.0,377.0,934.0,933.0,104.0,36.0,'1'
748.0,388.0,62.0,1311.0,934.0,934.0,56.0,24.0,'1'
810.0,388.0,472.0,62.0,936.0,934.0,44.0,33.0,'1'
1282.0,388.0,402.0,472.0,936.0,934.0,85.0,35.0,'1'
1683.0,415.0,372.0,402.0,936.0,936.0,58.0,35.0,'1'
2055.0,415.0,1310.0,372.0,938.0,936.0,108.0,37.0,'1'
746.0,437.0,63.0,1310.0,938.0,938.0,54.0,24.0,'1'
809.0,437.0,497.0,63.0,935.0,938.0,44.0,33.0,'1'
1306.0,437.0,376.0,497.0,935.0,938.0,59.0,34.0,'1'
1680.0,466.0,373.0,376.0,935.0,935.0,60.0,34.0,'1'
2053.0,466.0,1310.0,373.0,937.0,935.0,108.0,36.0,'1'
744.0,486.0,63.0,1310.0,937.0,937.0,57.0,25.0,'1'
807.0,486.0,472.0,63.0,937.0,937.0,44.0,33.0,'1'
1279.0,486.0,403.0,472.0,937.0,937.0,85.0,35.0,'1'
1680.0,515.0,371.0,403.0,937.0,937.0,58.0,34.0,'1'
2051.0,515.0,1309.0,371.0,938.0,937.0,109.0,37.0,'1'
743.0,536.0,63.0,1309.0,938.0,938.0,54.0,25.0,'1'
806.0,536.0,471.0,63.0,648.0,938.0,43.0,32.0,'1'
1277.0,536.0,117.0,471.0,648.0,938.0,84.0,37.0,'1'
1390.0,563.0,289.0,117.0,648.0,648.0,19.0,4.0,'1'
1679.0,563.0,372.0,289.0,648.0,648.0,57.0,35.0,'1'
2051.0,563.0,1309.0,372.0,648.0,648.0,107.0,37.0,'1'
743.0,586.0,532.0,1309.0,648.0,648.0,94.0,39.0,'1'
1275.0,586.0,403.0,532.0,935.0,648.0,86.0,35.0,'1'
1677.0,613.0,372.0,403.0,935.0,935.0,58.0,36.0,'1'
2049.0,613.0,1310.0,372.0,938.0,935.0,107.0,37.0,'1'
740.0,637.0,534.0,1310.0,938.0,938.0,96.0,38.0,'1'
1274.0,637.0,402.0,534.0,936.0,938.0,84.0,35.0,'1'
