word,x,y,x+1 dist,x-1 dist,y+1 dist,y-1 dist,width,height,table
TABLE,513,452,185.0,0,220.0,0,156,32,0
9.,698,452,93.0,185.0,220.0,0,35,33,0
ESTIMATED,791,452,301.0,93.0,220.0,0,269,33,0
MAXIMUM,1092,452,268.0,301.0,220.0,0,238,33,0
24-HOUR,1360,452,241.0,268.0,220.0,0,210,33,0
AMBIENT,1601,452,244.0,241.0,220.0,0,216,33,0
CONCENTRATIONS,1845,452,479.0,244.0,220.0,0,450,34,0
OF,2324,452,93.0,479.0,220.0,0,62,33,0
AIR,2417,452,112.0,93.0,220.0,0,80,32,0
POHALUTANTS,2529,452,1803.0,112.0,220.0,0,317,47,0
FROM,727,499,170.0,1803.0,220.0,220.0,138,33,0
HIGH,897,499,147.0,170.0,645.0,220.0,116,33,0
LEVEL,1044,499,178.0,147.0,645.0,220.0,149,33,0
NUCLEAR,1222,499,267.0,178.0,645.0,220.0,234,33,0
WASTE,1489,499,187.0,267.0,645.0,220.0,158,34,0
REPOSITORY,1676,499,336.0,187.0,645.0,220.0,306,34,0
AT,2012,499,93.0,336.0,645.0,220.0,64,33,0
YUCCA,2105,499,204.0,93.0,645.0,220.0,173,34,0
"MOUNTAIN""'",2309,499,970.0,204.0,645.0,220.0,316,39,0
Ridge,1352,656,153.0,970.0,645.0,645.0,123,44,1
Location,1505,656,754.0,153.0,521.0,645.0,190,35,1
Valley,2259,656,164.0,754.0,521.0,645.0,136,44,1
Location,2423,656,1590.0,164.0,521.0,645.0,189,34,1
Emission,834,707,249.0,1590.0,521.0,521.0,190,34,1
Distance(2),1082,728,210.0,249.0,249.0,249.0,246,65,1
Rate,875,757,864.0,210.0,210.0,210.0,102,33,1
Concentrition,1739,757,393.0,864.0,622.0,210.0,313,60,1
Distance,2132,757,550.0,393.0,622.0,210.0,190,34,1
Concentrition,2682,757,2427.0,550.0,622.0,210.0,313,59,1
Pollutant,256,808,639.0,2427.0,622.0,622.0,197,33,1
g/s,895,808,282.0,639.0,104.0,622.0,65,44,1
km,1177,808,231.0,282.0,104.0,622.0,61,33,1
Direction,1408,808,419.0,231.0,104.0,622.0,206,34,1
jA,1827,808,36.0,419.0,104.0,622.0,25,30,1
gl,1863,808,48.0,36.0,104.0,622.0,41,43,1
in,1911,808,285.0,48.0,104.0,622.0,33,24,1
km,2196,808,155.0,285.0,104.0,622.0,62,32,1
Direction,2351,808,419.0,155.0,104.0,622.0,206,35,1
pg/m,2770,808,2518.0,419.0,104.0,622.0,117,43,1
Suspended,255,911,250.0,2518.0,104.0,104.0,221,42,1
Particles,505,911,392.0,250.0,53.0,104.0,194,33,1
280,897,911,333.0,392.0,53.0,104.0,70,33,1
1.5,1230,911,243.0,333.0,53.0,104.0,58,33,1
SSW,1473,911,394.0,243.0,53.0,104.0,89,34,1
271,1867,911,383.0,394.0,53.0,104.0,67,33,1
1.0,2250,911,160.0,383.0,53.0,104.0,58,34,1
ENE,2410,911,399.0,160.0,53.0,104.0,94,33,1
276,2809,911,2554.0,399.0,53.0,104.0,71,33,1
CO,256,963,643.0,2554.0,53.0,53.0,68,32,1
220,899,963,332.0,643.0,50.0,53.0,69,33,1
1.5,1231,963,245.0,332.0,50.0,53.0,58,32,1
SSW,1476,963,392.0,245.0,50.0,53.0,86,33,1
