@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'table' {'1','0'}

@DATA
340.0,1073.0,185.0,1273.0,161.0,27.0,'1'
525.0,1073.0,508.0,185.0,197.0,40.0,'1'
1033.0,1073.0,708.0,508.0,252.0,28.0,'1'
1741.0,1073.0,1400.0,708.0,275.0,28.0,'1'
342.0,1123.0,634.0,1400.0,310.0,28.0,'1'
976.0,1123.0,168.0,634.0,53.0,24.0,'1'
1144.0,1123.0,147.0,168.0,33.0,23.0,'1'
1291.0,1123.0,359.0,147.0,24.0,22.0,'1'
1650.0,1123.0,146.0,359.0,51.0,24.0,'1'
1796.0,1123.0,131.0,146.0,35.0,24.0,'1'
1927.0,1123.0,148.0,131.0,53.0,24.0,'1'
2075.0,1123.0,1739.0,148.0,34.0,24.0,'1'
339.0,1215.0,60.0,1739.0,27.0,25.0,'1'
399.0,1215.0,577.0,60.0,82.0,29.0,'1'
976.0,1215.0,148.0,577.0,89.0,27.0,'1'
1124.0,1215.0,149.0,148.0,90.0,26.0,'1'
1273.0,1215.0,354.0,149.0,90.0,27.0,'1'
1627.0,1215.0,150.0,354.0,92.0,28.0,'1'
1777.0,1215.0,156.0,150.0,91.0,28.0,'1'
1933.0,1215.0,141.0,156.0,64.0,28.0,'1'
2074.0,1215.0,1735.0,141.0,90.0,27.0,'1'
340.0,1252.0,58.0,1735.0,31.0,25.0,'1'
398.0,1252.0,69.0,58.0,81.0,29.0,'1'
340.0,1289.0,58.0,69.0,13.0,25.0,'1'
398.0,1289.0,580.0,58.0,82.0,29.0,'1'
978.0,1289.0,149.0,580.0,88.0,27.0,'1'
1127.0,1289.0,147.0,149.0,87.0,27.0,'1'
1274.0,1289.0,355.0,147.0,87.0,28.0,'1'
1629.0,1289.0,149.0,355.0,89.0,28.0,'1'
