word,x,y,x+1 dist,x-1 dist,y+1 dist,y-1 dist,width,height,table
ELEMENTAL,340,1073,185,1273,61,61,161,27,1
ANALYSIS(3),525,1073,508,185,51,61,197,40,1
TU83-11190-091,1033,1073,708,508,51,61,252,28,1
TU83-11190-0182,1741,1073,1400,708,51,61,275,28,1
(DET.LIM)MG/LITER,342,1123,634,1400,51,51,310,28,1
18A,976,1123,168,634,93,51,53,24,1
UN,1144,1123,147,168,93,51,33,23,1
A.,1291,1123,359,147,93,51,24,22,1
18A,1650,1123,146,359,93,51,51,24,1
UN,1796,1123,131,146,93,51,35,24,1
50A,1927,1123,148,131,93,51,53,24,1
A5,2075,1123,1739,148,93,51,34,24,1
Al,339,1215,60,1739,93,93,27,25,1
-0.03,399,1215,577,60,38,93,82,29,1
0.089,976,1215,148,577,38,93,89,27,1
0.08,1124,1215,149,148,38,93,90,26,1
0.03,1273,1215,354,149,38,93,90,27,1
0.12,1627,1215,150,354,38,93,92,28,1
0.1,1777,1215,156,150,38,93,91,28,1
0.22,1933,1215,141,156,38,93,64,28,1
0.07,2074,1215,1735,141,38,93,90,27,1
As,340,1252,58,1735,38,38,31,25,1
-0.38,398,1252,69,58,37,38,81,29,1
3,340,1289,58,69,37,37,13,25,1
-0.01,398,1289,580,58,38,37,82,29,1
5.29,978,1289,149,580,38,37,88,27,1
5.37,1127,1289,147,149,38,37,87,27,1
0.011,1274,1289,355,147,38,37,87,28,1
6.2,1629,1289,149,355,38,37,89,28,1
6.3,1778,1289,150,149,38,37,90,27,1
6.2,1928,1289,1588,150,38,37,87,28,1
3a,341,1326,57,1588,38,38,30,25,1
-0.002,398,1326,578,57,38,38,99,28,1
0.011,976,1326,149,578,38,38,88,26,1
0.016,1125,1326,503,149,38,38,87,27,1
0.005,1628,1326,150,503,38,38,90,28,1
0.015,1778,1326,149,150,38,38,89,27,1
0.012,1927,1326,1588,149,38,38,88,27,1
Ca,340,1363,61,1588,38,38,33,26,1
-0.01,401,1363,577,61,38,38,79,28,1
2.16,978,1363,149,577,38,38,89,28,1
2.65,1127,1363,147,149,38,38,88,27,1
0.056,1274,1363,358,147,38,38,89,27,1
1.3,1632,1363,148,358,38,38,87,28,1
2.4,1780,1363,151,148,38,38,89,27,1
1.8,1931,1363,145,151,38,38,85,27,1
0.095,2076,1363,1737,145,38,38,87,27,1
Cd,340,1401,59,1737,38,38,32,26,1
-0.004,399,1401,71,59,38,38,99,29,1
Ce,340,1439,60,71,38,38,33,27,1
-0.04,400,1439,71,60,37,38,81,29,1
Co,340,1476,58,71,37,37,31,26,1
-0.01,398,1476,69,58,37,37,82,28,1
Cr,340,1513,61,69,37,37,34,25,1
-0.02,401,1513,575,61,36,37,80,29,1
0.101,976,1513,149,575,36,37,89,26,1
0.105,1125,1513,504,149,36,37,90,27,1
0.12,1629,1513,151,504,36,37,91,28,1
0.3,1780,1513,148,151,36,37,90,27,1
0.28,1928,1513,1589,148,36,37,89,27,1
Cu,340,1549,59,1589,36,36,32,26,1
-0.004,399,1549,577,59,39,36,100,29,1
0.012,976,1549,150,577,39,36,90,27,1
0.011,1126,1549,147,150,39,36,87,28,1
0.018,1273,1549,933,147,39,36,89,28,1
Dy,341,1587,59,933,39,39,32,31,1
-0.004,400,1587,70,59,37,39,100,29,1
Eu,341,1624,58,70,37,37,31,27,1
-0.002,399,1624,69,58,36,37,100,29,1
Fe,341,1660,60,69,36,36,33,27,1
-0.005,401,1660,576,60,39,36,100,29,1
0.014,977,1660,149,576,39,36,90,27,1
0.023,1126,1660,148,149,39,36,89,27,1
0.104,1274,1660,356,148,39,36,90,27,1
0.007,1630,1660,150,356,39,36,89,29,1
0.5,1780,1660,149,150,39,36,91,28,1
0.062,1929,1660,147,149,39,36,89,28,1
0.23,2076,1660,1736,147,39,36,89,27,1
Gd,341,1699,59,1736,39,39,33,25,1
-0.01,400,1699,577,59,36,39,81,29,1
0.055,977,1699,149,577,36,39,89,27,1
0.044,1126,1699,786,149,36,39,88,26,1
K,341,1735,59,786,36,36,14,23,1
-0.3,400,1735,577,59,38,36,64,29,1
7.85,977,1735,150,577,38,36,90,27,1
7.81,1127,1735,502,150,38,36,88,28,1
6.8,1629,1735,152,502,38,36,91,28,1
7.9,1781,1735,147,152,38,36,87,28,1
6.8,1928,1735,1588,147,38,36,89,28,1
La,341,1773,58,1588,38,38,32,24,1
-0.008,399,1773,68,58,37,38,100,30,1
Li,342,1809,60,68,37,37,27,25,1
-0.004,402,1809,576,60,38,37,99,29,1
0.044,978,1809,148,576,38,37,90,27,1
0.044,1126,1809,503,148,38,37,90,26,1
0.042,1629,1809,150,503,38,37,91,28,1
0.054,1779,1809,150,150,38,37,90,28,1
0.054,1929,1809,1588,150,38,37,88,27,1
Mg,342,1847,58,1588,38,38,33,32,1
-0.06,400,1847,578,58,38,38,82,29,1
0.038,978,1847,149,578,38,38,88,27,1
0.039,1127,1847,148,149,38,38,88,27,1
0.152,1275,1847,801,148,38,38,88,28,1
0.31,2076,1847,1736,801,38,38,89,27,1
Mn,341,1884,61,1736,38,38,34,23,1
-0.002,402,1884,873,61,37,38,99,29,1
0.003,1275,1884,654,873,37,38,90,27,1
0.03,1929,1884,147,654,37,38,88,28,1
0.005,2076,1884,1735,147,37,38,88,27,1
Mo,342,1920,58,1735,37,37,33,25,1
-0.01,400,1920,578,58,39,37,83,28,1
2.28,978,1920,150,578,39,37,90,28,1
2.32,1128,1920,502,150,39,37,88,27,1
2.7,1630,1920,150,502,39,37,90,28,1
2.7,1780,1920,149,150,39,37,90,28,1
2.6,1929,1920,1587,149,39,37,88,27,1
Na,343,1958,60,1587,39,39,32,25,1
-0.01,403,1958,557,60,38,39,80,28,1
63.1,960,1958,148,557,38,39,108,27,1
64.2,1108,1958,167,148,38,39,108,27,1
0.04,1275,1958,336,167,38,39,90,27,1
68,1611,1958,151,336,38,39,109,28,1
74,1762,1958,149,151,38,39,108,27,1
74,1911,1958,166,149,38,39,106,26,1
0.034,2077,1958,1735,166,38,39,87,27,1
4d,343,1996,57,1735,38,38,31,25,1
-0.02,400,1996,69,57,38,38,81,30,1
Ni,342,2033,61,69,38,38,28,25,1
-0.02,403,2033,1526,61,37,38,80,29,1
0.2,1929,2033,147,1526,37,38,88,27,1
0.032,2076,2033,1735,147,37,38,88,27,1
P,342,2070,59,1735,37,37,14,23,1
-0.1,401,2070,726,59,39,37,63,29,1
0.109,1127,2070,802,726,39,37,88,28,1
0.58,1929,2070,1587,802,39,37,89,27,1
Pb,343,2108,60,1587,39,39,32,26,1
-0.06,403,2108,70,60,37,39,82,29,1
Ru,344,2144,57,70,37,37,30,26,1
-0.05,401,2144,68,57,37,37,83,30,1
Sb,344,2181,59,68,37,37,31,26,1
-0.05,403,2181,70,59,36,37,81,30,1
Si,344,2217,60,70,36,36,29,26,1
-0.02,404,2217,558,60,38,36,82,29,1
52.1,962,2217,148,558,38,36,107,28,1
53.4,1110,2217,165,148,38,36,108,28,1
0.48,1275,2217,339,165,38,36,90,27,1
59,1614,2217,148,339,38,36,108,28,1
62,1762,2217,149,148,38,36,109,27,1
60,1911,2217,169,149,38,36,107,28,1
1.3,2080,2217,1736,169,38,36,86,28,1
Sr,345,2254,57,1736,38,38,32,26,1
-0.002,402,2254,577,57,39,38,100,30,1
0.08,979,2254,149,577,39,38,89,28,1
0.107,1128,2254,503,149,39,38,88,28,1
0.04,1631,2254,149,503,39,38,89,27,1
0.11,1780,2254,149,149,39,38,90,28,1
0.06,1929,2254,148,149,39,38,89,27,1
0.003,2077,2254,1735,148,39,38,88,27,1
Ye,343,2292,61,1735,39,39,33,27,1
-0.06,404,2292,72,61,37,39,82,29,1
Ti,343,2329,60,72,37,37,29,26,1
-0.002,403,2329,576,60,38,37,100,30,1
0.003,979,2329,148,576,38,37,90,27,1
0.004,1127,2329,784,148,38,37,90,27,1
Zn,344,2366,60,784,38,38,33,26,1
-0.02,404,2366,576,60,38,38,82,29,1
0.206,980,2366,149,576,38,38,89,28,1
0.03,1129,2366,147,149,38,38,89,27,1
0.224,1276,2366,355,147,38,38,90,27,1
0.44,1631,2366,149,355,38,38,90,27,1
0.08,1780,2366,150,149,38,38,91,27,1
0.58,1930,2366,148,150,38,38,89,27,1
0.59,2078,2366,1734,148,38,38,89,27,1
Zr,345,2403,58,1734,38,38,32,26,1
-0.008,403,2403,70,58,37,38,99,30,1
Cs,343,2439,61,70,37,37,33,26,1
-0.005,404,2439,576,61,39,37,100,29,1
0.86,980,2439,151,576,39,37,89,27,1
1.2,1131,2439,502,151,39,37,86,27,1
1.2,1633,2439,150,502,39,37,89,29,1
1.8,1783,2439,150,150,39,37,88,28,1
1.6,1933,2439,1590,150,39,37,86,27,1
F,344,2477,60,1590,39,39,14,24,1
-1.3,404,2477,575,60,37,39,99,29,1
6,979,2477,652,575,37,39,90,27,1
6.5,1631,2477,1288,652,37,39,90,27,1
Cl,344,2514,62,1288,37,37,28,25,1
-0.015,406,2514,574,62,39,37,99,29,1
8,980,2514,651,574,39,37,91,28,1
8.6,1631,2514,1287,651,39,37,91,28,1
NO2,345,2552,635,1287,39,39,51,27,1
0.5,980,2552,638,635,37,39,89,28,1
NO3(.040),344,2588,620,638,37,37,160,30,1
11.4,964,2588,651,620,38,37,106,27,1
10.8,1615,2588,1270,651,38,37,106,28,1
SO4(.300),346,2625,616,1270,38,38,157,29,1
17.5,962,2625,650,616,40,38,107,29,1
20,1612,2625,1267,650,40,38,109,28,1
PO4,346,2665,94,1267,40,40,52,25,1
Nominal,954,2371,166,662,160,160,139,31,1
Composition,1120,2371,461,166,66,160,229,36,1
Structure,1581,2371,206,461,66,160,183,30,1
Type,1787,2371,831,206,66,160,83,34,1
"(Ca,S62RE8(S104)602",959,2436,682,831,66,66,411,52,1
Apatite,1641,2436,61,682,685,66,144,36,1
Monazite,1641,2497,683,61,685,685,166,30,1
"(U,Ce,Zr,RE)Oz+x",960,2538,683,683,683,683,327,47,1
Fluorite,1643,2538,685,683,41,683,165,31,1
"(Cs,Rb,Na)A1Si206",960,2579,684,685,41,41,350,52,1
Pollucite,1644,2579,686,684,63,41,184,31,1
"(Ca,Sr,8a)Mo04",961,2641,685,686,63,63,285,39,1
Scheelite,1646,2641,686,685,44,63,183,31,1
"(Fe,C6203",962,2684,682,686,44,44,201,52,1
