"x","y","x+1 dist","x-1 dist","y+1 dist","y-1 dist","width","height","table","confidence(1)","confidence(0)","prediction(table)"
1655.0,158.0,39.0,0.0,1518.0,0.0,25.0,23.0,"0",3.234356103174845E-4,0.9996765643896824,"0"
1694.0,158.0,132.0,39.0,1518.0,0.0,119.0,36.0,"0",3.691060952120665E-5,0.9999630893904788,"0"
1826.0,158.0,107.0,132.0,1518.0,0.0,95.0,29.0,"0",1.3601284151772502E-4,0.9998639871584822,"0"
1933.0,158.0,61.0,107.0,1518.0,0.0,49.0,28.0,"0",1.5314942111113768E-4,0.9998468505788888,"0"
1994.0,158.0,153.0,61.0,1518.0,0.0,141.0,37.0,"0",5.9574412227115625E-5,0.999940425587773,"0"
2147.0,158.0,93.0,153.0,1518.0,0.0,78.0,31.0,"0",2.17354082948819E-4,0.9997826459170512,"0"
2240.0,158.0,2103.0,93.0,1518.0,0.0,49.0,28.0,"0",0.002206374674081058,0.997793625325919,"0"
138.0,192.0,176.0,2103.0,1518.0,1518.0,165.0,30.0,"0",0.17056608222377628,0.8294339177762238,"0"
314.0,192.0,187.0,176.0,1936.0,1518.0,175.0,30.0,"0",0.00959175870862388,0.9904082412913762,"0"
501.0,192.0,129.0,187.0,1936.0,1518.0,122.0,30.0,"0",0.0060360900361993266,0.9939639099638007,"0"
630.0,192.0,1025.0,129.0,1936.0,1518.0,61.0,30.0,"0",0.058451332159822386,0.9415486678401775,"0"
1655.0,192.0,102.0,1025.0,1936.0,1518.0,87.0,32.0,"0",0.6317807296955755,0.3682192703044245,"1"
1757.0,192.0,171.0,102.0,1936.0,1518.0,158.0,37.0,"0",0.02197559532342595,0.978024404676574,"0"
1928.0,192.0,38.0,171.0,1936.0,1518.0,29.0,29.0,"0",0.039197808339467774,0.9608021916605323,"0"
1966.0,192.0,42.0,38.0,1936.0,1518.0,30.0,28.0,"0",0.026782599507026366,0.9732174004929736,"0"
2008.0,192.0,203.0,42.0,1936.0,1518.0,53.0,26.0,"0",0.17440590447805565,0.8255940955219444,"0"
2211.0,192.0,39.0,203.0,1936.0,1518.0,27.0,26.0,"0",0.10581615764877123,0.8941838423512288,"0"
2250.0,192.0,179.0,39.0,1936.0,1518.0,66.0,28.0,"0",0.2363977537333621,0.7636022462666379,"0"
2073.0,214.0,955.0,179.0,1936.0,1936.0,124.0,20.0,"0",0.6936040921478447,0.30639590785215526,"1"
1119.0,244.0,67.0,955.0,955.0,955.0,59.0,22.0,"1",0.2377116777563683,0.7622883222436317,"0"
1186.0,244.0,84.0,67.0,981.0,955.0,77.0,23.0,"1",0.024095875822638342,0.9759041241773616,"0"
1270.0,244.0,127.0,84.0,981.0,955.0,121.0,23.0,"1",0.03471692707563378,0.9652830729243662,"0"
1397.0,244.0,258.0,127.0,981.0,955.0,30.0,27.0,"1",0.23136652840513702,0.768633471594863,"0"
1655.0,244.0,74.0,258.0,981.0,955.0,60.0,32.0,"0",0.1882316343813722,0.8117683656186279,"0"
1729.0,244.0,64.0,74.0,981.0,955.0,52.0,27.0,"0",0.07378730979433433,0.9262126902056658,"0"
1793.0,244.0,148.0,64.0,981.0,955.0,135.0,28.0,"0",0.08609105130710153,0.9139089486928985,"0"
1941.0,244.0,38.0,148.0,981.0,955.0,25.0,23.0,"0",0.1662925829866847,0.8337074170133152,"0"
1979.0,244.0,86.0,38.0,981.0,955.0,74.0,26.0,"0",0.06429325101767805,0.935706748982322,"0"
2065.0,244.0,56.0,86.0,981.0,955.0,43.0,27.0,"0",0.08210865657046688,0.9178913434295332,"0"
2121.0,244.0,38.0,56.0,981.0,955.0,25.0,26.0,"0",0.06336269048972112,0.9366373095102788,"0"
2159.0,244.0,24.0,38.0,981.0,955.0,14.0,19.0,"0",0.06000432478434995,0.93999567521565,"0"
2183.0,244.0,106.0,24.0,981.0,955.0,95.0,34.0,"0",0.04049122954761269,0.9595087704523874,"0"
2289.0,244.0,2150.0,106.0,981.0,955.0,29.0,29.0,"0",0.08485311274216782,0.9151468872578321,"0"
140.0,289.0,108.0,2150.0,981.0,981.0,98.0,29.0,"1",0.08041007407300343,0.9195899259269966,"0"
248.0,289.0,34.0,108.0,55.0,981.0,23.0,22.0,"1",0.049141155291272075,0.950858844708728,"0"
282.0,289.0,109.0,34.0,55.0,981.0,99.0,25.0,"1",0.03017560971351186,0.9698243902864881,"0"
391.0,289.0,81.0,109.0,55.0,981.0,78.0,28.0,"1",0.048261133707276756,0.9517388662927232,"0"
472.0,289.0,52.0,81.0,55.0,981.0,45.0,27.0,"1",0.055356782265309164,0.9446432177346908,"0"
524.0,289.0,73.0,52.0,55.0,981.0,64.0,24.0,"1",0.06467982153072817,0.9353201784692718,"0"
597.0,289.0,416.0,73.0,55.0,981.0,119.0,29.0,"1",0.3086266041777761,0.6913733958222239,"0"
1013.0,289.0,232.0,416.0,55.0,981.0,71.0,31.0,"1",0.5907705023566611,0.40922949764333877,"1"
1245.0,289.0,225.0,232.0,55.0,981.0,71.0,31.0,"1",0.5817006182205489,0.41829938177945114,"1"
1470.0,289.0,185.0,225.0,55.0,981.0,67.0,30.0,"1",0.5855781016642102,0.4144218983357898,"1"
1655.0,289.0,208.0,185.0,55.0,981.0,197.0,34.0,"0",0.1916327570855309,0.808367242914469,"0"
1863.0,289.0,142.0,208.0,55.0,981.0,129.0,28.0,"0",0.21667164213845147,0.7833283578615485,"0"
2005.0,289.0,85.0,142.0,55.0,981.0,73.0,36.0,"0",0.11144573887081602,0.888554261129184,"0"
2090.0,289.0,190.0,85.0,55.0,981.0,179.0,37.0,"0",0.08182730437895493,0.9181726956210451,"0"
2280.0,289.0,2143.0,190.0,55.0,981.0,25.0,26.0,"0",0.10775829146112095,0.8922417085388791,"0"
