inst#,actual,predicted,error,prediction
1,1:1,1:1,,0.63
2,1:1,1:1,,0.607
3,1:1,1:1,,0.844
4,1:1,1:1,,0.842
5,1:1,1:1,,0.844
6,1:1,1:1,,0.844
7,1:1,1:1,,0.825
8,1:1,1:1,,0.816
9,1:1,1:1,,0.845
10,1:1,1:1,,0.821
11,1:1,1:1,,0.813
12,1:1,1:1,,0.746
13,1:1,1:1,,0.742
14,1:1,1:1,,0.577
15,1:1,1:1,,0.844
16,1:1,1:1,,0.769
17,1:1,1:1,,0.757
18,1:1,1:1,,0.844
19,1:1,1:1,,0.784
20,1:1,1:1,,0.798
21,1:1,1:1,,0.701
22,1:1,1:1,,0.571
23,1:1,2:0,+,0.879
24,1:1,1:1,,0.595
25,1:1,1:1,,0.577
26,1:1,1:1,,0.844
27,1:1,1:1,,0.753
28,1:1,1:1,,0.733
29,1:1,1:1,,0.844
30,1:1,1:1,,0.793
31,1:1,1:1,,0.713
32,1:1,1:1,,0.576
33,1:1,1:1,,0.578
34,1:1,1:1,,0.844
35,1:1,1:1,,0.733
36,1:1,1:1,,0.844
37,1:1,1:1,,0.791
38,1:1,1:1,,0.725
39,1:1,1:1,,0.596
40,1:1,1:1,,0.579
41,1:1,1:1,,0.844
42,1:1,1:1,,0.745
43,1:1,1:1,,0.743
44,1:1,1:1,,0.844
45,1:1,1:1,,0.786
46,1:1,1:1,,0.797
47,1:1,1:1,,0.698
48,1:1,1:1,,0.545
49,1:1,2:0,+,0.879
50,1:1,2:0,+,0.613
51,1:1,2:0,+,0.879
52,1:1,2:0,+,0.611
53,1:1,2:0,+,0.879
54,1:1,2:0,+,0.605
55,1:1,1:1,,0.576
56,1:1,1:1,,0.844
57,1:1,1:1,,0.712
58,1:1,1:1,,0.844
59,1:1,1:1,,0.778
60,1:1,1:1,,0.693
61,1:1,1:1,,0.54
62,1:1,1:1,,0.574
63,1:1,1:1,,0.844
64,1:1,1:1,,0.708
65,1:1,1:1,,0.675
66,1:1,1:1,,0.57
67,1:1,2:0,+,0.88
68,1:1,2:0,+,0.641
69,1:1,2:0,+,0.881
70,1:1,2:0,+,0.645
71,1:1,1:1,,0.571
72,1:1,1:1,,0.844
73,1:1,1:1,,0.712
74,1:1,1:1,,0.712
75,1:1,1:1,,0.844
76,1:1,1:1,,0.746
77,1:1,1:1,,0.755
78,1:1,1:1,,0.63
79,1:1,2:0,+,0.511
80,1:1,1:1,,0.57
81,1:1,1:1,,0.844
82,1:1,1:1,,0.694
83,1:1,1:1,,0.838
84,1:1,1:1,,0.57
85,1:1,1:1,,0.844
86,1:1,1:1,,0.672
87,1:1,1:1,,0.844
88,1:1,1:1,,0.742
89,1:1,1:1,,0.611
90,1:1,2:0,+,0.501
91,1:1,2:0,+,0.882
92,1:1,2:0,+,0.506
93,1:1,1:1,,0.564
94,1:1,1:1,,0.844
95,1:1,1:1,,0.694
96,1:1,1:1,,0.844
97,1:1,1:1,,0.729
98,1:1,1:1,,0.626
99,1:1,2:0,+,0.568
100,1:1,1:1,,0.562
101,1:1,1:1,,0.844
102,1:1,1:1,,0.69
103,1:1,1:1,,0.651
104,1:1,1:1,,0.843
105,1:1,1:1,,0.506
106,1:1,1:1,,0.527
107,1:1,1:1,,0.845
108,1:1,1:1,,0.844
109,1:1,1:1,,0.534
110,1:1,2:0,+,0.554
111,1:1,1:1,,0.559
112,1:1,1:1,,0.844
113,1:1,1:1,,0.668
114,1:1,1:1,,0.844
115,1:1,1:1,,0.716
116,1:1,1:1,,0.581
117,1:1,1:1,,0.524
118,1:1,1:1,,0.56
119,1:1,1:1,,0.827
120,1:1,1:1,,0.676
121,1:1,1:1,,0.72
122,1:1,1:1,,0.832
123,1:1,1:1,,0.714
124,1:1,1:1,,0.756
125,1:1,1:1,,0.606
126,1:1,2:0,+,0.542
127,1:1,2:0,+,0.884
128,1:1,2:0,+,0.528
129,1:1,2:0,+,0.729
130,1:1,1:1,,0.844
131,1:1,2:0,+,0.545
132,1:1,1:1,,0.826
133,1:1,1:1,,0.528
134,1:1,1:1,,0.845
135,1:1,1:1,,0.844
136,1:1,1:1,,0.5
137,1:1,2:0,+,0.885
138,1:1,2:0,+,0.706
139,1:1,2:0,+,0.887
140,1:1,2:0,+,0.683
141,1:1,2:0,+,0.888
142,1:1,2:0,+,0.606
143,1:1,1:1,,0.52
144,1:1,1:1,,0.825
145,1:1,1:1,,0.635
146,1:1,1:1,,0.685
147,1:1,1:1,,0.82
148,1:1,1:1,,0.662
149,1:1,1:1,,0.686
150,1:1,2:0,+,0.543
151,1:1,2:0,+,0.583
152,1:1,2:0,+,0.516
153,1:1,1:1,,0.844
154,1:1,1:1,,0.619
155,1:1,1:1,,0.844
156,1:1,1:1,,0.672
157,1:1,1:1,,0.701
158,1:1,2:0,+,0.652
159,1:1,2:0,+,0.536
160,1:1,2:0,+,0.889
161,1:1,2:0,+,0.622
162,1:1,2:0,+,0.531
163,1:1,1:1,,0.844
164,1:1,1:1,,0.602
165,1:1,1:1,,0.518
166,1:1,2:0,+,0.521
167,1:1,1:1,,0.844
168,1:1,1:1,,0.636
169,1:1,1:1,,0.63
170,1:1,1:1,,0.844
171,1:1,1:1,,0.675
172,1:1,1:1,,0.687
173,1:1,2:0,+,0.699
174,1:1,2:0,+,0.578
175,1:1,2:0,+,0.898
176,1:1,2:0,+,0.72
177,1:1,2:0,+,0.555
178,1:1,1:1,,0.844
179,1:1,1:1,,0.615
180,1:1,1:1,,0.844
181,1:1,1:1,,0.65
182,1:1,2:0,+,0.668
183,1:1,1:1,,0.824
184,1:1,2:0,+,0.572
185,1:1,1:1,,0.845
186,1:1,1:1,,0.845
187,1:1,1:1,,0.658
188,1:1,2:0,+,0.579
189,1:1,1:1,,0.845
190,1:1,1:1,,0.845
191,1:1,1:1,,0.845
192,1:1,1:1,,0.845
193,1:1,1:1,,0.845
194,1:1,1:1,,0.845
195,1:1,1:1,,0.845
196,1:1,1:1,,0.845
197,1:1,1:1,,0.845
198,1:1,1:1,,0.845
199,1:1,1:1,,0.804
200,1:1,1:1,,0.564
201,1:1,1:1,,0.551
202,1:1,2:0,+,0.519
203,1:1,1:1,,0.628
204,1:1,1:1,,0.845
205,1:1,2:0,+,0.654
206,1:1,1:1,,0.513
207,1:1,1:1,,0.842
208,1:1,1:1,,0.845
209,1:1,1:1,,0.845
210,1:1,1:1,,0.845
211,1:1,1:1,,0.845
212,1:1,1:1,,0.845
213,1:1,1:1,,0.845
214,1:1,1:1,,0.845
215,1:1,1:1,,0.845
216,1:1,1:1,,0.845
217,1:1,1:1,,0.845
218,1:1,1:1,,0.845
219,1:1,1:1,,0.845
220,1:1,1:1,,0.502
221,1:1,2:0,+,0.738
222,1:1,1:1,,0.792
223,1:1,2:0,+,0.597
224,1:1,1:1,,0.775
225,1:1,1:1,,0.825
226,1:1,1:1,,0.768
227,1:1,2:0,+,0.511
228,1:1,2:0,+,0.629
229,1:1,2:0,+,0.582
230,1:1,2:0,+,0.643
231,1:1,2:0,+,0.765
232,1:1,2:0,+,0.779
233,1:1,2:0,+,0.676
234,1:1,2:0,+,0.507
235,1:1,2:0,+,0.536
236,1:1,1:1,,0.504
237,1:1,2:0,+,0.538
238,1:1,1:1,,0.776
239,1:1,2:0,+,0.517
240,1:1,1:1,,0.551
241,1:1,1:1,,0.654
242,1:1,2:0,+,0.569
243,1:1,1:1,,0.643
244,1:1,1:1,,0.697
245,1:1,1:1,,0.734
246,1:1,2:0,+,0.557
247,1:1,1:1,,0.816
248,1:1,1:1,,0.619
249,1:1,1:1,,0.585
250,1:1,2:0,+,0.507
251,1:1,1:1,,0.557
252,1:1,1:1,,0.694
253,1:1,1:1,,0.795
254,1:1,1:1,,0.528
255,1:1,2:0,+,0.742
256,1:1,1:1,,0.636
257,1:1,2:0,+,0.669
258,1:1,2:0,+,0.875
259,1:1,2:0,+,0.732
260,1:1,2:0,+,0.756
261,1:1,2:0,+,0.593
262,1:1,2:0,+,0.741
263,1:1,1:1,,0.542
264,1:1,2:0,+,0.796
265,1:1,2:0,+,0.772
266,1:1,2:0,+,0.612
267,1:1,1:1,,0.5
268,1:1,1:1,,0.538
269,1:1,2:0,+,0.786
270,1:1,2:0,+,0.754
271,1:1,1:1,,0.541
272,1:1,2:0,+,0.592
273,1:1,2:0,+,0.574
274,1:1,2:0,+,0.501
275,1:1,2:0,+,0.609
276,1:1,1:1,,0.652
277,1:1,1:1,,0.717
278,1:1,1:1,,0.671
279,1:1,1:1,,0.539
280,1:1,2:0,+,0.655
281,1:1,2:0,+,0.529
282,1:1,1:1,,0.834
283,1:1,1:1,,0.596
284,1:1,1:1,,0.657
285,1:1,2:0,+,0.581
286,1:1,1:1,,0.589
287,1:1,1:1,,0.844
288,1:1,1:1,,0.585
289,1:1,1:1,,0.501
290,1:1,1:1,,0.578
291,1:1,1:1,,0.698
292,1:1,1:1,,0.619
293,1:1,1:1,,0.508
294,1:1,1:1,,0.696
295,1:1,2:0,+,0.543
296,1:1,1:1,,0.571
297,1:1,1:1,,0.517
298,1:1,1:1,,0.645
299,1:1,1:1,,0.831
300,1:1,1:1,,0.64
301,1:1,2:0,+,0.535
302,1:1,1:1,,0.571
303,1:1,1:1,,0.559
304,1:1,2:0,+,0.565
305,1:1,2:0,+,0.631
306,1:1,1:1,,0.644
307,1:1,1:1,,0.688
308,1:1,1:1,,0.502
309,1:1,1:1,,0.579
310,1:1,1:1,,0.713
311,1:1,1:1,,0.813
312,1:1,1:1,,0.582
313,1:1,1:1,,0.664
314,1:1,2:0,+,0.561
315,1:1,1:1,,0.52
316,1:1,1:1,,0.598
317,1:1,1:1,,0.587
318,1:1,1:1,,0.834
319,1:1,2:0,+,0.607
320,1:1,1:1,,0.555
321,1:1,2:0,+,0.511
322,1:1,1:1,,0.567
323,1:1,1:1,,0.637
324,1:1,1:1,,0.628
325,1:1,1:1,,0.661
326,1:1,2:0,+,0.636
327,1:1,1:1,,0.752
328,1:1,1:1,,0.574
329,1:1,1:1,,0.572
330,1:1,1:1,,0.519
331,1:1,2:0,+,0.73
332,1:1,1:1,,0.635
333,1:1,1:1,,0.636
334,1:1,2:0,+,0.621
335,1:1,1:1,,0.559
336,1:1,1:1,,0.653
337,1:1,1:1,,0.821
338,1:1,1:1,,0.542
339,1:1,1:1,,0.583
340,1:1,2:0,+,0.789
341,1:1,2:0,+,0.718
342,1:1,2:0,+,0.611
343,1:1,1:1,,0.807
344,1:1,1:1,,0.54
345,1:1,2:0,+,0.887
346,1:1,2:0,+,0.69
347,1:1,2:0,+,0.771
348,1:1,2:0,+,0.542
349,1:1,2:0,+,0.522
350,1:1,2:0,+,0.882
351,1:1,2:0,+,0.688
352,1:1,2:0,+,0.614
353,1:1,2:0,+,0.53
354,1:1,2:0,+,0.686
355,1:1,1:1,,0.724
356,1:1,1:1,,0.836
357,1:1,2:0,+,0.698
358,1:1,1:1,,0.604
359,1:1,1:1,,0.745
360,1:1,1:1,,0.844
361,1:1,2:0,+,0.518
362,1:1,2:0,+,0.674
363,1:1,2:0,+,0.633
364,1:1,1:1,,0.55
365,1:1,1:1,,0.7
366,1:1,1:1,,0.674
367,1:1,2:0,+,0.748
368,1:1,1:1,,0.737
369,1:1,1:1,,0.784
370,1:1,1:1,,0.552
371,1:1,1:1,,0.749
372,1:1,2:0,+,0.603
373,1:1,2:0,+,0.769
374,1:1,1:1,,0.538
375,1:1,2:0,+,0.506
376,1:1,2:0,+,0.505
377,1:1,1:1,,0.647
378,1:1,2:0,+,0.605
379,1:1,2:0,+,0.671
380,1:1,2:0,+,0.537
381,1:1,2:0,+,0.697
382,1:1,2:0,+,0.688
383,1:1,2:0,+,0.681
384,1:1,1:1,,0.572
385,1:1,1:1,,0.621
386,1:1,2:0,+,0.663
387,1:1,2:0,+,0.713
388,1:1,1:1,,0.843
389,1:1,1:1,,0.572
390,1:1,2:0,+,0.68
391,1:1,2:0,+,0.748
392,1:1,1:1,,0.7
393,1:1,1:1,,0.744
394,1:1,2:0,+,0.704
395,1:1,1:1,,0.814
396,1:1,2:0,+,0.72
397,1:1,1:1,,0.571
398,1:1,2:0,+,0.675
399,1:1,1:1,,0.708
400,1:1,2:0,+,0.654
401,1:1,2:0,+,0.74
