word,x,y,x+1 dist,x-1 dist,y+1 dist,y-1 dist,width,height,table
6-6,305,380,173.0,0,182.0,0,69,36,0
Summary,478,380,200.0,173.0,182.0,0,171,40,0
of,678,380,76.0,200.0,182.0,0,49,32,1
Design,754,380,175.0,76.0,182.0,0,146,40,0
Requirements,929,380,325.0,175.0,182.0,0,293,40,0
for,1254,380,97.0,325.0,182.0,0,67,33,0
Design,1351,380,173.0,97.0,182.0,0,144,40,0
Options,1524,380,203.0,173.0,182.0,0,171,40,0
in,1727,380,1248.0,203.0,182.0,0,42,31,0
the,480,427,98.0,1248.0,182.0,182.0,70,31,0
Underground,578,427,301.0,98.0,625.0,182.0,272,41,0
Facility,879,427,276.0,301.0,625.0,182.0,195,40,0
Sumps,1155,427,146.0,276.0,625.0,182.0,118,39,0
and,1301,427,99.0,146.0,625.0,182.0,70,31,0
Channels,1400,427,697.0,99.0,625.0,182.0,196,32,0
6-26,2097,427,994.0,697.0,625.0,182.0,94,37,0
-,1104,450,803.0,994.0,625.0,625.0,19,6,0
6-7,305,529,174.0,803.0,803.0,803.0,70,40,0
Design,479,529,175.0,174.0,181.0,803.0,146,40,0
Chart,654,529,151.0,175.0,181.0,803.0,121,31,0
for,805,529,99.0,151.0,181.0,803.0,69,32,0
Flow,904,529,123.0,99.0,181.0,803.0,96,32,0
Through,1027,529,200.0,123.0,181.0,803.0,172,40,0
an,1227,529,78.0,200.0,181.0,803.0,46,24,1
"Inclined,",1305,529,245.0,78.0,181.0,803.0,210,39,0
Backfilled,1550,529,1073.0,245.0,181.0,803.0,244,32,0
Drainage,479,578,225.0,1073.0,181.0,181.0,196,40,0
Channel,704,578,1393.0,225.0,202.0,181.0,170,32,0
6-28,2097,578,1795.0,1393.0,202.0,181.0,96,36,0
6-8,305,679,172.0,1795.0,202.0,202.0,70,37,0
Summary,477,679,201.0,172.0,181.0,202.0,173,41,0
of,678,679,76.0,201.0,181.0,202.0,49,32,0
Design,754,679,175.0,76.0,181.0,202.0,145,40,0
Requirements,929,679,324.0,175.0,181.0,202.0,293,40,0
for,1253,679,98.0,324.0,181.0,202.0,68,33,0
Design,1351,679,173.0,98.0,181.0,202.0,144,40,0
Options,1524,679,203.0,173.0,181.0,202.0,171,40,0
in,1727,679,72.0,203.0,181.0,202.0,40,31,0
the,1799,679,1324.0,72.0,181.0,202.0,70,30,0
Underground,477,733,302.0,1324.0,181.0,181.0,272,39,0
Facility,779,733,225.0,302.0,47.0,181.0,194,40,0
-,1004,733,49.0,225.0,47.0,181.0,19,5,0
Dams,1053,733,123.0,49.0,47.0,181.0,94,31,0
and,1176,733,101.0,123.0,47.0,181.0,71,31,0
Bulkheads,1277,733,249.0,101.0,47.0,181.0,217,31,0
-,1526,733,48.0,249.0,47.0,181.0,18,5,0
Vertical,1574,733,1096.0,48.0,47.0,181.0,192,31,0
Emplacement,479,779,1618.0,1096.0,47.0,47.0,270,39,0
6-29,2097,779,1796.0,1618.0,203.0,47.0,94,39,0
6-9,304,880,175.0,1796.0,203.0,203.0,70,41,0
Proposed,479,880,225.0,175.0,232.0,203.0,195,39,0
Locations,704,880,251.0,225.0,232.0,203.0,219,32,0
for,955,880,97.0,251.0,232.0,203.0,68,33,0
Seals,1052,880,153.0,97.0,232.0,203.0,120,31,0
in,1205,880,73.0,153.0,232.0,203.0,42,31,0
the,1278,880,96.0,73.0,232.0,203.0,68,31,0
Underground,1374,880,300.0,96.0,232.0,203.0,271,40,0
Facility,1674,880,1146.0,300.0,232.0,203.0,193,41,0
Vertical,530,929,224.0,1146.0,232.0,232.0,193,33,0
Emplacement,754,929,1342.0,224.0,56.0,232.0,270,39,0
6-32,2096,929,1617.0,1342.0,56.0,232.0,95,40,0
