@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TABLE','7.12.','Compositions','and','Major','Phases','of','Supercalcine-Ceramics,','wt%','(adapted','from','McCarthy','et','al.','1979)','Oxide','SPC-2','SPC-2+U','SPC-4','SPC-4+U','Waste','U','0','16.5','16.8','3','8','Ce0','16.3','13.7','6.8','5.6','2','RE','(a)','19.0','15.9','30.2','25.2','Zr0','7.6','6.4','7.8','6.5','Mo0','8.0','6.7','8.2','P','4.2','3.5','4.3','5','BaO','2.4','2.0','2.5','2.1','Sr0','1.6','1.4','1.7','Cs','4.5','3.7','4.6','3.8','Rb','0.5','0.4','0.6','Na','0.2','0.1','Ru0','Fe','4.7','3.9','4.8','4.0','Cr','N10','CdO','A920','Additives','CaO','4.9','4.1','1.2','1.0','2.6','Al2','4.4','SIO2','19.1','17.6','14.7','loading','70.5%','75.3%','73.2%','77.7%','La,','Pr,','Nd,','Sm,','Eu,','Gd,','Y','(plus','as','a','stand-in','for','Am','+','Cm).','Supercalcine','Crystalline','Nominal','Composition','Structure','Type','(Ca,S62RE8(S104)602','Apatite','Monazite','(U,Ce,Zr,RE)Oz+x','Fluorite','(Cs,Rb,Na)A1Si206','Pollucite','(Ca,Sr,8a)Mo04','Scheelite','(Fe,C6203','Corundum','(Ni,Fe)(Fe,Cr)204','Spinel','Rutile','7.29'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
534.0,325.0,151.0,0.0,327.0,0.0,118.0,37.0,'TABLE','0'
685.0,325.0,171.0,151.0,327.0,0.0,112.0,35.0,'7.12.','0'
856.0,325.0,328.0,171.0,327.0,0.0,294.0,45.0,'Compositions','0'
1184.0,325.0,95.0,328.0,327.0,0.0,68.0,35.0,'and','0'
1279.0,325.0,153.0,95.0,327.0,0.0,123.0,42.0,'Major','0'
1432.0,325.0,176.0,153.0,327.0,0.0,144.0,35.0,'Phases','0'
1608.0,325.0,72.0,176.0,327.0,0.0,43.0,36.0,'of','0'
1680.0,325.0,825.0,72.0,327.0,0.0,542.0,46.0,'Supercalcine-Ceramics,','0'
857.0,371.0,105.0,825.0,327.0,327.0,71.0,37.0,'wt%','0'
962.0,371.0,219.0,105.0,141.0,327.0,191.0,45.0,'(adapted','0'
1181.0,371.0,124.0,219.0,141.0,327.0,99.0,35.0,'from','0'
1305.0,371.0,229.0,124.0,141.0,327.0,200.0,44.0,'McCarthy','0'
1534.0,371.0,76.0,229.0,141.0,327.0,42.0,32.0,'et','0'
1610.0,371.0,98.0,76.0,141.0,327.0,60.0,37.0,'al.','0'
1708.0,371.0,807.0,98.0,141.0,327.0,115.0,45.0,'1979)','0'
912.0,500.0,275.0,807.0,141.0,141.0,101.0,29.0,'Oxide','0'
1187.0,500.0,189.0,275.0,107.0,141.0,100.0,31.0,'SPC-2','0'
1376.0,500.0,228.0,189.0,107.0,141.0,141.0,31.0,'SPC-2+U','0'
1604.0,500.0,188.0,228.0,107.0,141.0,99.0,30.0,'SPC-4','0'
1792.0,500.0,965.0,188.0,107.0,141.0,143.0,30.0,'SPC-4+U','0'
