@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Participant(s)','Having','itlimpter','Appendix','Title','Primary','Responsibility','or','7.','PROTOCOL,','A','Numerical','Simulator','for','Glass','Lawrence','Livermore','National','Dissolution','Laboratory','Reference','Materials','Pacific','Northwest','-','B','Use','of','PROTOCOL','C','Leaching','Mechanisms','in','Polyphase','Rockwell','Science','Center','and','Ceramic','High-Level','Nuclear','Waste','Pennsylvania','State','University','Forms','Each','chapter','is','headed','by','an','executive','summary,','has','a','separate','table','con-','tents','list','references.','An','effort','been','made','to','minimize','repetition','between','chapters,','but','some','unavoidable,','given','the','multiple','authors','desire','have','each','stand','alone','as','much','possible.','The','included','many-cur-','rent','references','other','work','related','topics','their','thus','we','believe','accurately','incorporates','state-of-the-art','its','topic.','viii'}
@ATTRIBUTE 'table' {'1','0'}

@DATA
1690.0,356.0,282.0,0.0,991.0,0.0,264.0,47.0,'Participant(s)','1'
1972.0,356.0,1273.0,282.0,991.0,0.0,144.0,47.0,'Having','1'
700.0,395.0,270.0,1273.0,991.0,991.0,198.0,59.0,'itlimpter','1'
970.0,395.0,213.0,270.0,213.0,991.0,201.0,47.0,'Appendix','1'
1183.0,395.0,490.0,213.0,213.0,991.0,91.0,38.0,'Title','1'
1673.0,395.0,171.0,490.0,213.0,991.0,156.0,47.0,'Primary','1'
1844.0,395.0,934.0,171.0,213.0,991.0,287.0,50.0,'Responsibility','1'
911.0,420.0,442.0,934.0,213.0,213.0,44.0,25.0,'or','1'
484.0,534.0,81.0,442.0,442.0,442.0,29.0,33.0,'7.','1'
565.0,534.0,284.0,81.0,107.0,442.0,269.0,40.0,'PROTOCOL,','1'
849.0,534.0,48.0,284.0,107.0,442.0,30.0,33.0,'A','1'
897.0,534.0,226.0,48.0,107.0,442.0,208.0,37.0,'Numerical','1'
1123.0,534.0,211.0,226.0,107.0,442.0,196.0,38.0,'Simulator','1'
1334.0,534.0,74.0,211.0,107.0,442.0,59.0,37.0,'for','1'
1408.0,534.0,180.0,74.0,107.0,442.0,105.0,38.0,'Glass','1'
1588.0,534.0,210.0,180.0,107.0,442.0,192.0,37.0,'Lawrence','1'
1798.0,534.0,225.0,210.0,107.0,442.0,207.0,35.0,'Livermore','1'
2023.0,534.0,1449.0,225.0,107.0,442.0,170.0,37.0,'National','1'
576.0,588.0,1011.0,1449.0,107.0,107.0,231.0,37.0,'Dissolution','1'
1587.0,588.0,1108.0,1011.0,156.0,107.0,218.0,49.0,'Laboratory','1'
487.0,716.0,219.0,1108.0,156.0,156.0,203.0,47.0,'Appendix','1'
706.0,716.0,79.0,219.0,266.0,156.0,30.0,32.0,'A','1'
785.0,716.0,225.0,79.0,266.0,156.0,208.0,37.0,'Reference','1'
1010.0,716.0,580.0,225.0,266.0,156.0,186.0,37.0,'Materials','1'
1590.0,716.0,146.0,580.0,266.0,156.0,130.0,36.0,'Pacific','1'
1736.0,716.0,228.0,146.0,266.0,156.0,212.0,37.0,'Northwest','1'
1964.0,716.0,1213.0,228.0,266.0,156.0,221.0,48.0,'Laboratory','1'
752.0,738.0,269.0,1213.0,266.0,266.0,14.0,7.0,'-','1'
489.0,793.0,219.0,269.0,269.0,269.0,201.0,48.0,'Appendix','1'
708.0,793.0,73.0,219.0,260.0,269.0,23.0,34.0,'B','1'
781.0,793.0,87.0,73.0,260.0,269.0,72.0,34.0,'Use','1'
868.0,793.0,58.0,87.0,260.0,269.0,42.0,36.0,'of','1'
926.0,793.0,664.0,58.0,260.0,269.0,251.0,36.0,'PROTOCOL','1'
1590.0,793.0,211.0,664.0,260.0,269.0,193.0,34.0,'Lawrence','1'
1801.0,793.0,224.0,211.0,260.0,269.0,206.0,36.0,'Livermore','1'
2025.0,793.0,1278.0,224.0,260.0,269.0,171.0,36.0,'National','1'
748.0,815.0,844.0,1278.0,260.0,260.0,13.0,6.0,'-','1'
