@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TABLE','C.6.','Products','Formed','in','Phase','Specific','Dissolution','of','Polyphase','Ceramic','Forms','at','90C','Reacting','Water','Product','Nominal','Stoichiometry','Nepheline','Deionized','Gibbs','ite','Al(OH)3','_','Calcium','hydroxide','Ca(OH)2','Silicate','Paragonite-type','(Na,Cs,K)Al2(A1Si3010)(OH)2','Hauyne','sulfate','Ca(S0)4','Ulvo-Spinel','Hoegbomite','Fe0.78M','90.71','Ti0.26A1','3.46510.04(Q,0H)3','Solution','Mg','brine','oxychloride','Mg2(OH)3(C1).4H20','2.5H20','Corundum','Boehmite','A10(OH)','nepheline-glass','phase','and','the','observed','prod-','data','SEM','observations','indicate','that','only','ucts','conform','to','expected','silica-alumina','aque-','nepheline','showed','any','significant','ous','reaction','behavior,','with','titanate','waste','form','this','was','a','zirconate','phases','showing','little','reaction.','maximum','300C','experiments.','At','400C','growth','product','is','faster','than','Samples','Rockwell','RSC-S29','ceramic','dissolution','process','depleting','solu-','forms','were','sealed','gold','capsules','tion','ions.','The','small','amount','U','various','water','compositions','(deionized,','con-','would','be','come','from','limited','nate,','NBT-6a','Brine)','heated','200,','300,','secondary','actinide','for','7','days','(White','1982;','Freeborn','perovskite.','White','1984).','products','solution','concentrations','determined.','connate','general','results','indicated','hydrother-','(Langmuir','1978)','200C','identified','as','mal','conditions','accelerated','analcime','calcite','plus','minor','micaceous','trace','hauyne','or','clay','phase.','caused','some','corrosion','perovskite','more','abundant,','crys-','None','studies','tals','growing','larger','being','on','primary','hosts','present.','no','zirconolite,','magnetoplumbite,','longer','A','third','phase,','present','murataite.','Of','radionuclide','simulants,','300C,','not','identified,','but','contained','Ca,','Cs,','Sr,','La,','Ce,','U,','Th,','Ti,','Fe,','presumable','Na,','Al.','Cs','found','measurable','replaced','by','sodalite','quantities','solution.','an','Fe-rich','magnetite','day','tests','are','maghemite,','also','listed','Tables','C.7,','C.8,','C.9.','Note','blank','values','elements','have','In','high-Mg-content','bittern','been','subtracted.','1982)','most','reactive.','smectite','Reaction','observable','formed','which','XRD','SEM/EDXS.','re-','higher','Si,','probably','chlorite.','sults','summarized','Table','C.10.','chlorite','type','still','deionized','crystals','maghemite','wairakite-type','again','appeared.','containing','Ca','clay-like','material.','rare','earth','(La','Cc)','present,','tallization','reactions','enhanced','well-','indicating','analcime,','observed.','addition','there','habit','composed','Al,','general,','Si.','EDXS','analysis','indicates','highly','stable','under','hydrothermal','anorthite','margarite','type.','conditions.','pri-','marily','plagioclase','feldspar,','decom-','contribution','position','There','Al','quickly','very','crystallites','possi-','saturates','aluminosilicates','precipi-','ble','sphene','CaT1Si05.','tated','different','minerals.','C.18'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
499.0,313.0,120.0,0.0,41.0,0.0,96.0,30.0,'TABLE','0'
619.0,313.0,119.0,120.0,41.0,0.0,71.0,29.0,'C.6.','0'
738.0,313.0,180.0,119.0,41.0,0.0,151.0,31.0,'Products','0'
918.0,313.0,141.0,180.0,41.0,0.0,114.0,28.0,'Formed','0'
1059.0,313.0,58.0,141.0,41.0,0.0,32.0,27.0,'in','0'
1117.0,313.0,120.0,58.0,41.0,0.0,95.0,29.0,'Phase','0'
1237.0,313.0,179.0,120.0,41.0,0.0,153.0,34.0,'Specific','0'
1416.0,313.0,240.0,179.0,41.0,0.0,214.0,29.0,'Dissolution','0'
1656.0,313.0,60.0,240.0,41.0,0.0,34.0,28.0,'of','0'
1716.0,313.0,197.0,60.0,41.0,0.0,173.0,37.0,'Polyphase','0'
1913.0,313.0,160.0,197.0,41.0,0.0,134.0,29.0,'Ceramic','0'
2073.0,313.0,1574.0,160.0,41.0,0.0,92.0,30.0,'Forms','0'
500.0,353.0,59.0,1574.0,41.0,41.0,33.0,26.0,'at','0'
559.0,353.0,104.0,59.0,84.0,41.0,75.0,30.0,'90C','0'
497.0,436.0,44.0,104.0,84.0,84.0,158.0,32.0,'Reacting','1'
519.0,474.0,277.0,44.0,44.0,44.0,94.0,27.0,'Phase','1'
796.0,474.0,281.0,277.0,100.0,44.0,96.0,28.0,'Water','1'
1077.0,474.0,161.0,281.0,100.0,44.0,132.0,28.0,'Product','1'
1238.0,474.0,258.0,161.0,100.0,44.0,93.0,29.0,'Phase','1'
1496.0,474.0,161.0,258.0,100.0,44.0,129.0,27.0,'Nominal','1'
1657.0,474.0,277.0,161.0,100.0,44.0,251.0,34.0,'Stoichiometry','1'
1934.0,474.0,61.0,277.0,100.0,44.0,35.0,26.0,'of','1'
1995.0,474.0,1540.0,61.0,100.0,44.0,131.0,30.0,'Product','1'
458.0,553.0,297.0,1540.0,100.0,100.0,175.0,35.0,'Nepheline','1'
755.0,553.0,280.0,297.0,205.0,100.0,176.0,30.0,'Deionized','1'
1035.0,553.0,103.0,280.0,205.0,100.0,93.0,29.0,'Gibbs','1'
1138.0,553.0,316.0,103.0,205.0,100.0,53.0,28.0,'ite','1'
1454.0,553.0,794.0,316.0,205.0,100.0,136.0,45.0,'Al(OH)3','1'
661.0,581.0,206.0,794.0,205.0,205.0,17.0,3.0,'_','1'
458.0,614.0,298.0,206.0,206.0,206.0,175.0,36.0,'Nepheline','1'
756.0,614.0,279.0,298.0,60.0,206.0,175.0,30.0,'Deionized','1'
1035.0,614.0,160.0,279.0,60.0,206.0,138.0,29.0,'Calcium','1'
1195.0,614.0,259.0,160.0,60.0,206.0,176.0,35.0,'hydroxide','1'
1454.0,614.0,999.0,259.0,60.0,206.0,136.0,46.0,'Ca(OH)2','1'
457.0,673.0,299.0,999.0,60.0,60.0,175.0,35.0,'Nepheline','1'
756.0,673.0,279.0,299.0,63.0,60.0,156.0,29.0,'Silicate','1'
1035.0,673.0,422.0,279.0,63.0,60.0,296.0,36.0,'Paragonite-type','1'
1457.0,673.0,1001.0,422.0,63.0,60.0,532.0,50.0,'(Na,Cs,K)Al2(A1Si3010)(OH)2','1'
458.0,735.0,297.0,1001.0,63.0,63.0,114.0,34.0,'Hauyne','1'
755.0,735.0,281.0,297.0,61.0,63.0,175.0,29.0,'Deionized','1'
1036.0,735.0,159.0,281.0,61.0,63.0,136.0,29.0,'Calcium','1'
1195.0,735.0,259.0,159.0,61.0,63.0,135.0,28.0,'sulfate','1'
1454.0,735.0,998.0,259.0,61.0,63.0,135.0,45.0,'Ca(S0)4','1'
458.0,796.0,298.0,998.0,61.0,61.0,208.0,36.0,'Ulvo-Spinel','1'
756.0,796.0,279.0,298.0,60.0,61.0,174.0,29.0,'Deionized','1'
1035.0,796.0,418.0,279.0,60.0,61.0,195.0,34.0,'Hoegbomite','1'
1453.0,796.0,143.0,418.0,60.0,61.0,138.0,45.0,'Fe0.78M','1'
1596.0,796.0,97.0,143.0,60.0,61.0,91.0,38.0,'90.71','1'
1693.0,796.0,160.0,97.0,60.0,61.0,151.0,46.0,'Ti0.26A1','1'
1853.0,796.0,1397.0,160.0,60.0,61.0,335.0,47.0,'3.46510.04(Q,0H)3','1'
458.0,856.0,297.0,1397.0,60.0,60.0,154.0,29.0,'Solution','1'
755.0,856.0,63.0,297.0,62.0,60.0,37.0,34.0,'Mg','1'
818.0,856.0,216.0,63.0,62.0,60.0,93.0,26.0,'brine','1'
1034.0,856.0,61.0,216.0,62.0,60.0,38.0,35.0,'Mg','1'
1095.0,856.0,357.0,61.0,62.0,60.0,215.0,35.0,'oxychloride','1'
1452.0,856.0,342.0,357.0,62.0,60.0,337.0,48.0,'Mg2(OH)3(C1).4H20','1'
2052.0,856.0,1598.0,258.0,62.0,60.0,115.0,43.0,'2.5H20','1'
456.0,917.0,299.0,1598.0,62.0,62.0,159.0,28.0,'Corundum','1'
755.0,917.0,279.0,299.0,135.0,62.0,176.0,29.0,'Deionized','1'
1034.0,917.0,419.0,279.0,135.0,62.0,157.0,30.0,'Boehmite','1'
1453.0,917.0,1062.0,419.0,135.0,62.0,134.0,37.0,'A10(OH)','1'
398.0,1038.0,320.0,1062.0,135.0,135.0,290.0,34.0,'nepheline-glass','0'
718.0,1038.0,120.0,320.0,41.0,135.0,93.0,33.0,'phase','0'
838.0,1038.0,79.0,120.0,41.0,135.0,52.0,27.0,'and','0'
917.0,1038.0,79.0,79.0,41.0,135.0,53.0,27.0,'the','0'
996.0,1038.0,181.0,79.0,41.0,135.0,153.0,27.0,'observed','0'
1177.0,1038.0,247.0,181.0,41.0,135.0,92.0,32.0,'prod-','0'
1424.0,1038.0,102.0,247.0,41.0,135.0,75.0,27.0,'data','0'
