@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'FISSION','r;,1,','RELEASE','291','SURFACE','we','calculate','the','rate','at','which','energetic','particles','of','a',',--FISSION-','certain','type','slow','down','and','stop','in','volume','element','e`','PRAGMENT','RANGE','solid.','This','process','provides','source','to','balance.','Similarly,','struck','by','other','high-energy','species','are','lost','from','stationary','class.','KNOCKOUT','Because','ranges','small','compared','dimensions','solid,','all','concentrations','generation','rates','can','be','considered','as','functions','DIRECT','RECOIL','distance','x','solid','surface.','The','production','recoils','i','is','defined','flls','P(x)','=','per','unit','surface','term','used','denote','fission','fragments','or','knock','-ons','any','We','first','compute','balance','equation','on','due','stopping','quantity','chix)','stopped','-ESSION','FRAGMENT)','KNOCK-ON','',FCCM,DAPY','where','q,','analogous','slowing-down','density','neutrons','thermal','energies','treated','reactor','physics','Fig.','15.7','Fission-gas','release','direct','recoil','knockout.','calculations.','To','determine','qi,','consider','spherical','radius','p','surface,','shown','15.8.','that','come','rest','this','atoms','fuel','matrix','do','not','directly','receive','originated','shell','equal','energy','fission.','Table','15.1','summarizes','numbers,','range','sphere.','chord','length','mean','energies,','through','sphere','intersected','parallel','line','importance','knockout','2p','if','particle','passes','center','mechanisms.','calculated','parameters','knock-ons','just','grazes','zero','refer','uranium','CO2','lattice.','Analogous','obtained','elementary','numbers','for','oxygen','knock-ons.','In','both','mechanisms','fission-gas','release,','must','analyze','direct-flight','problem','free','Two','quantities','SPHERICAL','SHELL','OF','RADIUS','transport','near','m','interest:','concentration','profile','particular','fission-','AND','THICKNESS','4P','product','out','concen-','tration','distribution,','removal','products','fragments)','method','similar','applied','reactor,','fast','excluded','neutron','contribute','latter','slowing','source.','fashion','Characteristics','Fission','Fragments','Knock-ons','UO2','*','Number','created','Mean','energy,','Range,','Particle','fragment','keV','1','80,000','100,000','Primary','28','100','220','Higher','order','21,000','0.2','44','15.8','Diagram','determining','*Based','Ref.','7.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
959.0,220.0,164.0,0.0,165.0,0.0,151.0,26.0,'FISSION','0'
1123.0,220.0,91.0,164.0,165.0,0.0,70.0,25.0,'r;,1,','0'
1214.0,220.0,957.0,91.0,165.0,0.0,172.0,27.0,'RELEASE','0'
2171.0,220.0,1352.0,957.0,165.0,0.0,53.0,27.0,'291','0'
823.0,312.0,413.0,1352.0,165.0,165.0,133.0,21.0,'SURFACE','0'
1236.0,312.0,71.0,413.0,534.0,165.0,41.0,18.0,'we','0'
1307.0,312.0,169.0,71.0,534.0,165.0,141.0,27.0,'calculate','0'
1476.0,312.0,79.0,169.0,534.0,165.0,50.0,27.0,'the','0'
1555.0,312.0,88.0,79.0,534.0,165.0,59.0,24.0,'rate','0'
1643.0,312.0,57.0,88.0,534.0,165.0,28.0,25.0,'at','0'
1700.0,312.0,125.0,57.0,534.0,165.0,96.0,28.0,'which','0'
1825.0,312.0,173.0,125.0,534.0,165.0,147.0,34.0,'energetic','0'
1998.0,312.0,158.0,173.0,534.0,165.0,134.0,34.0,'particles','0'
2156.0,312.0,58.0,158.0,534.0,165.0,34.0,27.0,'of','0'
2214.0,312.0,1924.0,58.0,534.0,165.0,14.0,19.0,'a','0'
291.0,346.0,945.0,1924.0,534.0,534.0,172.0,28.0,',--FISSION-','0'
1236.0,346.0,124.0,945.0,29.0,534.0,109.0,26.0,'certain','0'
1360.0,346.0,85.0,124.0,29.0,534.0,71.0,31.0,'type','0'
1445.0,346.0,84.0,85.0,29.0,534.0,71.0,26.0,'slow','0'
1529.0,346.0,104.0,84.0,29.0,534.0,89.0,27.0,'down','0'
1633.0,346.0,70.0,104.0,29.0,534.0,56.0,28.0,'and','0'
1703.0,346.0,84.0,70.0,29.0,534.0,69.0,31.0,'stop','0'
1787.0,346.0,72.0,84.0,29.0,534.0,27.0,26.0,'in','0'
1859.0,346.0,130.0,72.0,29.0,534.0,116.0,27.0,'volume','0'
1989.0,346.0,143.0,130.0,29.0,534.0,129.0,27.0,'element','0'
2132.0,346.0,47.0,143.0,29.0,534.0,34.0,28.0,'of','0'
2179.0,346.0,1910.0,47.0,29.0,534.0,47.0,27.0,'the','0'
270.0,366.0,70.0,1910.0,29.0,29.0,23.0,23.0,'e`','0'
340.0,366.0,1489.0,70.0,81.0,29.0,161.0,20.0,'PRAGMENT','0'
1829.0,366.0,1489.0,1489.0,81.0,29.0,16.0,19.0,'a','0'
341.0,403.0,895.0,1489.0,81.0,81.0,97.0,20.0,'RANGE','0'
1236.0,403.0,110.0,895.0,898.0,81.0,84.0,27.0,'solid.','0'
1346.0,403.0,94.0,110.0,898.0,81.0,68.0,27.0,'This','0'
1440.0,403.0,141.0,94.0,898.0,81.0,115.0,27.0,'process','0'
1581.0,403.0,159.0,141.0,898.0,81.0,134.0,35.0,'provides','0'
1740.0,403.0,39.0,159.0,898.0,81.0,16.0,19.0,'a','0'
1779.0,403.0,129.0,39.0,898.0,81.0,104.0,20.0,'source','0'
1908.0,403.0,59.0,129.0,898.0,81.0,36.0,27.0,'of','0'
1967.0,403.0,160.0,59.0,898.0,81.0,135.0,35.0,'particles','0'
2127.0,403.0,52.0,160.0,898.0,81.0,30.0,21.0,'to','0'
2179.0,403.0,944.0,52.0,898.0,81.0,48.0,26.0,'the','0'
1237.0,448.0,159.0,944.0,898.0,898.0,130.0,27.0,'balance.','0'
1396.0,448.0,184.0,159.0,47.0,898.0,156.0,33.0,'Similarly,','0'
1580.0,448.0,160.0,184.0,47.0,898.0,136.0,35.0,'particles','0'
1740.0,448.0,125.0,160.0,47.0,898.0,100.0,27.0,'struck','0'
1865.0,448.0,66.0,125.0,47.0,898.0,40.0,34.0,'by','0'
1931.0,448.0,111.0,66.0,47.0,898.0,87.0,27.0,'other','0'
2042.0,448.0,807.0,111.0,47.0,898.0,186.0,35.0,'high-energy','0'
1237.0,495.0,123.0,807.0,47.0,47.0,109.0,32.0,'species','0'
1360.0,495.0,61.0,123.0,286.0,47.0,46.0,18.0,'are','0'
1421.0,495.0,72.0,61.0,286.0,47.0,56.0,26.0,'lost','0'
1493.0,495.0,91.0,72.0,286.0,47.0,77.0,28.0,'from','0'
1584.0,495.0,63.0,91.0,286.0,47.0,49.0,26.0,'the','0'
1647.0,495.0,180.0,63.0,286.0,47.0,164.0,33.0,'stationary','0'
1827.0,495.0,874.0,180.0,286.0,47.0,80.0,27.0,'class.','0'
955.0,539.0,348.0,874.0,286.0,286.0,162.0,22.0,'KNOCKOUT','0'
1303.0,539.0,148.0,348.0,287.0,286.0,125.0,26.0,'Because','0'
1451.0,539.0,70.0,148.0,287.0,286.0,48.0,26.0,'the','0'
1521.0,539.0,120.0,70.0,287.0,286.0,99.0,27.0,'ranges','0'
1641.0,539.0,54.0,120.0,287.0,286.0,34.0,28.0,'of','0'
1695.0,539.0,71.0,54.0,287.0,286.0,49.0,27.0,'the','0'
1766.0,539.0,167.0,71.0,287.0,286.0,147.0,33.0,'energetic','0'
1933.0,539.0,152.0,167.0,287.0,286.0,134.0,34.0,'particles','0'
2085.0,539.0,63.0,152.0,287.0,286.0,46.0,19.0,'are','0'
2148.0,539.0,912.0,63.0,287.0,286.0,80.0,27.0,'small','0'
1238.0,585.0,177.0,912.0,287.0,287.0,158.0,34.0,'compared','0'
1415.0,585.0,50.0,177.0,45.0,287.0,32.0,24.0,'to','0'
1465.0,585.0,66.0,50.0,45.0,287.0,48.0,27.0,'the','0'
1531.0,585.0,196.0,66.0,45.0,287.0,182.0,27.0,'dimensions','0'
1727.0,585.0,47.0,196.0,45.0,287.0,35.0,28.0,'of','0'
1774.0,585.0,64.0,47.0,45.0,287.0,49.0,27.0,'the','0'
1838.0,585.0,101.0,64.0,45.0,287.0,87.0,30.0,'solid,','0'
1939.0,585.0,50.0,101.0,45.0,287.0,34.0,27.0,'all','0'
1989.0,585.0,752.0,50.0,45.0,287.0,241.0,27.0,'concentrations','0'
1239.0,629.0,77.0,752.0,45.0,45.0,54.0,27.0,'and','0'
1316.0,629.0,188.0,77.0,270.0,45.0,170.0,34.0,'generation','0'
1504.0,629.0,92.0,188.0,270.0,45.0,74.0,24.0,'rates','0'
1596.0,629.0,70.0,92.0,270.0,45.0,52.0,19.0,'can','0'
1666.0,629.0,55.0,70.0,270.0,45.0,36.0,26.0,'be','0'
1721.0,629.0,194.0,55.0,270.0,45.0,174.0,28.0,'considered','0'
1915.0,629.0,48.0,194.0,270.0,45.0,28.0,19.0,'as','0'
1963.0,629.0,168.0,48.0,270.0,45.0,151.0,27.0,'functions','0'
2131.0,629.0,50.0,168.0,270.0,45.0,34.0,27.0,'of','0'
2181.0,629.0,1211.0,50.0,270.0,45.0,48.0,26.0,'the','0'
971.0,656.0,986.0,1211.0,270.0,270.0,106.0,22.0,'DIRECT','0'
1957.0,656.0,242.0,986.0,21.0,270.0,34.0,27.0,'of','0'
2199.0,656.0,1227.0,242.0,21.0,270.0,34.0,27.0,'of','0'
973.0,676.0,265.0,1227.0,21.0,21.0,104.0,21.0,'RECOIL','0'
1238.0,676.0,149.0,265.0,273.0,21.0,132.0,27.0,'distance','0'
1387.0,676.0,38.0,149.0,273.0,21.0,18.0,19.0,'x','0'
1425.0,676.0,90.0,38.0,273.0,21.0,76.0,27.0,'from','0'
1515.0,676.0,63.0,90.0,273.0,21.0,49.0,26.0,'the','0'
1578.0,676.0,89.0,63.0,273.0,21.0,73.0,26.0,'solid','0'
1667.0,676.0,141.0,89.0,273.0,21.0,123.0,28.0,'surface.','0'
1808.0,676.0,74.0,141.0,273.0,21.0,60.0,27.0,'The','0'
1882.0,676.0,123.0,74.0,273.0,21.0,61.0,25.0,'rate','0'
2005.0,676.0,766.0,123.0,273.0,21.0,179.0,33.0,'production','0'
1241.0,723.0,115.0,766.0,273.0,273.0,101.0,26.0,'recoils','0'
1356.0,723.0,46.0,115.0,576.0,273.0,34.0,27.0,'of','0'
1402.0,723.0,124.0,46.0,576.0,273.0,109.0,33.0,'species','0'
1526.0,723.0,21.0,124.0,576.0,273.0,6.0,26.0,'i','0'
1547.0,723.0,35.0,21.0,576.0,273.0,21.0,26.0,'is','0'
1582.0,723.0,135.0,35.0,576.0,273.0,120.0,28.0,'defined','0'
1717.0,723.0,1052.0,135.0,576.0,273.0,39.0,33.0,'by','0'
666.0,755.0,577.0,1052.0,576.0,576.0,24.0,12.0,'flls','0'
1240.0,803.0,92.0,577.0,577.0,577.0,76.0,34.0,'P(x)','0'
1332.0,803.0,32.0,92.0,345.0,577.0,16.0,8.0,'=','0'
1364.0,803.0,73.0,32.0,345.0,577.0,59.0,24.0,'rate','0'
1437.0,803.0,47.0,73.0,345.0,577.0,35.0,26.0,'of','0'
1484.0,803.0,183.0,47.0,345.0,577.0,168.0,33.0,'generation','0'
1667.0,803.0,47.0,183.0,345.0,577.0,35.0,28.0,'of','0'
1714.0,803.0,118.0,47.0,345.0,577.0,103.0,26.0,'recoils','0'
1832.0,803.0,46.0,118.0,345.0,577.0,35.0,28.0,'of','0'
1878.0,803.0,127.0,46.0,345.0,577.0,112.0,34.0,'species','0'
2005.0,803.0,21.0,127.0,345.0,577.0,5.0,26.0,'i','0'
2026.0,803.0,64.0,21.0,345.0,577.0,50.0,26.0,'per','0'
2090.0,803.0,512.0,64.0,345.0,577.0,63.0,26.0,'unit','0'
1581.0,850.0,129.0,512.0,345.0,345.0,115.0,25.0,'volume','0'
1710.0,850.0,43.0,129.0,351.0,345.0,29.0,24.0,'at','0'
1753.0,850.0,30.0,43.0,351.0,345.0,16.0,20.0,'a','0'
1783.0,850.0,146.0,30.0,351.0,345.0,132.0,27.0,'distance','0'
1929.0,850.0,34.0,146.0,351.0,345.0,18.0,19.0,'x','0'
1963.0,850.0,93.0,34.0,351.0,345.0,77.0,27.0,'from','0'
2056.0,850.0,62.0,93.0,351.0,345.0,48.0,26.0,'the','0'
2118.0,850.0,882.0,62.0,351.0,345.0,113.0,27.0,'surface','0'
1240.0,931.0,85.0,882.0,351.0,351.0,59.0,27.0,'The','0'
1325.0,931.0,96.0,85.0,45.0,351.0,74.0,23.0,'term','0'
1573.0,931.0,44.0,152.0,45.0,351.0,20.0,26.0,'is','0'
1617.0,931.0,91.0,44.0,45.0,351.0,67.0,26.0,'used','0'
1708.0,931.0,52.0,91.0,45.0,351.0,31.0,24.0,'to','0'
1760.0,931.0,134.0,52.0,45.0,351.0,111.0,26.0,'denote','0'
1894.0,931.0,126.0,134.0,45.0,351.0,102.0,28.0,'fission','0'
2020.0,931.0,179.0,126.0,45.0,351.0,158.0,35.0,'fragments','0'
2199.0,931.0,961.0,179.0,45.0,351.0,33.0,19.0,'or','0'
1240.0,976.0,103.0,961.0,45.0,45.0,97.0,27.0,'knock','0'
1343.0,976.0,77.0,103.0,79.0,45.0,64.0,19.0,'-ons','0'
1420.0,976.0,46.0,77.0,79.0,45.0,34.0,27.0,'of','0'
1466.0,976.0,71.0,46.0,79.0,45.0,56.0,26.0,'any','0'
1537.0,976.0,124.0,71.0,79.0,45.0,111.0,33.0,'species','0'
1661.0,976.0,44.0,124.0,79.0,45.0,27.0,26.0,'in','0'
1705.0,976.0,63.0,44.0,79.0,45.0,48.0,27.0,'the','0'
1768.0,976.0,467.0,63.0,79.0,45.0,85.0,27.0,'solid.','0'
1304.0,1022.0,79.0,467.0,79.0,79.0,45.0,26.0,'We','0'
