@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'3-30','Table','3.7.','Variation','of','radioactivity','(Ci/MTIHM)','for','significant','Y','activation-','and','fission-product','nuclides','function','time','as','a','since','discharge','from','40,000-MWd/MTIHM','BWR','(Includes','all','structural','material)','Time','(years)','Isotopea','1.0E+0','1.0E+1','1.0E+2','1.0E+3','1.0E+4','1.0E+5','H-3b','8.43E+2a','5.09E+2','3.26E+0','-','C-14c','2.05E+0','2.02E+0','1.82E+0','6.11E-1','Mn-54c','1.49E+2','Fe-55c','2.54E+3','2.31E+2','Co-58c','3.75E+1','Co-60c','2.62E+3','8.01E+2','Ni-59c','1.39E+0','1.38E+0','1.27E+0','5.84E-1','Ni-63c','2.08E+2','1.94E+2','9.84E+1','Zn-65c','3.56E+1','Se-79','4.80E-1','4.36E-1','1.67E-1','Kr-85','9.52E+3','5.32E+3','1.58E+1','Sr-89','3.59E+3','Sr-90','8.20E+4','6.62E+4','7.77E+3','1-90','1-91','9.41E+3','Zr-93b','2.56E+0','2.55E+0','2.45E+0','Zr-95b','2.18E+4','Nb-93mb','2.44E+0','2.43E+0','2.33E+0','Nb-95b','4.89E+4','Tc-99','1.56E+1','1.51E+1','1.13E+1','Ru-103','1.86E+3','Ru-106','2.28E+5','4.67E+2','Rh-106','Pd-107','1.40E-1','1.39E-1','Ag-110m','1.63E+3','Sn-119mb','3.83E+3','Sn-126','8.88E-1','8.87E-1','8.82E-1','8.28E-1','4.44E-1','Sb-125b','1.25E+4','1.31E+3','Sb-126','1.24E-1','1.16E-1','6.22E-2','Sb-126m','Te-125mb','3.04E+3','3.20E+2','1-129','3.73E-2','3.72E-2','Cs-134','1.27E+5','6.15E+3','Cs-135','5.66E-1','5.64E-1','5.49E-1','Cs-137','1.19E+5','9.66E+4','1.21E+4','Ba-137m','1.12E+5','9.14E+4','1.14E+4','Ce-144','3.06E+5','1.01E+2','Pr-144','Pr-144m','3.67E+3','Pm-147','8.80E+4','8.20E+3','Sm-151','3.80E+2','3.55E+2','1.78E+2','1.73E-1','Eu-154b','1.30E+4','6.31E+3','4.42E+0','Eu-155b','7.46E+3','2.12E+3','OTHER','4.95E+3','2.15E+1','3.52E+1','2.12E-1','8.14E-2','2.10E-2','SUBTOTAL','A.P.d','1.94E+4','1.84E+3','1.04E+2','4.15E+0','2.71E+0','1.35E+0','F.P.e','1.81E+6','3.52E+5','3.93E+4','2.30E+1','2.22E+1','1.71E+1','TOTAL','1.83E+6','3.53E+5','3.94E+4','2.72E+1','2.50E+1','1.85E+1','4Nuclides','contributing','>0.1%','are','listed.','bBoth','activation','fission','products','contribute','to','this','nuclide.','cOnly','dA.P.','Activation','products.','=','eF.P.','Fission'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1186.0,207.0,613.0,0.0,613.0,0.0,94.0,31.0,'3-30','0'
592.0,356.0,118.0,613.0,613.0,613.0,95.0,24.0,'Table','0'
710.0,356.0,118.0,118.0,275.0,613.0,70.0,25.0,'3.7.','0'
828.0,356.0,195.0,118.0,275.0,613.0,174.0,24.0,'Variation','0'
1023.0,356.0,61.0,195.0,275.0,613.0,36.0,24.0,'of','0'
1084.0,356.0,275.0,61.0,275.0,613.0,252.0,30.0,'radioactivity','0'
1359.0,356.0,215.0,275.0,275.0,613.0,187.0,30.0,'(Ci/MTIHM)','0'
1574.0,356.0,78.0,215.0,275.0,613.0,54.0,23.0,'for','0'
1652.0,356.0,1334.0,78.0,275.0,613.0,210.0,30.0,'significant','0'
319.0,389.0,292.0,1334.0,275.0,275.0,36273.0,15890.0,'Y','0'
611.0,389.0,235.0,292.0,1097.0,275.0,213.0,23.0,'activation-','0'
846.0,389.0,81.0,235.0,1097.0,275.0,56.0,23.0,'and','0'
927.0,389.0,313.0,81.0,1097.0,275.0,288.0,30.0,'fission-product','0'
1240.0,389.0,275.0,313.0,1097.0,275.0,152.0,24.0,'nuclides','0'
1515.0,389.0,175.0,275.0,1097.0,275.0,153.0,23.0,'function','0'
1690.0,389.0,59.0,175.0,1097.0,275.0,35.0,23.0,'of','0'
1749.0,389.0,335.0,59.0,1097.0,275.0,74.0,23.0,'time','0'
1415.0,410.0,58.0,335.0,1097.0,1097.0,35.0,16.0,'as','0'
1473.0,410.0,667.0,58.0,609.0,1097.0,17.0,16.0,'a','0'
807.0,437.0,118.0,667.0,609.0,609.0,96.0,23.0,'since','0'
925.0,437.0,198.0,118.0,113.0,609.0,174.0,30.0,'discharge','0'
1123.0,437.0,97.0,198.0,113.0,609.0,76.0,23.0,'from','0'
1220.0,437.0,40.0,97.0,113.0,609.0,17.0,17.0,'a','0'
1260.0,437.0,333.0,40.0,113.0,609.0,311.0,33.0,'40,000-MWd/MTIHM','0'
1593.0,437.0,688.0,333.0,113.0,609.0,57.0,22.0,'BWR','0'
907.0,488.0,195.0,688.0,113.0,113.0,171.0,29.0,'(Includes','0'
1102.0,488.0,80.0,195.0,210.0,113.0,55.0,23.0,'all','0'
1182.0,488.0,212.0,80.0,210.0,113.0,190.0,25.0,'structural','0'
1394.0,488.0,304.0,212.0,210.0,113.0,171.0,30.0,'material)','0'
1101.0,567.0,101.0,304.0,210.0,210.0,77.0,23.0,'Time','1'
1202.0,567.0,115.0,101.0,727.0,210.0,93.0,23.0,'since','1'
1317.0,567.0,199.0,115.0,727.0,210.0,174.0,30.0,'discharge','1'
1516.0,567.0,1140.0,199.0,727.0,210.0,128.0,32.0,'(years)','1'
379.0,644.0,314.0,1140.0,727.0,727.0,152.0,33.0,'Isotopea','1'
693.0,644.0,256.0,314.0,71.0,727.0,112.0,24.0,'1.0E+0','1'
949.0,644.0,255.0,256.0,71.0,727.0,108.0,24.0,'1.0E+1','1'
1204.0,644.0,254.0,255.0,71.0,727.0,111.0,24.0,'1.0E+2','1'
