@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TABLE','IV','1291','MEASURED','IN','J-13/HBR','SOLUTION','SAMPLES','Test','Days','(pci/m1)*','+10-5','Inventory**','Bare','Fuel','63','0.52','5.6','223','0.72','7.5','Slit','Defect','0.29','3.0','0.38','4.0','Hole','Defects','0.0019','0.020','0.0050','0.053','Undefected','0.0060','0.064','0.0054','0.057','*Average','for','2','replicate','samples','measured','by','neutron','activation','analysis.','**(pCi/m1)(250','ml)/(10r5','of','specimen','inventory).','V','H.','B.','ROBINSON','FUEL','J-13','WATER','URANIUM','RELEASE','DATA','(jig)','y','Solution','Samples','211','4.3','0.50','1.26','X','Rod','34','0.3','<0.17','<0.19','Final','300','23.8','1.50','3.25','[U','(pg/m1)]*','(1.2)','(0.095)','(0.006)','(0.013)','Strip','2700','1.5','0.60','Rinse**','550','1.8','0.27','Above','3795','31.7','<3.37','<5.57','Divided','lOrs','Inv.','5.42','0.044','<0.0047','<0.008','*Unfiltered','223-day','final','solution','uranium','content','in','pg/ml','given','parentheses.','**Bare','fuel','rinse','was','0.4','pM','filtered','before','14'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1153.0,275.0,154.0,0.0,435.0,0.0,120.0,35.0,'TABLE','0'
1307.0,275.0,586.0,154.0,435.0,0.0,42.0,34.0,'IV','0'
729.0,371.0,119.0,586.0,435.0,435.0,89.0,35.0,'1291','0'
848.0,371.0,230.0,119.0,147.0,435.0,198.0,35.0,'MEASURED','0'
1078.0,371.0,72.0,230.0,147.0,435.0,42.0,33.0,'IN','0'
1150.0,371.0,225.0,72.0,147.0,435.0,195.0,40.0,'J-13/HBR','0'
1375.0,371.0,225.0,225.0,147.0,435.0,195.0,35.0,'SOLUTION','0'
1600.0,371.0,883.0,225.0,147.0,435.0,173.0,35.0,'SAMPLES','0'
730.0,517.0,299.0,883.0,147.0,147.0,94.0,34.0,'Test','0'
1029.0,517.0,199.0,299.0,138.0,147.0,94.0,42.0,'Days','0'
1228.0,517.0,131.0,199.0,138.0,147.0,91.0,35.0,'1291','0'
1359.0,517.0,313.0,131.0,138.0,147.0,217.0,47.0,'(pci/m1)*','0'
1672.0,517.0,160.0,313.0,138.0,147.0,120.0,49.0,'+10-5','0'
1832.0,517.0,1187.0,160.0,138.0,147.0,269.0,41.0,'Inventory**','0'
651.0,629.0,124.0,1187.0,138.0,138.0,94.0,35.0,'Bare','0'
775.0,629.0,273.0,124.0,381.0,138.0,91.0,34.0,'Fuel','0'
1048.0,629.0,276.0,273.0,381.0,138.0,48.0,34.0,'63','0'
1324.0,629.0,504.0,276.0,381.0,138.0,96.0,36.0,'0.52','0'
1828.0,629.0,802.0,504.0,381.0,138.0,67.0,35.0,'5.6','0'
1028.0,682.0,299.0,802.0,381.0,381.0,71.0,34.0,'223','0'
1327.0,682.0,502.0,299.0,388.0,381.0,96.0,35.0,'0.72','0'
1829.0,682.0,1181.0,502.0,388.0,381.0,69.0,34.0,'7.5','0'
652.0,777.0,124.0,1181.0,388.0,388.0,93.0,34.0,'Slit','0'
776.0,777.0,273.0,124.0,380.0,388.0,144.0,35.0,'Defect','0'
1049.0,777.0,276.0,273.0,380.0,388.0,46.0,35.0,'63','0'
1325.0,777.0,503.0,276.0,380.0,388.0,96.0,35.0,'0.29','0'
1828.0,777.0,802.0,503.0,380.0,388.0,70.0,35.0,'3.0','0'
1028.0,831.0,299.0,802.0,380.0,380.0,70.0,35.0,'223','0'
1327.0,831.0,500.0,299.0,390.0,380.0,98.0,36.0,'0.38','0'
1827.0,831.0,1180.0,500.0,390.0,380.0,71.0,34.0,'4.0','0'
651.0,927.0,125.0,1180.0,390.0,390.0,94.0,35.0,'Hole','0'
776.0,927.0,272.0,125.0,381.0,390.0,168.0,35.0,'Defects','0'
1048.0,927.0,277.0,272.0,381.0,390.0,47.0,35.0,'63','0'
1325.0,927.0,499.0,277.0,381.0,390.0,146.0,36.0,'0.0019','0'
1824.0,927.0,799.0,499.0,381.0,390.0,123.0,36.0,'0.020','0'
1027.0,983.0,300.0,799.0,381.0,381.0,71.0,35.0,'223','0'
1327.0,983.0,499.0,300.0,386.0,381.0,147.0,35.0,'0.0050','0'
1826.0,983.0,1177.0,499.0,386.0,381.0,122.0,35.0,'0.053','0'
653.0,1077.0,396.0,1177.0,386.0,386.0,243.0,35.0,'Undefected','0'
