@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'INPUT','FOR','THE','SMOOTH','REFERENCE','MODEL','(cont.)','120','3.000E-05','2.000E-t1','0.21','7.000E+01','7.000E-01','3.000E.02','121','2.600E-01','0.20','3.000E+02','112','3.00CE-05','3.0001-05','2.000E-01','123','3.006E-05','7.000E...01','.1.000E402','124','3.600E-05','1.010E-05','125','3.001E-05','2.0000-01','7.000E-4)1','126','1.000E-05','1.001-05','2.L001-01','127','12P','1.conE-r5','0.21)','129','1.000E-15','131)','3.0000-05','2.000E-1/','131','132','r.20','133','3.010E-05','134','3.o07T-o5','135','3.000E-15','3.0C1E-05','136','2.0001-t1','137','138','7.0001.-01','13'7','3.0GCE-05','0.2P','-','140','2.0001-C1','141','1.001E-05','142','1.firmF-05','1.00(0.-0'0','0.29','143','1.00t,E-05','2.010E-01','C.20','3.000E402','144','1.00(0-05','2.0001-01','145','5.000E-07','5.001)1-072.1001-1)1','146','5.000E-06','147','5.00LE-06','148','5.010E-06','149','2.000E-31','150','151','3.0001-052.0001-1)1','1.0001.00','152','1.000E+00','153','3.00!7r-05','3.00'f:-n5','2.0001-0/','0.22','7.000E4.01','7.009E-01','154','3.00r,E-05','155','156','3.00rE-05','157','3.0000-0','e.20','7.6001-01','3.0001.02','158','159','1.001)E-1)5','1.000E-1)5','160','2.100E-06','2.0000-cl','161','2.1011-16','2.1)001-01','162','2.1000-0,6','2.0060-01','163','2.10(1-1)6','2.1100-06','164','2.1001-.06','165','3.100E-06','3.101)1-162.0001-1)3','166','3.100E-16','2.0600-1','167','3.103E-045','3.1000-01','168','31000E.02.','3.0010-05','.','lift','.3.001)1-15','2.0001-1','171','7.001E+01','172','173','174','3.001)1-052.0001-11','7.0001+01','175','3.0000-00','176','3.0011-05','177','1.0010-04','1.000E-04','178','2.10CE-06','2.0001-ri','7.600E-01','179','2.101)E-06','1Pm','2.150E-06','2.101E-PC','181','182','1.000E-06','1.0001-06','2.000E-L1','-73-'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
758.0,430.0,169.0,0.0,349.0,0.0,135.0,28.0,'INPUT','0'
927.0,430.0,112.0,169.0,349.0,0.0,83.0,28.0,'FOR','0'
1039.0,430.0,116.0,112.0,349.0,0.0,82.0,28.0,'THE','0'
1155.0,430.0,200.0,116.0,349.0,0.0,165.0,29.0,'SMOOTH','0'
1355.0,430.0,282.0,200.0,349.0,0.0,250.0,28.0,'REFERENCE','0'
1637.0,430.0,182.0,282.0,349.0,0.0,139.0,28.0,'MODEL','0'
1819.0,430.0,1382.0,182.0,349.0,0.0,175.0,37.0,'(cont.)','0'
446.0,586.0,183.0,1382.0,349.0,349.0,62.0,26.0,'120','1'
629.0,586.0,273.0,183.0,38.0,349.0,195.0,25.0,'3.000E-05','1'
902.0,586.0,224.0,273.0,38.0,349.0,195.0,24.0,'3.000E-05','1'
1126.0,586.0,271.0,224.0,38.0,349.0,193.0,25.0,'2.000E-t1','1'
1397.0,586.0,227.0,271.0,38.0,349.0,83.0,24.0,'0.21','1'
1624.0,586.0,293.0,227.0,38.0,349.0,193.0,25.0,'7.000E+01','1'
1917.0,586.0,269.0,293.0,38.0,349.0,193.0,25.0,'7.000E-01','1'
2186.0,586.0,1741.0,269.0,38.0,349.0,199.0,26.0,'3.000E.02','1'
446.0,624.0,184.0,1741.0,38.0,38.0,60.0,24.0,'121','1'
630.0,624.0,272.0,184.0,38.0,38.0,194.0,25.0,'3.000E-05','1'
902.0,624.0,224.0,272.0,38.0,38.0,194.0,26.0,'3.000E-05','1'
1126.0,624.0,271.0,224.0,38.0,38.0,194.0,25.0,'2.600E-01','1'
1397.0,624.0,226.0,271.0,38.0,38.0,83.0,25.0,'0.20','1'
1623.0,624.0,292.0,226.0,38.0,38.0,194.0,25.0,'7.000E+01','1'
1915.0,624.0,272.0,292.0,38.0,38.0,194.0,26.0,'7.000E-01','1'
2187.0,624.0,1742.0,272.0,38.0,38.0,198.0,27.0,'3.000E+02','1'
446.0,662.0,184.0,1742.0,38.0,38.0,63.0,25.0,'112','1'
630.0,662.0,273.0,184.0,39.0,38.0,194.0,26.0,'3.00CE-05','1'
903.0,662.0,223.0,273.0,39.0,38.0,195.0,24.0,'3.0001-05','1'
1126.0,662.0,271.0,223.0,39.0,38.0,193.0,26.0,'2.000E-01','1'
