@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'ILLUSTRATIONS','Page','Figure','1.--Residual','aeromagnetic','map','of','southern','part','potential','repository','site','2','2.--Topograhic','area','west','Yucca','Mountain','5','3.--Aeromagnetic','anomalies','and','altimeter','records','for','traverses','A,','B,','C,','D','6','4.--Residual','smoothed','on','traverse','A82','7','5.--Residual','A83','8','6.--Residual','B83','9','7.--Residual','C83','10','8.--Geologic','western','14','9.--Section','along','air','B-B'','over','models','dipole,','source','B','16','10.--Section','ground','C-C'','Solitario','Canyon','fault,','C','19','TABLES','Table','1.--Magnetic','properties','thicknesses','units','penetrated','in','three','drill','holes','12','2.--Total','magnetizations','figure','17','computed','4.--Total','component','parts','20','5.--Ground','magnetic','iv'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1096.0,392.0,1043.0,0.0,1043.0,0.0,317.0,31.0,'ILLUSTRATIONS','0'
2133.0,494.0,1854.0,1043.0,1043.0,1043.0,94.0,37.0,'Page','0'
280.0,542.0,179.0,1854.0,1854.0,1854.0,143.0,39.0,'Figure','0'
459.0,542.0,321.0,179.0,329.0,1854.0,289.0,32.0,'1.--Residual','0'
780.0,542.0,323.0,321.0,329.0,1854.0,294.0,39.0,'aeromagnetic','0'
1103.0,542.0,102.0,323.0,329.0,1854.0,70.0,30.0,'map','0'
1205.0,542.0,76.0,102.0,329.0,1854.0,41.0,31.0,'of','0'
1281.0,542.0,678.0,76.0,329.0,1854.0,196.0,31.0,'southern','0'
605.0,592.0,127.0,678.0,329.0,329.0,94.0,35.0,'part','0'
732.0,592.0,74.0,127.0,179.0,329.0,41.0,31.0,'of','0'
806.0,592.0,251.0,74.0,179.0,329.0,219.0,39.0,'potential','0'
1057.0,592.0,274.0,251.0,179.0,329.0,243.0,39.0,'repository','0'
1331.0,592.0,878.0,274.0,179.0,329.0,93.0,30.0,'site','0'
2209.0,592.0,1755.0,878.0,179.0,329.0,18.0,30.0,'2','0'
457.0,692.0,372.0,1755.0,179.0,179.0,342.0,40.0,'2.--Topograhic','0'
829.0,692.0,102.0,372.0,156.0,179.0,70.0,29.0,'map','0'
931.0,692.0,74.0,102.0,156.0,179.0,42.0,31.0,'of','0'
1005.0,692.0,124.0,74.0,156.0,179.0,94.0,22.0,'area','0'
1129.0,692.0,126.0,124.0,156.0,179.0,93.0,27.0,'west','0'
1255.0,692.0,75.0,126.0,156.0,179.0,42.0,30.0,'of','0'
1330.0,692.0,729.0,75.0,156.0,179.0,120.0,30.0,'Yucca','0'
603.0,745.0,1607.0,729.0,156.0,156.0,199.0,30.0,'Mountain','0'
2210.0,745.0,1756.0,1607.0,176.0,156.0,18.0,31.0,'5','0'
457.0,842.0,423.0,1756.0,176.0,176.0,393.0,39.0,'3.--Aeromagnetic','0'
880.0,842.0,250.0,423.0,158.0,176.0,218.0,31.0,'anomalies','0'
1130.0,842.0,100.0,250.0,158.0,176.0,69.0,31.0,'and','0'
1230.0,842.0,252.0,100.0,158.0,176.0,219.0,32.0,'altimeter','0'
1482.0,842.0,878.0,252.0,158.0,176.0,168.0,30.0,'records','0'
606.0,894.0,102.0,878.0,158.0,158.0,70.0,31.0,'for','0'
708.0,894.0,248.0,102.0,179.0,158.0,216.0,26.0,'traverses','0'
956.0,894.0,76.0,248.0,179.0,158.0,41.0,38.0,'A,','0'
1032.0,894.0,76.0,76.0,179.0,158.0,40.0,36.0,'B,','0'
1108.0,894.0,72.0,76.0,179.0,158.0,39.0,37.0,'C,','0'
1180.0,894.0,102.0,72.0,179.0,158.0,70.0,30.0,'and','0'
1282.0,894.0,927.0,102.0,179.0,158.0,22.0,28.0,'D','0'
2209.0,894.0,1755.0,927.0,179.0,158.0,19.0,32.0,'6','0'
457.0,993.0,323.0,1755.0,179.0,179.0,293.0,31.0,'4.--Residual','0'
780.0,993.0,102.0,323.0,100.0,179.0,70.0,31.0,'and','0'
882.0,993.0,223.0,102.0,100.0,179.0,193.0,31.0,'smoothed','0'
1105.0,993.0,251.0,223.0,100.0,179.0,218.0,31.0,'anomalies','0'
1356.0,993.0,77.0,251.0,100.0,179.0,45.0,22.0,'on','0'
1433.0,993.0,222.0,77.0,100.0,179.0,192.0,26.0,'traverse','0'
1655.0,993.0,554.0,222.0,100.0,179.0,72.0,31.0,'A82','0'
2209.0,993.0,1754.0,554.0,100.0,179.0,18.0,30.0,'7','0'
458.0,1092.0,322.0,1754.0,100.0,100.0,293.0,33.0,'5.--Residual','0'
