@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'1.4.4','Low-Level','Transuranium','Waste','These','wastes','are','defined','as','solid','or','solidified','materials','which','known','suspected','to','contain','long-lived','alpha','emitters','in','concentrations','greater','than','10','n','Ci/gm','while','having','suf-','ficiently','low','external','radiation','dose','levels','after','packaging','that','they','can','be','handled','directly.','Low-','level','transuranium','waste','is','assumed','undergo','the','same','volume','reduction','ILW.','Low-level','TRU','shipped','repository','5','years','operation.','For','this','study','HLW','form','glass.','The','LL','and','ILW','fixed','concrete.','quantities','of','accumulated','at','reference','through','2005','(the','year','decommissioning','repository)','shown','Table','1.4.1.','TABLE','14.1','Volume','Accumulated','Repository','Through','End','Year','m3)','(Thousands','High','Level','Cladding','Intermediate','1983','-0-','0.04','0.3','0.','1984','0.11','1.0','1985','0.24','2.3','1.','1986','0.39','4.0','4.','1987','0.54','5.4','8.','1988','0.69','6.5','15.','1989','0.13','0.87','7.8','18.','1990','0.28','1.10','9.2','22.','1991','0.46','1.35','10.7','26.','1992','0.64','1.68','12.4','31.','1993','0.82','1.98','13.6','36.','1994','1.04','2.32','15.0','41.','1995','1.30','2.70','16.6','46.','1996','1.61','3.12','18.4','51.','1997','1.99','3.58','20.5','58.','1998','2.35','4.09','22.7','65.','1999','2.76','4.65','25.2','72.','2000','3.21','5.26','27.9','80.','2001','3.71','5.93','30.9','89.','2002','4.26','6.66','34.3','99.','2003','4.87','7.45','38.0','110.','2004','5.53','8.31','42.1','124.','6.25','9.24','46.8','140.','27'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
472.0,333.0,132.0,0.0,156.0,0.0,99.0,26.0,'1.4.4','0'
604.0,333.0,217.0,132.0,156.0,0.0,200.0,26.0,'Low-Level','0'
821.0,333.0,279.0,217.0,156.0,0.0,263.0,25.0,'Transuranium','0'
1100.0,333.0,505.0,279.0,156.0,0.0,111.0,25.0,'Waste','0'
603.0,417.0,124.0,505.0,156.0,156.0,109.0,26.0,'These','0'
727.0,417.0,142.0,124.0,148.0,156.0,125.0,25.0,'wastes','0'
869.0,417.0,78.0,142.0,148.0,156.0,61.0,19.0,'are','0'
947.0,417.0,147.0,78.0,148.0,156.0,131.0,26.0,'defined','0'
1094.0,417.0,58.0,147.0,148.0,156.0,40.0,19.0,'as','0'
1152.0,417.0,105.0,58.0,148.0,156.0,87.0,26.0,'solid','0'
1257.0,417.0,57.0,105.0,148.0,156.0,39.0,19.0,'or','0'
1314.0,417.0,185.0,57.0,148.0,156.0,171.0,26.0,'solidified','0'
1499.0,417.0,196.0,185.0,148.0,156.0,181.0,26.0,'materials','0'
1695.0,417.0,121.0,196.0,148.0,156.0,105.0,26.0,'which','0'
1816.0,417.0,77.0,121.0,148.0,156.0,60.0,20.0,'are','0'
1893.0,417.0,126.0,77.0,148.0,156.0,111.0,26.0,'known','0'
2019.0,417.0,57.0,126.0,148.0,156.0,39.0,18.0,'or','0'
2076.0,417.0,192.0,57.0,148.0,156.0,177.0,32.0,'suspected','0'
2268.0,417.0,1801.0,192.0,148.0,156.0,36.0,24.0,'to','0'
469.0,478.0,146.0,1801.0,148.0,148.0,132.0,26.0,'contain','0'
615.0,478.0,205.0,146.0,67.0,148.0,189.0,34.0,'long-lived','0'
820.0,478.0,113.0,205.0,67.0,148.0,96.0,32.0,'alpha','0'
933.0,478.0,176.0,113.0,67.0,148.0,158.0,26.0,'emitters','0'
