@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'FTP','-','Fluid','Transport','Properties','(relative','to','hydrology,','radionuclide','distributions','influenced','by','distribution','coefficients,','etc.',').','AW','Aquifer','Water','(hydrologic','factors','in','aquifer','flows).','SW','Surface','surface','Inspection','will','show','that','this','is','not','a','comprehensive','list','of','the','Rate','Equations','and','variables.','It','given','indicate','general','idea','stimulate','searches','for','relevant','variables','their','interdependencies.','Closer','inspection','Figure','2A','.2','disclose','various','types','potential','Feedback','Loops.','Possibly,','most','conspicuous','type','feedback','sort','already','described','(e.g.,','mechanical','work-heat','cycles).','Another','fundamental','kind','effect','Level','quantity','on','rate','change','quantity.','In','one','way','or','another','form','affects','every','Level.','For','example,','amount','heat','stored','reference','system','loss','hence','subsequent','The','deformation','some','initial','configuration)','performed','influences','states','properties','rocks','system,','future','work','rates.','Similar','statements','are','true','fracturing','production','rock','openings.','Groundwater','quantities','influence','via','consequent','hydrologic','flow','Radionuclide','solution','rates','incorporation','depletion','finite','source,','so','on.','Many','indirect','Loops','can','be','found','careful','study','diagrams','like','2A.2.','Formally,','all','closed','circuits','directions','Information','Arrows','represent','There','virtually','an','infinity','involutions','convolutions','these','possible','connections.','problem','forced','us','questions','radioactive','waste','containment','geological','media','find','dominant','loops','understand','magnitude-time','relations','as','regards',''geological','stability.','Diligent','repetitive','construction','such','Systems','Diagrams,','Lines,','assists','hierarchical','sorting','processes.','Only','two','mentioned','examples.','first','very','simple','understand,','but','it','quantitatively','contingent','numerical','which','has','been','accomplished','date.','Starting','with','Heat','lower','right','diagram,','Lines','traced','through','entire','diagram','back','That','is,','distri-','bution','generation','radioactivity','simply','depends','what','happens','radionuclides','other','than','decay','original','configurations.','From','standpoint','overall','represents','Negative','Loop','tending','toward','thermal','equilibrium.','This','conclusion,','however,','should','encourage','complacency','concerning','forms','feedback.','100'}
@ATTRIBUTE 'table' {'1','0'}

@DATA
400.0,308.0,142.0,0.0,185.0,0.0,80.0,25.0,'FTP','1'
542.0,308.0,32.0,142.0,185.0,0.0,12.0,4.0,'-','1'
574.0,308.0,113.0,32.0,185.0,0.0,94.0,24.0,'Fluid','1'
687.0,308.0,203.0,113.0,185.0,0.0,184.0,30.0,'Transport','1'
890.0,308.0,219.0,203.0,185.0,0.0,196.0,30.0,'Properties','1'
1109.0,308.0,170.0,219.0,185.0,0.0,153.0,29.0,'(relative','1'
1279.0,308.0,50.0,170.0,185.0,0.0,34.0,23.0,'to','1'
1329.0,308.0,759.0,50.0,185.0,0.0,192.0,33.0,'hydrology,','1'
573.0,372.0,246.0,759.0,185.0,185.0,228.0,26.0,'radionuclide','1'
819.0,372.0,252.0,246.0,63.0,185.0,232.0,26.0,'distributions','1'
1071.0,372.0,200.0,252.0,63.0,185.0,185.0,25.0,'influenced','1'
1271.0,372.0,58.0,200.0,63.0,185.0,41.0,32.0,'by','1'
1329.0,372.0,759.0,58.0,63.0,185.0,213.0,27.0,'distribution','1'
573.0,435.0,252.0,759.0,63.0,63.0,227.0,31.0,'coefficients,','1'
825.0,435.0,80.0,252.0,195.0,63.0,65.0,24.0,'etc.','1'
905.0,435.0,514.0,80.0,195.0,63.0,21.0,29.0,').','1'
399.0,521.0,142.0,514.0,195.0,195.0,58.0,24.0,'AW','1'
541.0,521.0,32.0,142.0,83.0,195.0,12.0,4.0,'-','1'
573.0,521.0,153.0,32.0,83.0,195.0,136.0,31.0,'Aquifer','1'
726.0,521.0,132.0,153.0,83.0,195.0,110.0,23.0,'Water','1'
858.0,521.0,219.0,132.0,83.0,195.0,201.0,32.0,'(hydrologic','1'
1077.0,521.0,148.0,219.0,83.0,195.0,128.0,24.0,'factors','1'
1225.0,521.0,48.0,148.0,83.0,195.0,32.0,24.0,'in','1'
1273.0,521.0,147.0,48.0,83.0,195.0,129.0,30.0,'aquifer','1'
1420.0,521.0,1025.0,147.0,83.0,195.0,122.0,28.0,'flows).','1'
399.0,604.0,142.0,1025.0,83.0,83.0,51.0,24.0,'SW','1'
541.0,604.0,34.0,142.0,259.0,83.0,12.0,4.0,'-','1'
575.0,604.0,151.0,34.0,259.0,83.0,134.0,26.0,'Surface','1'
726.0,604.0,132.0,151.0,259.0,83.0,110.0,24.0,'Water','1'
858.0,604.0,220.0,132.0,259.0,83.0,201.0,33.0,'(hydrologic','1'
1078.0,604.0,147.0,220.0,259.0,83.0,127.0,24.0,'factors','1'
1225.0,604.0,50.0,147.0,259.0,83.0,32.0,23.0,'in','1'
1275.0,604.0,153.0,50.0,259.0,83.0,135.0,25.0,'surface','1'
1428.0,604.0,1261.0,153.0,259.0,83.0,121.0,29.0,'flows).','1'
174.0,732.0,201.0,1261.0,259.0,259.0,186.0,30.0,'Inspection','0'
375.0,732.0,86.0,201.0,62.0,259.0,69.0,24.0,'will','0'
461.0,732.0,104.0,86.0,62.0,259.0,87.0,25.0,'show','0'
565.0,732.0,83.0,104.0,62.0,259.0,67.0,24.0,'that','0'
648.0,732.0,86.0,83.0,62.0,259.0,65.0,25.0,'this','0'
734.0,732.0,49.0,86.0,62.0,259.0,29.0,25.0,'is','0'
783.0,732.0,70.0,49.0,62.0,259.0,52.0,23.0,'not','0'
853.0,732.0,36.0,70.0,62.0,259.0,17.0,17.0,'a','0'
889.0,732.0,293.0,36.0,62.0,259.0,274.0,31.0,'comprehensive','0'
1182.0,732.0,78.0,293.0,62.0,259.0,59.0,26.0,'list','0'
1260.0,732.0,47.0,78.0,62.0,259.0,33.0,24.0,'of','0'
1307.0,732.0,72.0,47.0,62.0,259.0,52.0,24.0,'the','0'
1379.0,732.0,97.0,72.0,62.0,259.0,78.0,25.0,'Rate','0'
1476.0,732.0,195.0,97.0,62.0,259.0,175.0,30.0,'Equations','0'
1671.0,732.0,76.0,195.0,62.0,259.0,58.0,25.0,'and','0'
1747.0,732.0,1575.0,76.0,62.0,259.0,184.0,27.0,'variables.','0'
174.0,794.0,42.0,1575.0,62.0,62.0,23.0,23.0,'It','0'
216.0,794.0,49.0,42.0,65.0,62.0,29.0,25.0,'is','0'
265.0,794.0,110.0,49.0,65.0,62.0,95.0,32.0,'given','0'
375.0,794.0,52.0,110.0,65.0,62.0,34.0,23.0,'to','0'
427.0,794.0,158.0,52.0,65.0,62.0,142.0,26.0,'indicate','0'
585.0,794.0,74.0,158.0,65.0,62.0,53.0,24.0,'the','0'
659.0,794.0,154.0,74.0,65.0,62.0,135.0,33.0,'general','0'
813.0,794.0,90.0,154.0,65.0,62.0,71.0,25.0,'idea','0'
903.0,794.0,75.0,90.0,65.0,62.0,59.0,25.0,'and','0'
978.0,794.0,51.0,75.0,65.0,62.0,34.0,23.0,'to','0'
1029.0,794.0,189.0,51.0,65.0,62.0,170.0,27.0,'stimulate','0'
1218.0,794.0,181.0,189.0,65.0,62.0,162.0,24.0,'searches','0'
1399.0,794.0,68.0,181.0,65.0,62.0,53.0,25.0,'for','0'
1467.0,794.0,72.0,68.0,65.0,62.0,53.0,25.0,'the','0'
1539.0,794.0,167.0,72.0,65.0,62.0,149.0,25.0,'relevant','0'
1706.0,794.0,190.0,167.0,65.0,62.0,168.0,26.0,'variables','0'
1896.0,794.0,1726.0,190.0,65.0,62.0,58.0,24.0,'and','0'
172.0,858.0,108.0,1726.0,65.0,65.0,89.0,25.0,'their','0'
280.0,858.0,175.0,108.0,261.0,65.0,345.0,32.0,'interdependencies.','0'
399.0,985.0,140.0,175.0,261.0,261.0,121.0,25.0,'Closer','0'
539.0,985.0,203.0,140.0,234.0,261.0,185.0,32.0,'inspection','0'
742.0,985.0,52.0,203.0,234.0,261.0,33.0,24.0,'of','0'
794.0,985.0,138.0,52.0,234.0,261.0,117.0,32.0,'Figure','0'
932.0,985.0,53.0,138.0,234.0,261.0,41.0,25.0,'2A','0'
985.0,985.0,49.0,53.0,234.0,261.0,31.0,26.0,'.2','0'
1034.0,985.0,85.0,49.0,234.0,261.0,69.0,24.0,'will','0'
1119.0,985.0,168.0,85.0,234.0,261.0,149.0,26.0,'disclose','0'
1287.0,985.0,153.0,168.0,234.0,261.0,135.0,25.0,'various','0'
1440.0,985.0,114.0,153.0,234.0,261.0,94.0,30.0,'types','0'
1554.0,985.0,47.0,114.0,234.0,261.0,33.0,24.0,'of','0'
1601.0,985.0,175.0,47.0,234.0,261.0,159.0,31.0,'potential','0'
1776.0,985.0,1604.0,175.0,234.0,261.0,173.0,24.0,'Feedback','0'
174.0,1048.0,161.0,1604.0,234.0,234.0,122.0,30.0,'Loops.','0'
335.0,1048.0,195.0,161.0,64.0,234.0,171.0,32.0,'Possibly,','0'
530.0,1048.0,71.0,195.0,64.0,234.0,52.0,24.0,'the','0'
601.0,1048.0,106.0,71.0,64.0,234.0,88.0,24.0,'most','0'
707.0,1048.0,237.0,106.0,64.0,234.0,217.0,31.0,'conspicuous','0'
944.0,1048.0,93.0,237.0,64.0,234.0,73.0,30.0,'type','0'
1037.0,1048.0,48.0,93.0,64.0,234.0,33.0,24.0,'of','0'
1085.0,1048.0,175.0,48.0,64.0,234.0,159.0,25.0,'feedback','0'
1260.0,1048.0,50.0,175.0,64.0,234.0,29.0,26.0,'is','0'
1310.0,1048.0,46.0,50.0,64.0,234.0,32.0,24.0,'of','0'
1356.0,1048.0,72.0,46.0,64.0,234.0,53.0,23.0,'the','0'
1428.0,1048.0,92.0,72.0,64.0,234.0,73.0,24.0,'sort','0'
1520.0,1048.0,152.0,92.0,64.0,234.0,135.0,32.0,'already','0'
1672.0,1048.0,199.0,152.0,64.0,234.0,177.0,26.0,'described','0'
1871.0,1048.0,1699.0,199.0,64.0,234.0,104.0,33.0,'(e.g.,','0'
174.0,1112.0,223.0,1699.0,64.0,64.0,207.0,25.0,'mechanical','0'
397.0,1112.0,205.0,223.0,65.0,64.0,186.0,25.0,'work-heat','0'
602.0,1112.0,181.0,205.0,65.0,64.0,142.0,32.0,'cycles).','0'
783.0,1112.0,162.0,181.0,65.0,64.0,143.0,25.0,'Another','0'
945.0,1112.0,238.0,162.0,65.0,64.0,221.0,26.0,'fundamental','0'
1183.0,1112.0,92.0,238.0,65.0,64.0,73.0,24.0,'kind','0'
1275.0,1112.0,48.0,92.0,65.0,64.0,29.0,25.0,'is','0'
1323.0,1112.0,71.0,48.0,65.0,64.0,51.0,24.0,'the','0'
1394.0,1112.0,119.0,71.0,65.0,64.0,100.0,25.0,'effect','0'
1513.0,1112.0,49.0,119.0,65.0,64.0,32.0,24.0,'of','0'
1562.0,1112.0,35.0,49.0,65.0,64.0,16.0,17.0,'a','0'
1597.0,1112.0,117.0,35.0,65.0,64.0,101.0,26.0,'Level','0'
1714.0,1112.0,161.0,117.0,65.0,64.0,142.0,31.0,'quantity','0'
1875.0,1112.0,53.0,161.0,65.0,64.0,38.0,17.0,'on','0'
1928.0,1112.0,1757.0,53.0,65.0,64.0,54.0,24.0,'the','0'
173.0,1176.0,92.0,1757.0,65.0,65.0,72.0,23.0,'rate','0'
265.0,1176.0,49.0,92.0,66.0,65.0,33.0,24.0,'of','0'
314.0,1176.0,141.0,49.0,66.0,65.0,121.0,32.0,'change','0'
455.0,1176.0,47.0,141.0,66.0,65.0,33.0,24.0,'of','0'
502.0,1176.0,85.0,47.0,66.0,65.0,67.0,25.0,'that','0'
587.0,1176.0,198.0,85.0,66.0,65.0,156.0,31.0,'quantity.','0'
785.0,1176.0,48.0,198.0,66.0,65.0,30.0,24.0,'In','0'
833.0,1176.0,75.0,48.0,66.0,65.0,58.0,18.0,'one','0'
908.0,1176.0,87.0,75.0,66.0,65.0,69.0,25.0,'way','0'
995.0,1176.0,55.0,87.0,66.0,65.0,37.0,18.0,'or','0'
1050.0,1176.0,152.0,55.0,66.0,65.0,136.0,25.0,'another','0'
1202.0,1176.0,86.0,152.0,66.0,65.0,66.0,25.0,'this','0'
1288.0,1176.0,106.0,86.0,66.0,65.0,86.0,24.0,'form','0'
1394.0,1176.0,48.0,106.0,66.0,65.0,33.0,24.0,'of','0'
1442.0,1176.0,175.0,48.0,66.0,65.0,159.0,26.0,'feedback','0'
1617.0,1176.0,140.0,175.0,66.0,65.0,119.0,25.0,'affects','0'
1757.0,1176.0,119.0,140.0,66.0,65.0,101.0,24.0,'every','0'
1876.0,1176.0,1704.0,119.0,66.0,65.0,113.0,25.0,'Level.','0'
174.0,1241.0,83.0,1704.0,66.0,66.0,65.0,23.0,'For','0'
257.0,1241.0,189.0,83.0,64.0,66.0,165.0,32.0,'example,','0'
446.0,1241.0,72.0,189.0,64.0,66.0,52.0,24.0,'the','0'
518.0,1241.0,147.0,72.0,64.0,66.0,128.0,24.0,'amount','0'
665.0,1241.0,47.0,147.0,64.0,66.0,33.0,24.0,'of','0'
712.0,1241.0,94.0,47.0,64.0,66.0,75.0,24.0,'heat','0'
806.0,1241.0,132.0,94.0,64.0,66.0,114.0,26.0,'stored','0'
938.0,1241.0,48.0,132.0,64.0,66.0,31.0,24.0,'in','0'
986.0,1241.0,71.0,48.0,64.0,66.0,52.0,25.0,'the','0'
1057.0,1241.0,197.0,71.0,64.0,66.0,178.0,25.0,'reference','0'
1254.0,1241.0,147.0,197.0,64.0,66.0,128.0,31.0,'system','0'
1401.0,1241.0,138.0,147.0,64.0,66.0,119.0,26.0,'affects','0'
1539.0,1241.0,71.0,138.0,64.0,66.0,53.0,24.0,'the','0'
1610.0,1241.0,91.0,71.0,64.0,66.0,72.0,22.0,'rate','0'
1701.0,1241.0,47.0,91.0,64.0,66.0,33.0,24.0,'of','0'
1748.0,1241.0,93.0,47.0,64.0,66.0,74.0,24.0,'heat','0'
1841.0,1241.0,90.0,93.0,64.0,66.0,70.0,25.0,'loss','0'
1931.0,1241.0,1761.0,90.0,64.0,66.0,58.0,24.0,'and','0'
172.0,1304.0,118.0,1761.0,64.0,64.0,102.0,23.0,'hence','0'
290.0,1304.0,73.0,118.0,65.0,64.0,54.0,25.0,'the','0'
363.0,1304.0,217.0,73.0,65.0,64.0,200.0,30.0,'subsequent','0'
580.0,1304.0,91.0,217.0,65.0,64.0,73.0,24.0,'heat','0'
671.0,1304.0,198.0,91.0,65.0,64.0,158.0,32.0,'quantity.','0'
869.0,1304.0,83.0,198.0,65.0,64.0,64.0,24.0,'The','0'
952.0,1304.0,148.0,83.0,65.0,64.0,130.0,23.0,'amount','0'
1100.0,1304.0,46.0,148.0,65.0,64.0,33.0,25.0,'of','0'
1146.0,1304.0,227.0,46.0,65.0,64.0,210.0,25.0,'mechanical','0'
1373.0,1304.0,240.0,227.0,65.0,64.0,219.0,25.0,'deformation','0'
1613.0,1304.0,170.0,240.0,65.0,64.0,153.0,29.0,'(relative','0'
1783.0,1304.0,51.0,170.0,65.0,64.0,34.0,22.0,'to','0'
1834.0,1304.0,1663.0,51.0,65.0,64.0,92.0,19.0,'some','0'
173.0,1368.0,126.0,1663.0,65.0,65.0,111.0,25.0,'initial','0'
299.0,1368.0,198.0,126.0,65.0,65.0,178.0,25.0,'reference','0'
497.0,1368.0,273.0,198.0,65.0,65.0,254.0,33.0,'configuration)','0'
770.0,1368.0,211.0,273.0,65.0,65.0,192.0,30.0,'performed','0'
981.0,1368.0,56.0,211.0,65.0,65.0,38.0,17.0,'on','0'
1037.0,1368.0,35.0,56.0,65.0,65.0,17.0,17.0,'a','0'
1072.0,1368.0,148.0,35.0,65.0,65.0,129.0,30.0,'system','0'
1220.0,1368.0,201.0,148.0,65.0,65.0,182.0,26.0,'influences','0'
1421.0,1368.0,71.0,201.0,65.0,65.0,51.0,23.0,'the','0'
1492.0,1368.0,223.0,71.0,65.0,65.0,207.0,25.0,'mechanical','0'
1715.0,1368.0,126.0,223.0,65.0,65.0,105.0,32.0,'states','0'
1841.0,1368.0,1671.0,126.0,65.0,65.0,57.0,25.0,'and','0'
172.0,1432.0,212.0,1671.0,65.0,65.0,192.0,30.0,'properties','0'
384.0,1432.0,47.0,212.0,63.0,65.0,33.0,24.0,'of','0'
431.0,1432.0,71.0,47.0,63.0,65.0,53.0,23.0,'the','0'
502.0,1432.0,121.0,71.0,63.0,65.0,99.0,25.0,'rocks','0'
623.0,1432.0,47.0,121.0,63.0,65.0,32.0,25.0,'of','0'
670.0,1432.0,72.0,47.0,63.0,65.0,52.0,24.0,'the','0'
742.0,1432.0,166.0,72.0,63.0,65.0,142.0,30.0,'system,','0'
908.0,1432.0,119.0,166.0,63.0,65.0,101.0,24.0,'hence','0'
1027.0,1432.0,72.0,119.0,63.0,65.0,53.0,24.0,'the','0'
1099.0,1432.0,126.0,72.0,63.0,65.0,107.0,24.0,'future','0'
1225.0,1432.0,222.0,126.0,63.0,65.0,207.0,25.0,'mechanical','0'
1447.0,1432.0,106.0,222.0,63.0,65.0,90.0,24.0,'work','0'
1553.0,1432.0,148.0,106.0,63.0,65.0,108.0,24.0,'rates.','0'
1701.0,1432.0,153.0,148.0,63.0,65.0,133.0,25.0,'Similar','0'
1854.0,1432.0,1683.0,153.0,63.0,65.0,196.0,24.0,'statements','0'
173.0,1494.0,75.0,1683.0,63.0,63.0,58.0,17.0,'are','0'
248.0,1494.0,94.0,75.0,63.0,63.0,74.0,23.0,'true','0'
342.0,1494.0,49.0,94.0,63.0,63.0,32.0,24.0,'of','0'
391.0,1494.0,203.0,49.0,63.0,63.0,187.0,33.0,'fracturing','0'
594.0,1494.0,77.0,203.0,63.0,63.0,59.0,24.0,'and','0'
671.0,1494.0,212.0,77.0,63.0,63.0,193.0,31.0,'production','0'
883.0,1494.0,48.0,212.0,63.0,63.0,32.0,24.0,'of','0'
931.0,1494.0,98.0,48.0,63.0,63.0,82.0,24.0,'rock','0'
1029.0,1494.0,213.0,98.0,63.0,63.0,172.0,31.0,'openings.','0'
1242.0,1494.0,249.0,213.0,63.0,63.0,231.0,25.0,'Groundwater','0'
1491.0,1494.0,197.0,249.0,63.0,63.0,175.0,29.0,'quantities','0'
1688.0,1494.0,181.0,197.0,63.0,63.0,161.0,25.0,'influence','0'
1869.0,1494.0,1698.0,181.0,63.0,63.0,106.0,25.0,'future','0'
173.0,1557.0,120.0,1698.0,63.0,63.0,102.0,25.0,'Level','0'
293.0,1557.0,126.0,120.0,65.0,63.0,107.0,24.0,'states','0'
419.0,1557.0,70.0,126.0,65.0,63.0,53.0,22.0,'via','0'
489.0,1557.0,217.0,70.0,65.0,63.0,200.0,29.0,'consequent','0'
706.0,1557.0,211.0,217.0,65.0,63.0,192.0,32.0,'hydrologic','0'
917.0,1557.0,92.0,211.0,65.0,63.0,74.0,25.0,'flow','0'
1009.0,1557.0,148.0,92.0,65.0,63.0,107.0,24.0,'rates.','0'
1157.0,1557.0,251.0,148.0,65.0,63.0,232.0,26.0,'Radionuclide','0'
1408.0,1557.0,196.0,251.0,65.0,63.0,177.0,31.0,'quantities','0'
1604.0,1557.0,49.0,196.0,65.0,63.0,31.0,23.0,'in','0'
1653.0,1557.0,161.0,49.0,65.0,63.0,142.0,26.0,'solution','0'
1814.0,1557.0,1643.0,161.0,65.0,63.0,162.0,24.0,'influence','0'
173.0,1622.0,126.0,1643.0,65.0,65.0,108.0,24.0,'future','0'
299.0,1622.0,114.0,126.0,259.0,65.0,93.0,24.0,'rates','0'
