@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Table','I-1.','Waste-Acceptance','Schedule--Authorized','System','(Metric','tons','of','uranium','(MTU)','per','year)','First','Repository','Second','High-Level','Year','Spent','Fuel','Waste'','1998','400','1999','2000','2001','900','2002','1,800','2003','3,000','2004','2005','2006','2007','2008','2009','2010','2011','2,400','2012','2013','320','2014','2015','2016','2017','2018','2019','2020','2021','2022','2023','1,780','2024','2025','2026','2027','2028','2029','2030','120','Cumulative','65,680','4,320','64,620',''Approximate','waste-acceptance','rates','for','high-level','waste','from','atomic','energy','defense','activities','and','commercial','the','West','Valley','Demonstration','Project.','Quantities','have','been','to','metric','(MTUs)','on','a','curie-equivalent','basis.','This','table','assumes','16,000','DHLW','canisters','640','MTU','CHLW.','In','this','example,','equals','800','canisters.','Actual','acceptance','are','be','negotiated','between','Defense','Programs','Office','Civilian','Radioactive','Waste','Management','in','DOE.','-6-'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
591.0,288.0,152.0,0.0,224.0,0.0,118.0,31.0,'Table','0'
743.0,288.0,145.0,152.0,224.0,0.0,86.0,30.0,'I-1.','0'
888.0,288.0,425.0,145.0,224.0,0.0,393.0,37.0,'Waste-Acceptance','0'
1313.0,288.0,521.0,425.0,224.0,0.0,490.0,32.0,'Schedule--Authorized','0'
1834.0,288.0,1027.0,521.0,224.0,0.0,145.0,36.0,'System','0'
809.0,336.0,198.0,1027.0,224.0,224.0,163.0,37.0,'(Metric','0'
1007.0,336.0,121.0,198.0,155.0,224.0,90.0,26.0,'tons','0'
1128.0,336.0,74.0,121.0,155.0,224.0,44.0,31.0,'of','0'
1202.0,336.0,203.0,74.0,155.0,224.0,171.0,31.0,'uranium','0'
1405.0,336.0,144.0,203.0,155.0,224.0,110.0,37.0,'(MTU)','0'
1549.0,336.0,98.0,144.0,155.0,224.0,69.0,29.0,'per','0'
1647.0,336.0,822.0,98.0,155.0,224.0,119.0,41.0,'year)','0'
840.0,487.0,148.0,822.0,155.0,155.0,118.0,31.0,'First','1'
988.0,487.0,620.0,148.0,278.0,155.0,245.0,37.0,'Repository','1'
1608.0,487.0,174.0,620.0,278.0,155.0,144.0,29.0,'Second','1'
1782.0,487.0,671.0,174.0,278.0,155.0,245.0,37.0,'Repository','1'
1113.0,536.0,768.0,671.0,278.0,278.0,241.0,38.0,'High-Level','1'
1881.0,536.0,1415.0,768.0,648.0,278.0,244.0,39.0,'High-Level','1'
467.0,576.0,273.0,1415.0,648.0,648.0,95.0,29.0,'Year','1'
740.0,576.0,150.0,273.0,110.0,648.0,118.0,37.0,'Spent','1'
890.0,576.0,272.0,150.0,110.0,648.0,92.0,30.0,'Fuel','1'
1162.0,576.0,346.0,272.0,110.0,648.0,138.0,41.0,'Waste'','1'
1508.0,576.0,149.0,346.0,110.0,648.0,119.0,37.0,'Spent','1'
1657.0,576.0,273.0,149.0,110.0,648.0,93.0,31.0,'Fuel','1'
1930.0,576.0,1465.0,273.0,110.0,648.0,140.0,40.0,'Waste'','1'
470.0,685.0,394.0,1465.0,110.0,110.0,90.0,31.0,'1998','1'
864.0,685.0,398.0,394.0,49.0,110.0,69.0,31.0,'400','1'
470.0,734.0,394.0,398.0,49.0,49.0,90.0,32.0,'1999','1'
864.0,734.0,399.0,394.0,51.0,49.0,69.0,31.0,'400','1'
469.0,784.0,395.0,399.0,51.0,51.0,91.0,31.0,'2000','1'
864.0,784.0,399.0,395.0,50.0,51.0,69.0,31.0,'400','1'
469.0,834.0,396.0,399.0,50.0,50.0,90.0,31.0,'2001','1'
865.0,834.0,400.0,396.0,49.0,50.0,68.0,31.0,'900','1'
469.0,883.0,347.0,400.0,49.0,49.0,91.0,31.0,'2002','1'
816.0,883.0,351.0,347.0,50.0,49.0,116.0,38.0,'1,800','1'
469.0,933.0,346.0,351.0,50.0,50.0,91.0,31.0,'2003','1'
815.0,933.0,397.0,346.0,49.0,50.0,118.0,37.0,'3,000','1'
1212.0,933.0,745.0,397.0,49.0,50.0,68.0,30.0,'400','1'
469.0,982.0,346.0,745.0,49.0,49.0,91.0,30.0,'2004','1'
815.0,982.0,397.0,346.0,51.0,49.0,117.0,37.0,'3,000','1'
1212.0,982.0,746.0,397.0,51.0,49.0,68.0,30.0,'400','1'
