@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Table','11-2','At-Reactor','Additional','Pool','Storage','Needed','Cumulative','Year','(MTU)','1984','0','1985','1986','20','1987','60','1988','180','1989','339','1990','564','1991','969','1992','1,311','1993','1,776','1994','2,368','1995','2,886','1996','3,696','1997','4,580','1998','5,433','1999','6,729','2000','8,069','2001','9,361','2002','11,212','2003','12,753','Data','from,','12/5/84','letter,','Spent','Fuel','Requirements','Through','1997,','from','D.','Newman,','Manager,','Commercial','Management','Program,','PNL','to','P.','Craig,','Director,','Program','Office,','Richland','Operations','Department','of','Energy.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1120.0,294.0,154.0,0.0,396.0,0.0,119.0,32.0,'Table','0'
1274.0,294.0,547.0,154.0,396.0,0.0,92.0,30.0,'11-2','0'
737.0,394.0,273.0,547.0,396.0,396.0,246.0,30.0,'At-Reactor','0'
1010.0,394.0,275.0,273.0,746.0,396.0,243.0,31.0,'Additional','0'
1285.0,394.0,125.0,275.0,746.0,396.0,93.0,31.0,'Pool','0'
1410.0,394.0,197.0,125.0,746.0,396.0,169.0,37.0,'Storage','0'
1607.0,394.0,204.0,197.0,746.0,396.0,147.0,30.0,'Needed','0'
1468.0,542.0,273.0,204.0,746.0,746.0,245.0,31.0,'Cumulative','1'
1741.0,542.0,228.0,273.0,72.0,746.0,245.0,32.0,'Additional','1'
1519.0,592.0,124.0,228.0,72.0,72.0,93.0,31.0,'Pool','1'
1643.0,592.0,197.0,124.0,797.0,72.0,169.0,38.0,'Storage','1'
1840.0,592.0,1117.0,197.0,797.0,72.0,148.0,30.0,'Needed','1'
724.0,638.0,974.0,1117.0,797.0,797.0,95.0,29.0,'Year','1'
1698.0,638.0,978.0,974.0,103.0,797.0,113.0,39.0,'(MTU)','1'
726.0,740.0,991.0,978.0,103.0,103.0,92.0,32.0,'1984','1'
1717.0,740.0,993.0,991.0,50.0,103.0,20.0,31.0,'0','1'
726.0,790.0,991.0,993.0,50.0,50.0,90.0,32.0,'1985','1'
1717.0,790.0,994.0,991.0,51.0,50.0,20.0,31.0,'0','1'
725.0,840.0,969.0,994.0,51.0,51.0,91.0,32.0,'1986','1'
1694.0,840.0,970.0,969.0,51.0,51.0,42.0,31.0,'20','1'
726.0,890.0,966.0,970.0,51.0,51.0,91.0,32.0,'1987','1'
1692.0,890.0,968.0,966.0,49.0,51.0,44.0,31.0,'60','1'
726.0,939.0,943.0,968.0,49.0,49.0,91.0,31.0,'1988','1'
1669.0,939.0,946.0,943.0,51.0,49.0,67.0,31.0,'180','1'
725.0,989.0,942.0,946.0,51.0,51.0,91.0,32.0,'1989','1'
1667.0,989.0,943.0,942.0,51.0,51.0,69.0,31.0,'339','1'
726.0,1039.0,941.0,943.0,51.0,51.0,90.0,31.0,'1990','1'
1667.0,1039.0,943.0,941.0,49.0,51.0,70.0,30.0,'564','1'
726.0,1088.0,942.0,943.0,49.0,49.0,89.0,31.0,'1991','1'
1668.0,1088.0,944.0,942.0,49.0,49.0,68.0,31.0,'969','1'
726.0,1137.0,893.0,944.0,49.0,49.0,90.0,31.0,'1992','1'
1619.0,1137.0,896.0,893.0,50.0,49.0,115.0,37.0,'1,311','1'
725.0,1186.0,893.0,896.0,50.0,50.0,91.0,31.0,'1993','1'
1618.0,1186.0,894.0,893.0,51.0,50.0,116.0,38.0,'1,776','1'
726.0,1236.0,892.0,894.0,51.0,51.0,91.0,31.0,'1994','1'
1618.0,1236.0,894.0,892.0,50.0,51.0,117.0,38.0,'2,368','1'
726.0,1286.0,892.0,894.0,50.0,50.0,89.0,31.0,'1995','1'
1618.0,1286.0,895.0,892.0,51.0,50.0,117.0,38.0,'2,886','1'
725.0,1336.0,892.0,895.0,51.0,51.0,89.0,31.0,'1996','1'
1617.0,1336.0,894.0,892.0,49.0,51.0,117.0,37.0,'3,696','1'
725.0,1385.0,890.0,894.0,49.0,49.0,90.0,31.0,'1997','1'
1615.0,1385.0,892.0,890.0,50.0,49.0,120.0,38.0,'4,580','1'
725.0,1435.0,891.0,892.0,50.0,50.0,91.0,31.0,'1998','1'
1616.0,1435.0,894.0,891.0,51.0,50.0,119.0,37.0,'5,433','1'
724.0,1485.0,891.0,894.0,51.0,51.0,91.0,31.0,'1999','1'
1615.0,1485.0,893.0,891.0,50.0,51.0,119.0,37.0,'6,729','1'
724.0,1535.0,891.0,893.0,50.0,50.0,91.0,31.0,'2000','1'
1615.0,1535.0,893.0,891.0,49.0,50.0,120.0,37.0,'8,069','1'
724.0,1584.0,893.0,893.0,49.0,49.0,90.0,30.0,'2001','1'
1617.0,1584.0,896.0,893.0,51.0,49.0,117.0,37.0,'9,361','1'
723.0,1634.0,870.0,896.0,51.0,51.0,92.0,31.0,'2002','1'
1593.0,1634.0,872.0,870.0,49.0,51.0,142.0,36.0,'11,212','1'
723.0,1683.0,869.0,872.0,49.0,49.0,91.0,31.0,'2003','1'
1592.0,1683.0,1356.0,869.0,501.0,49.0,142.0,37.0,'12,753','1'
245.0,1831.0,127.0,1356.0,501.0,501.0,98.0,30.0,'Data','0'
372.0,1831.0,151.0,127.0,53.0,501.0,115.0,38.0,'from,','0'
523.0,1831.0,200.0,151.0,53.0,501.0,169.0,36.0,'12/5/84','0'
723.0,1831.0,196.0,200.0,53.0,501.0,162.0,37.0,'letter,','0'
919.0,1831.0,148.0,196.0,53.0,501.0,119.0,35.0,'Spent','0'
1067.0,1831.0,124.0,148.0,53.0,501.0,93.0,31.0,'Fuel','0'
1191.0,1831.0,199.0,124.0,53.0,501.0,170.0,36.0,'Storage','0'
1390.0,1831.0,324.0,199.0,53.0,501.0,292.0,37.0,'Requirements','0'
1714.0,1831.0,202.0,324.0,53.0,501.0,171.0,36.0,'Through','0'
1916.0,1831.0,149.0,202.0,53.0,501.0,114.0,38.0,'1997,','0'
2065.0,1831.0,1820.0,149.0,53.0,501.0,98.0,32.0,'from','0'
246.0,1883.0,74.0,1820.0,53.0,53.0,41.0,28.0,'D.','0'
320.0,1883.0,200.0,74.0,49.0,53.0,167.0,35.0,'Newman,','0'
520.0,1883.0,225.0,200.0,49.0,53.0,192.0,37.0,'Manager,','0'
745.0,1883.0,274.0,225.0,49.0,53.0,243.0,32.0,'Commercial','0'
1019.0,1883.0,147.0,274.0,49.0,53.0,117.0,37.0,'Spent','0'
1166.0,1883.0,123.0,147.0,49.0,53.0,93.0,31.0,'Fuel','0'
1289.0,1883.0,276.0,123.0,49.0,53.0,245.0,36.0,'Management','0'
1565.0,1883.0,224.0,276.0,49.0,53.0,190.0,38.0,'Program,','0'
1789.0,1883.0,102.0,224.0,49.0,53.0,71.0,29.0,'PNL','0'
1891.0,1883.0,73.0,102.0,49.0,53.0,42.0,27.0,'to','0'
1964.0,1883.0,74.0,73.0,49.0,53.0,40.0,29.0,'P.','0'
2038.0,1883.0,1793.0,74.0,49.0,53.0,144.0,39.0,'Craig,','0'
246.0,1932.0,250.0,1793.0,49.0,49.0,217.0,37.0,'Director,','0'
496.0,1932.0,275.0,250.0,49.0,49.0,244.0,32.0,'Commercial','0'
771.0,1932.0,148.0,275.0,49.0,49.0,118.0,38.0,'Spent','0'
919.0,1932.0,122.0,148.0,49.0,49.0,93.0,31.0,'Fuel','0'
1041.0,1932.0,275.0,122.0,49.0,49.0,244.0,38.0,'Management','0'
1316.0,1932.0,198.0,275.0,49.0,49.0,172.0,37.0,'Program','0'
1514.0,1932.0,199.0,198.0,49.0,49.0,166.0,37.0,'Office,','0'
1713.0,1932.0,225.0,199.0,49.0,49.0,197.0,31.0,'Richland','0'
1938.0,1932.0,1693.0,225.0,49.0,49.0,247.0,39.0,'Operations','0'
246.0,1981.0,199.0,1693.0,49.0,49.0,166.0,37.0,'Office,','0'
445.0,1981.0,275.0,199.0,549.0,49.0,245.0,38.0,'Department','0'
720.0,1981.0,75.0,275.0,549.0,49.0,43.0,32.0,'of','0'
794.0,1984.0,0.0,75.0,549.0,549.0,164.0,37.0,'Energy.','0'
