@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'6-6','Summary','of','Design','Requirements','for','Options','in','the','Underground','Facility','Sumps','and','Channels','6-26','-','6-7','Chart','Flow','Through','an','Inclined,','Backfilled','Drainage','Channel','6-28','6-8','Dams','Bulkheads','Vertical','Emplacement','6-29','6-9','Proposed','Locations','Seals','6-32','6-10','Horizontal','6-38','6-11','6-40','6-12','Repository','Perimeter','Drift,','Borehole','Locations,','1-,','2-,','3-,','4-,','5-km','Distance','Contours','From','Edge','Drift','6-43','6-13','Contour','Maps','Stratigraphic','Contacts','Geologic','Units','Below','6-45','6-14','Schematic','Presentation','Cases','Analyzed','to','Develop','Hydrologic','Performance','Goals','6-49','6-15','Considering','Varying','Bulk','Rock','Hydraulic','Conductivity','Values','Assuming','Several','Conditions','Lateral','Along','6-51','7-1','Materials','Selection','Activities','Advanced','Conceptual','7-2','Initial','Screen','Candidate','Seal','7-5','xi'}
@ATTRIBUTE 'table' {'1','0'}

@DATA
305.0,380.0,173.0,0.0,182.0,0.0,69.0,36.0,'6-6','1'
478.0,380.0,200.0,173.0,182.0,0.0,171.0,40.0,'Summary','1'
678.0,380.0,76.0,200.0,182.0,0.0,49.0,32.0,'of','1'
754.0,380.0,175.0,76.0,182.0,0.0,146.0,40.0,'Design','1'
929.0,380.0,325.0,175.0,182.0,0.0,293.0,40.0,'Requirements','1'
1254.0,380.0,97.0,325.0,182.0,0.0,67.0,33.0,'for','1'
1351.0,380.0,173.0,97.0,182.0,0.0,144.0,40.0,'Design','1'
1524.0,380.0,203.0,173.0,182.0,0.0,171.0,40.0,'Options','1'
1727.0,380.0,1248.0,203.0,182.0,0.0,42.0,31.0,'in','1'
480.0,427.0,98.0,1248.0,182.0,182.0,70.0,31.0,'the','1'
578.0,427.0,301.0,98.0,625.0,182.0,272.0,41.0,'Underground','1'
879.0,427.0,276.0,301.0,625.0,182.0,195.0,40.0,'Facility','1'
1155.0,427.0,146.0,276.0,625.0,182.0,118.0,39.0,'Sumps','1'
1301.0,427.0,99.0,146.0,625.0,182.0,70.0,31.0,'and','1'
1400.0,427.0,697.0,99.0,625.0,182.0,196.0,32.0,'Channels','1'
2097.0,427.0,994.0,697.0,625.0,182.0,94.0,37.0,'6-26','1'
1104.0,450.0,803.0,994.0,625.0,625.0,19.0,6.0,'-','1'
305.0,529.0,174.0,803.0,803.0,803.0,70.0,40.0,'6-7','1'
479.0,529.0,175.0,174.0,181.0,803.0,146.0,40.0,'Design','1'
654.0,529.0,151.0,175.0,181.0,803.0,121.0,31.0,'Chart','1'
805.0,529.0,99.0,151.0,181.0,803.0,69.0,32.0,'for','1'
904.0,529.0,123.0,99.0,181.0,803.0,96.0,32.0,'Flow','1'
