@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TABLE','A-3.','Values','of','Gy','for','Pasquill','Stability','Categories','DISTANCE','c','Type','METERS','A','B',''C','D','E','F','100','21','16','12','8.0','6.0','3.9','150','34','24','18','9.0','250','54','40','28','20','14','9.8','350','75','55','26','500','76','37','700','140','110','51','1,000','200','160','72','52','36','1,500','290','220','2,500','450','340','240','120','81','3,500','610','460','330','5,000','830','630','310','7,000','1,100','840','420','300','210','10,000','1,600','1,200','850','570','410','280','15,000','2,200','1,700','810','400','25,000','3,400','2,600','1,800','8dG','35,000','4,500','820','50,000','6,200','4,700','2,300','70,000','8,200','F,400','3,000','2,100','100,000','11,000','8,500','6,300','4,100','2,800','2,000','A.6'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
456.0,522.0,128.0,0.0,131.0,0.0,103.0,32.0,'TABLE','0'
584.0,522.0,133.0,128.0,131.0,0.0,79.0,31.0,'A-3.','0'
717.0,522.0,152.0,133.0,131.0,0.0,124.0,32.0,'Values','0'
869.0,522.0,66.0,152.0,131.0,0.0,39.0,31.0,'of','0'
935.0,522.0,67.0,66.0,131.0,0.0,40.0,38.0,'Gy','0'
1002.0,522.0,86.0,67.0,131.0,0.0,60.0,31.0,'for','0'
1088.0,522.0,198.0,86.0,131.0,0.0,167.0,38.0,'Pasquill','0'
1286.0,522.0,217.0,198.0,131.0,0.0,195.0,39.0,'Stability','0'
1503.0,522.0,1101.0,217.0,131.0,0.0,211.0,39.0,'Categories','0'
409.0,644.0,566.0,1101.0,131.0,131.0,170.0,32.0,'DISTANCE','1'
975.0,644.0,67.0,566.0,40.0,131.0,20.0,22.0,'c','1'
1042.0,644.0,88.0,67.0,40.0,131.0,60.0,33.0,'for','1'
1130.0,644.0,197.0,88.0,40.0,131.0,165.0,39.0,'Pasquill','1'
1327.0,644.0,897.0,197.0,40.0,131.0,84.0,37.0,'Type','1'
431.0,677.0,260.0,897.0,40.0,40.0,127.0,31.0,'METERS','1'
691.0,677.0,198.0,260.0,105.0,40.0,19.0,32.0,'A','1'
889.0,677.0,119.0,198.0,105.0,40.0,17.0,30.0,'B','1'
1008.0,677.0,253.0,119.0,105.0,40.0,72.0,43.0,''C','1'
1261.0,677.0,221.0,253.0,105.0,40.0,18.0,30.0,'D','1'
