@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'19','Nuclide','inventories:','I','and','1','2','Leach','duration:','T2','(105','yrs)','Boundary','condition:','B1','and/or','B2','Migration','length:','L','(500','m)','Ground','water','velocity:','V','(1','m/yr)','Peclet','number:','P2','(10)','R)','Retention','factors','The','variation','of','the','retention','with','distance','is','Ich)','expressed','in','analytic','form','R','=','G+H','where','constants','are','given','tables','below','for','two','sets','which','calculations','have','been','made.','Element','Cm','10','000','-7500','Np','400','-1050','U','600','-','450','Th','40','-30','Ra','20','-15','500','470','700','300','270','Tb','5','-'75O','-1','990','Case','4','a','_','This','case','based','on','basic','set','parameter','values','from','but','lateral','dispersion','added.','h)','See','(page','45)','Notes'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1550.0,120.0,676.0,0.0,676.0,0.0,36.0,30.0,'19','0'
895.0,285.0,194.0,676.0,676.0,676.0,163.0,30.0,'Nuclide','0'
1089.0,285.0,607.0,194.0,56.0,676.0,275.0,29.0,'inventories:','0'
1696.0,285.0,25.0,607.0,56.0,676.0,17.0,29.0,'I','0'
1721.0,285.0,45.0,25.0,56.0,676.0,11.0,28.0,'I','0'
1766.0,285.0,98.0,45.0,56.0,676.0,64.0,28.0,'and','0'
1864.0,285.0,23.0,98.0,56.0,676.0,16.0,29.0,'1','0'
1887.0,285.0,994.0,23.0,56.0,676.0,17.0,30.0,'2','0'
895.0,341.0,144.0,994.0,56.0,56.0,116.0,29.0,'Leach','0'
1039.0,341.0,656.0,144.0,84.0,56.0,207.0,30.0,'duration:','0'
1695.0,341.0,75.0,656.0,84.0,56.0,42.0,45.0,'T2','0'
1770.0,341.0,115.0,75.0,84.0,56.0,85.0,48.0,'(105','0'
1885.0,341.0,993.0,115.0,84.0,56.0,88.0,40.0,'yrs)','0'
896.0,424.0,215.0,993.0,84.0,84.0,187.0,34.0,'Boundary','0'
1111.0,424.0,585.0,215.0,74.0,84.0,230.0,29.0,'condition:','0'
1696.0,424.0,70.0,585.0,74.0,84.0,42.0,45.0,'B1','0'
1766.0,424.0,168.0,70.0,74.0,84.0,139.0,35.0,'and/or','0'
1934.0,424.0,1043.0,168.0,74.0,84.0,42.0,45.0,'B2','0'
894.0,497.0,243.0,1043.0,74.0,74.0,213.0,35.0,'Migration','0'
1137.0,497.0,557.0,243.0,70.0,74.0,157.0,36.0,'length:','0'
1694.0,497.0,28.0,557.0,70.0,74.0,21.0,28.0,'L','0'
1722.0,497.0,48.0,28.0,70.0,74.0,11.0,28.0,'1','0'
1770.0,497.0,114.0,48.0,70.0,74.0,86.0,35.0,'(500','0'
1884.0,497.0,991.0,114.0,70.0,74.0,39.0,35.0,'m)','0'
896.0,566.0,166.0,991.0,70.0,70.0,138.0,29.0,'Ground','0'
