@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'4','Table','11.2--Cross-reference','list','of','variablesContinued','Refer-','Variable','encing','name','programs','type','JE','RR','HST3D','LOGICAL*4','DIMENSION(200)','IHTCR','INTEGER*4','ERROR1','DUMP','ERROR2','INIT1','ERROR3','INIT2','ERRPRT','READ1','WBBAL','IREW1','WELLSS','ITER','IHWT','READ2','READ3','II','ASEMBL','REWI','MAP2D','REWI3','SOR2L','Ill','SUMCAL','DIMENSION','(200)','1112','PRNTAR','CHARACTER*4','IF','12','CHARACTER*','II1P1','IFACE','IRE','WI','1111','IFMT','WRITE2','IFORM','CHARACTER*84','II2Z','IFRAC','IG12','CHARACTER*6','IHDPRT','113','1132','ZONPLT','115'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
313.0,154.0,633.0,0.0,633.0,0.0,10.0,19.0,'4','0'
929.0,297.0,155.0,633.0,633.0,633.0,122.0,30.0,'Table','0'
1084.0,297.0,544.0,155.0,179.0,633.0,514.0,31.0,'11.2--Cross-reference','0'
1628.0,297.0,123.0,544.0,179.0,633.0,95.0,33.0,'list','0'
1751.0,297.0,73.0,123.0,179.0,633.0,48.0,29.0,'of','0'
1824.0,297.0,1049.0,73.0,179.0,633.0,490.0,33.0,'variablesContinued','0'
780.0,396.0,1166.0,1049.0,179.0,179.0,143.0,30.0,'Refer-','1'
1946.0,396.0,1440.0,1166.0,278.0,179.0,144.0,30.0,'Refer-','1'
507.0,445.0,274.0,1440.0,278.0,278.0,195.0,31.0,'Variable','1'
781.0,445.0,346.0,274.0,74.0,278.0,146.0,38.0,'encing','1'
1127.0,445.0,547.0,346.0,74.0,278.0,196.0,30.0,'Variable','1'
1674.0,445.0,273.0,547.0,74.0,278.0,195.0,32.0,'Variable','1'
1947.0,445.0,346.0,273.0,74.0,278.0,147.0,36.0,'encing','1'
2293.0,445.0,1737.0,346.0,74.0,278.0,195.0,30.0,'Variable','1'
557.0,499.0,198.0,1737.0,74.0,74.0,95.0,20.0,'name','1'
755.0,499.0,425.0,198.0,99.0,74.0,194.0,31.0,'programs','1'
1180.0,499.0,544.0,425.0,99.0,74.0,94.0,35.0,'type','1'
1724.0,499.0,197.0,544.0,99.0,74.0,95.0,20.0,'name','1'
1921.0,499.0,424.0,197.0,99.0,74.0,195.0,31.0,'programs','1'
2345.0,499.0,1839.0,424.0,99.0,74.0,93.0,35.0,'type','1'
508.0,584.0,47.0,1839.0,99.0,99.0,41.0,28.0,'JE','1'
555.0,584.0,197.0,47.0,250.0,99.0,45.0,29.0,'RR','1'
752.0,584.0,250.0,197.0,250.0,99.0,122.0,31.0,'HST3D','1'
1002.0,584.0,248.0,250.0,250.0,99.0,220.0,34.0,'LOGICAL*4','1'
1250.0,584.0,424.0,248.0,250.0,99.0,340.0,39.0,'DIMENSION(200)','1'
1674.0,584.0,245.0,424.0,250.0,99.0,119.0,30.0,'IHTCR','1'
1919.0,584.0,252.0,245.0,250.0,99.0,122.0,31.0,'HST3D','1'
2171.0,584.0,1420.0,252.0,250.0,99.0,215.0,33.0,'INTEGER*4','1'
752.0,635.0,250.0,1420.0,250.0,250.0,143.0,31.0,'ERROR1','1'
1002.0,635.0,248.0,250.0,50.0,250.0,220.0,33.0,'LOGICAL*4','1'
1250.0,635.0,669.0,248.0,50.0,250.0,340.0,38.0,'DIMENSION(200)','1'
1919.0,635.0,252.0,669.0,50.0,250.0,97.0,31.0,'DUMP','1'
2171.0,635.0,1421.0,252.0,50.0,250.0,215.0,33.0,'INTEGER*4','1'
751.0,684.0,249.0,1421.0,50.0,50.0,146.0,30.0,'ERROR2','1'
1000.0,684.0,248.0,249.0,50.0,50.0,222.0,33.0,'LOGICAL*4','1'
1248.0,684.0,674.0,248.0,50.0,50.0,342.0,38.0,'DIMENSION(200)','1'
1922.0,684.0,248.0,674.0,50.0,50.0,116.0,32.0,'INIT1','1'
2170.0,684.0,1420.0,248.0,50.0,50.0,216.0,32.0,'INTEGER*4','1'
751.0,734.0,251.0,1420.0,50.0,50.0,147.0,32.0,'ERROR3','1'
1002.0,734.0,247.0,251.0,51.0,50.0,221.0,34.0,'LOGICAL*4','1'
1249.0,734.0,673.0,247.0,51.0,50.0,342.0,38.0,'DIMENSION(200)','1'
1922.0,734.0,248.0,673.0,51.0,50.0,119.0,31.0,'INIT2','1'
2170.0,734.0,1419.0,248.0,51.0,50.0,217.0,33.0,'INTEGER*4','1'
752.0,784.0,249.0,1419.0,51.0,51.0,147.0,32.0,'ERRPRT','1'
1001.0,784.0,248.0,249.0,50.0,51.0,221.0,34.0,'LOGICAL*4','1'
1249.0,784.0,670.0,248.0,50.0,51.0,341.0,39.0,'DIMENSION(200)','1'
1919.0,784.0,251.0,670.0,50.0,51.0,119.0,31.0,'READ1','1'
