@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'SANDIA','DPBM','-','MASTER','DR,MqING','LIST','SHEET','19','OF','28','ASSEMBLY','TITLE:','MUCK','TUBE','DRIVER','DRAWING','NO:','D36662','NO.','REV','RELEASE','2131415161','TITLE','DATE','1','10.25.85','836114','FLANGE','FEMALE','836115','MALE','A36109','WHEEL','BRACKET','A36108','836137','CABLE','SUPPORT','D36664','DRIVE','PLATE','I','COMPILED','BY:','DATE:','Peter','8:','Dowden','A35926','A-21'}
@ATTRIBUTE 'table' {'1','0'}

@DATA
538.0,342.0,180.0,0.0,94.0,0.0,150.0,28.0,'SANDIA','1'
718.0,342.0,128.0,180.0,94.0,0.0,100.0,27.0,'DPBM','1'
846.0,342.0,51.0,128.0,94.0,0.0,21.0,6.0,'-','1'
897.0,342.0,178.0,51.0,94.0,0.0,151.0,27.0,'MASTER','1'
1075.0,342.0,200.0,178.0,94.0,0.0,172.0,27.0,'DR,MqING','1'
1275.0,342.0,610.0,200.0,94.0,0.0,97.0,28.0,'LIST','1'
1885.0,342.0,150.0,610.0,94.0,0.0,125.0,27.0,'SHEET','1'
2035.0,342.0,78.0,150.0,94.0,0.0,43.0,30.0,'19','1'
2113.0,342.0,102.0,78.0,94.0,0.0,48.0,27.0,'OF','1'
2215.0,342.0,1680.0,102.0,94.0,0.0,45.0,30.0,'28','1'
538.0,436.0,231.0,1680.0,94.0,94.0,202.0,27.0,'ASSEMBLY','1'
769.0,436.0,252.0,231.0,482.0,94.0,147.0,26.0,'TITLE:','1'
1019.0,465.0,125.0,252.0,482.0,482.0,97.0,28.0,'MUCK','1'
1144.0,465.0,128.0,125.0,480.0,482.0,98.0,27.0,'TUBE','1'
1272.0,465.0,49.0,128.0,480.0,482.0,20.0,7.0,'-','1'
1321.0,465.0,782.0,49.0,480.0,482.0,152.0,27.0,'DRIVER','1'
541.0,508.0,203.0,782.0,480.0,480.0,173.0,26.0,'DRAWING','1'
744.0,508.0,173.0,203.0,89.0,480.0,69.0,27.0,'NO:','1'
917.0,508.0,386.0,173.0,89.0,480.0,148.0,27.0,'D36662','1'
542.0,596.0,203.0,386.0,89.0,89.0,175.0,27.0,'DRAWING','1'
745.0,596.0,260.0,203.0,36.0,89.0,68.0,26.0,'NO.','1'
1005.0,596.0,1088.0,260.0,36.0,89.0,72.0,25.0,'REV','1'
2093.0,596.0,1548.0,1088.0,36.0,89.0,173.0,28.0,'RELEASE','1'
546.0,631.0,833.0,1548.0,36.0,36.0,244.0,74.0,'2131415161','1'
1379.0,631.0,766.0,833.0,63.0,36.0,125.0,27.0,'TITLE','1'
2145.0,631.0,1650.0,766.0,63.0,36.0,96.0,26.0,'DATE','1'
496.0,668.0,101.0,1650.0,63.0,63.0,17.0,28.0,'1','1'
531.0,762.0,593.0,101.0,101.0,101.0,149.0,29.0,'D36662','1'
1124.0,762.0,125.0,593.0,102.0,101.0,98.0,26.0,'MUCK','1'
1249.0,762.0,128.0,125.0,102.0,101.0,97.0,28.0,'TUBE','1'
1377.0,762.0,51.0,128.0,102.0,101.0,22.0,6.0,'-','1'
1428.0,762.0,669.0,51.0,102.0,101.0,155.0,27.0,'DRIVER','1'
2097.0,762.0,1516.0,669.0,102.0,101.0,197.0,29.0,'10.25.85','1'
584.0,848.0,540.0,1516.0,102.0,102.0,151.0,30.0,'836114','1'
1124.0,848.0,177.0,540.0,88.0,102.0,148.0,26.0,'FLANGE','1'
1301.0,848.0,49.0,177.0,88.0,102.0,22.0,8.0,'-','1'
1350.0,848.0,748.0,49.0,88.0,102.0,154.0,27.0,'FEMALE','1'
2098.0,848.0,1516.0,748.0,88.0,102.0,198.0,29.0,'10.25.85','1'
585.0,935.0,542.0,1516.0,88.0,88.0,150.0,28.0,'836115','1'
1127.0,935.0,176.0,542.0,87.0,88.0,146.0,28.0,'FLANGE','1'
1303.0,935.0,49.0,176.0,87.0,88.0,22.0,7.0,'-','1'
1352.0,935.0,747.0,49.0,87.0,88.0,102.0,26.0,'MALE','1'
2099.0,935.0,1518.0,747.0,87.0,88.0,198.0,28.0,'10.25.85','1'
584.0,1021.0,541.0,1518.0,87.0,87.0,152.0,28.0,'A36109','1'
1125.0,1021.0,152.0,541.0,86.0,87.0,125.0,27.0,'WHEEL','1'
1277.0,1021.0,824.0,152.0,86.0,87.0,177.0,28.0,'BRACKET','1'
2101.0,1021.0,1518.0,824.0,86.0,87.0,197.0,29.0,'10.25.85','1'
586.0,1106.0,540.0,1518.0,86.0,86.0,153.0,29.0,'A36108','1'
1126.0,1106.0,975.0,540.0,88.0,86.0,125.0,27.0,'WHEEL','1'
2101.0,1106.0,1515.0,975.0,88.0,86.0,198.0,30.0,'10.25.85','1'
589.0,1193.0,540.0,1515.0,88.0,88.0,150.0,29.0,'836137','1'
1129.0,1193.0,151.0,540.0,86.0,88.0,123.0,27.0,'CABLE','1'
1280.0,1193.0,205.0,151.0,86.0,88.0,177.0,28.0,'SUPPORT','1'
1485.0,1193.0,618.0,205.0,86.0,88.0,179.0,28.0,'BRACKET','1'
2103.0,1193.0,1517.0,618.0,86.0,88.0,198.0,29.0,'10.25.85','1'
589.0,1279.0,542.0,1517.0,86.0,86.0,152.0,29.0,'D36664','1'
1131.0,1279.0,151.0,542.0,1549.0,86.0,120.0,27.0,'DRIVE','1'
1282.0,1279.0,822.0,151.0,1549.0,86.0,124.0,27.0,'PLATE','1'
2104.0,1279.0,2124.0,822.0,1549.0,86.0,197.0,29.0,'10.25.85','1'
649.0,2826.0,127.0,2124.0,1549.0,1549.0,5.0,15.0,'I','1'
527.0,2861.0,229.0,127.0,127.0,127.0,200.0,29.0,'COMPILED','1'
756.0,2861.0,767.0,229.0,416.0,127.0,68.0,27.0,'BY:','1'
1523.0,2861.0,255.0,767.0,416.0,127.0,119.0,28.0,'DATE:','1'
1778.0,2861.0,457.0,255.0,416.0,127.0,66.0,26.0,'NO.','1'
2235.0,2861.0,1298.0,457.0,416.0,127.0,74.0,27.0,'REV','1'
939.0,2917.0,152.0,1298.0,416.0,416.0,122.0,27.0,'Peter','1'
1091.0,2917.0,75.0,152.0,463.0,416.0,40.0,24.0,'8:','1'
1166.0,2917.0,369.0,75.0,463.0,416.0,147.0,29.0,'Dowden','1'
1535.0,2917.0,337.0,369.0,463.0,416.0,165.0,29.0,'10.25.85','1'
1872.0,2917.0,380.0,337.0,463.0,416.0,125.0,28.0,'A35926','1'
2252.0,2917.0,883.0,380.0,463.0,416.0,21.0,6.0,'-','1'
1380.0,3055.0,0.0,883.0,463.0,463.0,97.0,31.0,'A-21','0'
