@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'oqi','Table','4.--Material','properties','determinations','of','cores','from','UE25a-3','drill','hole','[Measurements','by','Holmes','and','Narver,','Inc.,','Mercury,','Nevada.','Measured','at','zero','confining','pressure.','Leaders','(---)','indicate','no','data]','Lithology','Depth','Axial','stress','Modulus','Poisson's','Bulk','Shear','number','meters','feet','failure','elasticity','ratio','modulus2','modulus3','MPa','X103','(v)','2,177','293.2','962','12.55','9.79','0.31','8.63','3.74','Argillite','2,184','398.4','1,307','9.10','4.34','.15','2.08','1.88','Do.','2,185','425.2','1,395','37.50','46.40','.22','27.17','19.10','Altered','argillite','2,186','441.9','1,450','15.40','4.36','2.57','1.79','2,187','466.0','1,529','88.25','42.20','19.93','18.41','2,188','505.1','1,657','23.99','29.37','17.58','11.99','2,189','523.3','1,717','19.03','15.93','9.31','6.56','2,191','591.3','1,940','67.91','43.44','.14','19.86','19.17','2,192','634.9','2,083','60.05','45.09','.19','23.86','Metasandstone','2,193','675.1','2,215','23.51','16.48','.13','7.38','7.31','2,194','700.4','2,298','84.80','46.06','.33','45.99','17.31',''Elastic','constants','were','calculated','50','percent','stress.','2Bulk','modulus','equation','3(1-2v)','3Shear','2(l+v)','E=modulus','v=Poisson's','29'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
2091.0,81.0,1582.0,0.0,1582.0,0.0,122.0,56.0,'oqi','0'
540.0,392.0,114.0,1582.0,1582.0,1582.0,90.0,26.0,'Table','0'
654.0,392.0,245.0,114.0,88.0,1582.0,216.0,26.0,'4.--Material','0'
899.0,392.0,205.0,245.0,88.0,1582.0,181.0,31.0,'properties','0'
1104.0,392.0,282.0,205.0,88.0,1582.0,258.0,27.0,'determinations','0'
1386.0,392.0,56.0,282.0,88.0,1582.0,34.0,25.0,'of','0'
1442.0,392.0,114.0,56.0,88.0,1582.0,88.0,19.0,'cores','0'
1556.0,392.0,93.0,114.0,88.0,1582.0,70.0,26.0,'from','0'
1649.0,392.0,149.0,93.0,88.0,1582.0,126.0,26.0,'UE25a-3','0'
1798.0,392.0,115.0,149.0,88.0,1582.0,85.0,26.0,'drill','0'
1913.0,392.0,1333.0,115.0,88.0,1582.0,69.0,26.0,'hole','0'
583.0,468.0,260.0,1333.0,88.0,88.0,235.0,34.0,'[Measurements','0'
843.0,468.0,54.0,260.0,133.0,88.0,32.0,31.0,'by','0'
897.0,468.0,134.0,54.0,133.0,88.0,108.0,26.0,'Holmes','0'
1031.0,468.0,74.0,134.0,133.0,88.0,51.0,26.0,'and','0'
1105.0,468.0,153.0,74.0,133.0,88.0,124.0,27.0,'Narver,','0'
1258.0,468.0,109.0,153.0,133.0,88.0,84.0,28.0,'Inc.,','0'
1367.0,468.0,169.0,109.0,133.0,88.0,144.0,29.0,'Mercury,','0'
1536.0,468.0,169.0,169.0,133.0,88.0,123.0,26.0,'Nevada.','0'
1705.0,468.0,171.0,169.0,133.0,88.0,146.0,27.0,'Measured','0'
