@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'7','YM-46','(610.1):','Devitrified','densely','welded','vitric-crystal','tuff.','Numerous','relict','pumice','pyroclasts','are','in','a','matrix','of','highly','compacted','shards','and','cement.','Pumice','have','been','replaced','by','1.','5','mm','diameter','spherulites','2-5','cm','long','fibrous','phases','(mostly','alkali','feldspar).','Shards','anhedral,','colorless','phases,','60','um','6','wide.','Abundant','hematite','occurs','as','disseminated','1-3','pm','grains.','Phenocrysts','include','plagioclase','(An8_9),','feldspar,','resorbed','quartz;','most','fractured.','A','3-5','wide','band','Mn-oxides','crosses','this','sample.','MODE','Phase','Volume','Percent','Matrixa',''b'c','shardsd','52.7','including','spherulitese'f','31.0','Alkali','feldspar','5.7','Plagioclase','4.3','Quartz','2.7','Lithic','fragments','0.3','Opaque','fracture','filling','2.3','Dispersed','1.0','Total','100.0','ANALYSES','b','c','d','e','f','Oxide','(1)','(2)','(3)','(5)','SiO','2','93.05','76.84(5.87)','81.84(2.46)','90.48(2.58)','50.44(2.29)','51.35(1.08)','Al','0','3','0.83','8.41(6.32)','9.72(0.80)','5.71(2.04)','13.34(0.09)','12.87(0.11)','FeO','0.01','0.13(0.18)','0.63(0.18)','0.38(0.49)','0.12(0.05)','2.71(0.50)','MgO','0.00','0.00(0.00)','BaO','0.06','0.16(0.03)','0.02(0.02)','0.05(0.06)','0.02(0.04)','CaO','0.13(0.06)','0.18(0.01)','0.04(0.02)','0.12(0.02)','0.11(0.02)','Na','0.18','2.57(0.23)','3.00(0.27)','0.93(0.24)','3.15(0.09)','2.85(0.04)','1(2','0.15','2.25(1.90)','4.05(0.29)','2.30(0.70)','7.54(0.39)','8.01(0.33)','94.29','90.36','99.43','99.89','74.73','77.95','Qz','46.17','Or','24.86','Ab','28.00','An','0.97','Si/A1','3.21','3.39','Qz+AF','Mord','68'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
226.0,92.0,593.0,0.0,593.0,0.0,39.0,65.0,'7','0'
317.0,677.0,101.0,593.0,593.0,593.0,77.0,24.0,'YM-46','0'
418.0,677.0,159.0,101.0,49.0,593.0,117.0,29.0,'(610.1):','0'
577.0,677.0,193.0,159.0,49.0,593.0,173.0,23.0,'Devitrified','0'
770.0,677.0,131.0,193.0,49.0,593.0,111.0,28.0,'densely','0'
901.0,677.0,118.0,131.0,49.0,593.0,94.0,23.0,'welded','0'
1019.0,677.0,243.0,118.0,49.0,593.0,216.0,29.0,'vitric-crystal','0'
1262.0,677.0,119.0,243.0,49.0,593.0,74.0,23.0,'tuff.','0'
1381.0,677.0,147.0,119.0,49.0,593.0,124.0,21.0,'Numerous','0'
1528.0,677.0,116.0,147.0,49.0,593.0,93.0,23.0,'relict','0'
1644.0,677.0,116.0,116.0,49.0,593.0,93.0,28.0,'pumice','0'
1760.0,677.0,179.0,116.0,49.0,593.0,155.0,27.0,'pyroclasts','0'
1939.0,677.0,68.0,179.0,49.0,593.0,45.0,17.0,'are','0'
2007.0,677.0,49.0,68.0,49.0,593.0,28.0,22.0,'in','0'
2056.0,677.0,34.0,49.0,49.0,593.0,12.0,16.0,'a','0'
2090.0,677.0,117.0,34.0,49.0,593.0,93.0,23.0,'matrix','0'
2207.0,677.0,1891.0,117.0,49.0,593.0,30.0,22.0,'of','0'
317.0,726.0,115.0,1891.0,49.0,49.0,94.0,29.0,'highly','0'
432.0,726.0,164.0,115.0,48.0,49.0,141.0,30.0,'compacted','0'
596.0,726.0,113.0,164.0,48.0,49.0,92.0,23.0,'relict','0'
709.0,726.0,114.0,113.0,48.0,49.0,93.0,24.0,'shards','0'
823.0,726.0,65.0,114.0,48.0,49.0,45.0,23.0,'and','0'
888.0,726.0,150.0,65.0,48.0,49.0,106.0,22.0,'cement.','0'
1038.0,726.0,112.0,150.0,48.0,49.0,91.0,23.0,'Pumice','0'
1150.0,726.0,177.0,112.0,48.0,49.0,156.0,29.0,'pyroclasts','0'
1327.0,726.0,82.0,177.0,48.0,49.0,62.0,23.0,'have','0'
1409.0,726.0,83.0,82.0,48.0,49.0,61.0,22.0,'been','0'
