@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'cte,','TIME','BREAKDOWN','MAIN','HOLE','CONSTRUCTION','Hole','No.:','UE-25','WT','#18','Drilling','Operation','Other','Scheduled','Operational','Delay','Time','(DOT)','(OST)','(ODT)','Drill','4.44','Mobe','&','Demobe','3.89','Rig','Repairs','0.49','Trips','0.21','Core','0.23','W.O.','Equipment','0.33','Dress','Log','1.54','Fish','Assembly','Unload','Clean','Out','Fill','0.72','Fluid','Probe','Run','Mandrel','Ream','Connections','Hydrological','Plug','Back','Open','Tests','Plugs','TV','Camera','Secured','W/Crews','0.13','out','sand','0.02','Unplug','core','barrel','0.10','Main','DOT','4.65','Days','Casing','(COT)','0.25','Tubing','0.17','Cement','Shoe','COT:','0.59','OST:','5.89','ODT:','1.87','Total','Construction','Time:','13.00','Remarks:',',','TOTAL','ELAPSED','Site','Prep.','W/0','Crew','Const.','4.00','Suspended','(No','Rig)','6.67','23.67','64'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
115.0,42.0,1032.0,0.0,1032.0,0.0,164.0,78.0,'cte,','0'
1121.0,269.0,128.0,1032.0,1032.0,1032.0,100.0,38.0,'TIME','1'
1249.0,269.0,253.0,128.0,168.0,1032.0,225.0,38.0,'BREAKDOWN','1'
1046.0,419.0,126.0,253.0,168.0,168.0,99.0,36.0,'MAIN','1'
1172.0,419.0,127.0,126.0,753.0,168.0,99.0,36.0,'HOLE','1'
1299.0,419.0,1004.0,127.0,753.0,168.0,301.0,37.0,'CONSTRUCTION','1'
301.0,522.0,126.0,1004.0,753.0,753.0,97.0,38.0,'Hole','1'
427.0,522.0,153.0,126.0,88.0,753.0,92.0,36.0,'No.:','1'
580.0,522.0,150.0,153.0,88.0,753.0,122.0,38.0,'UE-25','1'
730.0,522.0,78.0,150.0,88.0,753.0,49.0,36.0,'WT','1'
808.0,522.0,435.0,78.0,88.0,753.0,72.0,38.0,'#18','1'
376.0,567.0,228.0,435.0,88.0,88.0,200.0,45.0,'Drilling','1'
604.0,567.0,506.0,228.0,114.0,88.0,224.0,46.0,'Operation','1'
1110.0,567.0,152.0,506.0,114.0,88.0,124.0,38.0,'Other','1'
1262.0,567.0,505.0,152.0,114.0,88.0,223.0,39.0,'Scheduled','1'
1767.0,567.0,305.0,505.0,114.0,88.0,269.0,46.0,'Operational','1'
2072.0,567.0,1595.0,305.0,114.0,88.0,122.0,44.0,'Delay','1'
478.0,616.0,132.0,1595.0,114.0,114.0,98.0,36.0,'Time','1'
610.0,616.0,576.0,132.0,185.0,114.0,113.0,46.0,'(DOT)','1'
1186.0,616.0,132.0,576.0,185.0,114.0,97.0,36.0,'Time','1'
1318.0,616.0,551.0,132.0,185.0,114.0,112.0,39.0,'(OST)','1'
1869.0,616.0,133.0,551.0,185.0,114.0,98.0,36.0,'Time','1'
2002.0,616.0,1702.0,133.0,185.0,114.0,112.0,46.0,'(ODT)','1'
301.0,667.0,532.0,1702.0,185.0,185.0,116.0,38.0,'Drill','1'
833.0,667.0,151.0,532.0,49.0,185.0,98.0,38.0,'4.44','1'
984.0,667.0,127.0,151.0,49.0,185.0,98.0,38.0,'Mobe','1'
1111.0,667.0,50.0,127.0,49.0,185.0,24.0,37.0,'&','1'
1161.0,667.0,353.0,50.0,49.0,185.0,148.0,38.0,'Demobe','1'
1514.0,667.0,153.0,353.0,49.0,185.0,98.0,38.0,'3.89','1'
1667.0,667.0,102.0,153.0,49.0,185.0,71.0,46.0,'Rig','1'
1769.0,667.0,405.0,102.0,49.0,185.0,172.0,45.0,'Repairs','1'
2174.0,667.0,1874.0,405.0,49.0,185.0,95.0,36.0,'0.49','1'
301.0,716.0,532.0,1874.0,49.0,49.0,122.0,45.0,'Trips','1'
833.0,716.0,152.0,532.0,50.0,49.0,95.0,36.0,'0.21','1'
985.0,716.0,529.0,152.0,50.0,49.0,97.0,37.0,'Core','1'
1514.0,716.0,152.0,529.0,50.0,49.0,98.0,38.0,'0.23','1'
1666.0,716.0,129.0,152.0,50.0,49.0,92.0,36.0,'W.O.','1'
1795.0,716.0,379.0,129.0,50.0,49.0,223.0,45.0,'Equipment','1'
2174.0,716.0,1874.0,379.0,50.0,49.0,95.0,36.0,'0.33','1'
301.0,766.0,153.0,1874.0,50.0,50.0,122.0,37.0,'Dress','1'
454.0,766.0,533.0,153.0,71.0,50.0,198.0,47.0,'Drilling','1'
987.0,766.0,531.0,533.0,71.0,50.0,70.0,46.0,'Log','1'
1518.0,766.0,151.0,531.0,71.0,50.0,94.0,38.0,'1.54','1'
1669.0,766.0,1319.0,151.0,71.0,50.0,95.0,37.0,'Fish','1'
351.0,815.0,634.0,1319.0,71.0,71.0,202.0,46.0,'Assembly','1'
985.0,815.0,177.0,634.0,69.0,71.0,147.0,38.0,'Unload','1'
1162.0,815.0,504.0,177.0,69.0,71.0,97.0,38.0,'Hole','1'
1666.0,815.0,152.0,504.0,69.0,71.0,123.0,38.0,'Clean','1'
1818.0,815.0,103.0,152.0,69.0,71.0,73.0,37.0,'Out','1'
1921.0,815.0,253.0,103.0,69.0,71.0,90.0,37.0,'Fill','1'
2174.0,815.0,1871.0,253.0,69.0,71.0,95.0,38.0,'0.72','1'
304.0,865.0,152.0,1871.0,69.0,69.0,120.0,37.0,'Fluid','1'
456.0,865.0,530.0,152.0,51.0,69.0,121.0,37.0,'Probe','1'
986.0,865.0,99.0,530.0,51.0,69.0,71.0,36.0,'Run','1'
1085.0,865.0,583.0,99.0,51.0,69.0,167.0,38.0,'Mandrel','1'
1668.0,865.0,125.0,583.0,51.0,69.0,98.0,36.0,'Ream','1'
1793.0,865.0,1492.0,125.0,51.0,69.0,98.0,37.0,'Hole','1'
