@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'im1','313.','67.','-102.','am','2a','252.','85.','-090.','2b','17.','69.','-130.','2c','202.','62.','-032.','im','2d','192.','-','57.','-040.','pv6a','026.','88.','-171.','pv6b','203.','74.','-020.','pv6c','205.','77.','-007.','pv6d','20B.','68.','-010.','pv6e','016.','89.','-177.','pv7','150.','72.','-075.','pv8a','100.','-101.','pv8b','96.','64.','-113.','pv8c','270.','65.','pv9a','126.','-077.','pv9b','117.','71.','-076.','pv9c','118.','pv10','250.','70.','-070.','pvlla','83.','59.','-027.','pv1lb','334.','32.','-114.','pv12a','47.','-068.','pv12b','-085.','pv12c','43.','-095.','pv13a','317.','73.','pv13b','318.','-100.','pv13c','7.','78.','-134.','pv14a','13.','-021.','pv14b','191.','51.','-059.','pv15','171.','54.','-155.','pv16','322.','66.','pv17','294.','pv18','48.','86.','pv19','180.','-118.','mm','la','281.','mmlb','56.','-112.','mmlc','259.','-116.','mmld','-121.','mmle','346.','-008.','mmlf','273.','15.','-127.','mmlg','29.','-129.','mm2a','142.','-165.','mm2b','148.','-158.','mm2c','75.','mm2d','123.','53.','-166.','mm2e','122.','82.','-163.','mm2f','131.','90.','-161.','3a','mm3b','198.','42.','-125.','3c','193.','34.','-124.','3d','311.','58.','-080.','mm3e','309.','60.','mm4','211.','-120.','mm5a','115.','-043.','mm5b','-053.'}
@ATTRIBUTE 'table' {'1'}

@DATA
749.0,338.0,534.0,0.0,933.0,0.0,80.0,34.0,'im1','1'
1283.0,338.0,399.0,534.0,933.0,0.0,84.0,35.0,'313.','1'
1681.0,366.0,377.0,399.0,933.0,933.0,60.0,35.0,'67.','1'
2058.0,366.0,1311.0,377.0,934.0,933.0,104.0,36.0,'-102.','1'
748.0,388.0,62.0,1311.0,934.0,934.0,56.0,24.0,'am','1'
810.0,388.0,472.0,62.0,936.0,934.0,44.0,33.0,'2a','1'
1282.0,388.0,402.0,472.0,936.0,934.0,85.0,35.0,'252.','1'
1683.0,415.0,372.0,402.0,936.0,936.0,58.0,35.0,'85.','1'
2055.0,415.0,1310.0,372.0,938.0,936.0,108.0,37.0,'-090.','1'
746.0,437.0,63.0,1310.0,938.0,938.0,54.0,24.0,'am','1'
809.0,437.0,497.0,63.0,935.0,938.0,44.0,33.0,'2b','1'
1306.0,437.0,376.0,497.0,935.0,938.0,59.0,34.0,'17.','1'
1680.0,466.0,373.0,376.0,935.0,935.0,60.0,34.0,'69.','1'
2053.0,466.0,1310.0,373.0,937.0,935.0,108.0,36.0,'-130.','1'
744.0,486.0,63.0,1310.0,937.0,937.0,57.0,25.0,'am','1'
807.0,486.0,472.0,63.0,937.0,937.0,44.0,33.0,'2c','1'
1279.0,486.0,403.0,472.0,937.0,937.0,85.0,35.0,'202.','1'
1680.0,515.0,371.0,403.0,937.0,937.0,58.0,34.0,'62.','1'
2051.0,515.0,1309.0,371.0,938.0,937.0,109.0,37.0,'-032.','1'
743.0,536.0,63.0,1309.0,938.0,938.0,54.0,25.0,'im','1'
806.0,536.0,471.0,63.0,648.0,938.0,43.0,32.0,'2d','1'
