@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'12','VEGETATION','AND','CLIMATES','OF','THE','LAST','45,000','YEARS,','NEVADA','TEST','SITE','TABLE','3.','Comparison','of','key','plant','taxa','in','modern','packrat-midden','debris','with','plants','the','vegetation','within','30','meters','midden','site','[See','tables','11-15','Supplemental','Data','section','for','a','complete','list','species','involved','at','each','site;','percent:','NISP,','number','identified','specimens]','Current','Recent','(relative','abundance)','(percent','NISP)','Abundant','Common','Occasional','Site','(4-51','(3)','(21','(','20','percent)','5-20','12<5','Owl','Canyon-3','Ambrosia','Eucnide','Echinocactus','Larrea','Linanthus','sp.','Cryptantha','dumosa','urens','polycephalus','divaricata','(8%)','(4%)','(37%)','Gut','ierrezia','Peucephyllum','microcephala','schottii','(6%)','(3%)','(22%)','Pleurocoronis','pluriseta','A','ristida','(2%)','Last','Chance','Atriplex','Gutierrezia','triplex','Mortonia','Range-1','confertifolia','utahensis','(46%)','(12%)','Bromus','rubens','Nicotiana','Ephedra','trigonophylla','Buddleja','Stipa','arida','15%)','Brickellia','deserto','rum','Specter','Range-2','Scopulophila','watsonii','rixfordii','(42%)','Prunus','Poaceae','undet.','torreyana','fasciculata','(21%)','Eriogonum','heermannii','Eleana','Range-3','Artemisia','nova','Oryzopsis','canescens','tridentata','(18%)','hymenoides','(39%)','Haplopappus','Cowania','sec.','nanus','mexicana','Tridentatae','(15%)','viridis','Pin','us','monophylla','Symphoricar-','Juniperus','pos','longiflorus','osteosperma','(7%)','Connley','Hills-1','Chysothamnus','Chrysothamnus','trident','ata','tectorum','(56%)','(9%)','nauseosus','occident','ails','(27%)'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
324.0,284.0,284.0,0.0,237.0,0.0,36.0,28.0,'12','0'
608.0,284.0,266.0,284.0,237.0,0.0,252.0,24.0,'VEGETATION','0'
874.0,284.0,97.0,266.0,237.0,0.0,83.0,23.0,'AND','0'
971.0,284.0,213.0,97.0,237.0,0.0,199.0,24.0,'CLIMATES','0'
1184.0,284.0,62.0,213.0,237.0,0.0,48.0,24.0,'OF','0'
1246.0,284.0,94.0,62.0,237.0,0.0,78.0,25.0,'THE','0'
1340.0,284.0,111.0,94.0,237.0,0.0,97.0,24.0,'LAST','0'
1451.0,284.0,114.0,111.0,237.0,0.0,100.0,24.0,'45,000','0'
1565.0,284.0,154.0,114.0,237.0,0.0,138.0,25.0,'YEARS,','0'
1719.0,284.0,174.0,154.0,237.0,0.0,161.0,24.0,'NEVADA','0'
1893.0,284.0,111.0,174.0,237.0,0.0,96.0,24.0,'TEST','0'
2004.0,284.0,1468.0,111.0,237.0,0.0,86.0,24.0,'SITE','0'
540.0,380.0,120.0,1468.0,237.0,237.0,106.0,24.0,'TABLE','0'
660.0,380.0,68.0,120.0,566.0,237.0,59.0,22.0,'3.','0'
728.0,380.0,203.0,68.0,566.0,237.0,189.0,29.0,'Comparison','0'
931.0,380.0,43.0,203.0,566.0,237.0,32.0,29.0,'of','0'
974.0,380.0,65.0,43.0,566.0,237.0,53.0,29.0,'key','0'
1039.0,380.0,98.0,65.0,566.0,237.0,82.0,29.0,'plant','0'
1137.0,380.0,83.0,98.0,566.0,237.0,68.0,19.0,'taxa','0'
1220.0,380.0,41.0,83.0,566.0,237.0,27.0,22.0,'in','0'
1261.0,380.0,130.0,41.0,566.0,237.0,118.0,24.0,'modern','0'
1391.0,380.0,267.0,130.0,566.0,237.0,252.0,29.0,'packrat-midden','0'
1658.0,380.0,111.0,267.0,566.0,237.0,94.0,24.0,'debris','0'
1769.0,380.0,79.0,111.0,566.0,237.0,66.0,24.0,'with','0'
1848.0,380.0,114.0,79.0,566.0,237.0,99.0,30.0,'plants','0'
