@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'APPENDIX:','PAHUTE','MESA','SEISMICITY','(CONTINUED)','1969','HR','MN','SEC','LAT','N','LONG','W','DEPTH','MAG','NO','GAP','DMIN','ERT','ERH','ERZ','MD','Q','JAN','19','17','15','25.5','37-11.9','116-33.3','0.6*','2.0','6','255','11.0','0.25','1.3','0.05','D','18','58','1.5','15.9','37-11.6','116-35.1','1.9','270','12.5','0.26','0.04','1.8','33','9.0','116-33.5','2.1','258','11.2','0.06','49','33.8','116-34.1','2.4','261','11.4','0.36','0.07','20','2','1.4','3','18.5','37-12.9','116-31.2','230','8.9','0.21','1.2','0','21','23','22.5','116-33.6','0.35','0.08','59','59.5','37-11.8','262','11.5','1.7','43','46.7','116-34.3','2.2','264','11.7','0.43','46','7.4','37-11.7','116-33.9','2.3','260','0.30','116-34.0','5','11.8','0.32','1.6','439','52','33.3','37-13.5','116-31.3','229','7.7','0.20','638','8','45','10','13','29','22.8','37-11.4','116-32.4','247','11.6','0.41','0.09','50','11','23.4','37-15.9','116-29.5','3.3','2.7','174','4.5','0.7','1.0','B','14','3.2','30','54.9','37-10.5','116-30.3','233','11.1','0.17','44','7.1','116-32.6','286','13.2','0.63','3.0','16','36.4','116-34.6','266','12.2','0.29','9','24.0','37-15.7','116-30.4','4.6','2.5','195','4.0','0.03','47','22','1','54','13.6','116-34.4','265','11.9','0.46','42','4','57','7','25.2','116-29.4','218','10.4','0.11','55','24','41.6','37-14.7','116-30.5','3.0*','208','5.7','0.5','37','34','51','38.6','37-13.3','116-31.4','8.1','0.14','0.9','53','I','58.8','37-14.8','116-31.1','220','5.4','37-11.3','116-32.1','245','1.1','314','33.7','37-12.0','235','10.5','0.02','131'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
731.0,240.0,254.0,0.0,402.0,0.0,200.0,26.0,'APPENDIX:','0'
985.0,240.0,160.0,254.0,402.0,0.0,133.0,27.0,'PAHUTE','0'
1145.0,240.0,116.0,160.0,402.0,0.0,89.0,26.0,'MESA','0'
1261.0,240.0,252.0,116.0,402.0,0.0,222.0,27.0,'SEISMICITY','0'
1513.0,240.0,1179.0,252.0,402.0,0.0,235.0,27.0,'(CONTINUED)','0'
337.0,318.0,138.0,1179.0,402.0,402.0,87.0,27.0,'1969','1'
475.0,318.0,71.0,138.0,80.0,402.0,43.0,25.0,'HR','1'
546.0,318.0,94.0,71.0,80.0,402.0,44.0,25.0,'MN','1'
640.0,318.0,139.0,94.0,80.0,402.0,64.0,27.0,'SEC','1'
779.0,318.0,91.0,139.0,80.0,402.0,63.0,26.0,'LAT','1'
870.0,318.0,93.0,91.0,80.0,402.0,20.0,25.0,'N','1'
963.0,318.0,115.0,93.0,80.0,402.0,90.0,26.0,'LONG','1'
1078.0,318.0,91.0,115.0,80.0,402.0,20.0,24.0,'W','1'
1169.0,318.0,161.0,91.0,80.0,402.0,113.0,27.0,'DEPTH','1'
1330.0,318.0,90.0,161.0,80.0,402.0,64.0,26.0,'MAG','1'
1420.0,318.0,68.0,90.0,80.0,402.0,43.0,25.0,'NO','1'
1488.0,318.0,90.0,68.0,80.0,402.0,63.0,27.0,'GAP','1'
1578.0,318.0,157.0,90.0,80.0,402.0,87.0,26.0,'DMIN','1'
1735.0,318.0,113.0,157.0,80.0,402.0,63.0,26.0,'ERT','1'
1848.0,318.0,114.0,113.0,80.0,402.0,65.0,27.0,'ERH','1'
1962.0,318.0,115.0,114.0,80.0,402.0,64.0,27.0,'ERZ','1'
2077.0,318.0,93.0,115.0,80.0,402.0,43.0,26.0,'MD','1'
2170.0,318.0,1861.0,93.0,80.0,402.0,21.0,28.0,'Q','1'
311.0,393.0,96.0,1861.0,80.0,80.0,66.0,25.0,'JAN','1'
407.0,393.0,71.0,96.0,103.0,80.0,42.0,25.0,'19','1'
