@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'O17','rupted','transportation,','shut','down','sewage','disposal','were','specifically','predicted','in','volcanic-hazards','systems,','and','caused','massive','problems','of','ash','removal','assessments','Mount','St.','Helens','other','volcanoes','disposal.','Table','95','summarizes','the','relationships','(for','example,','Crandell,','1976;','Crandell','Mull-','between','various','eruptive','processes','products','eaux,','1978).','Now','that','these','events','have','occurred','types','civil','works','are','within','experience','engineers,','planners,','operations','impacted.','public','officials,','potential','hazards','from','volcanic','The','growth','communities','development','eruptions','probably','will','no','longer','be','disregarded.','It','is','land','uses','areas','downvalley','downwind','hoped','examples','described','herein','help','to','almost','entirely','after','guide','future','land-use','planning','around','vol-','1857,','time','last','eruption','prior','1980.','canoes,','show','a','conscious','choice','should','During','following','123','yr','volcano','inactivity,','made','acceptance','possibility','in-','communities,','highways,','bridges,','hydroelectric','dams','creased','costs','due','changes','design','or','locations','reservoirs,','railroads,','airports','con-','structures,','possible','an','structed','region,','but','effects','eruption.','Judgments','as','which','alternative','prefer-','on','developments','was','given','able','surely','vary','one','kind','little','thought.','This','disregard','for','erup-','another,','another;','they','tions','new','has','not','been','based','social','economic','factors','unique','char-','well','scientific','appraisals','acterized','entire','Cascade','Range','with','its','many','at','each','volcano.','active','potentially','dangerous','(Crandell','others,','1979).','report','kinds','structures','vital','REFERENCES','CITED','wellbeing','region.','Many','95.Types','affected','Anderson,','D.','A.,','1980,','Saint','Helens:','Maintenance','Operations','Newsletter,','Washington','State','by','Department','Transportation,','v.','62,','April-June,','8','p.','Bechly,','J.','F.,','Mt.','eruptionrestoration','Lateral','Debris','Hudflows','Flooding','Ash','fall','Columbia','Cowlitz','River','channels:','Texas','A&M','Univer-','sity','Dredging','Seminar,','College','Station,','Tex.,','Nov.','6,','52','blast','avalanche','sedimenta-','tion','R.,','1976,','Preliminary','assessment','Transportation:','Washington:','U.S.','Geologi-','Highways','roads--','X','cal','Survey','Miscellaneous','Field','Studies','Map','MF-774.','Railways','Mullineaux,','1978,','Potential','Bridges','volcano,','Wash-','Air','transport','Geological','Bulletin','1383-C,','ington:','26','Miller,','C.','D.,','1979,','Water','supply:'','Volcanic-hazards','studies','West-','treatment','Equipment','ern','United','States,','Sheets,','P.','Grayson,','K.,','eds.,','Volcanic','activity','human','ecology:','New','York,','Aca-','Waste','disposal:','demic','Press,','195-219.','Treatment','plant','-----','Edtl,','L.','carries','water','supply','problems:','Storm','sewers','OpFlow,','American','Works','Association,','no.','7,','Streets/roads','July,','4-5.','Dredge','spoils','Glicken,','H.,','Janda,','Voight,','B.,','Catastrophic','land-','slide/debris','May','18,','Flood','control','[abs.]:','Geophysical','Union,','Transactions,','61,','46,','11,','1135.','Reservoirs','Schroeder,','Murdock,','Hawkins,','N.','M.,','W.','L.,','G.,','Mar,','B.','W.,','1981,','Powerplants','trans-','mission','facilities.','1980assessment','engineering','related','impacts:','Report','National','Research','Council','(in','press).','717'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
2201.0,155.0,2028.0,0.0,2028.0,0.0,127.0,65.0,'O17','0'
175.0,226.0,156.0,2028.0,2028.0,2028.0,124.0,44.0,'rupted','0'
331.0,226.0,320.0,156.0,54.0,2028.0,284.0,42.0,'transportation,','0'
651.0,226.0,112.0,320.0,54.0,2028.0,80.0,36.0,'shut','0'
763.0,226.0,141.0,112.0,54.0,2028.0,109.0,36.0,'down','0'
904.0,226.0,165.0,141.0,54.0,2028.0,133.0,32.0,'sewage','0'
1069.0,226.0,206.0,165.0,54.0,2028.0,151.0,45.0,'disposal','0'
1275.0,226.0,140.0,206.0,54.0,2028.0,92.0,22.0,'were','0'
1415.0,226.0,263.0,140.0,54.0,2028.0,215.0,45.0,'specifically','0'
1678.0,226.0,232.0,263.0,54.0,2028.0,184.0,45.0,'predicted','0'
1910.0,226.0,83.0,232.0,54.0,2028.0,35.0,31.0,'in','0'
1993.0,226.0,1819.0,83.0,54.0,2028.0,328.0,37.0,'volcanic-hazards','0'
175.0,280.0,175.0,1819.0,54.0,54.0,155.0,37.0,'systems,','0'
350.0,280.0,86.0,175.0,56.0,54.0,70.0,36.0,'and','0'
436.0,280.0,143.0,86.0,56.0,54.0,127.0,37.0,'caused','0'
579.0,280.0,163.0,143.0,56.0,54.0,147.0,32.0,'massive','0'
742.0,280.0,193.0,163.0,56.0,54.0,177.0,45.0,'problems','0'
935.0,280.0,54.0,193.0,56.0,54.0,38.0,35.0,'of','0'
989.0,280.0,76.0,54.0,56.0,54.0,60.0,36.0,'ash','0'
1065.0,280.0,212.0,76.0,56.0,54.0,155.0,36.0,'removal','0'
1277.0,280.0,237.0,212.0,56.0,54.0,220.0,29.0,'assessments','0'
1514.0,280.0,54.0,237.0,56.0,54.0,38.0,35.0,'of','0'
1568.0,280.0,149.0,54.0,56.0,54.0,130.0,34.0,'Mount','0'
1717.0,280.0,69.0,149.0,56.0,54.0,49.0,34.0,'St.','0'
1786.0,280.0,144.0,69.0,56.0,54.0,128.0,36.0,'Helens','0'
1930.0,280.0,88.0,144.0,56.0,54.0,71.0,35.0,'and','0'
2018.0,280.0,116.0,88.0,56.0,54.0,101.0,36.0,'other','0'
2134.0,280.0,1961.0,116.0,56.0,54.0,189.0,36.0,'volcanoes','0'
174.0,335.0,93.0,1961.0,56.0,56.0,71.0,35.0,'and','0'
267.0,335.0,191.0,93.0,51.0,56.0,164.0,44.0,'disposal.','0'
458.0,335.0,130.0,191.0,51.0,56.0,107.0,36.0,'Table','0'
588.0,335.0,66.0,130.0,51.0,56.0,42.0,32.0,'95','0'
654.0,335.0,246.0,66.0,51.0,56.0,222.0,32.0,'summarizes','0'
900.0,335.0,81.0,246.0,51.0,56.0,57.0,36.0,'the','0'
981.0,335.0,297.0,81.0,51.0,56.0,240.0,45.0,'relationships','0'
1278.0,335.0,95.0,297.0,51.0,56.0,70.0,40.0,'(for','0'
1373.0,335.0,196.0,95.0,51.0,56.0,166.0,44.0,'example,','0'
1569.0,335.0,204.0,196.0,51.0,56.0,173.0,41.0,'Crandell,','0'
1773.0,335.0,126.0,204.0,51.0,56.0,96.0,36.0,'1976;','0'
1899.0,335.0,189.0,126.0,51.0,56.0,162.0,36.0,'Crandell','0'
2088.0,335.0,95.0,189.0,51.0,56.0,70.0,35.0,'and','0'
