@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'gggggg','t','g','otsigZ','RIZallo4.w','=Vag','-.40malv','.4.4-40ow','wwwwU','0flAC','fl,-..oceg','=','48p4wcf.','14Foro','EknoU48','888:=','Nt=tt','tivtlaTit','144,-av.1.','!Mgt:I4P!?','I','E','co*Citta','oNo4ra','caMti','Ntea.0','vwv','clos74*(1','sutit4a','.e.g;','.','t=riti','82=StiS','0','00','2','111111',';1::11','C','K)','-','fl!woo','co4=18','81','8','ZNoio','(II-a(0--M01','coalorct','o.walf.','f','Sti=.17470','V','COI','MN','40','Of','5',';;;;E','NM;','NNg','NGE','gWi;',';Mg',';;;;;','IT','1711T','TTTUT','TiTiTT','000','DC)','TTTTTT','TUTU','co-.4.118o',''airflow','cflowNifow','oomoo.s.','4.4.(fl000','U2S88','asuss','00...','-.66ges','S.','8.','n.','IG)66v-..."64.a','vmvwco','wwv','v','***','21','333N3','333333','133133','333,133','IET1','mitt','Is','141','toT.Tr::','!!!=i-X',''..T.1111;','IF','mmm','m73','mmm33m','mmmmmm','mm','AAAWAA','m','A','AA','AAA','WA','AAAAAA','n=11','16','1','1g','llJil'}
@ATTRIBUTE 'table' {'1','0'}

@DATA
370.0,329.0,225.0,0.0,1668.0,0.0,187.0,57.0,'gggggg','1'
595.0,329.0,225.0,225.0,1668.0,0.0,188.0,57.0,'gggggg','1'
820.0,329.0,224.0,225.0,1668.0,0.0,187.0,57.0,'gggggg','1'
1044.0,329.0,224.0,224.0,1668.0,0.0,187.0,57.0,'gggggg','1'
1268.0,329.0,224.0,224.0,1668.0,0.0,187.0,57.0,'gggggg','1'
1492.0,329.0,223.0,224.0,1668.0,0.0,186.0,57.0,'gggggg','1'
1715.0,329.0,225.0,223.0,1668.0,0.0,188.0,57.0,'gggggg','1'
1940.0,329.0,122.0,225.0,1668.0,0.0,188.0,57.0,'gggggg','1'
2036.0,403.0,64.0,122.0,1668.0,1668.0,27.0,58.0,'t','1'
2100.0,403.0,1667.0,64.0,1603.0,1668.0,28.0,55.0,'g','1'
435.0,480.0,160.0,1667.0,1603.0,1603.0,122.0,38.0,'otsigZ','1'
595.0,480.0,450.0,160.0,77.0,1603.0,188.0,36.0,'RIZallo4.w','1'
1045.0,480.0,448.0,450.0,77.0,1603.0,186.0,39.0,'=Vag','1'
1493.0,480.0,223.0,448.0,77.0,1603.0,185.0,20.0,'-.40malv','1'
1716.0,480.0,225.0,223.0,77.0,1603.0,187.0,20.0,'.4.4-40ow','1'
1941.0,480.0,1509.0,225.0,77.0,1603.0,187.0,38.0,'wwwwU','1'
434.0,556.0,161.0,1509.0,77.0,77.0,75.0,20.0,'0flAC','1'
595.0,556.0,129.0,161.0,167.0,77.0,189.0,34.0,'fl,-..oceg','1'
724.0,556.0,322.0,129.0,167.0,77.0,27.0,30.0,'=','1'
1046.0,556.0,287.0,322.0,167.0,77.0,186.0,47.0,'48p4wcf.','1'
1333.0,556.0,383.0,287.0,167.0,77.0,123.0,48.0,'14Foro','1'
1716.0,556.0,226.0,383.0,167.0,77.0,188.0,37.0,'EknoU48','1'
1942.0,556.0,1348.0,226.0,167.0,77.0,187.0,36.0,'888:=','1'
595.0,598.0,226.0,1348.0,167.0,167.0,189.0,39.0,'Nt=tt','1'
821.0,598.0,448.0,226.0,235.0,167.0,187.0,38.0,'tivtlaTit','1'
1269.0,598.0,446.0,448.0,235.0,167.0,186.0,51.0,'144,-av.1.','1'
1715.0,598.0,459.0,446.0,235.0,167.0,413.0,94.0,'!Mgt:I4P!?','1'
2174.0,598.0,24.0,459.0,235.0,167.0,6.0,41.0,'I','1'
2198.0,598.0,1829.0,24.0,235.0,167.0,26.0,39.0,'E','1'
371.0,666.0,225.0,1829.0,235.0,235.0,187.0,38.0,'co*Citta','1'
596.0,666.0,226.0,225.0,230.0,235.0,188.0,38.0,'oNo4ra','1'
822.0,666.0,671.0,226.0,230.0,235.0,186.0,38.0,'caMti','1'
1493.0,666.0,288.0,671.0,230.0,235.0,186.0,38.0,'Ntea.0','1'
1781.0,666.0,161.0,288.0,230.0,235.0,91.0,20.0,'vwv','1'
1942.0,666.0,1347.0,161.0,230.0,235.0,187.0,38.0,'clos74*(1','1'
596.0,710.0,578.0,1347.0,230.0,230.0,189.0,39.0,'sutit4a','1'
1174.0,710.0,543.0,578.0,109.0,230.0,58.0,51.0,'.e.g;','1'
1717.0,710.0,0.0,543.0,109.0,230.0,7.0,7.0,'.','1'
1717.0,710.0,32.0,0.0,109.0,230.0,187.0,39.0,'t=riti','1'
1749.0,710.0,32.0,32.0,109.0,230.0,7.0,7.0,'.','1'
1781.0,710.0,32.0,32.0,109.0,230.0,8.0,7.0,'.','1'
1813.0,710.0,32.0,32.0,109.0,230.0,8.0,7.0,'.','1'
1845.0,710.0,33.0,32.0,109.0,230.0,8.0,7.0,'.','1'
1878.0,710.0,64.0,33.0,109.0,230.0,7.0,7.0,'.','1'
1942.0,710.0,1414.0,64.0,109.0,230.0,187.0,39.0,'82=StiS','1'
531.0,797.0,65.0,1414.0,109.0,109.0,27.0,78.0,'0','1'
596.0,797.0,770.0,65.0,835.0,109.0,59.0,77.0,'00','1'
1365.0,817.0,991.0,770.0,835.0,835.0,28.0,57.0,'2','1'
379.0,908.0,225.0,991.0,991.0,991.0,168.0,61.0,'111111','1'
604.0,908.0,226.0,225.0,118.0,991.0,168.0,61.0,'111111','1'
830.0,908.0,215.0,226.0,118.0,991.0,167.0,61.0,'111111','1'
1045.0,908.0,232.0,215.0,118.0,991.0,176.0,79.0,';1::11','1'
1277.0,908.0,224.0,232.0,118.0,991.0,168.0,61.0,'111111','1'
1501.0,908.0,224.0,224.0,118.0,991.0,166.0,62.0,'111111','1'
1725.0,908.0,225.0,224.0,118.0,991.0,167.0,61.0,'111111','1'
1950.0,908.0,248.0,225.0,118.0,991.0,167.0,61.0,'111111','1'
2198.0,908.0,1831.0,248.0,118.0,991.0,27.0,57.0,'g','1'
371.0,1025.0,32.0,1831.0,118.0,118.0,26.0,35.0,'C','1'
403.0,1025.0,32.0,32.0,75.0,118.0,26.0,17.0,'K)','1'
435.0,1025.0,7.0,32.0,75.0,118.0,17.0,6.0,'-','1'
442.0,1025.0,154.0,7.0,75.0,118.0,116.0,36.0,'fl!woo','1'
596.0,1025.0,225.0,154.0,75.0,118.0,187.0,40.0,'co4=18','1'
821.0,1025.0,33.0,225.0,75.0,118.0,27.0,38.0,'81','1'
854.0,1025.0,31.0,33.0,75.0,118.0,26.0,35.0,'8','1'
885.0,1025.0,161.0,31.0,75.0,118.0,123.0,39.0,'ZNoio','1'
1046.0,1025.0,287.0,161.0,75.0,118.0,186.0,23.0,'(II-a(0--M01','1'
1333.0,1025.0,160.0,287.0,75.0,118.0,123.0,36.0,'coalorct','1'
1493.0,1025.0,32.0,160.0,75.0,118.0,186.0,35.0,'o.walf.','1'
1525.0,1025.0,191.0,32.0,75.0,118.0,26.0,30.0,'f','1'
1716.0,1025.0,226.0,191.0,75.0,118.0,188.0,38.0,'Sti=.17470','1'
1942.0,1025.0,32.0,226.0,75.0,118.0,26.0,18.0,'V','1'
1974.0,1025.0,32.0,32.0,75.0,118.0,27.0,18.0,'COI','1'
2006.0,1025.0,32.0,32.0,75.0,118.0,58.0,19.0,'MN','1'
2070.0,1025.0,32.0,32.0,75.0,118.0,26.0,19.0,'40','1'
2102.0,1025.0,96.0,32.0,75.0,118.0,27.0,19.0,'Of','1'
2198.0,1025.0,1830.0,96.0,75.0,118.0,26.0,40.0,'5','1'
370.0,1099.0,226.0,1830.0,75.0,75.0,188.0,113.0,';;;;E','1'
596.0,1099.0,225.0,226.0,337.0,75.0,188.0,113.0,'NM;','1'
821.0,1099.0,225.0,225.0,337.0,75.0,187.0,113.0,'NNg','1'
1046.0,1099.0,223.0,225.0,337.0,75.0,186.0,113.0,'NGE','1'
1269.0,1099.0,223.0,223.0,337.0,75.0,187.0,114.0,'gWi;','1'
1492.0,1099.0,449.0,223.0,337.0,75.0,187.0,114.0,';Mg','1'
1941.0,1099.0,1598.0,449.0,337.0,75.0,188.0,114.0,';;;;;','1'
379.0,1435.0,225.0,1598.0,337.0,337.0,168.0,61.0,'111111','1'
604.0,1435.0,226.0,225.0,79.0,337.0,168.0,62.0,'111111','1'
830.0,1435.0,224.0,226.0,79.0,337.0,167.0,61.0,'111111','1'
1054.0,1435.0,223.0,224.0,79.0,337.0,167.0,61.0,'111111','1'
1277.0,1435.0,224.0,223.0,79.0,337.0,167.0,62.0,'111111','1'
1501.0,1435.0,224.0,224.0,79.0,337.0,166.0,62.0,'111111','1'
1725.0,1435.0,225.0,224.0,79.0,337.0,167.0,62.0,'111111','1'
