@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Oistauue','Year','Mo.','Day','(;(,iT','I.a.','Long.','Mag.','Int.','To','RSSF','(in','km)','I','1940','5','18','1317','34.0','115.3','4.5','313.','r','J','19','22u','316.','227','li5.3','319.','4940','351','116.3','4.0','4','317.','1939','116,3','315.','22','631','4,0','1410','27','327','S','1','527','320.','6','556','554','34,0','2','613','3','542','38.8','117.8','258.','827','33.8','117.4','358.','2221','4,5','311.','2321','33.3','116.4','396.','2348','s','2356','318.','8','1710','11','1951','34,u','14','2158','320,','24','1539','7','1004-','36.6','244.','1057','37.4','119.0','5.0','252.','401','33.7','118.1','364.','2300','37.6','118,9','249.','1931','1815','13','2207','35.2','120.3','.','370,','9','20','1223','37.0','114.0','198.','10','557','118.4','385.','12','388.','2940','2051','389,','725','390,','2000','33.5','116.2','400.','258','389.','1941','1358','35.3','119.2','314.','30','134','118,0','355.','23','1836','116.5','370.','822','412.','25','2343','34.2','117.5','120','33.9','117.6','347.','312','37.3','114.3','175.','1453','37.5','118.5','211.',''4','847','35.4','119.3','b','1938','37.1','115.8','49,','1643','118.7','6.0','234.','1654','235.','1821','5.5','238.','1839','6,0','236.','1854','118,7','232.','2116','118.7.','21','1953','34.9','118.9','321,','1948','235,','28','1505','231.','657','118.2','380.','1032','377.','2044','233.','1748','234,','841','386.'}
@ATTRIBUTE 'table' {'1','0'}

@DATA
1765.0,34.0,1539.0,0.0,1539.0,0.0,247.0,26.0,'Oistauue','1'
227.0,76.0,187.0,1539.0,1539.0,1539.0,123.0,35.0,'Year','1'
414.0,76.0,124.0,187.0,1552.0,1539.0,82.0,33.0,'Mo.','1'
538.0,76.0,158.0,124.0,1552.0,1539.0,88.0,45.0,'Day','1'
696.0,76.0,163.0,158.0,1552.0,1539.0,94.0,34.0,'(;(,iT','1'
859.0,76.0,192.0,163.0,1552.0,1539.0,115.0,33.0,'I.a.','1'
1051.0,76.0,218.0,192.0,1552.0,1539.0,148.0,46.0,'Long.','1'
1269.0,76.0,221.0,218.0,1552.0,1539.0,114.0,42.0,'Mag.','1'
1490.0,76.0,274.0,221.0,1552.0,1539.0,108.0,32.0,'Int.','1'
1764.0,76.0,93.0,274.0,1552.0,1539.0,59.0,35.0,'To','1'
1857.0,76.0,97.0,93.0,1552.0,1539.0,125.0,35.0,'RSSF','1'
1778.0,131.0,93.0,97.0,1552.0,1552.0,71.0,43.0,'(in','1'
1871.0,131.0,371.0,93.0,1545.0,1552.0,71.0,44.0,'km)','1'
2242.0,131.0,2008.0,371.0,1545.0,1552.0,10.0,55.0,'I','0'
235.0,191.0,211.0,2008.0,1545.0,1545.0,110.0,33.0,'1940','1'
446.0,191.0,96.0,211.0,53.0,1545.0,21.0,30.0,'5','1'
542.0,191.0,125.0,96.0,53.0,1545.0,49.0,32.0,'18','1'
667.0,191.0,186.0,125.0,53.0,1545.0,111.0,32.0,'1317','1'
853.0,191.0,191.0,186.0,53.0,1545.0,114.0,35.0,'34.0','1'
1044.0,191.0,214.0,191.0,53.0,1545.0,141.0,35.0,'115.3','1'
