@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'1981','SGB','LOCAL-EVENT','DATA','REPOHT','OCT','STA','PHASE','TIME','AMP','PER','KMAG','DUR','FmAG','uisT','A21','AIN','1083','TCAL','RES','REmARH6','(UTC)','(MU)','(SEC)','(Km)','(OEG)(DEG)','16','LSM','EPU1','2','33','49.29','10','1.3','46.8','300','99','8.34','8.23','0.09','S','0','54.98','14.03','14.11','0.08','LOP','EPDO','49.30','9','1.2','47.6','319','8.35','8.48','-.0.04','55.54','14.59','14.36','0.23','SDH','EP','49.40','48.1','286','6.45','8.43','0.06','3','55.57','14.62','14.35','0.28','NOP','4','52.38','53.6','214','98','11.43','9.29','2.23','56.70','15.75','15.74','0.01','SSP','52.29','56.5','321','11.34','9.99','1.43','58.84','17.89','16.95','0.94','YmT3','51.36','15','1.7','60.1','298','97','10.41','10.35','0.11','58.62','17.67','17.62','0.05','YmT1','56.44','72.8','96','15.49','12.44','2.92','34','2.91','21.96','21.49','0.47','H','.','13','37','38.39','UTC','RMS','=','NO','FREE','DEPTH','SOLUTION','LA!','38.241','N','ERN','0.3','ERM','1.0','AVFM','3.2','U','C','48','BLACK','BUTTE','LONG','116.592','w','ERY','0.9','GAP','202','Avxm','8','1.76','Km','ERZ','2.3','NM','.10','D','NCR','IPDO','41.17','105','13.8','94','2.78','2.95','-0.08','43.23','4.84','4.89','..0.05','TNP','48.81','57.6','252','74','10.42','10.12','0.03','1','56.11','17.72','17.77','.0.05','KRNA','IPUO','48.83','58.6','161','10.44','10.30','0.07','56.04','17.65','17.73','CTS','EPU2','49.91','66.0','190','11.52','11.48','0.22','56.42','18.03','19.34','-1.30','QCS','EPUO','52.06','79.3','132','13.67','13.65','$','38','1.63','23.24','23.29','-0.04','12','1.48','0.17','25','17','EAT','37.051','ERX','0.2','ERH','0.4','1.9','W','B','CANYON','116.952','88','AVXM','WS','THIRSTY','7.35','Nm','UD','d','SGV','3.90','10.6','e23','124','2.42','2.60','5.73','4.25','4.30','-.0.05','GVN','7.71','23','2.0','35.2','261','6.23','6.26','.0.09','12.53','11.05','10.81','0.24','8mT','7.96','21','37.5','47','6.48','6.90','-0.25','13.19','11.71','0.19','CNN','EPD3','8.16','20','38.9','315','6.68','7.12','-0.29','13.40','11.92','MC!','8.21','1.6','40.8','135','6.73','7.20','-0.31','13.66','12.18','12.03','0.15','YMT1','8.98','28','2.2','43.6','120','7.50','7.68','.0.31','14.92','13.44','13.36','YmT5','9.62','47.5','111','6.14','0.21','15.72','14.24','14.27','-0.03','TP0','EPul','10.17','1.8','48.9','236','6.69','8.76','15.58','14.10','14.46','-0.36','YmT4','10.15','49.1','115','6.67','8.59','16.77','15.e9','14.87','0.42','YMT3','10.89','26','56.4','121','95','9.41','9.73','.0.27','18.24','16.76','16.55','10.34','EPN','11.82','58.7','72','-0.07','19.48','16.40','17.81','CDH1','12.66','60.3','11.18','10.43','0.85','BGB','12.60','64.5','91','11.12','11.17','20.69','19.21','18.97','LCH','13.01','65.1','288','11.53','11.21','0.40','20.90','19.42','19.04','0.38','1.5m','EPD4','13.77','69.7','1.29','11.40','0.37','21.89','20.41','2038','EPU3','13.08','70.1','11.60','12.12','-0.35','22.34','20.86','20.44','0,42','155'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
926.0,294.0,93.0,0.0,680.0,0.0,66.0,22.0,'1981','0'
1019.0,294.0,74.0,93.0,680.0,0.0,50.0,21.0,'SGB','0'
1093.0,294.0,227.0,74.0,680.0,0.0,201.0,24.0,'LOCAL-EVENT','0'
1320.0,294.0,94.0,227.0,680.0,0.0,70.0,21.0,'DATA','0'
1414.0,294.0,1167.0,94.0,680.0,0.0,106.0,22.0,'REPOHT','0'
249.0,351.0,112.0,1167.0,680.0,680.0,50.0,24.0,'OCT','1'
361.0,351.0,93.0,112.0,32.0,680.0,50.0,22.0,'STA','1'
454.0,351.0,170.0,93.0,32.0,680.0,88.0,22.0,'PHASE','1'
624.0,351.0,206.0,170.0,32.0,680.0,67.0,22.0,'TIME','1'
830.0,351.0,93.0,206.0,32.0,680.0,51.0,20.0,'AMP','1'
923.0,351.0,115.0,93.0,32.0,680.0,52.0,21.0,'PER','1'
1038.0,351.0,113.0,115.0,32.0,680.0,70.0,19.0,'KMAG','1'
1151.0,351.0,94.0,113.0,32.0,680.0,51.0,20.0,'DUR','1'
1245.0,351.0,132.0,94.0,32.0,680.0,70.0,20.0,'FmAG','1'
1377.0,351.0,113.0,132.0,32.0,680.0,69.0,21.0,'uisT','1'
1490.0,351.0,93.0,113.0,32.0,680.0,48.0,21.0,'A21','1'
1583.0,351.0,134.0,93.0,32.0,680.0,51.0,20.0,'AIN','1'
1717.0,351.0,132.0,134.0,32.0,680.0,68.0,20.0,'1083','1'
1849.0,351.0,187.0,132.0,32.0,680.0,68.0,21.0,'TCAL','1'
2036.0,351.0,191.0,187.0,32.0,680.0,51.0,22.0,'RES','1'
2227.0,351.0,1975.0,191.0,32.0,680.0,130.0,22.0,'REmARH6','1'
253.0,382.0,354.0,1975.0,32.0,32.0,65.0,24.0,'1981','1'
607.0,382.0,207.0,354.0,95.0,32.0,83.0,24.0,'(UTC)','1'
814.0,382.0,94.0,207.0,95.0,32.0,64.0,24.0,'(MU)','1'
908.0,382.0,473.0,94.0,95.0,32.0,84.0,23.0,'(SEC)','1'
1381.0,382.0,93.0,473.0,95.0,32.0,63.0,22.0,'(Km)','1'
1474.0,382.0,226.0,93.0,95.0,32.0,176.0,23.0,'(OEG)(DEG)','1'
1700.0,382.0,132.0,226.0,95.0,32.0,82.0,25.0,'(SEC)','1'
1832.0,382.0,113.0,132.0,95.0,32.0,83.0,23.0,'(SEC)','1'
1945.0,382.0,1696.0,113.0,95.0,32.0,83.0,23.0,'(SEC)','1'
252.0,476.0,107.0,1696.0,95.0,95.0,31.0,23.0,'16','1'
359.0,476.0,94.0,107.0,44.0,95.0,53.0,21.0,'LSM','1'
453.0,476.0,131.0,94.0,44.0,95.0,69.0,23.0,'EPU1','1'
584.0,476.0,39.0,131.0,44.0,95.0,14.0,21.0,'2','1'
623.0,476.0,56.0,39.0,44.0,95.0,32.0,22.0,'33','1'
679.0,476.0,512.0,56.0,44.0,95.0,89.0,23.0,'49.29','1'
1191.0,476.0,75.0,512.0,44.0,95.0,30.0,22.0,'10','1'
1266.0,476.0,111.0,75.0,44.0,95.0,49.0,23.0,'1.3','1'
1377.0,476.0,113.0,111.0,44.0,95.0,69.0,22.0,'46.8','1'
1490.0,476.0,111.0,113.0,44.0,95.0,50.0,22.0,'300','1'
1601.0,476.0,114.0,111.0,44.0,95.0,33.0,19.0,'99','1'
1715.0,476.0,132.0,114.0,44.0,95.0,69.0,22.0,'8.34','1'
1847.0,476.0,133.0,132.0,44.0,95.0,71.0,23.0,'8.23','1'
1980.0,476.0,1764.0,133.0,44.0,95.0,69.0,22.0,'0.09','1'
