@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'CONSULTATION','DRAFT','Table','3-6.','Magnitude','of','sprinis','in','the','hydrogeologic','study','area,','based','on','Meinzer's','classification','spring','discharge','Volume','Number','springs','English','units','Metric','(L/s)','area','>100','ft3/s','>2830','0','1','2','10-100','283-2830','3','1-10','28.3-283','9','4','100','gal/min','6.31-28.3','18','to','5','0.631-6.31','27','6','0.0631-0.631','21','7','pt/min','0.0079-0.0631','8','<0.0079','aAdapted','from','Meinzer','(1923).','3.5.2','POTENTIAL','FOR','CONTAMINATION','OF','SURFACE','WATERS','AND','GROUND','No','perennial','surface','waters','exist','or','near','Yucca','Mountain','and','very','few','areas','water','are','present','within','hydrographic','(Sec-','tion','3.1).','Ephemeral','flow','may','occur','as','a','result','high-intensity','precipita-','(Section','5.1).','This','storm','runoff','is','commonly','heavily','laden','with','sediment','debris','be','used','by','vegetation','and,','minor','extent,','animals.','However,','this','not','humans','for','any','purpose','(DOE','1986;','Section','3.2.3.3).','The','limited','availability','restricts','extent','which','either','plants','animals','would','affected.','Storm','would,','most','probably,','only','affected','immediate','vicinity','site.','For','reason,','modification','runoff,','quantity','chemical','quality,','expected','have','minimal,','if','any,','impact','wildlife.','Other','potential','sources','such','dust-control','spraying,','contribute','ground','(DOE,','1986).','Ground','contaminated','during','site','characterization','activities.','Controls','over','activities','discussed','below','considered','sufficient','minimize','contamination','contact','made','table','at','except','through','exploratory','boreholes.','All','construction','shaft','will','tagged','suitable'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1115.0,111.0,323.0,0.0,672.0,0.0,298.0,35.0,'CONSULTATION','0'
1438.0,111.0,980.0,323.0,672.0,0.0,124.0,34.0,'DRAFT','0'
491.0,360.0,153.0,980.0,672.0,672.0,123.0,35.0,'Table','0'
644.0,360.0,147.0,153.0,306.0,672.0,88.0,33.0,'3-6.','0'
791.0,360.0,249.0,147.0,306.0,672.0,220.0,44.0,'Magnitude','0'
1040.0,360.0,77.0,249.0,306.0,672.0,45.0,35.0,'of','0'
1117.0,360.0,199.0,77.0,306.0,672.0,169.0,59.0,'sprinis','0'
1316.0,360.0,72.0,199.0,306.0,672.0,45.0,33.0,'in','0'
1388.0,360.0,100.0,72.0,306.0,672.0,71.0,35.0,'the','0'
1488.0,360.0,352.0,100.0,306.0,672.0,323.0,45.0,'hydrogeologic','0'
1840.0,360.0,151.0,352.0,306.0,672.0,121.0,44.0,'study','0'
1991.0,360.0,1201.0,151.0,306.0,672.0,114.0,31.0,'area,','0'
792.0,410.0,149.0,1201.0,306.0,306.0,121.0,34.0,'based','0'
941.0,410.0,72.0,149.0,282.0,306.0,47.0,23.0,'on','0'
1013.0,410.0,277.0,72.0,282.0,306.0,223.0,35.0,'Meinzer's','0'
1290.0,410.0,373.0,277.0,282.0,306.0,345.0,36.0,'classification','0'
1663.0,410.0,76.0,373.0,282.0,306.0,45.0,34.0,'of','0'
1739.0,410.0,175.0,76.0,282.0,306.0,148.0,42.0,'spring','0'
1914.0,410.0,946.0,175.0,282.0,306.0,221.0,45.0,'discharge','0'
990.0,610.0,177.0,946.0,282.0,282.0,147.0,34.0,'Volume','1'
1167.0,610.0,74.0,177.0,627.0,282.0,44.0,34.0,'of','1'
1241.0,610.0,597.0,74.0,627.0,282.0,218.0,42.0,'discharge','1'
1838.0,610.0,176.0,597.0,627.0,282.0,148.0,35.0,'Number','1'
2014.0,610.0,77.0,176.0,627.0,282.0,45.0,35.0,'of','1'
2091.0,610.0,1726.0,77.0,627.0,282.0,169.0,42.0,'springs','1'
366.0,661.0,426.0,1726.0,627.0,627.0,223.0,43.0,'Magnitude','1'
792.0,661.0,200.0,426.0,1131.0,627.0,171.0,43.0,'English','1'
992.0,661.0,420.0,200.0,1131.0,627.0,120.0,33.0,'units','1'
1412.0,661.0,176.0,420.0,1131.0,627.0,148.0,34.0,'Metric','1'
1588.0,661.0,253.0,176.0,1131.0,627.0,120.0,34.0,'units','1'
1841.0,661.0,73.0,253.0,1131.0,627.0,45.0,33.0,'in','1'
1914.0,661.0,422.0,73.0,1131.0,627.0,323.0,45.0,'hydrogeologic','1'
1495.0,710.0,420.0,422.0,1131.0,1131.0,107.0,45.0,'(L/s)','1'
1915.0,710.0,150.0,420.0,787.0,1131.0,120.0,43.0,'study','1'
2065.0,710.0,1352.0,150.0,787.0,1131.0,98.0,22.0,'area','1'
