@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'6666c;6666d..,,,...666c;c36666do=76,7_,E,C66,6c66d6.6,6',',.1-6-2,7--T,E;gn==.7.,','=-,,;-&-nn','88G8.41e.gg','77,7-.4','-','=--E','.7','6C6C66666','..-:','..........','-1...,,,,,0i','-.-.,,m,..-.,','c,,,c4,,',',...,4','I','1','i','III','IIIII','t','000.000000','IT',',:,,,,,,,,:,;-.....4...,--....;.;,.....;...........-....-,..............,,,,,,.','5Z".;-1','14','4','."";','.1','L.','.','1.1.1','I...1','1.1','1..1','L4','11','1.','1I','....','L;','1.4','1:.4','l','-.L','E---','0.2..=9...P,ss','gRg','.q...-R2--g,3.0.0-0.9,2','9.','7579','=;-.,:-.',',.--.','I7','866800E','0',':66','6,z:66666664644666','.9.-,5-99','.2.','-35.','.?-5:6;'6','6','00000-00000000000','-_-_-_-_-,...-....-...........,.....--','c,o00,.00,.0','.,,,,,,,00.,00','..,.r=o,1-0,q,..','.,','.0',''.,...','.,.0..0.00)','...........................',',,,,0)','.0N.100)','0)','0'','-,,410,0','0.-eq,,..cm-.0,...=co.0','............','cc','00','0-00)','--...-.00','om','CO','Cl','...................','...','-a',',1--,.,.','...;','.5','cv','f-','-.','M0','M','[','P.','t--','ce,','oo',':5','g-','5r,','C1','10','<01','10,','C0','0,','.0,','..','ti,','01',':0','C,',''4','..............','............................','m,mcmcmcscmcmma,,mmm,m,mc,,m7m,mmm,mm,,,m,m:mr,,,,,,,,,mcm,,,c,,mm,,,,,cmmcm,','Eu,','LO','CC','ICC','.........................................,..',',','n','0.010','0-105..c4,','w','.''','t.','d','C','et','g','A','E.'',''2','>,','Z',';','-5','..1',',,','7'4','7,,',''6','..-=','U','-5:',':.,','."',',4','.-D',',I.C.','-,J','..4','.?.s.','z','c','It','x.',''5','a',''''','=','F'',':',iit','3>';',''L>-,','.1-'','o','_','j','>4','>.','m',''Ai',',M0','..,-',';:.','..',_','OC','.5...','P','3','=,_1_,_,','4,','1-1'','al','''','8.',',-','c>','d`',',5','_42,','V,','u','T.'','1i:','4"',',g','7.','5','%','74','c,1','2',''a1','g..2.:','U2.5R7.5.7,-07','`7.:---"I'g7;';','....=','---,1-=.---...-',',,t12,1",5,?1.7,-7m:Er'..7-"Fl','clf.u=t:',',--,,,.-...',4.'-gu0C2=o-c-o.,Ei-r,-,,,.,.--',':J.,._.7-110-)',''','.-','s.','.1'','-E,','21','9','b0','..e','O','7t,','F.'','-4',',.5,,4,','4'','7.--','-."','-6,,,..','G.'M4','W','0(4',',..','=QL,,,...-6itiltgeteLlgwwj!gt,',''4.p.,...:71/.ZZFT.llaZ7204c.:E.OZ:r-ZZ*4Z-EXaT.ZI:XU:7-!XE-.'",=47.ZX7.,hz.Z',4','5,9,','gF-;','15','111','--o=.,,,,,o..,,,,,,o0,,=,,,.o.o,,,,,,,.,,o,,..o.,-,-,.,-0,,-,--,o,o-o','-----','P4',',I,','C7','-'','^,','--','^.','d-,','c.,','.4','.:',',-.','>i','ici','I.','^=^..-cmc...-c.--,,m-,c4pc4,4--.--0--tqc,,-0,,,,',',e,','--.',',-,','-,','e,',',.rj',',.',',.,','.-.','.-,1',',1','VO','1,o','-r','--,','u,',';74','-.,,-.,,,,,','r-.','8',',:,',',:','J,','_L','rl.','!',',I.','-:','-14',',1,',',!.','s',',14',',,L','8,',',;,',',L',',0','..-,mmem,mmmmlm,mmcmm,','u.,','p','r.','l.','013','.....','YO','MO',',-...1-','t-','OIC','=CO,',''r.','.,7--..-7...._.7..,,oc.,c.oc-7,..c,-...7...c..-c.,..,-.7,a,','c.'}
@ATTRIBUTE 'table' {'1','0'}

@DATA
385.0,944.0,2.0,0.0,1756.0,0.0,1741.0,46.0,'6666c;6666d..,,,...666c;c36666do=76,7_,E,C66,6c66d6.6,6','1'
387.0,944.0,397.0,2.0,1756.0,0.0,347.0,23.0,',.1-6-2,7--T,E;gn==.7.,','1'
784.0,944.0,229.0,397.0,1756.0,0.0,182.0,23.0,'=-,,;-&-nn','1'
1013.0,944.0,364.0,229.0,1756.0,0.0,316.0,23.0,'88G8.41e.gg','1'
1377.0,944.0,133.0,364.0,1756.0,0.0,84.0,16.0,'77,7-.4','1'
1510.0,944.0,66.0,133.0,1756.0,0.0,17.0,4.0,'-','1'
1576.0,944.0,98.0,66.0,1756.0,0.0,50.0,22.0,'=--E','1'
1674.0,944.0,467.0,98.0,1756.0,0.0,18.0,14.0,'.7','1'
2140.0,970.0,1865.0,467.0,1756.0,1756.0,319.0,22.0,'6C6C66666','0'
276.0,1023.0,753.0,1865.0,1865.0,1865.0,17.0,15.0,'..-:','1'
1029.0,1023.0,748.0,753.0,183.0,1865.0,301.0,4.0,'..........','1'
1777.0,1023.0,167.0,748.0,183.0,1865.0,118.0,12.0,'-1...,,,,,0i','0'
1944.0,1023.0,265.0,167.0,183.0,1865.0,216.0,12.0,'-.-.,,m,..-.,','0'
2209.0,1023.0,199.0,265.0,183.0,1865.0,152.0,12.0,'c,,,c4,,','0'
2408.0,1023.0,1952.0,199.0,183.0,1865.0,52.0,12.0,',...,4','0'
457.0,1048.0,33.0,1952.0,183.0,183.0,3.0,16.0,'I','1'
490.0,1048.0,33.0,33.0,115.0,183.0,3.0,16.0,'I','1'
523.0,1048.0,34.0,33.0,115.0,183.0,3.0,16.0,'I','1'
557.0,1048.0,33.0,34.0,115.0,183.0,3.0,16.0,'I','1'
590.0,1048.0,33.0,33.0,115.0,183.0,3.0,16.0,'I','1'
623.0,1048.0,33.0,33.0,115.0,183.0,3.0,16.0,'I','1'
656.0,1048.0,66.0,33.0,115.0,183.0,3.0,16.0,'I','1'
722.0,1048.0,67.0,66.0,115.0,183.0,3.0,15.0,'I','1'
789.0,1048.0,66.0,67.0,115.0,183.0,2.0,15.0,'I','1'
855.0,1048.0,34.0,66.0,115.0,183.0,3.0,17.0,'I','1'
889.0,1048.0,66.0,34.0,115.0,183.0,2.0,16.0,'I','1'
955.0,1048.0,198.0,66.0,115.0,183.0,2.0,17.0,'1','1'
1153.0,1048.0,100.0,198.0,115.0,183.0,3.0,18.0,'i','1'
1253.0,1048.0,133.0,100.0,115.0,183.0,70.0,17.0,'III','1'
1386.0,1048.0,233.0,133.0,115.0,183.0,135.0,18.0,'IIIII','1'
1619.0,1048.0,66.0,233.0,115.0,183.0,2.0,17.0,'1','1'
1685.0,1048.0,100.0,66.0,115.0,183.0,3.0,17.0,'I','1'
1785.0,1048.0,67.0,100.0,115.0,183.0,3.0,17.0,'t','0'
1852.0,1048.0,99.0,67.0,115.0,183.0,2.0,16.0,'1','0'
1951.0,1048.0,67.0,99.0,115.0,183.0,3.0,19.0,'1','0'
2018.0,1048.0,60.0,67.0,115.0,183.0,2.0,18.0,'i','0'
2078.0,1048.0,40.0,60.0,115.0,183.0,382.0,14.0,'000.000000','0'
2118.0,1048.0,133.0,40.0,115.0,183.0,42.0,27.0,'IT','0'
2251.0,1048.0,199.0,133.0,115.0,183.0,2.0,17.0,'1','0'
2450.0,1048.0,2070.0,199.0,115.0,183.0,3.0,18.0,'I','0'
382.0,1134.0,152.0,2070.0,115.0,115.0,2078.0,23.0,',:,,,,,,,,:,;-.....4...,--....;.;,.....;...........-....-,..............,,,,,,.','1'
252.0,1211.0,794.0,152.0,152.0,152.0,63.0,32.0,'5Z".;-1','1'
1046.0,1211.0,166.0,794.0,406.0,152.0,19.0,17.0,'14','1'
1212.0,1211.0,556.0,166.0,406.0,152.0,19.0,9.0,'4','1'
657.0,1236.0,39.0,556.0,406.0,406.0,3.0,12.0,?,'1'
