@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Introduction','Sandia','Laboratories','operates','a','seismic','network','of','six','stations','around','the','Nevada','Test','Site','(NTS).','Station','locations','are','as','follows:','LONGITUDE','ELEVATION','STATION','LATITUDE','Nelson,','Nev.','35421','44.6"','114501','36.5"','3260'','Tonopah,','38041','29.6"','117131','20.8"','61801','Leeds,','Utah','37141','35.4"','113221','35.9"','3512'','Darwin,','Calif.','36%61','36.7"','11735'','374"','5950'','Battle','Mtn.,','40251','53.3"','18.4"','52301','Ely,','39071','53.8"','114653'','31.5"','7600l','Stations','in','tunnels','with','concrete','seismometer','pads','poured','on','bedrock.','All','remotely','controlled','from','and','recorded','at','control','point','NTS','Iris','Time','Code','tape','recording','point.','Thus','all','have','common','accurate','time','base.','Signal','transit','via','telephone','link','to','is','below','resolution','siimal','onset.','Signals','these','sta:i)ns','ordinarily','only','for','scheduled','events.','On','August','5,','1971','an','earthquake','occurred','about','17:58:17','GMT','epicenter','located','NTS.','When','earth-','quake','was','felt','point,','recorders','were','turned','receive','signal','stations.','Paper','records','generated','le','um/sec,','normal','shot','speed.','Arrival','read','each.of,,the-six'statione'','4','emplitude..ofithel:',',','hundreth','or','tenth','second','depending','arrival.','differences','various','Were','noted','3'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1224.0,375.0,675.0,0.0,675.0,0.0,342.0,41.0,'Introduction','0'
564.0,512.0,197.0,675.0,675.0,675.0,169.0,38.0,'Sandia','0'
761.0,512.0,375.0,197.0,171.0,675.0,343.0,40.0,'Laboratories','0'
1136.0,512.0,259.0,375.0,171.0,675.0,226.0,42.0,'operates','0'
1395.0,512.0,60.0,259.0,171.0,675.0,24.0,27.0,'a','0'
1455.0,512.0,228.0,60.0,171.0,675.0,195.0,38.0,'seismic','0'
1683.0,512.0,230.0,228.0,171.0,675.0,201.0,40.0,'network','0'
1913.0,512.0,88.0,230.0,171.0,675.0,55.0,43.0,'of','0'
2001.0,512.0,115.0,88.0,171.0,675.0,83.0,38.0,'six','0'
2116.0,512.0,1697.0,115.0,171.0,675.0,221.0,40.0,'stations','0'
422.0,607.0,202.0,1697.0,171.0,171.0,166.0,38.0,'around','0'
624.0,607.0,110.0,202.0,1148.0,171.0,78.0,38.0,'the','0'
734.0,607.0,202.0,110.0,1148.0,171.0,169.0,39.0,'Nevada','0'
936.0,607.0,144.0,202.0,1148.0,171.0,111.0,36.0,'Test','0'
1080.0,607.0,147.0,144.0,1148.0,171.0,111.0,38.0,'Site','0'
1227.0,607.0,227.0,147.0,1148.0,171.0,157.0,51.0,'(NTS).','0'
1454.0,607.0,230.0,227.0,1148.0,171.0,199.0,39.0,'Station','0'
1684.0,607.0,287.0,230.0,1148.0,171.0,254.0,41.0,'locations','0'
1971.0,607.0,114.0,287.0,1148.0,171.0,83.0,29.0,'are','0'
2085.0,607.0,87.0,114.0,1148.0,171.0,53.0,29.0,'as','0'
