@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'DISTRIBUTION:','(cont)','John','A.','Blume','Engineers','1100','C.','D.','Broyles','Sheraton','Palace','Hotel','1110','(actg)','130','Jessie','Street','1111','J.','R.','Banister','San','Francisco,','CA','94105','1123','B.','Benjamin','Attn:','P.','Yanev','Dickinson','1123-1','H.','Stuckert','Brown','University','L.','Vortman','(10)','Department','of','Geological','Sciences','1417','F.','McFarling','Providence,','RI','02912','G.','Rudolfo','Giletti','4413','Donath','4500','E.','Beckner','Harvard','4510','W.','Weart','4530','Lynch','Cambridge,','MA','02138','4537','Tyler','Siever','4538','Lincoln','8266','Aas','Texas','A&M','3141','T.','Werner','(5)','Center','for','Tectonophysics','3151','Garner','(3)','College','Station,','TX','77840','For','DOE/TIC','(Unlimited','Release)','Handin','(25)','(R.','Campbell,','3154-3)','Dartmouth','Earth','Hanover,','NH','03755','Lyons','Princeton','Civil','Engineering','Princeton,','NJ','08540','Pinder','CERCDC','Hower','Avenue','Sacramento,','95825','Soinski','Lawrence','Berkeley','Laboratory','Energy','&','Environment','Division','California','Berkeley,','94720','Witherspoon','Hanford','Development','P.O.','Box','1970','Richland,','WA','99352','Cantley','Defense','Nuclear','Agency','Field','Command','Test','Construction','Div.','Mercury,','NV','LaComb','49'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
246.0,378.0,353.0,0.0,100.0,0.0,314.0,28.0,'DISTRIBUTION:','0'
599.0,378.0,363.0,353.0,100.0,0.0,138.0,37.0,'(cont)','0'
250.0,477.0,122.0,363.0,100.0,100.0,93.0,29.0,'John','1'
372.0,477.0,77.0,122.0,48.0,100.0,40.0,27.0,'A.','1'
449.0,477.0,149.0,77.0,48.0,100.0,117.0,30.0,'Blume','1'
598.0,477.0,761.0,149.0,48.0,100.0,217.0,36.0,'Engineers','1'
1359.0,477.0,197.0,761.0,48.0,100.0,93.0,29.0,'1100','1'
1556.0,477.0,75.0,197.0,48.0,100.0,40.0,29.0,'C.','1'
1631.0,477.0,75.0,75.0,48.0,100.0,40.0,28.0,'D.','1'
1706.0,477.0,1457.0,75.0,48.0,100.0,169.0,38.0,'Broyles','1'
250.0,525.0,222.0,1457.0,48.0,48.0,195.0,28.0,'Sheraton','1'
472.0,525.0,175.0,222.0,53.0,48.0,145.0,29.0,'Palace','1'
647.0,525.0,713.0,175.0,53.0,48.0,119.0,29.0,'Hotel','1'
1360.0,525.0,195.0,713.0,53.0,48.0,90.0,30.0,'1110','1'
1555.0,525.0,76.0,195.0,53.0,48.0,41.0,28.0,'C.','1'
1631.0,525.0,74.0,76.0,53.0,48.0,38.0,27.0,'D.','1'
1705.0,525.0,202.0,74.0,53.0,48.0,169.0,37.0,'Broyles','1'
1907.0,525.0,1657.0,202.0,53.0,48.0,138.0,40.0,'(actg)','1'
251.0,577.0,98.0,1657.0,53.0,53.0,68.0,30.0,'130','1'
349.0,577.0,177.0,98.0,51.0,53.0,144.0,29.0,'Jessie','1'
