@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Table','10.--Static','water','levels','during','hydraulic','testing','and','construction','Depth','to','Interval','Type','of','test','static','tested','Geologic','unit','No.','level','(meters)','282.2','-','334.1','Topopah','Spring','Member','Pumping','1','282.5','451.1','Do.','2','282.7','Injection','19','471.2','502.0','Tuffaceous','beds','Calico','Hills','Swabbing','282.3','16','501.1','562.1','282.4','Prow','Pass','18','612.6','282.0','Hills,','Member,','tuffaceous','sandstone','3','6','661.4','282.1','sandstone,','Bullfrog','15','584.6','645.6','11','772.7','803.1','1283.6+2','Tram','20','819.9','1,063.1','283.3','unit,','bedded','tuff,','Tuff','Lithic','Ridge','Nearly','recovered','after','270','minutes.','21'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
614.0,348.0,150.0,0.0,503.0,0.0,120.0,31.0,'Table','0'
764.0,348.0,296.0,150.0,503.0,0.0,269.0,35.0,'10.--Static','0'
1060.0,348.0,155.0,296.0,503.0,0.0,124.0,31.0,'water','0'
1215.0,348.0,170.0,155.0,503.0,0.0,141.0,35.0,'levels','0'
1385.0,348.0,176.0,170.0,503.0,0.0,148.0,45.0,'during','0'
1561.0,348.0,253.0,176.0,503.0,0.0,221.0,45.0,'hydraulic','0'
1814.0,348.0,708.0,253.0,503.0,0.0,170.0,44.0,'testing','0'
1111.0,424.0,99.0,708.0,503.0,503.0,74.0,36.0,'and','0'
1210.0,424.0,141.0,99.0,200.0,503.0,298.0,36.0,'construction','0'
1262.0,555.0,153.0,141.0,200.0,200.0,123.0,38.0,'Depth','1'
1415.0,555.0,627.0,153.0,474.0,200.0,42.0,26.0,'to','1'
789.0,581.0,479.0,627.0,474.0,474.0,195.0,31.0,'Interval','1'
313.0,629.0,126.0,479.0,479.0,479.0,97.0,38.0,'Type','1'
439.0,629.0,77.0,126.0,503.0,479.0,46.0,31.0,'of','1'
516.0,629.0,774.0,77.0,503.0,479.0,92.0,25.0,'test','1'
1290.0,629.0,476.0,774.0,503.0,479.0,143.0,29.0,'static','1'
815.0,654.0,797.0,476.0,503.0,503.0,144.0,30.0,'tested','1'
1612.0,654.0,225.0,797.0,454.0,503.0,196.0,38.0,'Geologic','1'
1837.0,654.0,128.0,225.0,454.0,503.0,97.0,29.0,'unit','1'
1965.0,654.0,1602.0,128.0,454.0,503.0,144.0,30.0,'tested','1'
364.0,704.0,99.0,1602.0,454.0,454.0,71.0,31.0,'and','1'
463.0,704.0,771.0,99.0,431.0,454.0,66.0,30.0,'No.','1'
1234.0,704.0,155.0,771.0,431.0,454.0,124.0,25.0,'water','1'
1389.0,704.0,596.0,155.0,431.0,454.0,118.0,32.0,'level','1'
794.0,728.0,477.0,596.0,431.0,431.0,184.0,40.0,'(meters)','1'
1268.0,778.0,568.0,477.0,477.0,477.0,185.0,38.0,'(meters)','1'
715.0,905.0,149.0,568.0,568.0,568.0,118.0,33.0,'282.2','1'
864.0,905.0,101.0,149.0,410.0,568.0,21.0,6.0,'-','1'
965.0,905.0,299.0,101.0,410.0,568.0,119.0,32.0,'334.1','1'
1264.0,905.0,273.0,299.0,410.0,568.0,119.0,31.0,'282.2','1'
1537.0,905.0,201.0,273.0,410.0,568.0,172.0,38.0,'Topopah','1'
1738.0,905.0,173.0,201.0,410.0,568.0,146.0,36.0,'Spring','1'
1911.0,905.0,1601.0,173.0,410.0,568.0,147.0,29.0,'Member','1'
312.0,979.0,203.0,1601.0,410.0,410.0,173.0,36.0,'Pumping','1'
515.0,979.0,200.0,203.0,76.0,410.0,19.0,30.0,'1','1'
715.0,979.0,148.0,200.0,76.0,410.0,119.0,33.0,'282.5','1'
863.0,979.0,101.0,148.0,76.0,410.0,21.0,5.0,'-','1'
964.0,979.0,301.0,101.0,76.0,410.0,120.0,32.0,'451.1','1'
1265.0,979.0,322.0,301.0,76.0,410.0,118.0,31.0,'282.5','1'
1587.0,979.0,1279.0,322.0,76.0,410.0,65.0,28.0,'Do.','1'
311.0,1054.0,204.0,1279.0,76.0,76.0,174.0,37.0,'Pumping','1'
515.0,1054.0,200.0,204.0,77.0,76.0,18.0,31.0,'2','1'
715.0,1054.0,148.0,200.0,77.0,76.0,119.0,33.0,'282.7','1'
863.0,1054.0,101.0,148.0,77.0,76.0,21.0,5.0,'-','1'
964.0,1054.0,301.0,101.0,77.0,76.0,120.0,32.0,'451.1','1'
1265.0,1054.0,322.0,301.0,77.0,76.0,117.0,32.0,'282.7','1'
1587.0,1054.0,1276.0,322.0,77.0,76.0,65.0,27.0,'Do.','1'
314.0,1130.0,251.0,1276.0,77.0,77.0,222.0,37.0,'Injection','1'
565.0,1130.0,149.0,251.0,1275.0,77.0,45.0,32.0,'19','1'
714.0,1130.0,150.0,149.0,1275.0,77.0,119.0,32.0,'471.2','1'
864.0,1130.0,100.0,150.0,1275.0,77.0,20.0,5.0,'-','1'
964.0,1130.0,300.0,100.0,1275.0,77.0,120.0,32.0,'502.0','1'
1264.0,1130.0,273.0,300.0,1275.0,77.0,119.0,31.0,'282.5','1'
