@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'166','SOUTHWESTERN','NEVADA','AND','EASTERN','CALIFORNIA.','coherent','tuffaceous','sandstone,','which','readily','breaks','down','into','sand.','The','section','at','this','point','is','as','follows',':',',S'ection','southeast','of','Stainingers','Ranch.','Feet','Lava,','largely','biotite','latite','375','Rhyolite','flows','and','some','turfaceous','sandstone','100','Tuffaeeous','thin','rhyolite','75','Tuffaceous','225','Between','the','lava','sediments','are','minor','erosional','gaps,','but','these','probably','current','unconformities,','series','approximately','all','one','age.','Bedding','planes','from','2','inches','to','.20','feet','apart','well','developed','places.','Locally','lies','nnconformably','upon','folded','Pogonip','limestone.','It','closely','similar','that','Mount','Jack-','son','hills','and,','like','it,','overlain','by','siliceous','lavas.','This','formation','is,','without','much','doubt,','Siebert','lake','beds.','A','number','small','areas','conglomerate','occur','on','eastern','slope','Amargosa','Range,','east','boundary','post','No.','94,','Daylight','Spring','north','Willow','Spring.','rocks,','varying','loosely','rather','strongly','consolidated','material,','consist','con-','glomerates','arkoses','with','a','little','shale.','They','range','in','color','green','red,','yellow,','or','brown.','planes,','1','inch','apart,','developed.','pebbles','conglom-','erate,','very','rounded','many','them','highly','polished,','reach','maximum','diameter','4','inches.','derived','principally','Paleozoic','rocks','by,','here','there','pebble','fine-','near','medium-grained','granite,','area','NO.','94','earlier','rh-yolite.','These','appear','be','shore','de-','posits','waves','swept','considerable','force.','Mate-','rial','was','transported','distances,','since','granite','does','not','now','outcrop','vicinity.','Since','contains','none','basalt,','deposits','younger','than','(early','Miocene)','older','basalt','(Pliocene-','Pleistocene),','middle','late','Tertiary','.','consequence','age,','pre-','sumably','Miocene.','contemporaneous','beds','were','deposited,','it','be-','lieved','they','lake.','conglomeratic','-','Funeral','Mountains,','south','mapped,','correlated','conglomerates.','Older','alluvium.From','8','miles','Surveyors','Well','3','Mesquite','western','flank','Range','formed','alluvium,','same','forma-','tion','covers','west','85.','deposit','consists','clays','bowlder','those','Death;1'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
728.0,417.0,147.0,0.0,91.0,0.0,66.0,33.0,'166','0'
875.0,417.0,325.0,147.0,91.0,0.0,299.0,24.0,'SOUTHWESTERN','0'
1200.0,417.0,167.0,325.0,91.0,0.0,143.0,23.0,'NEVADA','0'
1367.0,417.0,99.0,167.0,91.0,0.0,74.0,22.0,'AND','0'
1466.0,417.0,187.0,99.0,91.0,0.0,161.0,23.0,'EASTERN','0'
1653.0,417.0,937.0,187.0,91.0,0.0,229.0,23.0,'CALIFORNIA.','0'
721.0,507.0,175.0,937.0,91.0,91.0,157.0,32.0,'coherent','0'
896.0,507.0,203.0,175.0,51.0,91.0,183.0,32.0,'tuffaceous','0'
1099.0,507.0,210.0,203.0,51.0,91.0,189.0,41.0,'sandstone,','0'
1309.0,507.0,129.0,210.0,51.0,91.0,109.0,32.0,'which','0'
1438.0,507.0,153.0,129.0,51.0,91.0,133.0,41.0,'readily','0'
1591.0,507.0,140.0,153.0,51.0,91.0,120.0,31.0,'breaks','0'
1731.0,507.0,118.0,140.0,51.0,91.0,97.0,31.0,'down','0'
1849.0,507.0,91.0,118.0,51.0,91.0,73.0,31.0,'into','0'
1940.0,507.0,1220.0,91.0,51.0,91.0,93.0,32.0,'sand.','0'
722.0,557.0,89.0,1220.0,51.0,51.0,72.0,31.0,'The','0'
811.0,557.0,141.0,89.0,343.0,51.0,123.0,32.0,'section','0'
952.0,557.0,51.0,141.0,343.0,51.0,34.0,25.0,'at','0'
1003.0,557.0,84.0,51.0,343.0,51.0,69.0,30.0,'this','0'
1087.0,557.0,114.0,84.0,343.0,51.0,98.0,40.0,'point','0'
1201.0,557.0,45.0,114.0,343.0,51.0,29.0,30.0,'is','0'
1246.0,557.0,54.0,45.0,343.0,51.0,36.0,20.0,'as','0'
1300.0,557.0,143.0,54.0,343.0,51.0,132.0,32.0,'follows','0'
1443.0,557.0,402.0,143.0,343.0,51.0,6.0,19.0,':','0'
1052.0,650.0,131.0,402.0,343.0,343.0,115.0,23.0,',S'ection','0'
1183.0,650.0,165.0,131.0,914.0,343.0,150.0,24.0,'southeast','0'
1348.0,650.0,46.0,165.0,914.0,343.0,30.0,28.0,'of','0'
1394.0,650.0,200.0,46.0,914.0,343.0,182.0,27.0,'Stainingers','0'
1594.0,650.0,373.0,200.0,914.0,343.0,108.0,24.0,'Ranch.','0'
1964.0,693.0,1244.0,373.0,914.0,914.0,60.0,22.0,'Feet','1'
721.0,725.0,106.0,1244.0,1244.0,1244.0,87.0,27.0,'Lava,','1'
827.0,725.0,127.0,106.0,41.0,1244.0,109.0,29.0,'largely','1'
954.0,725.0,120.0,127.0,41.0,1244.0,102.0,24.0,'biotite','1'
1074.0,725.0,910.0,120.0,41.0,1244.0,83.0,23.0,'latite','1'
1984.0,725.0,1264.0,910.0,41.0,1244.0,51.0,26.0,'375','1'
721.0,766.0,153.0,1264.0,41.0,41.0,136.0,28.0,'Rhyolite','1'
874.0,766.0,96.0,153.0,43.0,41.0,80.0,24.0,'flows','1'
970.0,766.0,75.0,96.0,43.0,41.0,57.0,24.0,'and','1'
1045.0,766.0,93.0,75.0,43.0,41.0,77.0,17.0,'some','1'
1138.0,766.0,180.0,93.0,43.0,41.0,162.0,25.0,'turfaceous','1'
1318.0,766.0,667.0,180.0,43.0,41.0,156.0,23.0,'sandstone','1'
1985.0,766.0,1265.0,667.0,43.0,41.0,51.0,26.0,'100','1'
721.0,809.0,188.0,1265.0,43.0,43.0,172.0,24.0,'Tuffaeeous','1'
909.0,809.0,171.0,188.0,43.0,43.0,156.0,24.0,'sandstone','1'
1080.0,809.0,73.0,171.0,43.0,43.0,57.0,24.0,'and','1'
1153.0,809.0,81.0,73.0,43.0,43.0,65.0,24.0,'thin','1'
1234.0,809.0,142.0,81.0,43.0,43.0,125.0,28.0,'rhyolite','1'
1376.0,809.0,608.0,142.0,43.0,43.0,80.0,24.0,'flows','1'
1984.0,809.0,1265.0,608.0,43.0,43.0,51.0,25.0,'375','1'
720.0,851.0,156.0,1265.0,43.0,43.0,136.0,29.0,'Rhyolite','1'
876.0,851.0,1127.0,156.0,43.0,43.0,79.0,24.0,'flows','1'
2003.0,851.0,1286.0,1127.0,43.0,43.0,32.0,25.0,'75','1'
718.0,893.0,194.0,1286.0,43.0,43.0,171.0,25.0,'Tuffaceous','1'
912.0,893.0,1071.0,194.0,73.0,43.0,156.0,23.0,'sandstone','1'
1983.0,893.0,1223.0,1071.0,73.0,43.0,51.0,26.0,'225','1'
762.0,950.0,176.0,1223.0,73.0,73.0,157.0,32.0,'Between','0'
938.0,950.0,75.0,176.0,66.0,73.0,56.0,31.0,'the','0'
1013.0,950.0,97.0,75.0,66.0,73.0,76.0,30.0,'lava','0'
1110.0,950.0,85.0,97.0,66.0,73.0,66.0,31.0,'and','0'
1195.0,950.0,77.0,85.0,66.0,73.0,56.0,31.0,'the','0'
1272.0,950.0,198.0,77.0,66.0,73.0,180.0,31.0,'sediments','0'
1470.0,950.0,75.0,198.0,66.0,73.0,57.0,21.0,'are','0'
1545.0,950.0,131.0,75.0,66.0,73.0,112.0,32.0,'minor','0'
1676.0,950.0,184.0,131.0,66.0,73.0,166.0,31.0,'erosional','0'
1860.0,950.0,114.0,184.0,66.0,73.0,96.0,30.0,'gaps,','0'
1974.0,950.0,1255.0,114.0,66.0,73.0,61.0,32.0,'but','0'
720.0,1000.0,109.0,1255.0,66.0,66.0,92.0,30.0,'these','0'
829.0,1000.0,73.0,109.0,50.0,66.0,56.0,20.0,'are','0'
902.0,1000.0,182.0,73.0,50.0,66.0,165.0,42.0,'probably','0'
