@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Major','Tar','Sand','and','Heavy','Oil','Deposits','of','the','United','States','INTRODUCTION','1.','The','Total','U.S.','Resource','is','Estimated','at','54','Billion','Barrels.','measured','This','report-Major','tar','sand','resource','in-place','for','major','deposits','States-addresses','four','estimated','22','billion','barrels.','speculative','important','national','energy','objectives:','(1)','to','develop','an','updated','assessment','31','minor','contain','resources;','(2)','independently','appraise','1.0','barrels','having','100','million','in-place.','Not','addressed','by','this','study','or','more','in-place;','(3)','document,','using','offshore','California','area','where','sand/heavy','previously','published','data,','oil','are','presumed','exist,','but','which','deposits,','with','between','10','data','not','yet','obtainable.','and,','(','4)','tabulate','nation's','heavy','deposits.','estimate','shown','state','on','Figure','1','(see','page','2)','following','table.','distribution','BACKGROUND','category','2','3).','need','report','has','grown','each','passing','year','since','last','tabulation','sands,','1965','Department','Inter-','ior/Bureau','Mines','Monograph','12','entitled,','Surface','Shallow','Oil-Impregnated','Rocks','TAR','SAND','RESOURCE','IN-PLACE','(Billion','Barrels)','States.','That','was','conducted','under','auspices','Interstate','Compact','Com-','Measured','Speculative','mission','as','report.','A.','(Greater','than','Much','changed','in','domestic','Million','picture','intervening','twenty','years','Alabama','1.8','4.6','6.4','publishing','12.','All','these','changes','Alaska','-','10.0','1.9','2.6','4.5','have','added','importance','better','understanding','Kentucky','1,7','1.7','3.4','developing,','(where','economically','feasible),','New','Mexico','0.1','0.2','0.3','large','valuable','hydrocarbon','S.','Oklahoma','0.8','resources','Texas','3.9','0.9','4.8','locked','It','hope','Tri-State','2.7','2.9','staff,','reviewers,','directors','Utah','11.9','.','7.5','19.4','that','collection','information','will','Wyoming','help','industrial','public','make','Subtotal','21.6','311','52.7','managers','judicious','timely','decisions','about','B.','Minor','(Be-','tween','resources.','01','02','MAJOR','FINDINGS','0.7','07','findings','are:'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
985.0,284.0,208.0,0.0,651.0,0.0,178.0,66.0,'Major','0'
1193.0,284.0,135.0,208.0,651.0,0.0,108.0,54.0,'Tar','0'
1328.0,284.0,174.0,135.0,651.0,0.0,147.0,56.0,'Sand','0'
1502.0,284.0,138.0,174.0,651.0,0.0,109.0,57.0,'and','0'
1640.0,284.0,211.0,138.0,651.0,0.0,182.0,66.0,'Heavy','0'
1851.0,284.0,128.0,211.0,651.0,0.0,99.0,56.0,'Oil','0'
1979.0,284.0,359.0,128.0,651.0,0.0,244.0,68.0,'Deposits','0'
1630.0,368.0,84.0,359.0,651.0,651.0,62.0,70.0,'of','0'
1714.0,368.0,115.0,84.0,1435.0,651.0,82.0,56.0,'the','0'
1829.0,368.0,228.0,115.0,1435.0,651.0,200.0,56.0,'United','0'
2057.0,368.0,1841.0,228.0,1435.0,651.0,165.0,54.0,'States','0'
284.0,863.0,1095.0,1841.0,1435.0,1435.0,410.0,33.0,'INTRODUCTION','0'
1379.0,863.0,57.0,1095.0,1046.0,1435.0,27.0,32.0,'1.','0'
1436.0,863.0,98.0,57.0,1046.0,1435.0,78.0,35.0,'The','0'
1534.0,863.0,131.0,98.0,1046.0,1435.0,109.0,34.0,'Total','0'
1665.0,863.0,107.0,131.0,1046.0,1435.0,86.0,33.0,'U.S.','0'
1772.0,863.0,95.0,107.0,1046.0,1435.0,75.0,32.0,'Tar','0'
1867.0,863.0,123.0,95.0,1046.0,1435.0,102.0,33.0,'Sand','0'
1990.0,863.0,199.0,123.0,1046.0,1435.0,178.0,33.0,'Resource','0'
2189.0,863.0,863.0,199.0,1046.0,1435.0,30.0,31.0,'is','0'
1328.0,913.0,210.0,863.0,1046.0,1046.0,201.0,34.0,'Estimated','0'
1538.0,913.0,48.0,210.0,1001.0,1046.0,38.0,25.0,'at','0'
1586.0,913.0,61.0,48.0,1001.0,1046.0,51.0,34.0,'54','0'
1647.0,913.0,148.0,61.0,1001.0,1046.0,139.0,34.0,'Billion','0'
1795.0,913.0,162.0,148.0,1001.0,1046.0,151.0,33.0,'Barrels.','0'
1957.0,913.0,83.0,162.0,1001.0,1046.0,73.0,34.0,'The','0'
