@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Tar','Sand/Heavy','Oil','Deposits','2.','The','U.S.','Sand','Resource','is','Consid-','tar','sand','resource','11.9','billion','barrels,','erably','Larger','Than','Reported','in','Earlier','Studies.','and','the','speculative','8.2','in-place','larger','than','barrels.','reported','previous','studies,','such','as','Monograph','12,','or','published','various','other','public','sources,','estimate','for','California','shown','below.','4.7','barrels;','expansions','size','of','previously','identified','deposits,','identification','new','ESTIMATES','OF','TAR','SAND','RESOURCE','IN-PLACE','attractive','Barrels)','properties','reservoirs','(Billions','should','make','an','important','center','This','Other','Public','development.','Study','12','Data','Measured','21.6','2.5','13.1','Texas','estimated','Speculative','32.2','3.0','23.3','at','4.8','barrels','due','to','recognition','Total','53.7','5.5','36.4','improved','definition','three','large','depositsthe','San','Miguel','D,','Anacacho','Hensel','formations.','di-','rectory','surface','shallow','oil-impregnated','Kentucky','rocks','United','States','1965,','1.7','measured,','measured','3','plus','additional','spe-','in-place.','culative,','up','from','Since','state','geological','surveys','less','50','million','institutions','have','investigated','documented','a','number','Alabama','6.5','deposits.','data','these','studies','been','in-place,','mainly','one','accumulated','are','summarized','column','deposit,','Hartselle','sandstone','entitled','Data."','northern','Alabama.','database,','assembled','numerous','shows','13','23','A','major','sand/heavy','oil','area,','con-','taining','about','10','has','on','collected','by','this','study','led','North','Slope','Alaska,','overlying','significantly','expanded','Kuparuk','River','field.','resources.','because','many','deposits','can','now','be','considered','4.','Over','1,','/','00','Heavy','Have','areas','Been','Identified','Tabulated;','They','Constitute','identified.','Future','data,','Important,','Only','Partly','Developed','National','offshore','Resource.','Reservoir','production','may','further','add','significant','amounts','histories','were','(from','publicly','available','base.','data)','1,100','heavy','fields','(Heavy','defined','3.','Base','Broadly','having','gravity','between','10API','20API).','Distributed','With','Numerous','New','majority','Identified.','California,','with','356','Texas,','estimates','include:','350','Arkansas,','120','resources','Utah,','still','locale','sands,','constitute','20.1','in-place;','challenging','target','that','require','referenced','end','starr','report's.','4'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
252.0,293.0,58.0,0.0,196.0,0.0,48.0,25.0,'Tar','0'
310.0,293.0,176.0,58.0,196.0,0.0,165.0,30.0,'Sand/Heavy','0'
486.0,293.0,56.0,176.0,196.0,0.0,43.0,24.0,'Oil','0'
542.0,293.0,307.0,56.0,196.0,0.0,107.0,30.0,'Deposits','0'
301.0,482.0,62.0,307.0,196.0,196.0,31.0,32.0,'2.','0'
363.0,482.0,92.0,62.0,69.0,196.0,76.0,35.0,'The','0'
455.0,482.0,100.0,92.0,69.0,196.0,85.0,33.0,'U.S.','0'
555.0,482.0,88.0,100.0,69.0,196.0,73.0,32.0,'Tar','0'
643.0,482.0,115.0,88.0,69.0,196.0,101.0,35.0,'Sand','0'
758.0,482.0,192.0,115.0,69.0,196.0,179.0,33.0,'Resource','0'
950.0,482.0,44.0,192.0,69.0,196.0,29.0,30.0,'is','0'
994.0,482.0,411.0,44.0,69.0,196.0,154.0,35.0,'Consid-','0'
1405.0,482.0,69.0,411.0,69.0,196.0,49.0,24.0,'tar','0'
1474.0,482.0,105.0,69.0,69.0,196.0,86.0,34.0,'sand','0'
1579.0,482.0,181.0,105.0,69.0,196.0,162.0,22.0,'resource','0'
1760.0,482.0,51.0,181.0,69.0,196.0,26.0,29.0,'is','0'
1811.0,482.0,99.0,51.0,69.0,196.0,81.0,34.0,'11.9','0'
1910.0,482.0,143.0,99.0,69.0,196.0,125.0,35.0,'billion','0'
2053.0,482.0,1801.0,143.0,69.0,196.0,141.0,38.0,'barrels,','0'
253.0,531.0,129.0,1801.0,69.0,69.0,117.0,41.0,'erably','0'
382.0,531.0,136.0,129.0,51.0,69.0,125.0,40.0,'Larger','0'
518.0,531.0,113.0,136.0,51.0,69.0,103.0,35.0,'Than','0'
631.0,531.0,178.0,113.0,51.0,69.0,167.0,43.0,'Reported','0'
809.0,531.0,48.0,178.0,51.0,69.0,38.0,32.0,'in','0'
857.0,531.0,143.0,48.0,51.0,69.0,133.0,34.0,'Earlier','0'
1000.0,531.0,403.0,143.0,51.0,69.0,146.0,35.0,'Studies.','0'
1403.0,531.0,83.0,403.0,51.0,69.0,68.0,35.0,'and','0'
1486.0,531.0,71.0,83.0,51.0,69.0,58.0,35.0,'the','0'
1557.0,531.0,225.0,71.0,51.0,69.0,210.0,43.0,'speculative','0'
