@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'CONSULTATION','DRAFT','TABLE','OF','CONTENTS','VOLUME','III','Page','CHAPTER','6','CONCEPTUAL','DESIGN','A','REPOSITORY','6-','1','INTRODUCTION','6.1','Design','basis','6.1.1','Repository','design','requirements','6.1.1.1','Legal','6.1.1.2','Department','of','Energy','functional','8','6.1.1.3','Mined','geologic','disposal','system','for','waste','17','6.1.1.3.1','Site','25','6.1.1.3.2','6.1.1.3.3','Waste','package','26','6.1.1.4','Public','safety','considerations','27','6.1.1.4.1','Radiological','protection','28','6.1.1.4.2','classifications','6.1.1.4.3','Safety','6.1.1.5','constraints','29','6.1.1.6','Operations','scheduling','6.1.1.6.1','Construction','schedule','31','6.1.1.6.2','handling','and','6.1.1.6.3','Caretaker','closure','6.1.1.6.4','retrieval','33','6.1.1.7','Retrievability-related','criteria','6.1.1.8','containment','isolation-related','34','6.1.2','Reference','data','base','36','6.1.2.1','geology','37','6.1.2.1.1','Topography','terrain','6.1.2.1.2','Near','surface','soil','rock','40','6.1.2.1.3','Stratigraphy','lithology','6.1.2.1.4','Structure','44','6.1.2.1.5','Three-dimensional','thermal/mechanical','stratigraphy','model','6.1.2.2','In','situ','conditions','6.1.2.2.1','Temperature','46','6.1.2.2.2','Stress','6.1.2.3','Geotechnical','47','6.1.2.3.1','Physical','properties','54','6.1.2.3.2','Deformability','55','6.1.2.3.3','Strength','56','6.1.2.3.4','Geometric','characteristics','discontinuities','59','6.1.2.4','Thermal','60','6.1.2.4.1','expansion','coefficient','6.1.2.4.2','conductivity','65','6.1.2.4.3','capacitance','6.1.2.5','Hydrologic','66','6.1.2.5.1','Surface','water','6.1.2.5.2','Ground','6.1.2.6','Flood','68'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1105.0,45.0,332.0,0.0,252.0,0.0,303.0,34.0,'CONSULTATION','0'
1437.0,45.0,417.0,332.0,252.0,0.0,124.0,33.0,'DRAFT','0'
1105.0,297.0,153.0,417.0,252.0,252.0,125.0,34.0,'TABLE','0'
1258.0,297.0,77.0,153.0,143.0,252.0,48.0,34.0,'OF','0'
1335.0,297.0,164.0,77.0,143.0,252.0,200.0,34.0,'CONTENTS','0'
1206.0,397.0,181.0,164.0,143.0,143.0,152.0,35.0,'VOLUME','0'
1387.0,397.0,818.0,181.0,998.0,143.0,72.0,34.0,'III','0'
2198.0,501.0,1854.0,818.0,998.0,998.0,100.0,45.0,'Page','1'
347.0,599.0,203.0,1854.0,1854.0,1854.0,174.0,35.0,'CHAPTER','1'
550.0,599.0,75.0,203.0,53.0,1854.0,21.0,33.0,'6','1'
625.0,599.0,278.0,75.0,53.0,1854.0,250.0,34.0,'CONCEPTUAL','1'
903.0,599.0,179.0,278.0,53.0,1854.0,150.0,34.0,'DESIGN','1'
1082.0,599.0,73.0,179.0,53.0,1854.0,46.0,33.0,'OF','1'
1155.0,599.0,51.0,73.0,53.0,1854.0,24.0,33.0,'A','1'
1206.0,599.0,970.0,51.0,53.0,1854.0,255.0,35.0,'REPOSITORY','1'
2176.0,599.0,101.0,970.0,53.0,1854.0,44.0,33.0,'6-','1'
2277.0,599.0,1930.0,101.0,53.0,1854.0,18.0,32.0,'1','1'
348.0,651.0,1827.0,1930.0,53.0,53.0,300.0,36.0,'INTRODUCTION','1'
2175.0,651.0,102.0,1827.0,51.0,53.0,46.0,33.0,'6-','1'
2277.0,651.0,1929.0,102.0,51.0,53.0,18.0,33.0,'1','1'
349.0,701.0,125.0,1929.0,51.0,51.0,70.0,33.0,'6.1','1'
474.0,701.0,177.0,125.0,71.0,51.0,150.0,42.0,'Design','1'
651.0,701.0,1525.0,177.0,71.0,51.0,122.0,35.0,'basis','1'
2176.0,701.0,100.0,1525.0,71.0,51.0,44.0,32.0,'6-','1'
2276.0,701.0,1878.0,100.0,71.0,51.0,21.0,33.0,'6','1'
