@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'076','B68','GENERAL','GEOLOGY','OF','DEATH','VALLEY,','CALIFORNIA','3','mm','thick','and','about','30','long;','an','occasional','one','as','sulfate.','No','doubt','the','proportion','of','carbonate','may','be','40','long','only','1','thick.','They','are','decreases','panward,','do','calcium','magnesium.','hollow','tubes,','many','contain','a','drop','or','so','water.','Most','them','lean','bent','in','direction','last','TABU','34.Chemical','analyses,','percent,','water','from','Salt','Creek,','showing','silica','content','strong','wind.','Another','feature','flood','plains','is','salt','pools','(Collected','by','T.','W.','Robinson.','Apr.','10.','1987,','analysed','U.S.','Geol.','Survey','Owe','also','table','Inr','enniquanntative','samples)!','which','develop','where','shallow','enough','to','dissolve','through','crust,','giving','rise','struc-','A','i','B','tures','collapsed','into','underlying','pool','for','most','3104.','0.004','C','03','0','.005','part','salt-saturated','(fig.','37).','Ca','.','.178','304','389','Mg','.044','CO7','Cl','.919','.757','abundant','beet','developed','534','miles','northwest','Na','Total','dissolved','solicls','(opm)','(7)','Badwater,','around','north','end','massive','rock','salt.','HCO,','.078','.083','pM','7.9','8.','A.','Prom','1-ft','dug','pit','on','wem','side','Creek','300','ft','upstream','W1-56s','(see','DO','N.','2).','B.','at','W1-68s.','series','samples','along','3,000-foot','traverse','northeast','corner','Cottonball','Basin,','Springs','area,','illustrated','figure','39.','This','graph','illustrates','panward','increase','salts,','but','it','shows','that','ground','more','saline','than','surface','same','position','pan.','Later','tests','this','area','indicate','uppermost','layer','deeper','layers.','In','February','1958,','few','days','after','rain,','water,','3-4','inches','below','surface,','contained','4.3','percent','solids,','whereas','bailed','334','feet','2.5','percent.','used','source','domestic','supplies','Furnace','located','faults','fans','Wash.','Four','major','sources','Travertine','Nevares','Springs,','norms','37.Salt','collapse','structure','plain','Creek.','5','Cow','Analyses','Badwater.','Drawn','John','R.','Stacy,','photograph.','springs','bluffs','near','waters','given','35,','page','B73.','COMPOSITION','Ta','11','FILMS','The','probably','fed','general,','salts','brines','Death','underflow','Springs;','Valley','increases','greater','other','warm','springs,','dry','wet','high','temperatures','due','circulation','no','great','years','standing','running','depth','rocks.','thermal','gradient','years,','both','highly','faulted','evaporation','re-solution','salts.','Semi-','higher','average,','30F','quantitative','chemical','analyses','over','annual','average','temperature','would','heat','tables','50-52.','maximum','observed','(104F).','could','effect','several','variables','composition','accomplished','with','graphs','(figs.','1,500','p.','B40).','38-50)','representing','suites','ground-','believed','moving','surface-drainage','fault','zone','courses','Differences','constituents','5-mile','derived','ultimately','Paluump','stretch','enters','illus-','(p.','B38;','see','Hunt','Robinson,','1960).','pan','trated','38.','very','different','west','total','sodium','moves','potassium','relative','Car-','Mesquite','Flat','B37;','bonates','were','not','determined','these','brine','samples,','(table','34)','solids','spring','there','fifth','much','bicarbonate','low','compared','water;'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
2302.0,74.0,2005.0,0.0,2005.0,0.0,99.0,34.0,'076','0'
299.0,152.0,574.0,2005.0,2005.0,2005.0,76.0,37.0,'B68','0'
873.0,152.0,196.0,574.0,94.0,2005.0,170.0,26.0,'GENERAL','0'
1069.0,152.0,191.0,196.0,94.0,2005.0,164.0,26.0,'GEOLOGY','0'
1260.0,152.0,71.0,191.0,94.0,2005.0,44.0,26.0,'OF','0'
1331.0,152.0,148.0,71.0,94.0,2005.0,123.0,25.0,'DEATH','0'
1479.0,152.0,177.0,148.0,94.0,2005.0,149.0,31.0,'VALLEY,','0'
1656.0,152.0,1367.0,177.0,94.0,2005.0,216.0,27.0,'CALIFORNIA','0'
293.0,245.0,38.0,1367.0,94.0,94.0,18.0,32.0,'3','0'
331.0,245.0,89.0,38.0,50.0,94.0,71.0,24.0,'mm','0'
420.0,245.0,114.0,89.0,50.0,94.0,96.0,35.0,'thick','0'
534.0,245.0,86.0,114.0,50.0,94.0,69.0,35.0,'and','0'
620.0,245.0,127.0,86.0,50.0,94.0,109.0,36.0,'about','0'
747.0,245.0,61.0,127.0,50.0,94.0,43.0,33.0,'30','0'
808.0,245.0,90.0,61.0,50.0,94.0,72.0,23.0,'mm','0'
898.0,245.0,113.0,90.0,50.0,94.0,94.0,44.0,'long;','0'
1011.0,245.0,62.0,113.0,50.0,94.0,43.0,23.0,'an','0'
1073.0,245.0,207.0,62.0,50.0,94.0,189.0,35.0,'occasional','0'
1280.0,245.0,120.0,207.0,50.0,94.0,64.0,24.0,'one','0'
1400.0,245.0,66.0,120.0,50.0,94.0,34.0,23.0,'as','0'
1466.0,245.0,182.0,66.0,50.0,94.0,133.0,35.0,'sulfate.','0'
1648.0,245.0,86.0,182.0,50.0,94.0,54.0,34.0,'No','0'
1734.0,245.0,143.0,86.0,50.0,94.0,110.0,34.0,'doubt','0'
1877.0,245.0,91.0,143.0,50.0,94.0,59.0,34.0,'the','0'
1968.0,245.0,228.0,91.0,50.0,94.0,196.0,42.0,'proportion','0'
2196.0,245.0,65.0,228.0,50.0,94.0,35.0,34.0,'of','0'
2261.0,245.0,1969.0,65.0,50.0,94.0,183.0,33.0,'carbonate','0'
293.0,295.0,98.0,1969.0,50.0,50.0,80.0,32.0,'may','0'
391.0,295.0,61.0,98.0,50.0,50.0,43.0,34.0,'be','0'
452.0,295.0,61.0,61.0,50.0,50.0,42.0,33.0,'40','0'
513.0,295.0,90.0,61.0,50.0,50.0,72.0,23.0,'mm','0'
603.0,295.0,99.0,90.0,50.0,50.0,80.0,44.0,'long','0'
702.0,295.0,88.0,99.0,50.0,50.0,68.0,35.0,'and','0'
790.0,295.0,103.0,88.0,50.0,50.0,82.0,44.0,'only','0'
893.0,295.0,37.0,103.0,50.0,50.0,14.0,30.0,'1','0'
930.0,295.0,90.0,37.0,50.0,50.0,71.0,23.0,'mm','0'
1020.0,295.0,153.0,90.0,50.0,50.0,105.0,34.0,'thick.','0'
1173.0,295.0,116.0,153.0,50.0,50.0,97.0,43.0,'They','0'
1289.0,295.0,110.0,116.0,50.0,50.0,56.0,23.0,'are','0'
1399.0,295.0,188.0,110.0,50.0,50.0,170.0,34.0,'decreases','0'
1587.0,295.0,192.0,188.0,50.0,50.0,172.0,43.0,'panward,','0'
1779.0,295.0,52.0,192.0,50.0,50.0,36.0,22.0,'as','0'
1831.0,295.0,62.0,52.0,50.0,50.0,45.0,34.0,'do','0'
1893.0,295.0,160.0,62.0,50.0,50.0,142.0,34.0,'calcium','0'
2053.0,295.0,85.0,160.0,50.0,50.0,67.0,33.0,'and','0'
2138.0,295.0,1846.0,85.0,50.0,50.0,218.0,42.0,'magnesium.','0'
293.0,345.0,139.0,1846.0,50.0,50.0,122.0,36.0,'hollow','0'
432.0,345.0,130.0,139.0,45.0,50.0,110.0,40.0,'tubes,','0'
562.0,345.0,86.0,130.0,45.0,50.0,68.0,34.0,'and','0'
648.0,345.0,122.0,86.0,45.0,50.0,105.0,33.0,'many','0'
770.0,345.0,158.0,122.0,45.0,50.0,138.0,34.0,'contain','0'
928.0,345.0,37.0,158.0,45.0,50.0,20.0,22.0,'a','0'
965.0,345.0,102.0,37.0,45.0,50.0,86.0,43.0,'drop','0'
1067.0,345.0,55.0,102.0,45.0,50.0,39.0,24.0,'or','0'
1122.0,345.0,56.0,55.0,45.0,50.0,38.0,23.0,'so','0'
1178.0,345.0,51.0,56.0,45.0,50.0,35.0,34.0,'of','0'
1229.0,345.0,937.0,51.0,45.0,50.0,115.0,29.0,'water.','0'
294.0,389.0,109.0,937.0,45.0,45.0,96.0,34.0,'Most','0'
403.0,389.0,48.0,109.0,1294.0,45.0,35.0,33.0,'of','0'
451.0,389.0,107.0,48.0,1294.0,45.0,95.0,33.0,'them','0'
558.0,389.0,89.0,107.0,1294.0,45.0,77.0,35.0,'lean','0'
647.0,389.0,51.0,89.0,1294.0,45.0,39.0,23.0,'or','0'
