@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Ow','Table','1.--Flood','records','at','selected','crest-stage','sites','in','Candidate','Area','and','adjacent','areas--Continued','Designated','Station','name,','number','Water','Peak','discharge','on','description','year','1/','(cubic','meters','plate','1','per','second)','2/','10','(cont.)','Period','of','Record:','1961-79.','1968','.04','1969','.34','Lat.','3801'52",','1970','.00','long.','11742'35",','Esmeralda','1971','County,','culvert','U.S.','1972','1.78','Highway','6','95','3.5','1973','.40','miles','east','Blair','Junction.','1974','1975','.02','1976','2.26','1977','4.81','1978','1979','11','San','Antonio','Wash','Tributary,','Nev.','1965','.03','1966','No.','10249135.','1967','.11','2','Drainage','=','8.86','km','.06','.','.62','1965-80.','18.7','3819'37",','.20','11707'25",','SE','1/4','SW','sec.','35,','T.','N.,','R.','43','E.,','Nye','State','8A','19','north','Tonopah.','.01','1980','12','Saulsbury','Wash,','near','Tonopah,','1962','.28','1963','10249180.','1964','145','1.16','1962-80.','9.62','38070",','116'48'30",'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
2131.0,169.0,1828.0,0.0,1828.0,0.0,141.0,59.0,'Ow','0'
307.0,281.0,151.0,1828.0,1828.0,1828.0,119.0,35.0,'Table','0'
458.0,281.0,245.0,151.0,600.0,1828.0,221.0,35.0,'1.--Flood','0'
703.0,281.0,201.0,245.0,600.0,1828.0,173.0,35.0,'records','0'
904.0,281.0,76.0,201.0,600.0,1828.0,48.0,31.0,'at','0'
980.0,281.0,224.0,76.0,600.0,1828.0,199.0,35.0,'selected','0'
1204.0,281.0,299.0,224.0,600.0,1828.0,270.0,41.0,'crest-stage','0'
1503.0,281.0,150.0,299.0,600.0,1828.0,121.0,35.0,'sites','0'
1653.0,281.0,75.0,150.0,600.0,1828.0,47.0,35.0,'in','0'
1728.0,281.0,246.0,75.0,600.0,1828.0,220.0,36.0,'Candidate','0'
1974.0,281.0,1072.0,246.0,600.0,1828.0,101.0,32.0,'Area','0'
904.0,331.0,101.0,1072.0,600.0,600.0,76.0,35.0,'and','0'
1005.0,331.0,224.0,101.0,613.0,600.0,197.0,42.0,'adjacent','0'
1229.0,331.0,932.0,224.0,613.0,600.0,402.0,37.0,'areas--Continued','0'
310.0,482.0,401.0,932.0,613.0,613.0,242.0,43.0,'Designated','1'
711.0,482.0,200.0,401.0,51.0,613.0,166.0,35.0,'Station','1'
