@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'0/4','Table','1-1','Shale-Oil','Res:Lyres','of','the','United','States,','in','Billions','Barrels,','By','Grade','(Oil','Yield)','Oil','Shale','[All','resource','figures','except','those','for','Green','River','Formation','are','adapted','from','Duncan','and','Swanson,','1965,','table','2;','Ne,','not','estimated]','Identified','Hypotheticalb','Speculative`','25-100','10-25','gal/','gall','Deposit','ton','Formation,','418"','1,400','50','600','Colorado,','Utah,','Wyoming','Chattanooga','200','800','equivalent','formations,','Central','Eastern','States','Marine','shale,','Alaska','Small','250','Other','shale','deposits','Ne','23,000','Total','1,600','300','3,','Source:','U.','S.','Geol.','Survey','Prof.','Paper','820,','p.','500,','1973.','a','resources:','Specific,','identified','mineral','that','may','or','be','evaluated','as','to','extent','grade,','whose','contained','minerals','profitably','recoverable','with','existing','technology','economic','conditions.','b','Hypothetical','Undiscovered','deposits,','whether','subeconomic','geologically','predictable','known','districts.','Speculative','exist','unknown','districts','unrecognized','un-','convestional','form.','gal/ton','category','is','considered','virtually','erage','30','more','gallons','per','ton."','Deadweight','16,600','tons','Length','524','ft','Beam','68','Draft','206,000','1,222','emitsu','164','58','372,700','1,138','177','89','477,000','1,243',',Globtik','Tokyoi','203','nder','constructio','92','Figure','1-7','Comparative','sizes','yesterday's,','today's,','possibly','tomorrow's','tankers.','Fewer','larger','ships','means','fewer','collisionsbut','supership','collision','could','result','catastrophic','oil','spill.','(From:','Marcus,','H.','S.,','Tech.','Rev.,','March/April,','1973).','11'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
2080.0,186.0,1831.0,0.0,1831.0,0.0,116.0,54.0,'0/4','0'
252.0,272.0,102.0,1831.0,1831.0,1831.0,91.0,26.0,'Table','0'
354.0,272.0,82.0,102.0,43.0,1831.0,42.0,25.0,'1-1','0'
436.0,272.0,153.0,82.0,43.0,1831.0,137.0,26.0,'Shale-Oil','0'
589.0,272.0,169.0,153.0,43.0,1831.0,155.0,26.0,'Res:Lyres','0'
758.0,272.0,38.0,169.0,43.0,1831.0,26.0,25.0,'of','0'
796.0,272.0,59.0,38.0,43.0,1831.0,45.0,25.0,'the','0'
855.0,272.0,110.0,59.0,43.0,1831.0,96.0,25.0,'United','0'
965.0,272.0,114.0,110.0,43.0,1831.0,97.0,30.0,'States,','0'
1079.0,272.0,38.0,114.0,43.0,1831.0,23.0,24.0,'in','0'
1117.0,272.0,123.0,38.0,43.0,1831.0,110.0,26.0,'Billions','0'
1240.0,272.0,40.0,123.0,43.0,1831.0,27.0,27.0,'of','0'
1280.0,272.0,128.0,40.0,43.0,1831.0,112.0,29.0,'Barrels,','0'
1408.0,272.0,50.0,128.0,43.0,1831.0,37.0,32.0,'By','0'
1458.0,272.0,1206.0,50.0,43.0,1831.0,93.0,27.0,'Grade','0'
253.0,314.0,67.0,1206.0,43.0,43.0,52.0,31.0,'(Oil','0'
320.0,314.0,100.0,67.0,67.0,43.0,86.0,30.0,'Yield)','0'
420.0,314.0,40.0,100.0,67.0,43.0,27.0,25.0,'of','0'
460.0,314.0,55.0,40.0,67.0,43.0,40.0,26.0,'Oil','0'
515.0,314.0,271.0,55.0,67.0,43.0,83.0,26.0,'Shale','0'
253.0,381.0,63.0,271.0,67.0,67.0,47.0,29.0,'[All','0'
316.0,381.0,141.0,63.0,231.0,67.0,129.0,19.0,'resource','0'
457.0,381.0,116.0,141.0,231.0,67.0,103.0,32.0,'figures','0'
573.0,381.0,111.0,116.0,231.0,67.0,100.0,30.0,'except','0'
684.0,381.0,93.0,111.0,231.0,67.0,81.0,26.0,'those','0'
777.0,381.0,50.0,93.0,231.0,67.0,39.0,25.0,'for','0'
827.0,381.0,59.0,50.0,231.0,67.0,45.0,25.0,'the','0'
886.0,381.0,104.0,59.0,231.0,67.0,89.0,27.0,'Green','0'
990.0,381.0,88.0,104.0,231.0,67.0,75.0,26.0,'River','0'
1078.0,381.0,161.0,88.0,231.0,67.0,146.0,27.0,'Formation','0'
1239.0,381.0,58.0,161.0,231.0,67.0,45.0,20.0,'are','0'
1297.0,381.0,137.0,58.0,231.0,67.0,124.0,31.0,'adapted','0'
1434.0,381.0,955.0,137.0,231.0,67.0,65.0,25.0,'from','0'
480.0,422.0,126.0,955.0,231.0,231.0,112.0,26.0,'Duncan','0'
606.0,422.0,68.0,126.0,334.0,231.0,54.0,24.0,'and','0'
674.0,422.0,158.0,68.0,334.0,231.0,140.0,28.0,'Swanson,','0'
832.0,422.0,91.0,158.0,334.0,231.0,76.0,29.0,'1965,','0'
923.0,422.0,87.0,91.0,334.0,231.0,75.0,25.0,'table','0'
1010.0,422.0,40.0,87.0,334.0,231.0,24.0,29.0,'2;','0'
1050.0,422.0,63.0,40.0,334.0,231.0,46.0,29.0,'Ne,','0'
1113.0,422.0,56.0,63.0,334.0,231.0,44.0,23.0,'not','0'
1169.0,422.0,383.0,56.0,334.0,231.0,156.0,30.0,'estimated]','0'
799.0,519.0,251.0,383.0,334.0,334.0,156.0,26.0,'Identified','1'
1050.0,519.0,281.0,251.0,89.0,334.0,203.0,33.0,'Hypotheticalb','1'
1331.0,519.0,580.0,281.0,89.0,334.0,192.0,32.0,'Speculative`','1'
757.0,597.0,140.0,580.0,89.0,89.0,111.0,27.0,'25-100','1'
897.0,597.0,135.0,140.0,51.0,89.0,86.0,26.0,'10-25','1'
1032.0,597.0,139.0,135.0,51.0,89.0,111.0,26.0,'25-100','1'
1171.0,597.0,136.0,139.0,51.0,89.0,87.0,27.0,'10-25','1'
1307.0,597.0,140.0,136.0,51.0,89.0,111.0,26.0,'25-100','1'
1447.0,597.0,665.0,140.0,51.0,89.0,87.0,26.0,'10-25','1'
784.0,640.0,124.0,665.0,51.0,51.0,58.0,31.0,'gal/','1'
908.0,640.0,150.0,124.0,536.0,51.0,59.0,31.0,'gal/','1'
1058.0,640.0,125.0,150.0,536.0,51.0,59.0,32.0,'gal/','1'
1183.0,640.0,150.0,125.0,536.0,51.0,59.0,31.0,'gall','1'
1333.0,640.0,126.0,150.0,536.0,51.0,59.0,32.0,'gal/','1'
1459.0,640.0,1210.0,126.0,536.0,51.0,58.0,32.0,'gal/','1'
250.0,680.0,540.0,1210.0,536.0,536.0,116.0,31.0,'Deposit','1'
790.0,680.0,125.0,540.0,79.0,536.0,43.0,24.0,'ton','1'
915.0,680.0,149.0,125.0,79.0,536.0,44.0,24.0,'ton','1'
1064.0,680.0,125.0,149.0,79.0,536.0,44.0,24.0,'ton','1'
1189.0,680.0,151.0,125.0,79.0,536.0,44.0,25.0,'ton','1'
1340.0,680.0,125.0,151.0,79.0,536.0,44.0,23.0,'ton','1'
1465.0,680.0,1216.0,125.0,79.0,536.0,44.0,23.0,'ton','1'
252.0,758.0,104.0,1216.0,79.0,79.0,89.0,26.0,'Green','1'
356.0,758.0,89.0,104.0,56.0,79.0,76.0,25.0,'River','1'
445.0,758.0,335.0,89.0,56.0,79.0,154.0,29.0,'Formation,','1'
780.0,758.0,121.0,335.0,56.0,79.0,69.0,27.0,'418"','1'
901.0,758.0,180.0,121.0,56.0,79.0,78.0,28.0,'1,400','1'
1081.0,758.0,120.0,180.0,56.0,79.0,34.0,25.0,'50','1'
1201.0,758.0,270.0,120.0,56.0,79.0,53.0,26.0,'600','1'
1471.0,758.0,1183.0,270.0,56.0,79.0,35.0,4.0,?,'1'
289.0,800.0,160.0,1183.0,56.0,56.0,143.0,29.0,'Colorado,','1'
449.0,800.0,90.0,160.0,56.0,56.0,74.0,29.0,'Utah,','1'
539.0,800.0,68.0,90.0,56.0,56.0,54.0,25.0,'and','1'
607.0,800.0,358.0,68.0,56.0,56.0,137.0,32.0,'Wyoming','1'
252.0,841.0,203.0,358.0,56.0,56.0,190.0,33.0,'Chattanooga','1'
455.0,841.0,97.0,203.0,1220.0,56.0,84.0,26.0,'Shale','1'
552.0,841.0,244.0,97.0,1220.0,56.0,53.0,26.0,'and','1'
796.0,841.0,129.0,244.0,1220.0,56.0,34.0,5.0,?,'1'
925.0,841.0,145.0,129.0,1220.0,56.0,54.0,26.0,'200','1'
1070.0,841.0,129.0,145.0,1220.0,56.0,35.0,4.0,?,'1'
1199.0,841.0,146.0,129.0,1220.0,56.0,54.0,26.0,'800','1'
1345.0,841.0,128.0,146.0,1220.0,56.0,35.0,4.0,?,'1'
1471.0,861.0,1184.0,128.0,1220.0,1220.0,34.0,4.0,?,'1'
288.0,884.0,168.0,1184.0,1184.0,1184.0,156.0,31.0,'equivalent','1'
456.0,884.0,179.0,168.0,42.0,1184.0,163.0,29.0,'formations,','1'
635.0,884.0,349.0,179.0,42.0,1184.0,105.0,26.0,'Central','1'
289.0,925.0,69.0,349.0,42.0,42.0,53.0,25.0,'and','1'
358.0,925.0,124.0,69.0,56.0,42.0,109.0,26.0,'Eastern','1'
482.0,925.0,110.0,124.0,56.0,42.0,96.0,26.0,'United','1'
592.0,925.0,343.0,110.0,56.0,42.0,91.0,26.0,'States','1'
252.0,966.0,114.0,343.0,56.0,56.0,100.0,26.0,'Marine','1'
366.0,966.0,101.0,114.0,43.0,56.0,85.0,28.0,'shale,','1'
467.0,966.0,304.0,101.0,43.0,56.0,100.0,26.0,'Alaska','1'
771.0,966.0,125.0,304.0,43.0,56.0,81.0,26.0,'Small','1'
896.0,966.0,165.0,125.0,43.0,56.0,81.0,26.0,'Small','1'
1061.0,966.0,138.0,165.0,43.0,56.0,53.0,25.0,'250','1'
1199.0,966.0,146.0,138.0,43.0,56.0,54.0,25.0,'200','1'
1345.0,966.0,125.0,146.0,43.0,56.0,34.0,5.0,?,'1'
1470.0,966.0,1220.0,125.0,43.0,56.0,35.0,4.0,?,'1'
251.0,1008.0,94.0,1220.0,43.0,43.0,81.0,25.0,'Other','1'
345.0,1008.0,93.0,94.0,80.0,43.0,79.0,25.0,'shale','1'
438.0,1008.0,357.0,93.0,80.0,43.0,127.0,31.0,'deposits','1'
795.0,1008.0,101.0,357.0,80.0,43.0,35.0,4.0,?,'1'
896.0,1008.0,172.0,101.0,80.0,43.0,81.0,27.0,'Small','1'
1068.0,1008.0,124.0,172.0,80.0,43.0,39.0,25.0,'Ne','1'
1192.0,1008.0,144.0,124.0,80.0,43.0,40.0,26.0,'Ne','1'
1336.0,1008.0,102.0,144.0,80.0,43.0,53.0,25.0,'600','1'
1438.0,1008.0,1123.0,102.0,80.0,43.0,100.0,28.0,'23,000','1'
316.0,1053.0,463.0,1123.0,80.0,80.0,71.0,26.0,'Total','1'
779.0,1053.0,120.0,463.0,110.0,80.0,69.0,27.0,'418"','1'
899.0,1053.0,161.0,120.0,110.0,80.0,80.0,29.0,'1,600','1'
1060.0,1053.0,114.0,161.0,110.0,80.0,54.0,25.0,'300','1'
1174.0,1053.0,162.0,114.0,110.0,80.0,79.0,28.0,'1,600','1'
1336.0,1053.0,103.0,162.0,110.0,80.0,54.0,26.0,'600','1'
1439.0,1053.0,17.0,103.0,110.0,80.0,99.0,28.0,'23,000','1'
1456.0,1053.0,1211.0,17.0,110.0,80.0,25.0,28.0,'3,','1'
