@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'035','2.5','1','100','Figure','1-25','Recovered','grade','of','U.S.','copper','ore','and','relative','production','from','Copper','open','pit','mines','mines.','(From:','Skillings','Mg.','Rev.,','(Scale','at','right)','2.0',''so','80%','Oct.','11,','1975).','.:','75','.2','cl','1.5','8.','*E.','50','le,','1.0','25','0.5','Average','recovered','0.55%','left)','0','1910','1920','1930','1940','1950','1960','1970','1980','Table','1-4','Major','Mine','Discoveries','the','Last','20','Years','with','Gross','Production','Value','for','1973','1948','Knob','Lake','Iron','$312,000,000','1949','Mexican','Sulphur','Sulfur','140,000,000','1951','Pima','Porphyry','120,000,000','19k2.','Granduc','Volcanogenic','29,000,000','19S3','Gas','Hills-Shirley','.,','Basin','Uranium','193,000,000','1953','Mission','63,000,000','Brunswick','53,000,000','1954','Heath','Steele','Voicanogenic','12,500,000','Cerro','Bolivar','227,000,000','Pine','Point','Carbonate','lead-zinc','143,000,000','Gaspe','40,000,000','1955','Viburnum','Trend','Thompson','Nickel','150,000,000','Ambrosia','105,000,000','Bethlehem','45,620,000','1956','Palabora','Proterozoic','Craig','mont','30,104,000','Mattagami','64,000,000','1957','Mt.','Whaleback','316,000,000','1959','Kidd','Creek','280,314,000','Weipa','Bauxite','103,500,000','1961','Lee','Phosphate','20,000,000','Dufault','14,000,000','1962','North','Florida','28,000,000','Blackwater','Coal','74,000,000','Tom','Price','352,800,000','1963','Carlin','Gold','1964','Bougainville','307,530,000','Twin','Buttes','91,000,000','1965','Prieska','28,600,000','Kambalda','109,500,000','Anvil','104,000,000','1966','Gilbralter','83,000,000','1967','Mattabi','37,444,000','Rustler','Hills','60,000,000','1968','Lornex','70,000,000','Island','Source:','L.','Miller,','Econ.','Geol.,','v.','71,','1976.','30'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
2156.0,155.0,1778.0,0.0,1778.0,0.0,167.0,59.0,'035','0'
386.0,320.0,980.0,1778.0,1778.0,1778.0,39.0,21.0,'2.5','0'
1366.0,320.0,162.0,980.0,1300.0,1778.0,6.0,22.0,'1','0'
1528.0,320.0,157.0,162.0,1300.0,1778.0,45.0,22.0,'100','0'
1685.0,320.0,126.0,157.0,1300.0,1778.0,100.0,33.0,'Figure','0'
1811.0,320.0,91.0,126.0,1300.0,1778.0,64.0,26.0,'1-25','0'
1902.0,320.0,185.0,91.0,1300.0,1778.0,158.0,26.0,'Recovered','0'
2087.0,320.0,111.0,185.0,1300.0,1778.0,86.0,31.0,'grade','0'
2198.0,320.0,52.0,111.0,1300.0,1778.0,27.0,25.0,'of','0'
2250.0,320.0,567.0,52.0,1300.0,1778.0,57.0,26.0,'U.S.','0'
1685.0,363.0,122.0,567.0,1300.0,1300.0,107.0,26.0,'copper','0'
1807.0,363.0,63.0,122.0,794.0,1300.0,46.0,20.0,'ore','0'
1870.0,363.0,74.0,63.0,794.0,1300.0,55.0,26.0,'and','0'
1944.0,363.0,125.0,74.0,794.0,1300.0,107.0,26.0,'relative','0'
2069.0,363.0,176.0,125.0,794.0,1300.0,159.0,32.0,'production','0'
2245.0,363.0,1354.0,176.0,794.0,1300.0,65.0,26.0,'from','0'
892.0,392.0,106.0,1354.0,794.0,794.0,90.0,26.0,'Copper','0'
998.0,392.0,77.0,106.0,100.0,794.0,61.0,22.0,'from','0'
1075.0,392.0,78.0,77.0,100.0,794.0,60.0,21.0,'open','0'
1153.0,392.0,51.0,78.0,100.0,794.0,33.0,26.0,'pit','0'
1204.0,392.0,567.0,51.0,100.0,794.0,72.0,21.0,'mines','0'
1771.0,392.0,47.0,567.0,100.0,794.0,36.0,30.0,'pit','0'
1818.0,392.0,109.0,47.0,100.0,794.0,95.0,26.0,'mines.','0'
1927.0,392.0,105.0,109.0,100.0,794.0,93.0,32.0,'(From:','0'
2032.0,392.0,138.0,105.0,100.0,794.0,127.0,32.0,'Skillings','0'
2170.0,392.0,67.0,138.0,100.0,794.0,52.0,33.0,'Mg.','0'
2237.0,392.0,1249.0,67.0,100.0,794.0,71.0,30.0,'Rev.,','0'
989.0,412.0,89.0,1249.0,100.0,100.0,72.0,25.0,'(Scale','0'
1078.0,412.0,38.0,89.0,602.0,100.0,22.0,18.0,'at','0'
1116.0,412.0,568.0,38.0,602.0,100.0,67.0,28.0,'right)','0'
1684.0,412.0,1297.0,568.0,602.0,100.0,74.0,26.0,'open','0'
388.0,442.0,884.0,1297.0,602.0,602.0,39.0,23.0,'2.0','0'
1272.0,442.0,40.0,884.0,668.0,602.0,42.0,35.0,''so','0'
1312.0,442.0,27.0,40.0,668.0,602.0,12.0,12.0,?,'0'
1420.0,442.0,264.0,81.0,668.0,602.0,53.0,23.0,'80%','0'
