@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'APPENDIX','A','(cont)','Cuttings','Depth','Smec-','Clino-','Morden-','Tridy-','Cristo-','Alkali','Sample','(m)','tite','Mica','ptilolite','ite','mite','Quartz','balite','Feldspar','Calcite','Glass','Hematite','USW','WT-1','440-450','134.1-137.2','51'3','-','84','42','1214','7020','500-510','152.4-155.4','115','124','7210','21','11','550-560','167.6-170.7','194','103','7110','640-650','195.1-198.1','1=1','114','.','163','6210','690-700','210.3-213.4','192','193','6110','780-790','237.7-240.8','32','25-13','92','840-850','256.0-259.1','63','202','5610','<1','930-940','283.5-286.5','52','263','72','5710','1000-1010','304.8-307.8','22t2','6010','1090-1100','332.2-335.3','243','153','5810','1160-1170','353.6-356.6','1-11','102','183','1220-1230','371.9-374.9','273','82','5910','1300-1310','396.2-399.3','354','1320-1330','402.3-405.4','144','134','5010','1340-1350','408.4-411.5','298','93','5110','1380-1390','420.6-423.7','4010','73','316','1410-1420','429.8-432.8','83','408','1470-1480','448.1-451.1','258','185','398','1510-1520','460.2-463.3','4310','104','337','1550-1560','472.4-475.5','143','265','1570-1580','478.5-481.6','53','28'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1064.0,331.0,224.0,0.0,294.0,0.0,196.0,37.0,'APPENDIX','0'
1288.0,331.0,56.0,224.0,294.0,0.0,22.0,35.0,'A','0'
1344.0,331.0,235.0,56.0,294.0,0.0,135.0,47.0,'(cont)','0'
1260.0,550.0,675.0,235.0,294.0,294.0,124.0,28.0,'Cuttings','0'
589.0,617.0,176.0,675.0,675.0,675.0,75.0,27.0,'Depth','1'
765.0,617.0,239.0,176.0,213.0,675.0,76.0,24.0,'Smec-','1'
1004.0,617.0,144.0,239.0,213.0,675.0,93.0,22.0,'Clino-','1'
1148.0,617.0,146.0,144.0,213.0,675.0,111.0,22.0,'Morden-','1'
1294.0,617.0,256.0,146.0,213.0,675.0,93.0,27.0,'Tridy-','1'
1550.0,617.0,160.0,256.0,213.0,675.0,109.0,24.0,'Cristo-','1'
1710.0,617.0,1332.0,160.0,213.0,675.0,90.0,23.0,'Alkali','1'
379.0,648.0,228.0,1332.0,213.0,213.0,93.0,27.0,'Sample','1'
607.0,648.0,155.0,228.0,74.0,213.0,39.0,28.0,'(m)','1'
762.0,648.0,113.0,155.0,74.0,213.0,62.0,21.0,'tite','1'
875.0,648.0,113.0,113.0,74.0,213.0,60.0,22.0,'Mica','1'
988.0,648.0,194.0,113.0,74.0,213.0,141.0,28.0,'ptilolite','1'
1182.0,648.0,125.0,194.0,74.0,213.0,43.0,21.0,'ite','1'
1307.0,648.0,114.0,125.0,74.0,213.0,63.0,22.0,'mite','1'
1421.0,648.0,129.0,114.0,74.0,213.0,93.0,25.0,'Quartz','1'
1550.0,648.0,145.0,129.0,74.0,213.0,93.0,22.0,'balite','1'
1695.0,648.0,159.0,145.0,74.0,213.0,124.0,28.0,'Feldspar','1'
1854.0,648.0,145.0,159.0,74.0,213.0,110.0,23.0,'Calcite','1'
1999.0,648.0,113.0,145.0,74.0,213.0,75.0,21.0,'Glass','1'
2112.0,648.0,1767.0,113.0,74.0,213.0,123.0,22.0,'Hematite','1'
347.0,714.0,64.0,1767.0,74.0,74.0,45.0,20.0,'USW','1'
411.0,714.0,57.0,64.0,34.0,74.0,59.0,22.0,'WT-1','1'
363.0,744.0,179.0,57.0,34.0,34.0,109.0,24.0,'440-450','1'
542.0,744.0,238.0,179.0,47.0,34.0,171.0,24.0,'134.1-137.2','1'
780.0,744.0,128.0,238.0,47.0,34.0,45.0,23.0,'51'3','1'
908.0,744.0,417.0,128.0,47.0,34.0,10.0,5.0,'-','1'
1325.0,744.0,257.0,417.0,47.0,34.0,46.0,22.0,'84','1'
1582.0,744.0,130.0,257.0,47.0,34.0,45.0,22.0,'42','1'
1712.0,744.0,305.0,130.0,47.0,34.0,60.0,23.0,'1214','1'
2017.0,744.0,1655.0,305.0,47.0,34.0,75.0,23.0,'7020','1'
363.0,791.0,178.0,1655.0,47.0,47.0,109.0,22.0,'500-510','1'
541.0,791.0,349.0,178.0,47.0,47.0,171.0,23.0,'152.4-155.4','1'
890.0,791.0,420.0,349.0,47.0,47.0,46.0,22.0,'42','1'
1310.0,791.0,257.0,420.0,47.0,47.0,60.0,22.0,'115','1'
1567.0,791.0,144.0,257.0,47.0,47.0,60.0,22.0,'124','1'
1711.0,791.0,176.0,144.0,47.0,47.0,77.0,22.0,'7210','1'
1887.0,791.0,274.0,176.0,47.0,47.0,43.0,23.0,'21','1'
2161.0,791.0,1799.0,274.0,47.0,47.0,41.0,22.0,'11','1'
363.0,838.0,179.0,1799.0,47.0,47.0,110.0,23.0,'550-560','1'
542.0,838.0,253.0,179.0,49.0,47.0,170.0,23.0,'167.6-170.7','1'
795.0,838.0,98.0,253.0,49.0,47.0,12.0,4.0,'-','1'
893.0,838.0,304.0,98.0,49.0,47.0,42.0,23.0,'11','1'
1197.0,838.0,114.0,304.0,49.0,47.0,12.0,3.0,'-','1'
1311.0,838.0,257.0,114.0,49.0,47.0,60.0,22.0,'194','1'
1568.0,838.0,145.0,257.0,49.0,47.0,60.0,22.0,'103','1'
1713.0,838.0,448.0,145.0,49.0,47.0,76.0,22.0,'7110','1'
2161.0,838.0,1799.0,448.0,49.0,47.0,41.0,21.0,'11','1'
363.0,887.0,178.0,1799.0,49.0,49.0,109.0,23.0,'640-650','1'
541.0,887.0,239.0,178.0,47.0,49.0,169.0,24.0,'195.1-198.1','1'
780.0,887.0,417.0,239.0,47.0,49.0,41.0,22.0,'1=1','1'
1197.0,887.0,114.0,417.0,47.0,49.0,11.0,3.0,'-','1'
1311.0,887.0,160.0,114.0,47.0,49.0,59.0,23.0,'114','1'
1471.0,887.0,97.0,160.0,47.0,49.0,10.0,5.0,'.','1'
1568.0,887.0,143.0,97.0,47.0,49.0,58.0,23.0,'163','1'
1711.0,887.0,450.0,143.0,47.0,49.0,76.0,22.0,'6210','1'
2161.0,887.0,1799.0,450.0,47.0,49.0,41.0,21.0,'11','1'
363.0,934.0,177.0,1799.0,47.0,47.0,110.0,23.0,'690-700','1'
540.0,934.0,241.0,177.0,48.0,47.0,172.0,23.0,'210.3-213.4','1'
