@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Atomic-Adsorbtion','Analysis','Element','Sample','Number','1801','1802','1803','1804','1805','1806','1807','1808','1809','As','(5)','G200','N(5)','50','5','65','35','Au','(.05)','.50','.05','N(.05)','.30','.45','.25','.20','Sb','G100','3','4','N(1)','20','(1)','9','Zn','30','45','120','80','by','Branch','Exploration','Geochemistry,','U.S.','Geol.','Survey,','Denver,','Colorado','All','elements','reported','In','ppm.','Lower','limits','of','determination','are','parentheses.','G','ill','greater','than','value','shown,','N','1.1','not','detected','at','limit','detection,','<','detected,','but','below','shown.','83'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
810.0,198.0,509.0,0.0,750.0,0.0,484.0,53.0,'Atomic-Adsorbtion','0'
1319.0,198.0,1257.0,509.0,750.0,0.0,219.0,65.0,'Analysis','0'
65.0,283.0,953.0,1257.0,750.0,750.0,161.0,43.0,'Element','0'
1018.0,283.0,169.0,953.0,321.0,750.0,149.0,50.0,'Sample','0'
1187.0,283.0,836.0,169.0,321.0,750.0,158.0,41.0,'Number','0'
361.0,406.0,224.0,836.0,321.0,321.0,85.0,27.0,'1801','1'
585.0,406.0,224.0,224.0,244.0,321.0,84.0,28.0,'1802','1'
809.0,406.0,224.0,224.0,244.0,321.0,85.0,30.0,'1803','1'
1033.0,406.0,226.0,224.0,244.0,321.0,85.0,28.0,'1804','1'
1259.0,406.0,225.0,226.0,244.0,321.0,84.0,29.0,'1805','1'
1484.0,406.0,226.0,225.0,244.0,321.0,85.0,28.0,'1806','1'
1710.0,406.0,225.0,226.0,244.0,321.0,85.0,28.0,'1807','1'
1935.0,406.0,223.0,225.0,244.0,321.0,85.0,29.0,'1808','1'
2158.0,406.0,2034.0,223.0,244.0,321.0,84.0,29.0,'1809','1'
125.0,464.0,39.0,2034.0,244.0,244.0,32.0,27.0,'As','1'
155.0,488.0,212.0,39.0,39.0,39.0,37.0,33.0,'(5)','1'
367.0,488.0,222.0,212.0,137.0,39.0,87.0,28.0,'G200','1'
589.0,488.0,227.0,222.0,137.0,39.0,83.0,34.0,'N(5)','1'
816.0,488.0,247.0,227.0,137.0,39.0,40.0,28.0,'50','1'
1063.0,488.0,201.0,247.0,137.0,39.0,17.0,28.0,'5','1'
1264.0,488.0,225.0,201.0,137.0,39.0,88.0,28.0,'G200','1'
1489.0,488.0,227.0,225.0,137.0,39.0,88.0,29.0,'G200','1'
1716.0,488.0,226.0,227.0,137.0,39.0,87.0,27.0,'G200','1'
1942.0,488.0,225.0,226.0,137.0,39.0,40.0,28.0,'65','1'
2167.0,488.0,2047.0,225.0,137.0,39.0,38.0,27.0,'35','1'
125.0,621.0,38.0,2047.0,137.0,137.0,33.0,27.0,'Au','1'
155.0,643.0,217.0,38.0,38.0,38.0,64.0,33.0,'(.05)','1'
372.0,643.0,224.0,217.0,138.0,38.0,58.0,27.0,'.50','1'
596.0,643.0,193.0,224.0,138.0,38.0,57.0,27.0,'.05','1'
789.0,643.0,225.0,193.0,138.0,38.0,129.0,34.0,'N(.05)','1'
1014.0,643.0,256.0,225.0,138.0,38.0,129.0,33.0,'N(.05)','1'
1270.0,643.0,225.0,256.0,138.0,38.0,59.0,27.0,'.30','1'
1495.0,643.0,227.0,225.0,138.0,38.0,58.0,28.0,'.45','1'
1722.0,643.0,224.0,227.0,138.0,38.0,59.0,27.0,'.50','1'
1946.0,643.0,202.0,224.0,138.0,38.0,57.0,29.0,'.25','1'
2148.0,643.0,2028.0,202.0,138.0,38.0,58.0,28.0,'.20','1'
125.0,777.0,219.0,2028.0,138.0,138.0,34.0,28.0,'Sb','1'
344.0,777.0,271.0,219.0,37.0,138.0,86.0,27.0,'G100','1'
615.0,777.0,222.0,271.0,37.0,138.0,17.0,28.0,'3','1'
837.0,777.0,178.0,222.0,37.0,138.0,17.0,27.0,'4','1'
1015.0,777.0,251.0,178.0,37.0,138.0,82.0,33.0,'N(1)','1'
1266.0,777.0,200.0,251.0,37.0,138.0,40.0,29.0,'20','1'
1466.0,777.0,227.0,200.0,37.0,138.0,88.0,28.0,'G100','1'
1693.0,777.0,271.0,227.0,37.0,138.0,88.0,27.0,'G100','1'
