@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Atomic-Adsorbtion','Analysis','Element','Sample','Number','1844','1845','1846','A','184613','1847','1848','1849A','18498','1850','As','(5)','10','N(5)','N','L(5)','N(s)','N(S)','40','Au','N(.05)','L(.05)','(.05)',',','Sb','(1)','N(1)','Zn','120','130','G200','35','100','by','Branch','Exploration','Geochemistry,','U.S.','Geol.','Survey,','Denver,','Colorado','All','elements','reported','In','ppm.','Lower','limits','of','determination','are','in','parentheses.','G','greater','than','value','shown,','as','not','detected','at','limit','detection,','<','detected,','but','below','shown.','88'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
860.0,188.0,510.0,0.0,749.0,0.0,483.0,54.0,'Atomic-Adsorbtion','0'
1370.0,188.0,1257.0,510.0,749.0,0.0,216.0,64.0,'Analysis','0'
116.0,273.0,951.0,1257.0,749.0,749.0,158.0,42.0,'Element','0'
1067.0,273.0,169.0,951.0,315.0,749.0,150.0,51.0,'Sample','0'
1236.0,273.0,841.0,169.0,315.0,749.0,159.0,42.0,'Number','0'
405.0,397.0,224.0,841.0,315.0,315.0,84.0,29.0,'1844','1'
629.0,397.0,223.0,224.0,239.0,315.0,84.0,30.0,'1845','1'
852.0,397.0,96.0,223.0,239.0,315.0,85.0,29.0,'1846','1'
948.0,397.0,138.0,96.0,239.0,315.0,22.0,25.0,'A','1'
1086.0,397.0,226.0,138.0,239.0,315.0,108.0,29.0,'184613','1'
1312.0,397.0,226.0,226.0,239.0,315.0,86.0,30.0,'1847','1'
1538.0,397.0,226.0,226.0,239.0,315.0,86.0,29.0,'1848','1'
1764.0,397.0,224.0,226.0,239.0,315.0,111.0,30.0,'1849A','1'
1988.0,397.0,223.0,224.0,239.0,315.0,107.0,30.0,'18498','1'
