@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Atomic-Adsorbtion','Analysis','Element','Sample','Number','1946','1947A','1947B','1948','1949','1950','As','40','N','(5)','85','230','100','65','Au','(.05)','Sb','N(2)','(1)','150','8','68','110','2','Zn','35','190','120','1400','by','Branch','Exploration','Geochemistry,','U.S.','Geol.','Survey,','Denver,','Colorado','All','elements','reported','In','ppm.','Lower','limits','of','determination','are','parentheses.','G','greater','than','value','shown,','not','detected','at','limit','detection,','<','detected,','but','below','shown.','101'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
820.0,199.0,510.0,0.0,749.0,0.0,483.0,54.0,'Atomic-Adsorbtion','0'
1330.0,199.0,1257.0,510.0,749.0,0.0,217.0,65.0,'Analysis','0'
76.0,284.0,952.0,1257.0,749.0,749.0,159.0,42.0,'Element','0'
1028.0,284.0,167.0,952.0,315.0,749.0,148.0,51.0,'Sample','0'
1195.0,284.0,836.0,167.0,315.0,749.0,161.0,42.0,'Number','0'
368.0,400.0,224.0,836.0,315.0,315.0,85.0,29.0,'1946','1'
592.0,400.0,224.0,224.0,245.0,315.0,109.0,29.0,'1947A','1'
816.0,400.0,225.0,224.0,245.0,315.0,107.0,29.0,'1947B','1'
1041.0,400.0,225.0,225.0,245.0,315.0,85.0,30.0,'1948','1'
1266.0,400.0,225.0,225.0,245.0,315.0,84.0,29.0,'1949','1'
1491.0,400.0,1360.0,225.0,245.0,315.0,85.0,29.0,'1950','1'
133.0,469.0,1134.0,1360.0,245.0,245.0,34.0,26.0,'As','1'
1267.0,469.0,199.0,1134.0,38.0,245.0,41.0,29.0,'40','1'
1466.0,469.0,30.0,199.0,38.0,245.0,21.0,25.0,'N','1'
1496.0,469.0,1333.0,30.0,38.0,245.0,54.0,35.0,'(5)','1'
164.0,490.0,206.0,1333.0,38.0,38.0,38.0,33.0,'(5)','1'
370.0,490.0,224.0,206.0,140.0,38.0,39.0,29.0,'85','1'
594.0,490.0,223.0,224.0,140.0,38.0,62.0,29.0,'230','1'
817.0,490.0,225.0,223.0,140.0,38.0,63.0,28.0,'100','1'
1042.0,490.0,919.0,225.0,140.0,38.0,40.0,28.0,'65','1'
134.0,626.0,43.0,919.0,140.0,140.0,35.0,27.0,'Au','1'
165.0,655.0,131.0,43.0,43.0,43.0,64.0,33.0,'(.05)','1'
136.0,782.0,1332.0,131.0,131.0,131.0,34.0,28.0,'Sb','1'
1468.0,782.0,1303.0,1332.0,37.0,131.0,85.0,34.0,'N(2)','1'
166.0,802.0,205.0,1303.0,37.0,37.0,37.0,33.0,'(1)','1'
371.0,802.0,246.0,205.0,138.0,37.0,64.0,29.0,'150','1'
617.0,802.0,202.0,246.0,138.0,37.0,19.0,29.0,'8','1'
819.0,802.0,226.0,202.0,138.0,37.0,41.0,29.0,'68','1'
1045.0,802.0,248.0,226.0,138.0,37.0,63.0,28.0,'110','1'
1293.0,802.0,1165.0,248.0,138.0,37.0,17.0,27.0,'2','1'
136.0,936.0,1135.0,1165.0,138.0,138.0,32.0,27.0,'Zn','1'
1271.0,936.0,226.0,1135.0,38.0,138.0,41.0,28.0,'40','1'
1497.0,936.0,1331.0,226.0,38.0,138.0,40.0,28.0,'35','1'
167.0,957.0,205.0,1331.0,38.0,38.0,37.0,32.0,'(5)','1'
372.0,957.0,224.0,205.0,1978.0,38.0,64.0,29.0,'190','1'
