@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'/','WATER','FOR','NEVADA','TABLE','127','SWINE','CONSUMPTION','IN','ACRE-FEET','BY','COUNTY','AND','HYDROGRAPHIC','REGION,','AVERAGE','1966-1970','PROJECTED','TO','1980,','2000','20201','Average','County','1980','2020','Carson','City','0','1','Churchill','3','5','Clark','13','14','Douglas','Elko','Esmeralda','Eureka','Humboldt','2','Lander','Lincoln','Lyon','6','Mineral','Nye','Pershing','Storey','Washoe','White','Pine','State','Total2','28','45','Hydrographic','Region','Northwest','Black','Rock','Desert','Snake','River','Basin','West','Central','Truckee','4','Western','9','Walker','Great','Salt','Lake','Escalante','Colorado','12','Death','Valley','43','Assumed','efficiency','rate','of','50','percent.','and','Totals','may','be','slightly','different','due','to','rounding','errors.','139'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
2178.0,70.0,114.0,0.0,2000.0,0.0,41.0,59.0,'/','0'
179.0,130.0,152.0,2114.0,2000.0,2000.0,137.0,30.0,'WATER','0'
331.0,130.0,94.0,152.0,1110.0,2000.0,79.0,30.0,'FOR','0'
425.0,130.0,900.0,94.0,1110.0,2000.0,161.0,30.0,'NEVADA','0'
1157.0,653.0,154.0,900.0,1110.0,1110.0,137.0,30.0,'TABLE','0'
1311.0,653.0,816.0,154.0,663.0,1110.0,70.0,30.0,'127','0'
498.0,718.0,193.0,816.0,663.0,663.0,177.0,31.0,'NEVADA','0'
691.0,718.0,158.0,193.0,206.0,663.0,142.0,31.0,'SWINE','0'
849.0,718.0,163.0,158.0,206.0,663.0,147.0,30.0,'WATER','0'
1012.0,718.0,350.0,163.0,206.0,663.0,331.0,32.0,'CONSUMPTION','0'
1362.0,718.0,58.0,350.0,206.0,663.0,41.0,31.0,'IN','0'
1420.0,718.0,263.0,58.0,206.0,663.0,247.0,32.0,'ACRE-FEET','0'
1683.0,718.0,68.0,263.0,206.0,663.0,54.0,30.0,'BY','0'
1751.0,718.0,196.0,68.0,206.0,663.0,181.0,32.0,'COUNTY','0'
1947.0,718.0,1649.0,196.0,206.0,663.0,94.0,30.0,'AND','0'
299.0,768.0,375.0,1649.0,206.0,206.0,357.0,32.0,'HYDROGRAPHIC','0'
674.0,768.0,200.0,375.0,779.0,206.0,184.0,37.0,'REGION,','0'
874.0,768.0,225.0,200.0,779.0,206.0,208.0,32.0,'AVERAGE','0'
1099.0,768.0,226.0,225.0,779.0,206.0,212.0,32.0,'1966-1970','0'
1325.0,768.0,111.0,226.0,779.0,206.0,94.0,31.0,'AND','0'
1436.0,768.0,274.0,111.0,779.0,206.0,260.0,32.0,'PROJECTED','0'
1710.0,768.0,73.0,274.0,779.0,206.0,56.0,32.0,'TO','0'
1783.0,768.0,123.0,73.0,779.0,206.0,107.0,37.0,'1980,','0'
1906.0,768.0,112.0,123.0,779.0,206.0,98.0,31.0,'2000','0'
2018.0,768.0,109.0,112.0,779.0,206.0,94.0,31.0,'AND','0'
2127.0,768.0,1061.0,109.0,779.0,206.0,110.0,31.0,'20201','0'
1071.0,867.0,802.0,1061.0,779.0,779.0,132.0,30.0,'Average','1'
271.0,908.0,783.0,802.0,802.0,802.0,111.0,29.0,'County','1'
1054.0,908.0,417.0,783.0,76.0,802.0,167.0,24.0,'1966-1970','1'
1471.0,908.0,367.0,417.0,76.0,802.0,76.0,24.0,'1980','1'
1838.0,908.0,368.0,367.0,76.0,802.0,77.0,24.0,'2000','1'
2206.0,908.0,1939.0,368.0,76.0,802.0,77.0,24.0,'2020','1'
