@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Dio','F','GRAPH','SUMMARY','REPORT','Table','27','VersNo=','1.0','Page','22','NEVADA','TEST','SITE','Pmr','STUDY','EXPLORATORY','SHAFT','AUXILIARY','LOCATION','GENERAL','STORM','PMF','AT','ONE','MIN.','UNIT','DURATION','KLB','02-18-1986','10:36:52','TIME','RAIN','LOSS','EXCESS','UNITGRAPH','HYDROGRAPH','min','in','cfs','821.00','0.004','0.001','0.003','12','822.00','823.00','824.00','825.00','826.00','827.00','828.00','829.00','830.00','631.00','832.00','833.00','834.00','835.00','836.00','837.00','838.00','839.00','0-7001','840.00','841.00','842.00','843.00','844.00','11','845.00','10','846.00','9','847.00','8','848.00','7','849.00','6','850.00','5','851.00','852.00','4','853.00','854.00','3','855.00','856.00','2','857.00','858.00','859.00','6'3.00','1',',361.00'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
2156.0,209.0,1757.0,0.0,1757.0,0.0,150.0,75.0,'Dio','0'
402.0,310.0,61.0,1757.0,1757.0,1757.0,21.0,29.0,'F','0'
463.0,310.0,641.0,61.0,54.0,1757.0,144.0,31.0,'GRAPH','0'
1104.0,310.0,243.0,641.0,54.0,1757.0,205.0,31.0,'SUMMARY','0'
1347.0,310.0,735.0,243.0,54.0,1757.0,174.0,31.0,'REPORT','0'
2082.0,310.0,183.0,735.0,54.0,1757.0,142.0,32.0,'Table','0'
2265.0,310.0,1862.0,183.0,54.0,1757.0,48.0,29.0,'27','0'
404.0,363.0,250.0,1862.0,54.0,54.0,202.0,31.0,'VersNo=','0'
654.0,363.0,1429.0,250.0,521.0,54.0,76.0,30.0,'1.0','0'
2083.0,363.0,187.0,1429.0,521.0,54.0,114.0,38.0,'Page','0'
2270.0,363.0,1349.0,187.0,521.0,54.0,46.0,30.0,'22','0'
922.0,411.0,213.0,1349.0,521.0,521.0,177.0,32.0,'NEVADA','0'
1135.0,411.0,153.0,213.0,159.0,521.0,114.0,31.0,'TEST','0'
1288.0,411.0,153.0,153.0,159.0,521.0,113.0,31.0,'SITE','0'
1441.0,411.0,121.0,153.0,159.0,521.0,82.0,30.0,'Pmr','0'
1562.0,411.0,792.0,121.0,159.0,521.0,145.0,31.0,'STUDY','0'
772.0,461.0,366.0,792.0,159.0,159.0,327.0,32.0,'EXPLORATORY','0'
1138.0,461.0,183.0,366.0,108.0,159.0,144.0,31.0,'SHAFT','0'
1321.0,461.0,306.0,183.0,108.0,159.0,266.0,31.0,'AUXILIARY','0'
1627.0,461.0,952.0,306.0,108.0,159.0,236.0,31.0,'LOCATION','0'
677.0,512.0,244.0,952.0,108.0,108.0,200.0,32.0,'GENERAL','0'
921.0,512.0,183.0,244.0,255.0,108.0,149.0,31.0,'STORM','0'
1104.0,512.0,123.0,183.0,255.0,108.0,84.0,31.0,'PMF','0'
1227.0,512.0,91.0,123.0,255.0,108.0,52.0,31.0,'AT','0'
1318.0,512.0,123.0,91.0,255.0,108.0,84.0,31.0,'ONE','0'
1441.0,512.0,150.0,123.0,255.0,108.0,109.0,30.0,'MIN.','0'
1591.0,512.0,155.0,150.0,255.0,108.0,115.0,31.0,'UNIT','0'
