@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'4','88','ADSORP11','ION,','SUM','ACE','ARIA','ANI)','POKOSt','I','Y','TABLE','2.21','Comparison','of','Spe,','Surface','(84)','Silicas','by','Electron','Microscopy','(S4)','and','Krypton','Adsorption','(S,,)','Equivalent','Stokes'','Specific','surface','(m2','g')','Solid','r','-=','diameter','(p)','S.','SKr','Quartz','(M)','0-2-0-3','13-9','15-4','1-11','0-3-0-5','10-0','11-6','1-16','0-5-1','5-7','6-4','1-12','1-1-5','3-4','3-5','1.03','1.5-2','2.0','1.7','0.85','2','-3','1.3','1-4','1.07','3','-4','0-95','1-15','1-20','-6','0-84','0-85','1-01','6','-9','0-58','0.47','0-81','8','-16','0-44','0-40','0.91','Tridymite','0-5','1','5.9','1-00','-2','2.5','2-4','095','-5','1-25','087','070','0.64','0-50','078','(Brazilian)','16','-32','0-154','0','17','1-10','32','-64','0.077','0.087','1.13','Etched','quartz','0.57','0-98','In','view','the','importance','value','parameter','c','in','present','context,','values','for','various','solids','are','quoted','Table','2.22.','The','systems','near','top','table','will','tend','to','have','an','ill-defined','point','H','with','consequent','uncer-','tainty','monolayer','capacity.','On','other','hand,','bottom','where','high','show','strong','localization','so','that','A.','depend','greatly','on','nature','adsorbent,','extreme','cases','being','determined','lattice','parameters','solid.','use','krypton','determine','area','evaporated','metal','films,','which','has','become','widespread','recent','years','94),','is','attended','complications','arising','out','difficulty','extending','measurements','over','a','sufficiently','wide','range','relative','pressure.','A','clear','B','been','reported','Brennan','ei','al.(")','at','very','low','pressure','(-0.0l),','moderately','well-defined','found','workers""','.39,','usual','(around','0.1).','What','not','far','whether,','one','same','system,','both','these','points','would','be','thus','effect','giving','rise','step-wise','isotherm.','Until','further','knowledge','accumulated','caution','called','estimating','inetal','films','adsorption4"1,','areas'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1661.0,38.0,1469.0,0.0,1469.0,0.0,8.0,17.0,'4','0'
202.0,208.0,308.0,1469.0,1469.0,1469.0,37.0,29.0,'88','0'
510.0,208.0,150.0,308.0,583.0,1469.0,142.0,23.0,'ADSORP11','0'
660.0,208.0,82.0,150.0,583.0,1469.0,65.0,26.0,'ION,','0'
742.0,208.0,83.0,82.0,583.0,1469.0,73.0,23.0,'SUM','0'
825.0,208.0,77.0,83.0,583.0,1469.0,61.0,23.0,'ACE','0'
902.0,208.0,100.0,77.0,583.0,1469.0,81.0,22.0,'ARIA','0'
1002.0,208.0,87.0,100.0,583.0,1469.0,70.0,22.0,'ANI)','0'
1089.0,208.0,120.0,87.0,583.0,1469.0,112.0,24.0,'POKOSt','0'
1209.0,208.0,16.0,120.0,583.0,1469.0,7.0,22.0,'I','0'
1225.0,208.0,457.0,16.0,583.0,1469.0,18.0,22.0,'Y','0'
777.0,298.0,130.0,457.0,583.0,583.0,109.0,29.0,'TABLE','0'
907.0,298.0,707.0,130.0,577.0,583.0,65.0,29.0,'2.21','0'
203.0,353.0,216.0,707.0,577.0,577.0,202.0,37.0,'Comparison','0'
419.0,353.0,47.0,216.0,430.0,577.0,39.0,35.0,'of','0'
466.0,353.0,144.0,47.0,430.0,577.0,67.0,35.0,'Spe,','0'
610.0,353.0,139.0,144.0,430.0,577.0,130.0,37.0,'Surface','0'
749.0,353.0,70.0,139.0,430.0,577.0,57.0,22.0,'(84)','0'
819.0,353.0,47.0,70.0,430.0,577.0,40.0,38.0,'of','0'
866.0,353.0,124.0,47.0,430.0,577.0,111.0,31.0,'Silicas','0'
990.0,353.0,54.0,124.0,430.0,577.0,40.0,37.0,'by','0'
1044.0,353.0,160.0,54.0,430.0,577.0,143.0,29.0,'Electron','0'
1204.0,353.0,211.0,160.0,430.0,577.0,197.0,38.0,'Microscopy','0'
1415.0,353.0,78.0,211.0,430.0,577.0,65.0,37.0,'(S4)','0'
1493.0,353.0,866.0,78.0,430.0,577.0,64.0,30.0,'and','0'
629.0,408.0,56.0,866.0,430.0,430.0,40.0,37.0,'by','0'
685.0,408.0,154.0,56.0,163.0,430.0,137.0,37.0,'Krypton','0'
839.0,408.0,200.0,154.0,163.0,430.0,184.0,38.0,'Adsorption','0'
1039.0,408.0,549.0,200.0,163.0,430.0,82.0,38.0,'(S,,)','0'
500.0,507.0,184.0,549.0,163.0,163.0,172.0,33.0,'Equivalent','1'
684.0,507.0,142.0,184.0,158.0,163.0,115.0,28.0,'Stokes'','1'
826.0,507.0,136.0,142.0,158.0,163.0,122.0,34.0,'Specific','1'
962.0,507.0,128.0,136.0,158.0,163.0,113.0,29.0,'surface','1'
1090.0,507.0,70.0,128.0,158.0,163.0,56.0,32.0,'(m2','1'
1160.0,507.0,817.0,70.0,158.0,163.0,68.0,33.0,'g')','1'
344.0,527.0,935.0,817.0,158.0,158.0,81.0,28.0,'Solid','1'
1279.0,527.0,31.0,935.0,205.0,158.0,13.0,17.0,'r','1'
1310.0,527.0,764.0,31.0,205.0,158.0,26.0,9.0,'-=','1'
547.0,548.0,156.0,764.0,205.0,205.0,143.0,29.0,'diameter','1'
703.0,548.0,191.0,156.0,290.0,205.0,46.0,33.0,'(p)','1'
894.0,548.0,219.0,191.0,290.0,205.0,37.0,33.0,'S.','1'
1113.0,548.0,848.0,219.0,290.0,205.0,51.0,31.0,'SKr','1'
269.0,628.0,125.0,848.0,290.0,290.0,113.0,34.0,'Quartz','1'
394.0,628.0,188.0,125.0,317.0,290.0,63.0,34.0,'(M)','1'
582.0,628.0,276.0,188.0,317.0,290.0,119.0,28.0,'0-2-0-3','1'
858.0,628.0,228.0,276.0,317.0,290.0,66.0,29.0,'13-9','1'
1086.0,628.0,244.0,228.0,317.0,290.0,63.0,29.0,'15-4','1'
1330.0,628.0,750.0,244.0,317.0,290.0,60.0,28.0,'1-11','1'
582.0,672.0,278.0,750.0,317.0,317.0,119.0,28.0,'0-3-0-5','1'
860.0,672.0,226.0,278.0,43.0,317.0,64.0,29.0,'10-0','1'
1086.0,672.0,245.0,226.0,43.0,317.0,64.0,26.0,'11-6','1'
1331.0,672.0,752.0,245.0,43.0,317.0,65.0,28.0,'1-16','1'
581.0,714.0,295.0,752.0,43.0,43.0,85.0,29.0,'0-5-1','1'
876.0,714.0,224.0,295.0,54.0,43.0,47.0,29.0,'5-7','1'
1100.0,714.0,231.0,224.0,54.0,43.0,48.0,27.0,'6-4','1'
1331.0,714.0,783.0,231.0,54.0,43.0,64.0,28.0,'1-12','1'
550.0,757.0,325.0,783.0,54.0,54.0,81.0,28.0,'1-1-5','1'
875.0,757.0,228.0,325.0,58.0,54.0,48.0,29.0,'3-4','1'
1103.0,757.0,229.0,228.0,58.0,54.0,45.0,27.0,'3-5','1'
1332.0,757.0,746.0,229.0,58.0,54.0,62.0,27.0,'1.03','1'
588.0,800.0,287.0,746.0,58.0,58.0,81.0,28.0,'1.5-2','1'
875.0,800.0,230.0,287.0,43.0,58.0,48.0,28.0,'2.0','1'
1105.0,800.0,221.0,230.0,43.0,58.0,44.0,27.0,'1.7','1'
1326.0,800.0,743.0,221.0,43.0,58.0,68.0,27.0,'0.85','1'
585.0,842.0,49.0,743.0,43.0,43.0,16.0,26.0,'2','1'
634.0,842.0,244.0,49.0,44.0,43.0,35.0,28.0,'-3','1'
878.0,842.0,227.0,244.0,44.0,43.0,43.0,27.0,'1.3','1'
1105.0,842.0,227.0,227.0,44.0,43.0,43.0,26.0,'1-4','1'
1332.0,842.0,748.0,227.0,44.0,43.0,61.0,27.0,'1.07','1'
586.0,885.0,48.0,748.0,44.0,44.0,14.0,27.0,'3','1'
634.0,885.0,238.0,48.0,43.0,44.0,35.0,27.0,'-4','1'
872.0,885.0,233.0,238.0,43.0,44.0,68.0,26.0,'0-95','1'
1105.0,885.0,227.0,233.0,43.0,44.0,62.0,27.0,'1-15','1'
1332.0,885.0,751.0,227.0,43.0,44.0,63.0,26.0,'1-20','1'
583.0,927.0,51.0,751.0,43.0,43.0,18.0,27.0,'4','1'
634.0,927.0,239.0,51.0,41.0,43.0,37.0,27.0,'-6','1'
873.0,927.0,226.0,239.0,41.0,43.0,68.0,28.0,'0-84','1'
1099.0,927.0,232.0,226.0,41.0,43.0,68.0,26.0,'0-85','1'
1331.0,927.0,750.0,232.0,41.0,43.0,59.0,26.0,'1-01','1'
583.0,968.0,51.0,750.0,41.0,41.0,18.0,27.0,'6','1'
634.0,968.0,238.0,51.0,44.0,41.0,36.0,25.0,'-9','1'
872.0,968.0,226.0,238.0,44.0,41.0,69.0,27.0,'0-58','1'
1098.0,968.0,227.0,226.0,44.0,41.0,69.0,26.0,'0.47','1'
1325.0,968.0,742.0,227.0,44.0,41.0,65.0,26.0,'0-81','1'
