@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'00Z-','FAS','MINING','INSPECTION','RECORD','EXCERPTS','FROM','DAILY','LOG','U126','ROCK','MECHANICS','DRIFT','-','16.5'W','X','16.5'H','98'L','DATE','STATION','ACTIVITY','11-03-81','0+33','Top','slice','mining','17'w','x','111h.','Drilling','6'','blast','round;','88','each,','1-1/4"','diameter','holes.','11-04-81','0+41','round,','pulled','8'.','11-06-81','Installed','17','7/8"','8'','rock','bolts','with','resin','anchors,','and','drilled','for','1-1/8"','16'','on','4'','pattern','at','CS','0+10.','5','in','upper','ribs','back','11-09-81','0+49','Blasted','holes,','7','cases','powder.','11-10-81,','12','8',','anchor','ribs.','Also','9','0+10','to','0+14.','11-16-81','11-17-81','0+57','Drilled','14','4','pattern,','anchor.','11-18-81','also','drilling','16',','0+16.','11-19-81','0+65','round.','41','J','11-20-81','16','4,','4',','0+20.','11-23-81','0+24.','11724-81','0+72','7'','installed','across','11-30-84','14,','bolts.','0+28.','12-01-81','12-02-81','0+78','Formation','chanqina','0+60','fault','Back','=','Red','Welded','Tuff.','Grey','Tuff','3,ibelow','roofline.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
2187.0,150.0,1172.0,0.0,1172.0,0.0,164.0,49.0,'00Z-','0'
1017.0,209.0,98.0,1172.0,1172.0,1172.0,73.0,37.0,'FAS','0'
1115.0,209.0,182.0,98.0,115.0,1172.0,152.0,38.0,'MINING','0'
1297.0,209.0,269.0,182.0,115.0,1172.0,241.0,37.0,'INSPECTION','0'
1566.0,209.0,654.0,269.0,115.0,1172.0,151.0,37.0,'RECORD','0'
914.0,260.0,230.0,654.0,115.0,115.0,202.0,39.0,'EXCERPTS','0'
1144.0,260.0,124.0,230.0,212.0,115.0,98.0,37.0,'FROM','0'
1268.0,260.0,153.0,124.0,212.0,115.0,124.0,37.0,'DAILY','0'
1421.0,260.0,273.0,153.0,212.0,115.0,245.0,37.0,'INSPECTION','0'
1694.0,260.0,987.0,273.0,212.0,115.0,74.0,37.0,'LOG','0'
709.0,313.0,128.0,987.0,212.0,212.0,100.0,36.0,'U126','0'
837.0,313.0,126.0,128.0,336.0,212.0,101.0,37.0,'ROCK','0'
963.0,313.0,256.0,126.0,336.0,212.0,228.0,38.0,'MECHANICS','0'
1219.0,313.0,175.0,256.0,336.0,212.0,123.0,38.0,'DRIFT','0'
1394.0,313.0,74.0,175.0,336.0,212.0,20.0,11.0,'-','0'
1468.0,313.0,176.0,74.0,336.0,212.0,147.0,39.0,'16.5'W','0'
1644.0,313.0,52.0,176.0,336.0,212.0,21.0,37.0,'X','0'
1696.0,313.0,177.0,52.0,336.0,212.0,147.0,38.0,'16.5'H','0'
1873.0,313.0,49.0,177.0,336.0,212.0,21.0,35.0,'X','0'
1922.0,313.0,1522.0,49.0,336.0,212.0,100.0,38.0,'98'L','0'
408.0,461.0,327.0,1522.0,336.0,336.0,95.0,37.0,'DATE','1'
735.0,461.0,1035.0,327.0,111.0,336.0,175.0,38.0,'STATION','1'
1770.0,461.0,1414.0,1035.0,111.0,336.0,200.0,37.0,'ACTIVITY','1'
360.0,561.0,425.0,1414.0,111.0,111.0,189.0,38.0,'11-03-81','1'
