@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TAAL(','III','CHEMICAL','GEOTNERMOMETRY','OF','THERMAL','ANO','NONTHERMAL','WATERS','THE','LOS','ALAMOS','AND','VALLES','CALDERA','REGION','Na-K-Ca','Measured','Temp.','Amorphous','No.','Name','(*C)','gILEIL','SiO','2','4/3','1/3','p','A','.','Corrected','VA-1','Spence','Mot','Spg','45','112','-','2.3','55','VA-3','McCauley','31','105','9.3','27','124',''','VA-4','San','Antonio','Not','42','5.8','71','VA-5','Soda','Oam','47','95','-20.0','178','220','160','LA-1','Gallery','11','34','LA-2','7-3','well','13','LA-3','1-2','18','LA-4','Sacred','14','39','LA-5','!Wait','Sog','15','37','LA-6','L-6','83','-49.0','59','LA-7','L-18','30','86','-26.0','75','LA-10','PM-2','23.5','38','LA-11','PM-1','28','LA-12','6-6','30.5','LA-14','G-4','26','33','LA-16','G-2','56','LA-17','G-1A','LA-18','G-1','LA-19','Spg,','White','Rock','Canyon','19','Mariner','and','others,','1977','Unnamed','Mineral','58','206','162','Warm','25','-54.0','158','144','84','60','-46.0','155','70','17'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1382.0,349.0,119.0,0.0,483.0,0.0,94.0,29.0,'TAAL(','0'
1501.0,349.0,601.0,119.0,483.0,0.0,52.0,29.0,'III','0'
905.0,420.0,174.0,601.0,483.0,483.0,150.0,30.0,'CHEMICAL','0'
1079.0,420.0,290.0,174.0,153.0,483.0,270.0,30.0,'GEOTNERMOMETRY','0'
1369.0,420.0,58.0,290.0,153.0,483.0,36.0,28.0,'OF','0'
1427.0,420.0,156.0,58.0,153.0,483.0,131.0,30.0,'THERMAL','0'
1583.0,420.0,79.0,156.0,153.0,483.0,56.0,27.0,'ANO','0'
1662.0,420.0,214.0,79.0,153.0,483.0,188.0,29.0,'NONTHERMAL','0'
1876.0,420.0,826.0,214.0,153.0,483.0,112.0,30.0,'WATERS','0'
1052.0,462.0,60.0,826.0,153.0,153.0,38.0,28.0,'OF','0'
1112.0,462.0,78.0,60.0,959.0,153.0,54.0,29.0,'THE','0'
1190.0,462.0,77.0,78.0,959.0,153.0,55.0,30.0,'LOS','0'
1267.0,462.0,134.0,77.0,959.0,153.0,113.0,29.0,'ALAMOS','0'
1401.0,462.0,78.0,134.0,959.0,153.0,56.0,28.0,'AND','0'
1479.0,462.0,139.0,78.0,959.0,153.0,114.0,30.0,'VALLES','0'
1618.0,462.0,156.0,139.0,959.0,153.0,133.0,29.0,'CALDERA','0'
1774.0,462.0,252.0,156.0,959.0,153.0,113.0,29.0,'REGION','0'
2005.0,562.0,898.0,252.0,959.0,959.0,131.0,27.0,'Na-K-Ca','1'
1108.0,597.0,48.0,898.0,898.0,898.0,157.0,29.0,'Measured','1'
1151.0,617.0,385.0,48.0,48.0,48.0,90.0,32.0,'Temp.','1'
1536.0,617.0,1089.0,385.0,705.0,48.0,174.0,34.0,'Amorphous','1'
448.0,657.0,333.0,1089.0,705.0,705.0,51.0,27.0,'No.','1'
781.0,657.0,373.0,333.0,1343.0,705.0,75.0,25.0,'Name','1'
1154.0,657.0,189.0,373.0,1343.0,705.0,70.0,34.0,'(*C)','1'
1343.0,657.0,254.0,189.0,1343.0,705.0,120.0,38.0,'gILEIL','1'
1597.0,657.0,61.0,254.0,1343.0,705.0,57.0,30.0,'SiO','1'
1658.0,657.0,211.0,61.0,1343.0,705.0,15.0,28.0,'2','1'
1869.0,657.0,216.0,211.0,1343.0,705.0,58.0,33.0,'4/3','1'
2085.0,657.0,296.0,216.0,1343.0,705.0,53.0,33.0,'1/3','1'
1790.0,677.0,42.0,296.0,1343.0,1343.0,20.0,36.0,'p','1'
1832.0,677.0,171.0,42.0,1363.0,1343.0,15.0,12.0,?,'1'
2003.0,677.0,42.0,171.0,1363.0,1343.0,21.0,36.0,'A','1'
2045.0,677.0,173.0,42.0,1363.0,1343.0,15.0,12.0,'.','1'
2218.0,677.0,1790.0,173.0,1363.0,1343.0,168.0,30.0,'Corrected','1'
429.0,731.0,175.0,1790.0,1363.0,1363.0,69.0,31.0,'VA-1','1'
604.0,731.0,138.0,175.0,58.0,1363.0,115.0,35.0,'Spence','1'
742.0,731.0,79.0,138.0,58.0,1363.0,55.0,26.0,'Mot','1'
821.0,731.0,329.0,79.0,58.0,1363.0,53.0,35.0,'Spg','1'
1150.0,731.0,213.0,329.0,58.0,1363.0,37.0,28.0,'45','1'
1363.0,731.0,233.0,213.0,58.0,1363.0,55.0,29.0,'112','1'
1596.0,731.0,42.0,233.0,58.0,1363.0,15.0,8.0,'-','1'
1638.0,731.0,213.0,42.0,58.0,1363.0,54.0,30.0,'2.3','1'
1851.0,731.0,1424.0,213.0,58.0,1363.0,35.0,30.0,'55','1'
429.0,789.0,174.0,1424.0,58.0,58.0,74.0,30.0,'VA-3','1'
603.0,789.0,179.0,174.0,937.0,58.0,155.0,35.0,'McCauley','1'
782.0,789.0,370.0,179.0,937.0,58.0,53.0,33.0,'Spg','1'
1152.0,789.0,212.0,370.0,937.0,58.0,30.0,28.0,'31','1'
1364.0,789.0,233.0,212.0,937.0,58.0,54.0,29.0,'105','1'
1597.0,789.0,40.0,233.0,937.0,58.0,14.0,8.0,'-','1'
1637.0,789.0,214.0,40.0,937.0,58.0,55.0,29.0,'9.3','1'
1851.0,789.0,488.0,214.0,937.0,58.0,34.0,30.0,'27','1'
1365.0,828.0,349.0,488.0,937.0,937.0,52.0,29.0,'124','1'
1714.0,828.0,1288.0,349.0,939.0,937.0,10.0,7.0,''','1'
427.0,848.0,177.0,1288.0,939.0,939.0,75.0,29.0,'VA-4','1'
604.0,848.0,78.0,177.0,57.0,939.0,55.0,28.0,'San','1'
682.0,848.0,158.0,78.0,57.0,939.0,134.0,28.0,'Antonio','1'
840.0,848.0,77.0,158.0,57.0,939.0,54.0,27.0,'Not','1'
917.0,848.0,234.0,77.0,57.0,939.0,54.0,35.0,'Spg','1'
1151.0,848.0,488.0,234.0,57.0,939.0,36.0,27.0,'42','1'
1639.0,848.0,213.0,488.0,57.0,939.0,54.0,29.0,'5.8','1'
1852.0,848.0,427.0,213.0,57.0,939.0,30.0,30.0,'71','1'
2279.0,848.0,1852.0,427.0,57.0,939.0,28.0,28.0,'71','1'
428.0,904.0,174.0,1852.0,57.0,57.0,75.0,29.0,'VA-5','1'
602.0,904.0,99.0,174.0,59.0,57.0,75.0,29.0,'Soda','1'
701.0,904.0,79.0,99.0,59.0,57.0,58.0,29.0,'Oam','1'
780.0,904.0,370.0,79.0,59.0,57.0,56.0,33.0,'Spg','1'
1150.0,904.0,233.0,370.0,59.0,57.0,38.0,29.0,'47','1'
1383.0,904.0,215.0,233.0,59.0,57.0,37.0,29.0,'95','1'
1598.0,904.0,233.0,215.0,59.0,57.0,97.0,30.0,'-20.0','1'
