@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'DOE/RW-0068','OMB','CONTROL','NO:','1910-0900','OFFICE','OF','GEOLOGIC','REPOSITORIES','PROGRAM','REVISION/CHANGE','RECORD','DOCUMENT','NUMBER:','TITLE-','OGR','Program','Baseline','Procedure','Notebook','(OCR/B-1)','DATE/','CCBD/BCP','PAGES','REVISION','DESCRIPTION','NUMBER','AFFECTED','1/25/88','B-146','Change','Control','Flow','Chart','&','Text','Revisions','All','7','2/23/88','B-16','Update','to','include','Quality','Assurance','vi,','viii','7.1','Requirements','for','High-Level','Waste','Form','A-2,','A-3','-','Production','(OGR/B-14)','baseline','document.','E-16','/','0222-0012SC','4/1/86','Revision'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1695.0,68.0,86.0,0.0,86.0,0.0,270.0,37.0,'DOE/RW-0068','0'
1702.0,153.0,105.0,86.0,86.0,86.0,90.0,30.0,'OMB','0'
1807.0,153.0,211.0,105.0,852.0,86.0,196.0,31.0,'CONTROL','0'
2018.0,153.0,116.0,211.0,852.0,86.0,68.0,29.0,'NO:','0'
2134.0,153.0,1279.0,116.0,852.0,86.0,190.0,32.0,'1910-0900','0'
864.0,304.0,177.0,1279.0,852.0,852.0,159.0,30.0,'OFFICE','1'
1041.0,304.0,72.0,177.0,306.0,852.0,54.0,29.0,'OF','1'
1113.0,304.0,254.0,72.0,306.0,852.0,235.0,31.0,'GEOLOGIC','1'
1367.0,304.0,209.0,254.0,306.0,852.0,334.0,32.0,'REPOSITORIES','1'
1165.0,355.0,216.0,209.0,306.0,306.0,231.0,30.0,'PROGRAM','1'
955.0,404.0,468.0,216.0,216.0,216.0,447.0,30.0,'REVISION/CHANGE','1'
1423.0,404.0,1109.0,468.0,649.0,216.0,187.0,30.0,'RECORD','1'
326.0,561.0,251.0,1109.0,649.0,649.0,234.0,29.0,'DOCUMENT','1'
577.0,561.0,219.0,251.0,49.0,649.0,184.0,28.0,'NUMBER:','1'
796.0,561.0,473.0,219.0,49.0,649.0,269.0,35.0,'DOE/RW-0068','1'
326.0,610.0,250.0,473.0,49.0,49.0,234.0,29.0,'DOCUMENT','1'
576.0,610.0,220.0,250.0,153.0,49.0,121.0,29.0,'TITLE-','1'
796.0,610.0,102.0,220.0,153.0,49.0,74.0,29.0,'OGR','1'
898.0,610.0,198.0,102.0,153.0,49.0,171.0,41.0,'Program','1'
1096.0,610.0,225.0,198.0,153.0,49.0,194.0,30.0,'Baseline','1'
1321.0,610.0,251.0,225.0,153.0,49.0,221.0,29.0,'Procedure','1'
1572.0,610.0,230.0,251.0,153.0,49.0,197.0,30.0,'Notebook','1'
1802.0,610.0,1476.0,230.0,153.0,49.0,209.0,40.0,'(OCR/B-1)','1'
334.0,762.0,245.0,1476.0,153.0,153.0,124.0,29.0,'DATE/','1'
578.0,783.0,1534.0,245.0,245.0,245.0,220.0,30.0,'CCBD/BCP','1'
2112.0,783.0,1811.0,1534.0,278.0,245.0,135.0,30.0,'PAGES','1'
302.0,811.0,779.0,1811.0,278.0,278.0,189.0,30.0,'REVISION','1'
1081.0,811.0,407.0,779.0,300.0,278.0,391.0,33.0,'REVISION/CHANGE','1'
1488.0,811.0,888.0,407.0,300.0,278.0,272.0,30.0,'DESCRIPTION','1'
