@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Table','2.14.','Toxicity','Index','(TI)','Ranking','of','Significant','Radionuclides','in','Typical','PWR(U)','Spent','Fuel.','Time','After','Discharge','from','Reactor','3','4','10','5','6','yr','Isotope','TI','11','241','8','239','7','226','(','222','226Ra','222Ra','1.7','Am','2.3','x','Pu','5.0','Ra','Rn)','3.6',')','240','107','21Pb','210','Po)','227','219','9.6','106','8.9','4.6','81,','1.1','Th','3.5','7.7','P0)','5.4','6.5','Th,','Pb','Eli,','243','Np)','229Th','225','209','Pb)','2.5','4.2','1.8','3.8','Ra,','229','129','6.2','1.0','Bi,','1.4','1','1291','237','233','Ac','1.2','Np(','Pa)','3.0','126','105','230','s','Sn','Sb)','3.7','I','237Np','238U','(234Th,','234m','1.3','Np','242','2.9','5.8','104','238','1.9','3.4','Pd','234','231','U','Pa','3.2','lu','79','234U','3.1','Se','u','107Pd','99','99Tc','Tc','2.6','13i,'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
236.0,409.0,118.0,0.0,1002.0,0.0,94.0,21.0,'Table','0'
354.0,409.0,151.0,118.0,1002.0,0.0,85.0,22.0,'2.14.','0'
505.0,409.0,175.0,151.0,1002.0,0.0,152.0,27.0,'Toxicity','0'
680.0,409.0,118.0,175.0,1002.0,0.0,92.0,21.0,'Index','0'
798.0,409.0,90.0,118.0,1002.0,0.0,65.0,25.0,'(TI)','0'
888.0,409.0,153.0,90.0,1002.0,0.0,132.0,25.0,'Ranking','0'
1041.0,409.0,57.0,153.0,1002.0,0.0,34.0,20.0,'of','0'
1098.0,409.0,230.0,57.0,1002.0,0.0,206.0,27.0,'Significant','0'
1328.0,409.0,267.0,230.0,1002.0,0.0,243.0,21.0,'Radionuclides','0'
1595.0,409.0,54.0,267.0,1002.0,0.0,33.0,20.0,'in','0'
1649.0,409.0,153.0,54.0,1002.0,0.0,131.0,28.0,'Typical','0'
1802.0,409.0,134.0,153.0,1002.0,0.0,107.0,24.0,'PWR(U)','0'
1936.0,409.0,116.0,134.0,1002.0,0.0,92.0,26.0,'Spent','0'
2052.0,409.0,830.0,116.0,1002.0,0.0,87.0,21.0,'Fuel.','0'
1231.0,526.0,96.0,830.0,1002.0,1002.0,74.0,21.0,'Time','1'
1327.0,526.0,114.0,96.0,648.0,1002.0,94.0,21.0,'After','1'
1441.0,526.0,193.0,114.0,648.0,1002.0,169.0,26.0,'Discharge','1'
1634.0,526.0,93.0,193.0,648.0,1002.0,75.0,21.0,'from','1'
1727.0,526.0,1143.0,93.0,648.0,1002.0,131.0,19.0,'Reactor','1'
585.0,562.0,609.0,1143.0,648.0,648.0,15.0,21.0,'3','1'
1194.0,562.0,650.0,609.0,43.0,648.0,16.0,20.0,'4','1'
1844.0,562.0,37.0,650.0,43.0,648.0,31.0,22.0,'10','1'
1881.0,562.0,535.0,37.0,43.0,648.0,15.0,21.0,'5','1'
2416.0,562.0,1869.0,535.0,43.0,648.0,16.0,21.0,'6','1'
548.0,582.0,53.0,1869.0,43.0,43.0,31.0,22.0,'10','1'
601.0,582.0,557.0,53.0,318.0,43.0,38.0,22.0,'yr','1'
1158.0,582.0,54.0,557.0,318.0,43.0,30.0,21.0,'10','1'
1212.0,582.0,686.0,54.0,318.0,43.0,36.0,22.0,'yr','1'
1898.0,582.0,481.0,686.0,318.0,43.0,37.0,21.0,'yr','1'
2379.0,582.0,54.0,481.0,318.0,43.0,32.0,22.0,'10','1'
2433.0,582.0,2195.0,54.0,318.0,43.0,38.0,22.0,'yr','1'
240.0,660.0,400.0,2195.0,318.0,318.0,129.0,25.0,'Isotope','1'
640.0,660.0,232.0,400.0,114.0,318.0,35.0,20.0,'TI','1'
872.0,660.0,436.0,232.0,114.0,318.0,129.0,27.0,'Isotope','1'
1308.0,660.0,231.0,436.0,114.0,318.0,34.0,20.0,'TI','1'
1539.0,660.0,436.0,231.0,114.0,318.0,129.0,25.0,'Isotope','1'
1975.0,660.0,232.0,436.0,114.0,318.0,35.0,20.0,'TI','1'
2207.0,660.0,418.0,232.0,114.0,318.0,130.0,26.0,'Isotope','1'
2625.0,660.0,2389.0,418.0,114.0,318.0,34.0,19.0,'11','1'
239.0,773.0,554.0,2389.0,114.0,114.0,55.0,21.0,'241','1'
793.0,773.0,78.0,554.0,60.0,114.0,17.0,19.0,'8','1'
871.0,773.0,592.0,78.0,60.0,114.0,53.0,22.0,'239','1'
1463.0,773.0,76.0,592.0,60.0,114.0,14.0,22.0,'7','1'
1539.0,773.0,117.0,76.0,60.0,114.0,53.0,21.0,'226','1'
1656.0,773.0,16.0,117.0,60.0,114.0,7.0,25.0,'(','1'
1672.0,773.0,457.0,16.0,60.0,114.0,52.0,21.0,'222','1'
2129.0,773.0,78.0,457.0,60.0,114.0,16.0,20.0,'8','1'
2207.0,773.0,134.0,78.0,60.0,114.0,91.0,41.0,'226Ra','1'
2341.0,773.0,285.0,134.0,60.0,114.0,91.0,42.0,'222Ra','1'
2626.0,773.0,152.0,285.0,60.0,114.0,52.0,23.0,'1.7','1'
2778.0,773.0,2484.0,152.0,60.0,114.0,16.0,18.0,'8','1'
295.0,793.0,346.0,2484.0,60.0,60.0,39.0,19.0,'Am','1'
641.0,793.0,76.0,346.0,80.0,60.0,53.0,22.0,'2.3','1'
717.0,793.0,40.0,76.0,80.0,60.0,16.0,14.0,'x','1'
757.0,793.0,170.0,40.0,80.0,60.0,32.0,21.0,'10','1'
927.0,793.0,382.0,170.0,80.0,60.0,36.0,21.0,'Pu','1'
1309.0,793.0,76.0,382.0,80.0,60.0,52.0,21.0,'5.0','1'
1385.0,793.0,40.0,76.0,80.0,60.0,17.0,15.0,'x','1'
1425.0,793.0,170.0,40.0,80.0,60.0,31.0,21.0,'10','1'
1595.0,793.0,133.0,170.0,80.0,60.0,34.0,20.0,'Ra','1'
1728.0,793.0,249.0,133.0,80.0,60.0,49.0,23.0,'Rn)','1'
1977.0,793.0,75.0,249.0,80.0,60.0,52.0,20.0,'3.6','1'
2052.0,793.0,40.0,75.0,80.0,60.0,18.0,14.0,'x','1'
2092.0,793.0,233.0,40.0,80.0,60.0,31.0,21.0,'10','1'
2325.0,793.0,115.0,233.0,80.0,60.0,7.0,24.0,'(','1'
2440.0,793.0,261.0,115.0,80.0,60.0,7.0,25.0,')','1'
2701.0,793.0,40.0,261.0,80.0,60.0,18.0,16.0,'x','1'
2741.0,793.0,2502.0,40.0,80.0,60.0,32.0,21.0,'10','1'
240.0,850.0,555.0,2502.0,80.0,80.0,52.0,20.0,'240','1'
795.0,850.0,77.0,555.0,61.0,80.0,14.0,20.0,'7','1'
872.0,850.0,133.0,77.0,61.0,80.0,52.0,21.0,'226','1'
1005.0,850.0,421.0,133.0,61.0,80.0,51.0,20.0,'222','1'
1426.0,850.0,114.0,421.0,61.0,80.0,50.0,41.0,'107','1'
1540.0,850.0,133.0,114.0,61.0,80.0,90.0,41.0,'21Pb','1'
1673.0,850.0,132.0,133.0,61.0,80.0,49.0,22.0,'210','1'
1805.0,850.0,57.0,132.0,61.0,80.0,50.0,22.0,'210','1'
1862.0,850.0,270.0,57.0,61.0,80.0,49.0,24.0,'Po)','1'
2132.0,850.0,76.0,270.0,61.0,80.0,13.0,21.0,'7','1'
2208.0,850.0,118.0,76.0,61.0,80.0,51.0,22.0,'227','1'
2326.0,850.0,16.0,118.0,61.0,80.0,6.0,25.0,'(','1'
2342.0,850.0,95.0,16.0,61.0,80.0,50.0,21.0,'222','1'
2437.0,850.0,189.0,95.0,61.0,80.0,51.0,47.0,'219','1'
2626.0,850.0,116.0,189.0,61.0,80.0,53.0,22.0,'9.6','1'
2742.0,850.0,2446.0,116.0,61.0,80.0,52.0,39.0,'106','1'
297.0,870.0,344.0,2446.0,61.0,61.0,36.0,20.0,'Pu','1'
641.0,870.0,76.0,344.0,80.0,61.0,53.0,22.0,'8.9','1'
717.0,870.0,40.0,76.0,80.0,61.0,16.0,15.0,'x','1'
757.0,870.0,232.0,40.0,80.0,61.0,30.0,21.0,'10','1'
989.0,870.0,72.0,232.0,80.0,61.0,7.0,23.0,'(','1'
1061.0,870.0,248.0,72.0,80.0,61.0,48.0,24.0,'Rn)','1'
1309.0,870.0,76.0,248.0,80.0,61.0,53.0,22.0,'4.6','1'
1385.0,870.0,272.0,76.0,80.0,61.0,17.0,15.0,'x','1'
1657.0,870.0,71.0,272.0,80.0,61.0,6.0,24.0,'(','1'
1728.0,870.0,250.0,71.0,80.0,61.0,49.0,22.0,'81,','1'
1978.0,870.0,76.0,250.0,80.0,61.0,51.0,22.0,'1.1','1'
2054.0,870.0,39.0,76.0,80.0,61.0,16.0,15.0,'x','1'
2093.0,870.0,304.0,39.0,80.0,61.0,31.0,21.0,'10','1'
2397.0,870.0,96.0,304.0,80.0,61.0,36.0,21.0,'Th','1'
2493.0,870.0,209.0,96.0,80.0,61.0,49.0,23.0,'Rn)','1'
2702.0,870.0,2463.0,209.0,80.0,61.0,17.0,15.0,'x','1'
240.0,926.0,555.0,2463.0,80.0,80.0,55.0,22.0,'239','1'
795.0,926.0,77.0,555.0,61.0,80.0,13.0,20.0,'7','1'
872.0,926.0,438.0,77.0,61.0,80.0,51.0,21.0,'240','1'
1310.0,926.0,116.0,438.0,61.0,80.0,52.0,22.0,'3.5','1'
1426.0,926.0,113.0,116.0,61.0,80.0,50.0,41.0,'107','1'
1539.0,926.0,118.0,113.0,61.0,80.0,52.0,22.0,'227','1'
1657.0,926.0,15.0,118.0,61.0,80.0,7.0,24.0,'(','1'
1672.0,926.0,114.0,15.0,61.0,80.0,51.0,21.0,'227','1'
1786.0,926.0,57.0,114.0,61.0,80.0,52.0,22.0,'219','1'
1843.0,926.0,135.0,57.0,61.0,80.0,49.0,24.0,'Rn)','1'
1978.0,926.0,115.0,135.0,61.0,80.0,52.0,22.0,'7.7','1'
2093.0,926.0,37.0,115.0,61.0,80.0,31.0,21.0,'10','1'
2130.0,926.0,78.0,37.0,61.0,80.0,16.0,21.0,'6','1'
2208.0,926.0,118.0,78.0,61.0,80.0,49.0,22.0,'210','1'
2326.0,926.0,15.0,118.0,61.0,80.0,7.0,24.0,'(','1'
2341.0,926.0,134.0,15.0,61.0,80.0,51.0,22.0,'210','1'
2475.0,926.0,56.0,134.0,61.0,80.0,50.0,21.0,'210','1'
2531.0,926.0,96.0,56.0,61.0,80.0,50.0,23.0,'P0)','1'
2627.0,926.0,153.0,96.0,61.0,80.0,53.0,22.0,'5.4','1'
2780.0,926.0,2484.0,153.0,61.0,80.0,15.0,20.0,'6','1'
297.0,946.0,344.0,2484.0,61.0,61.0,35.0,20.0,'Pu','1'
641.0,946.0,75.0,344.0,81.0,61.0,53.0,22.0,'6.5','1'
716.0,946.0,41.0,75.0,81.0,61.0,17.0,15.0,'x','1'
757.0,946.0,170.0,41.0,81.0,61.0,32.0,21.0,'10','1'
927.0,946.0,458.0,170.0,81.0,61.0,36.0,20.0,'Pu','1'
1385.0,946.0,342.0,458.0,81.0,61.0,18.0,14.0,'x','1'
1727.0,946.0,326.0,342.0,81.0,61.0,52.0,24.0,'Th,','1'
2053.0,946.0,211.0,326.0,81.0,61.0,16.0,14.0,'x','1'
2264.0,946.0,134.0,211.0,81.0,61.0,36.0,20.0,'Pb','1'
2398.0,946.0,304.0,134.0,81.0,61.0,50.0,23.0,'Eli,','1'
2702.0,946.0,40.0,304.0,81.0,61.0,18.0,15.0,'x','1'
2742.0,946.0,2503.0,40.0,81.0,61.0,31.0,21.0,'10','1'
240.0,1003.0,134.0,2503.0,81.0,81.0,51.0,20.0,'243','1'
374.0,1003.0,420.0,134.0,60.0,81.0,52.0,22.0,'239','1'
794.0,1003.0,78.0,420.0,60.0,81.0,16.0,20.0,'6','1'
872.0,1003.0,133.0,78.0,60.0,81.0,51.0,21.0,'243','1'
1005.0,1003.0,55.0,133.0,60.0,81.0,53.0,21.0,'239','1'
1060.0,1003.0,402.0,55.0,60.0,81.0,50.0,30.0,'Np)','1'
1462.0,1003.0,77.0,402.0,60.0,81.0,16.0,20.0,'6','1'
1539.0,1003.0,554.0,77.0,60.0,81.0,53.0,22.0,'239','1'
2093.0,1003.0,114.0,554.0,60.0,81.0,53.0,40.0,'106','1'
