@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'AUTHOR','COORDINATION','SCHEDULE','Activity','Start','Date','End','Writers'','Briefing','Dec','8th','AC','Forms','Ike','9th','Jan','Review','27th','Resolve','28th','Feb','7th','Workshop','(Revise)','(','9th)','13th)','(Storyboard)','16th)','27th)','Write','Chapters','Mir','h','2nd','My','22nd','c'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
264.0,624.0,789.0,0.0,756.0,0.0,728.0,130.0,'AUTHOR','0'
1053.0,624.0,308.0,789.0,756.0,0.0,1313.0,131.0,'COORDINATION','0'
960.0,917.0,598.0,308.0,756.0,756.0,930.0,132.0,'SCHEDULE','0'
544.0,1346.0,564.0,598.0,598.0,598.0,408.0,98.0,'Activity','1'
1108.0,1346.0,306.0,564.0,344.0,598.0,271.0,79.0,'Start','1'
1414.0,1346.0,458.0,306.0,344.0,598.0,251.0,80.0,'Date','1'
1872.0,1346.0,260.0,458.0,344.0,598.0,225.0,80.0,'End','1'
2132.0,1346.0,1880.0,260.0,344.0,598.0,251.0,80.0,'Date','1'
263.0,1543.0,428.0,1880.0,344.0,344.0,392.0,79.0,'Writers'','1'
691.0,1543.0,539.0,428.0,245.0,344.0,431.0,92.0,'Briefing','1'
1230.0,1543.0,251.0,539.0,245.0,344.0,170.0,79.0,'Dec','1'
1481.0,1543.0,466.0,251.0,245.0,344.0,182.0,78.0,'8th','1'
1947.0,1543.0,251.0,466.0,245.0,344.0,170.0,78.0,'Dec','1'
2198.0,1543.0,1727.0,251.0,245.0,344.0,183.0,78.0,'8th','1'
476.0,1663.0,174.0,1727.0,245.0,245.0,137.0,78.0,'AC','1'
650.0,1663.0,581.0,174.0,245.0,245.0,303.0,77.0,'Forms','1'
1231.0,1663.0,251.0,581.0,245.0,245.0,169.0,80.0,'Ike','1'
1482.0,1663.0,465.0,251.0,245.0,245.0,182.0,78.0,'9th','1'
1947.0,1663.0,253.0,465.0,245.0,245.0,184.0,79.0,'Jan','1'
2200.0,1663.0,1941.0,253.0,245.0,245.0,181.0,78.0,'9th','1'
263.0,1783.0,387.0,1941.0,245.0,245.0,350.0,77.0,'Review','1'
650.0,1783.0,581.0,387.0,120.0,245.0,303.0,77.0,'Forms','1'
1231.0,1783.0,251.0,581.0,120.0,245.0,182.0,78.0,'Jan','1'
1482.0,1783.0,402.0,251.0,120.0,245.0,182.0,78.0,'9th','1'
1884.0,1783.0,253.0,402.0,120.0,245.0,183.0,77.0,'Jan','1'
2137.0,1783.0,1876.0,253.0,120.0,245.0,244.0,78.0,'27th','1'
265.0,1902.0,405.0,1876.0,120.0,120.0,368.0,78.0,'Resolve','1'
670.0,1902.0,498.0,405.0,125.0,120.0,304.0,78.0,'Forms','1'
1168.0,1902.0,251.0,498.0,125.0,120.0,184.0,77.0,'Jan','1'
1419.0,1902.0,529.0,251.0,125.0,120.0,245.0,78.0,'28th','1'
1948.0,1902.0,251.0,529.0,125.0,120.0,183.0,78.0,'Feb','1'
2199.0,1902.0,1909.0,251.0,125.0,120.0,184.0,79.0,'7th','1'
294.0,2023.0,175.0,1909.0,125.0,125.0,138.0,79.0,'AC','1'
469.0,2023.0,763.0,175.0,320.0,125.0,486.0,97.0,'Workshop','1'
1232.0,2023.0,251.0,763.0,320.0,125.0,182.0,80.0,'Feb','1'
1483.0,2023.0,401.0,251.0,320.0,125.0,182.0,79.0,'9th','1'
1884.0,2023.0,252.0,401.0,320.0,125.0,183.0,80.0,'Feb','1'
2136.0,2023.0,1552.0,252.0,320.0,125.0,246.0,79.0,'27th','1'
589.0,2145.0,517.0,1552.0,320.0,320.0,367.0,79.0,'(Revise)','1'
1106.0,2145.0,63.0,517.0,262.0,320.0,22.0,78.0,'(','1'
1169.0,2145.0,253.0,63.0,262.0,320.0,184.0,81.0,'Feb','1'
1422.0,2145.0,336.0,253.0,262.0,320.0,210.0,79.0,'9th)','1'
1758.0,2145.0,64.0,336.0,262.0,320.0,22.0,79.0,'(','1'
1822.0,2145.0,253.0,64.0,262.0,320.0,184.0,80.0,'Feb','1'
2075.0,2145.0,1723.0,253.0,262.0,320.0,273.0,79.0,'13th)','1'
357.0,2266.0,685.0,1723.0,262.0,262.0,599.0,100.0,'(Storyboard)','1'
1042.0,2266.0,64.0,685.0,151.0,262.0,22.0,78.0,'(','1'
1106.0,2266.0,253.0,64.0,151.0,262.0,184.0,80.0,'Feb','1'
1359.0,2266.0,399.0,253.0,151.0,262.0,272.0,79.0,'16th)','1'
1758.0,2266.0,63.0,399.0,151.0,262.0,23.0,77.0,'(','1'
1821.0,2266.0,255.0,63.0,151.0,262.0,185.0,81.0,'Feb','1'
2076.0,2266.0,1814.0,255.0,151.0,262.0,272.0,80.0,'27th)','1'
267.0,2387.0,307.0,1814.0,151.0,151.0,270.0,78.0,'Write','1'
574.0,2387.0,531.0,307.0,1030.0,151.0,449.0,99.0,'Chapters','1'
1105.0,2387.0,254.0,531.0,1030.0,151.0,173.0,79.0,'Mir','1'
1359.0,2387.0,126.0,254.0,1030.0,151.0,57.0,79.0,'h','1'
1485.0,2387.0,401.0,126.0,1030.0,151.0,179.0,80.0,'2nd','1'
1886.0,2387.0,253.0,401.0,1030.0,151.0,179.0,97.0,'My','1'
2139.0,2387.0,844.0,253.0,1030.0,151.0,242.0,80.0,'22nd','1'
1296.0,2418.0,0.0,844.0,1030.0,1030.0,45.0,52.0,'c','1'
