@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Table','2.8.','Curies','of','heavy-element','isotopes','in','a','BWR','assembly','DISCHARGE','1.','TR','2.','5.','YR','10.','30.','100.','300.','1000.','3000.','10000.','30000.','P8210','2.417E-10','3.759E-10','5.737E-10','1.816E-09','7.120E-09','1.033E-07','2.245E-06','3.114E-05','4.404E-04','3.247E-03','1.874E-02','6.550E-02','P8214','2.995E-09','5.132E-09','7.942E-09','2.043E-08','5.497E-08','3.710E-07','3.943E-06','3.833E-05','81210','2.428E-10','3.761E-10','5.739E-10','7.121E-09','81214','P0210','1.465E-10','2.942E-10','4.592E-10','1.515E-09','P0214','7.683E-09','P0218','811222','82226','2.993E-09','T8230','4.167E-06','5.716E-06','7.273E-06','1.199E-05','2.000E-05','5.378E-05','1.893E-04','6.520E-04','2.416E-03','7.417E-03','2.408E-02','6.509E-02','78234','5.816E-02','5.812E-02','5.813E-02','5.8122-02','5.013E-02','P2233','4.247E-02','4.448E-02','4.450E-02','4.462E-02','4.499E-02','4.775E-02','6.163E-02','9.630E-02','1.582E-01','1.868E-01','1.876E-01','1.864E-01','922348','5.861E-02','5.812E02','0234','1.784E-01','1.792E-01','1.801E-01','1.828E-01','1.870E-01','2.025E-01','2.411E-01','2.833E-01','2.942E-01','2.929E-01','2.883E-01','2.758E-01','0236','3.852E-02','3.853E-02','3.854E-02','3.859E-02','3.876E-02','3.925E-02','4.087E-02','4.490E-02','5.398E-02','6.149E-02','0238','11P237','4.366E-02','8P239','2.630E','06','2.2508','00','2.250E','2.2498','2.248E','2.2448','2.230E','2.190E','2.055E','1.715E','9.094E-01','1.485E-01','P0238','2.885!','02','3.1302','3.1582','3.099E','2.9811','2.5528','1.4818','3.140E','01','1.501E-01','1.907E-06','2.581E-20','0.0','P0239','5.361!','5.4311','5.431E','5.430E','5.4271','5.4172','5.387E','5.285E','5.004E','4.1248','2.3538','P0240','8.481E','8.4822','8.483E','8.485E','8.4882','8.4902','8.444E','8.273E','7.700E','6.2732','3.060E','3.936E','P0241','2.0391','04','1.945E','1.854!','1.608E','1.268E','4.908E','03','1.768E','1.582E-02','2.375E-03','2.009E-03','1.117E-03','2.087E-04','P0242','2.708E-01','2.707E-01','2.704E-01','2.694E-01','2.660E-01','2.564E-01','211241','2.267E','5.4498','8.477E','1.672E','2.799E','6.194E','4.542E','1.481E','6.030E','1.199E-03','28243','2.2482','2.2501','2.2502','2.2301','C8242','6.199E','1.3202','2.7992','3.308E','6.513E-01','5.933E-01','4.311E-01','1.732E-01','7.115E-03','7.808E-07','1.070E-20','C8244','1.895E','1.824E','1.756E','1.565E','1.2928','6.0098','4.117E','1.942E-03','4.4282-15','SIMITOT','2.657E','2.1462','1.9541','1.686E','1.354E','5.8978','1.093E','6.277E','2.833E','1.234E','7.501E','2.956E','cri','TOTAL','5.474E','2.146E','1.955E','1.687E','5.899E','1.094!','6.282E','2.834E','7.506E','2.973E','CD'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1095.0,188.0,102.0,0.0,550.0,0.0,80.0,21.0,'Table','0'
1197.0,188.0,97.0,102.0,550.0,0.0,58.0,21.0,'2.8.','0'
1294.0,188.0,119.0,97.0,550.0,0.0,98.0,20.0,'Curies','0'
1413.0,188.0,48.0,119.0,550.0,0.0,27.0,20.0,'of','0'
1461.0,188.0,238.0,48.0,550.0,0.0,213.0,25.0,'heavy-element','0'
1699.0,188.0,150.0,238.0,550.0,0.0,126.0,24.0,'isotopes','0'
1849.0,188.0,48.0,150.0,550.0,0.0,28.0,19.0,'in','0'
1897.0,188.0,33.0,48.0,550.0,0.0,12.0,13.0,'a','0'
1930.0,188.0,67.0,33.0,550.0,0.0,47.0,19.0,'BWR','0'
1997.0,188.0,1450.0,67.0,550.0,0.0,129.0,25.0,'assembly','0'
549.0,254.0,284.0,1450.0,550.0,550.0,174.0,22.0,'DISCHARGE','1'
833.0,254.0,56.0,284.0,231.0,550.0,25.0,22.0,'1.','1'
889.0,254.0,141.0,56.0,231.0,550.0,33.0,22.0,'TR','1'
1030.0,254.0,56.0,141.0,231.0,550.0,24.0,22.0,'2.','1'
1086.0,254.0,139.0,56.0,231.0,550.0,37.0,21.0,'TR','1'
1225.0,254.0,63.0,139.0,231.0,550.0,30.0,23.0,'5.','1'
1288.0,254.0,121.0,63.0,231.0,550.0,35.0,21.0,'YR','1'
1409.0,254.0,77.0,121.0,231.0,550.0,49.0,24.0,'10.','1'
1486.0,254.0,122.0,77.0,231.0,550.0,33.0,21.0,'YR','1'
1608.0,254.0,78.0,122.0,231.0,550.0,46.0,22.0,'30.','1'
1686.0,254.0,105.0,78.0,231.0,550.0,37.0,22.0,'YR','1'
1791.0,254.0,97.0,105.0,231.0,550.0,69.0,23.0,'100.','1'
1888.0,254.0,100.0,97.0,231.0,550.0,34.0,22.0,'YR','1'
1988.0,254.0,99.0,100.0,231.0,550.0,67.0,22.0,'300.','1'
2087.0,254.0,83.0,99.0,231.0,550.0,34.0,21.0,'YR','1'
2170.0,254.0,118.0,83.0,231.0,550.0,87.0,21.0,'1000.','1'
2288.0,254.0,80.0,118.0,231.0,550.0,37.0,21.0,'YR','1'
2368.0,254.0,119.0,80.0,231.0,550.0,90.0,23.0,'3000.','1'
2487.0,254.0,65.0,119.0,231.0,550.0,35.0,21.0,'TR','1'
2552.0,254.0,133.0,65.0,231.0,550.0,103.0,22.0,'10000.','1'
2685.0,254.0,59.0,133.0,231.0,550.0,34.0,20.0,'YR','1'
2744.0,254.0,2417.0,59.0,231.0,550.0,112.0,23.0,'30000.','1'
328.0,320.0,220.0,2417.0,231.0,231.0,93.0,23.0,'P8210','1'
548.0,320.0,199.0,220.0,33.0,231.0,174.0,23.0,'2.417E-10','1'
747.0,320.0,199.0,199.0,33.0,231.0,175.0,23.0,'3.759E-10','1'
946.0,320.0,203.0,199.0,33.0,231.0,176.0,24.0,'5.737E-10','1'
1149.0,320.0,199.0,203.0,33.0,231.0,174.0,23.0,'1.816E-09','1'
1348.0,320.0,202.0,199.0,33.0,231.0,174.0,22.0,'7.120E-09','1'
1550.0,320.0,198.0,202.0,33.0,231.0,173.0,23.0,'1.033E-07','1'
1748.0,320.0,201.0,198.0,33.0,231.0,172.0,24.0,'2.245E-06','1'
1949.0,320.0,198.0,201.0,33.0,231.0,173.0,23.0,'3.114E-05','1'
2147.0,320.0,205.0,198.0,33.0,231.0,175.0,23.0,'4.404E-04','1'
2352.0,320.0,202.0,205.0,33.0,231.0,171.0,24.0,'3.247E-03','1'
2554.0,320.0,190.0,202.0,33.0,231.0,167.0,23.0,'1.874E-02','1'
