@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Table','2-2.','Objectives','used','for','site','screening','by','the','Nevada','Nuclear','Waste','Storage','Investigations','(NNWSI)','Project','compared','to','relevant','U.S.','Department','of','Energy','(DOE)','and','Regulatory','Commission','(NRC)','criteriaa','NNWSI','Current','objectives','Comparable','national','criteria','at','time','NWTS','33(1)','33(2)','10','CFR','Part','60','(July','1981','960','Number','title','(DOE,','1982b)','1981a)','NRC','proposed','rule)','(1984)','1.0','CONTAINMENT','3.1.2,','3.2(par.','1),','60.111(b)(2)(i),','960.4-1(a)','3.2.2(1),','3.3(par.','60.111(b)(2)(ii)(A),','4.2','3.4(par.','1)','60.111(b)(3)(i)','1.1','Processes','3.4(2)','1.1.1','Chemical','3.3(1),','3.4(2),','60.123(b)(5),','960.4-2-2(a),','release','3.2(1),','3.2(4)','60.123(b)(13-14)','960.4-2-2(b)(4),','960.4-2-2(c)(1,3)','1.1.2','Mechanical','60.123(b)(15),','960.4-2-3(a),','60.132(k)(1)','960.4-2-3(b)(1,2)','1.2','Events','3.5(par.','60.123(a)(7),','3.5(1)','60.123(b)(6,7,10)','1.2.1','Seismic','3.5(2),','3.5(5)','60.112(a),','60.123(a)(5),','960.4-2-7(a),','60.123(b)(9)','960.4-2-7(c)(1-4)','1.2.2','Erosion','3.5(4)','60.112(b),','60.122(i),','960.4-2-5(a),','60.123(b)(4)','960.4-2-5(b)(1,3),','960.4-2-5(c)(1),','960.4-2-5(d)','1.2.3','Volcanic','3.5(3)','60.123(b)(11)','960.4-2-7(b)(1),','960.4-2-7(c)(1)','1.2.4','Human','intru-','3.2.2(3),','3.6(par.','60.123(b)(1-3)','960.4-2-8(a),','sion','3.3.2(4)','3.6(2)','960.4-2-8(b)(1,2),','960.4-2-8(c)(1-4),','960.4-2-8(d)(1,2)','1.2.5','Miscellaneous','2.3','60.122(j)','960.4-2-6(a),','960.4-2-6(b)(1)'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
405.0,279.0,151.0,0.0,305.0,0.0,120.0,30.0,'Table','0'
556.0,279.0,149.0,151.0,305.0,0.0,89.0,31.0,'2-2.','0'
705.0,279.0,274.0,149.0,305.0,0.0,245.0,39.0,'Objectives','0'
979.0,279.0,126.0,274.0,305.0,0.0,96.0,30.0,'used','0'
1105.0,279.0,101.0,126.0,305.0,0.0,71.0,31.0,'for','0'
1206.0,279.0,124.0,101.0,305.0,0.0,94.0,30.0,'site','0'
1330.0,279.0,248.0,124.0,305.0,0.0,220.0,38.0,'screening','0'
1578.0,279.0,77.0,248.0,305.0,0.0,47.0,39.0,'by','0'
1655.0,279.0,97.0,77.0,305.0,0.0,68.0,31.0,'the','0'
1752.0,279.0,176.0,97.0,305.0,0.0,147.0,31.0,'Nevada','0'
1928.0,279.0,196.0,176.0,305.0,0.0,170.0,31.0,'Nuclear','0'
2124.0,279.0,154.0,196.0,305.0,0.0,123.0,30.0,'Waste','0'
2278.0,279.0,200.0,154.0,305.0,0.0,168.0,39.0,'Storage','0'
2478.0,279.0,375.0,200.0,305.0,0.0,341.0,38.0,'Investigations','0'
2853.0,279.0,2148.0,375.0,305.0,0.0,164.0,39.0,'(NNWSI)','0'
706.0,324.0,201.0,2148.0,305.0,305.0,169.0,39.0,'Project','0'
907.0,324.0,224.0,201.0,44.0,305.0,194.0,40.0,'compared','0'
1131.0,324.0,76.0,224.0,44.0,305.0,45.0,26.0,'to','0'
1207.0,324.0,222.0,76.0,44.0,305.0,191.0,39.0,'relevant','0'
1429.0,324.0,125.0,222.0,44.0,305.0,91.0,31.0,'U.S.','0'
1554.0,324.0,275.0,125.0,44.0,305.0,244.0,38.0,'Department','0'
1829.0,324.0,74.0,275.0,44.0,305.0,45.0,31.0,'of','0'
1903.0,324.0,177.0,74.0,44.0,305.0,146.0,40.0,'Energy','0'
2080.0,324.0,148.0,177.0,44.0,305.0,114.0,39.0,'(DOE)','0'
2228.0,324.0,99.0,148.0,44.0,305.0,71.0,31.0,'and','0'
2327.0,324.0,199.0,99.0,44.0,305.0,171.0,31.0,'Nuclear','0'
2526.0,324.0,275.0,199.0,44.0,305.0,245.0,39.0,'Regulatory','0'
2801.0,324.0,2094.0,275.0,44.0,305.0,246.0,30.0,'Commission','0'
