@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'OEZ','Table','3-5.','Listing','of','all','sites','eligible','for','National','Register','and','the','recommended','preservation','procedures','cultural','resources','in','NNWSI','Yucca','Mountain','Project','area','Subsurface','Surface','Site','component','collection','number','likely','required','Recommended','procedure','b','26Ny1011','Yes','Test','subsurface','mitigate','if','any','construction','is','scheduled','area.','26Ny1964','Avoid','or','by','scientific','study.','26Ny1967','26Ny1995','26Ny1996','No','collect','26Ny2005','26Ny2960','site','at','possible.','26Ny2977','surface','this','26Ny3004','26Ny3005','26Ny3008','26Ny3009','36Ny3011','26Ny3016','26Ny3017','26Ny3018','3-52'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
2220.0,113.0,1858.0,0.0,1858.0,0.0,103.0,42.0,'OEZ','0'
365.0,210.0,149.0,1858.0,1858.0,1858.0,119.0,31.0,'Table','0'
514.0,210.0,148.0,149.0,304.0,1858.0,90.0,31.0,'3-5.','0'
662.0,210.0,203.0,148.0,304.0,1858.0,174.0,39.0,'Listing','0'
865.0,210.0,74.0,203.0,304.0,1858.0,44.0,31.0,'of','0'
939.0,210.0,101.0,74.0,304.0,1858.0,70.0,31.0,'all','0'
1040.0,210.0,150.0,101.0,304.0,1858.0,118.0,30.0,'sites','0'
1190.0,210.0,226.0,150.0,304.0,1858.0,195.0,39.0,'eligible','0'
1416.0,210.0,98.0,226.0,304.0,1858.0,70.0,31.0,'for','0'
1514.0,210.0,226.0,98.0,304.0,1858.0,196.0,31.0,'National','0'
1740.0,210.0,225.0,226.0,304.0,1858.0,197.0,38.0,'Register','0'
1965.0,210.0,103.0,225.0,304.0,1858.0,70.0,31.0,'and','0'
2068.0,210.0,1405.0,103.0,304.0,1858.0,67.0,31.0,'the','0'
664.0,261.0,300.0,1405.0,304.0,304.0,270.0,33.0,'recommended','0'
964.0,261.0,325.0,300.0,51.0,304.0,297.0,41.0,'preservation','0'
1289.0,261.0,277.0,325.0,51.0,304.0,244.0,39.0,'procedures','0'
1566.0,261.0,100.0,277.0,51.0,304.0,69.0,31.0,'for','0'
1666.0,261.0,226.0,100.0,51.0,304.0,194.0,31.0,'cultural','0'
1892.0,261.0,249.0,226.0,51.0,304.0,217.0,23.0,'resources','0'
2141.0,261.0,1477.0,249.0,51.0,304.0,47.0,30.0,'in','0'
665.0,311.0,98.0,1477.0,51.0,51.0,69.0,32.0,'the','0'
763.0,311.0,150.0,98.0,202.0,51.0,121.0,31.0,'NNWSI','0'
913.0,311.0,149.0,150.0,202.0,51.0,122.0,31.0,'Yucca','0'
1062.0,311.0,228.0,149.0,202.0,51.0,200.0,32.0,'Mountain','0'
1290.0,311.0,200.0,228.0,202.0,51.0,169.0,39.0,'Project','0'
1490.0,311.0,875.0,200.0,202.0,51.0,96.0,22.0,'area','0'
639.0,511.0,325.0,875.0,202.0,202.0,245.0,33.0,'Subsurface','1'
964.0,511.0,628.0,325.0,305.0,202.0,170.0,31.0,'Surface','1'
339.0,563.0,300.0,628.0,305.0,305.0,93.0,30.0,'Site','1'
639.0,563.0,300.0,300.0,56.0,305.0,219.0,31.0,'component','1'
939.0,563.0,629.0,300.0,56.0,305.0,248.0,40.0,'collection','1'
312.0,611.0,353.0,629.0,56.0,56.0,146.0,31.0,'number','1'
665.0,611.0,300.0,353.0,218.0,56.0,146.0,41.0,'likely','1'
965.0,611.0,273.0,300.0,218.0,56.0,195.0,39.0,'required','1'
1238.0,611.0,302.0,273.0,218.0,56.0,272.0,32.0,'Recommended','1'
1540.0,611.0,251.0,302.0,218.0,56.0,220.0,37.0,'procedure','1'
1791.0,611.0,99.0,251.0,218.0,56.0,70.0,32.0,'for','1'
1890.0,611.0,1408.0,99.0,218.0,56.0,297.0,38.0,'preservation','1'
488.0,738.0,202.0,1408.0,218.0,218.0,21.0,31.0,'b','1'
288.0,761.0,423.0,202.0,202.0,202.0,191.0,40.0,'26Ny1011','1'
711.0,761.0,325.0,423.0,952.0,202.0,71.0,31.0,'Yes','1'
1036.0,761.0,202.0,325.0,952.0,202.0,71.0,30.0,'Yes','1'
