@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'091','Table','5-37.','Identification','of','highway','segments','used','in','transport','risk','assessment','Popu-','Segment','latign','No.','Description','Highwaya','County','length','(km)c','zone','1','California','Border','to','Las','Vegas','1-15','R','Clark','48','2','U','42','U.S.','95','3','Indian','Springs','43','4','S','5','Nye','16','Line','6','access','road','39','7','repository','Access','24','a','I-15','Interstate','15;','Highway','b','=','rural,','suburban,','urban','c','kilometer','(km)','0.6214','mile','1.','Urban','Population','Density','-','Only','and','Reno,','Nevada,','are','considered','urbanized','areas','for','the','purpose','analysis.','figures','these','were','obtained','from','Department','Commerce','(DOC,','1982).','density','was','determined','by','dividing','population','area','or','Reno','Urbanized','Area,','which','also','1981).','2.','Suburban','All','towns','data','available','suburban','zones.','Two','sources','obtain','data:','(1)','DOC','(1982),','(2)','CACI','(1984).','The','State','Transportation','(ca.','1984).'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
2198.0,118.0,1819.0,0.0,1819.0,0.0,95.0,41.0,'091','0'
381.0,194.0,150.0,1819.0,1819.0,1819.0,120.0,31.0,'Table','0'
531.0,194.0,178.0,150.0,331.0,1819.0,115.0,31.0,'5-37.','0'
709.0,194.0,375.0,178.0,331.0,1819.0,344.0,31.0,'Identification','0'
1084.0,194.0,74.0,375.0,331.0,1819.0,43.0,30.0,'of','0'
1158.0,194.0,203.0,74.0,331.0,1819.0,173.0,39.0,'highway','0'
1361.0,194.0,224.0,203.0,331.0,1819.0,192.0,34.0,'segments','0'
1585.0,194.0,126.0,224.0,331.0,1819.0,94.0,30.0,'used','0'
1711.0,194.0,75.0,126.0,331.0,1819.0,43.0,29.0,'in','0'
1786.0,194.0,248.0,75.0,331.0,1819.0,217.0,34.0,'transport','0'
2034.0,194.0,1329.0,248.0,331.0,1819.0,95.0,31.0,'risk','0'
707.0,249.0,848.0,1329.0,331.0,331.0,244.0,26.0,'assessment','0'
1532.0,443.0,1201.0,848.0,848.0,848.0,121.0,36.0,'Popu-','1'
333.0,492.0,1203.0,1201.0,1201.0,1201.0,168.0,37.0,'Segment','1'
1536.0,492.0,474.0,1203.0,61.0,1201.0,142.0,60.0,'latign','1'
2010.0,492.0,1631.0,474.0,61.0,1201.0,168.0,37.0,'Segment','1'
380.0,530.0,352.0,1631.0,61.0,61.0,67.0,29.0,'No.','1'
732.0,530.0,525.0,352.0,1157.0,61.0,271.0,38.0,'Description','1'
1257.0,530.0,453.0,525.0,1157.0,61.0,197.0,51.0,'Highwaya','1'
1710.0,530.0,227.0,453.0,1157.0,61.0,147.0,38.0,'County','1'
1937.0,530.0,175.0,227.0,1157.0,61.0,142.0,39.0,'length','1'
2112.0,530.0,577.0,175.0,1157.0,61.0,118.0,50.0,'(km)c','1'
1536.0,553.0,1161.0,577.0,1157.0,1157.0,93.0,22.0,'zone','1'
384.0,692.0,121.0,1161.0,1161.0,1161.0,15.0,31.0,'1','1'
505.0,692.0,278.0,121.0,100.0,1161.0,248.0,31.0,'California','1'
783.0,692.0,177.0,278.0,100.0,1161.0,146.0,31.0,'Border','1'
960.0,692.0,72.0,177.0,100.0,1161.0,43.0,27.0,'to','1'
1032.0,692.0,100.0,72.0,100.0,1161.0,70.0,29.0,'Las','1'
1132.0,692.0,178.0,100.0,100.0,1161.0,121.0,37.0,'Vegas','1'
1310.0,692.0,273.0,178.0,100.0,1161.0,93.0,31.0,'1-15','1'
1583.0,692.0,151.0,273.0,100.0,1161.0,24.0,29.0,'R','1'
1734.0,692.0,300.0,151.0,100.0,1161.0,121.0,31.0,'Clark','1'
2034.0,692.0,1655.0,300.0,100.0,1161.0,45.0,32.0,'48','1'
382.0,791.0,374.0,1655.0,100.0,100.0,19.0,31.0,'2','1'
756.0,791.0,100.0,374.0,928.0,100.0,70.0,28.0,'Las','1'
856.0,791.0,453.0,100.0,928.0,100.0,120.0,36.0,'Vegas','1'
1309.0,791.0,272.0,453.0,928.0,100.0,94.0,30.0,'1-15','1'
1581.0,791.0,153.0,272.0,928.0,100.0,24.0,29.0,'U','1'
1734.0,791.0,299.0,153.0,928.0,100.0,120.0,31.0,'Clark','1'
2033.0,791.0,727.0,299.0,928.0,100.0,43.0,32.0,'42','1'
1308.0,843.0,127.0,727.0,928.0,928.0,90.0,29.0,'U.S.','1'
1435.0,843.0,1058.0,127.0,932.0,928.0,42.0,32.0,'95','1'
382.0,942.0,124.0,1058.0,932.0,932.0,19.0,31.0,'3','1'
506.0,942.0,99.0,124.0,102.0,932.0,69.0,29.0,'Las','1'
605.0,942.0,154.0,99.0,102.0,932.0,121.0,35.0,'Vegas','1'
759.0,942.0,75.0,154.0,102.0,932.0,43.0,25.0,'to','1'
834.0,942.0,175.0,75.0,102.0,932.0,143.0,30.0,'Indian','1'
1009.0,942.0,298.0,175.0,102.0,932.0,167.0,38.0,'Springs','1'
1307.0,942.0,127.0,298.0,102.0,932.0,90.0,28.0,'U.S.','1'
1434.0,942.0,147.0,127.0,102.0,932.0,43.0,32.0,'95','1'
1581.0,942.0,152.0,147.0,102.0,932.0,24.0,28.0,'R','1'
1733.0,942.0,298.0,152.0,102.0,932.0,119.0,31.0,'Clark','1'
2031.0,942.0,1654.0,298.0,102.0,932.0,45.0,32.0,'43','1'
381.0,1043.0,277.0,1654.0,102.0,102.0,20.0,31.0,'4','1'
658.0,1043.0,176.0,277.0,101.0,102.0,144.0,31.0,'Indian','1'
834.0,1043.0,473.0,176.0,101.0,102.0,169.0,38.0,'Springs','1'
1307.0,1043.0,127.0,473.0,101.0,102.0,92.0,29.0,'U.S.','1'
1434.0,1043.0,150.0,127.0,101.0,102.0,43.0,31.0,'95','1'
1584.0,1043.0,150.0,150.0,101.0,102.0,19.0,28.0,'S','1'
1734.0,1043.0,326.0,150.0,101.0,102.0,121.0,31.0,'Clark','1'
2060.0,1043.0,1681.0,326.0,101.0,102.0,19.0,31.0,'3','1'
382.0,1143.0,127.0,1681.0,101.0,101.0,20.0,31.0,'5','1'
509.0,1143.0,176.0,127.0,183.0,101.0,143.0,30.0,'Indian','1'
685.0,1143.0,225.0,176.0,183.0,101.0,168.0,37.0,'Springs','1'
910.0,1143.0,72.0,225.0,183.0,101.0,43.0,26.0,'to','1'
982.0,1143.0,327.0,72.0,183.0,101.0,70.0,36.0,'Nye','1'
1309.0,1143.0,126.0,327.0,183.0,101.0,89.0,29.0,'U.S.','1'
1435.0,1143.0,148.0,126.0,183.0,101.0,43.0,31.0,'95','1'
1583.0,1143.0,152.0,148.0,183.0,101.0,24.0,28.0,'R','1'
1735.0,1143.0,303.0,152.0,183.0,101.0,120.0,31.0,'Clark','1'
2038.0,1143.0,1482.0,303.0,183.0,101.0,40.0,31.0,'16','1'
557.0,1195.0,175.0,1482.0,183.0,183.0,148.0,37.0,'County','1'
732.0,1195.0,364.0,175.0,201.0,183.0,96.0,30.0,'Line','1'
382.0,1293.0,123.0,364.0,201.0,201.0,19.0,32.0,'6','1'
505.0,1293.0,102.0,123.0,149.0,201.0,72.0,36.0,'Nye','1'
607.0,1293.0,175.0,102.0,149.0,201.0,148.0,37.0,'County','1'
782.0,1293.0,128.0,175.0,149.0,201.0,96.0,30.0,'Line','1'
910.0,1293.0,73.0,128.0,149.0,201.0,44.0,27.0,'to','1'
983.0,1293.0,176.0,73.0,149.0,201.0,144.0,22.0,'access','1'
1159.0,1293.0,148.0,176.0,149.0,201.0,94.0,30.0,'road','1'
1307.0,1293.0,128.0,148.0,149.0,201.0,92.0,30.0,'U.S.','1'
1435.0,1293.0,147.0,128.0,149.0,201.0,42.0,32.0,'95','1'
1582.0,1293.0,151.0,147.0,149.0,201.0,24.0,28.0,'R','1'
1733.0,1293.0,302.0,151.0,149.0,201.0,70.0,36.0,'Nye','1'
2035.0,1293.0,1659.0,302.0,149.0,201.0,43.0,32.0,'39','1'
383.0,1441.0,122.0,1659.0,149.0,149.0,18.0,31.0,'7','1'
505.0,1441.0,129.0,122.0,929.0,149.0,90.0,30.0,'U.S.','1'
634.0,1441.0,75.0,129.0,929.0,149.0,42.0,32.0,'95','1'
709.0,1441.0,74.0,75.0,929.0,149.0,44.0,26.0,'to','1'
783.0,1441.0,523.0,74.0,929.0,149.0,246.0,38.0,'repository','1'
1306.0,1441.0,275.0,523.0,929.0,149.0,146.0,30.0,'Access','1'
1581.0,1441.0,151.0,275.0,929.0,149.0,24.0,29.0,'R','1'
1732.0,1441.0,300.0,151.0,929.0,149.0,70.0,36.0,'Nye','1'
2032.0,1441.0,724.0,300.0,929.0,149.0,45.0,31.0,'24','1'
1310.0,1492.0,890.0,724.0,929.0,929.0,94.0,30.0,'road','1'
431.0,1625.0,26.0,890.0,890.0,890.0,21.0,22.0,'a','0'
457.0,1625.0,175.0,26.0,29.0,890.0,94.0,31.0,'I-15','0'
632.0,1625.0,279.0,175.0,29.0,890.0,246.0,29.0,'Interstate','0'
911.0,1625.0,95.0,279.0,29.0,890.0,61.0,38.0,'15;','0'
